reference_actor_Q_mean,eval/return_history,rollout/return_history,rollout/Q_mean,rollout/episode_steps,reference_actor_Q_std,total/steps,param_noise_stddev,obs_rms_mean,rollout/episodes,total/epochs,rollout/actions_std,reference_perturbed_action_std,total/steps_per_second,total/episodes,reference_Q_std,reference_action_std,eval/episodes,eval/return,ret_rms_std,train/param_noise_distance,rollout/actions_mean,obs_rms_std,ret_rms_mean,reference_Q_mean,train/loss_actor,total/duration,reference_perturbed_action_mean,rollout/return,reference_action_mean,eval/Q,train/loss_critic
5.609281539916992,-387.65261296405936,-324.6890478413295,1.8095303773880005,1000.0,1.338189721107483,1000,0.14259466822295333,0.12191446870565414,1.0,1,0.6929548382759094,0.7433367371559143,30.023701185180947,1.0,1.575154423713684,0.842359185218811,1.0,-387.65261296405936,1.0,0.744706928730011,0.006840447895228863,2.513580083847046,0.0,4.853404521942139,-5.2433929443359375,33.30701947212219,-0.5192646384239197,-324.6890478413295,-0.05019895359873772,7.005803108215332,0.07117396593093872
12.835258483886719,-264.6282072599905,-285.2345512188672,6.315241813659668,1000.0,1.8380690813064575,2000,0.09577415649670935,0.039186395704746246,2.0,2,0.7719436883926392,0.6729137301445007,30.13828456860476,2.0,2.057452440261841,0.6736424565315247,2.0,-141.60380155592173,1.0,0.698044091463089,-0.17676204442977905,2.2096266746520996,0.0,12.05951976776123,-13.912480354309082,66.36077761650085,0.03333526849746704,-285.2345512188672,-0.06630944460630417,14.574955940246582,0.10883431136608124
20.215118408203125,-317.2150126946695,-263.9131656100677,10.509398460388184,1000.0,1.571836233139038,3000,0.06432701283272566,0.021849075332283974,3.0,3,0.7660010457038879,0.6338729858398438,30.183570090670298,3.0,1.788265585899353,0.6696139574050903,3.0,-422.3886235640275,1.0,0.4961295425891876,-0.11220439523458481,1.9619147777557373,0.0,19.44254493713379,-21.38580894470215,99.39182114601135,-0.20878367125988007,-263.9131656100677,-0.32441797852516174,21.854393005371094,0.5407264232635498
33.88359069824219,-344.67713050943405,-95.41303564163925,14.975876808166504,1000.0,2.133877754211426,4000,0.04320544008261588,0.02806081995368004,4.0,4,0.7429832816123962,0.8162766098976135,30.314148101662756,4.0,2.7557015419006348,0.8724689483642578,4.0,-427.06348395372777,1.0,0.2855464667081833,-0.09458659589290619,2.1571035385131836,0.0,32.530643463134766,-34.94883346557617,131.95158863067627,-0.22805021703243256,-95.41303564163925,-0.24702799320220947,32.83357620239258,0.8996617197990417
44.54266357421875,-325.3006777113277,-156.8069971477699,19.361474990844727,1000.0,2.3664536476135254,5000,0.029602352743226958,0.03934842348098755,5.0,5,0.7575571537017822,0.7113451361656189,30.387735470365886,5.0,2.37394642829895,0.7483962774276733,5.0,-247.79486651890207,1.0,0.23333922028541565,-0.13814841210842133,1.9995859861373901,0.0,43.173431396484375,-46.3477783203125,164.54006600379944,-0.08776623755693436,-156.8069971477699,-0.1139751672744751,35.83665466308594,1.5954885482788086
59.02219772338867,-258.1173210058577,-178.63795119686066,23.999719619750977,1000.0,2.99725604057312,6000,0.02240411346542305,0.04868432879447937,6.0,6,0.7393648624420166,0.7534193396568298,30.443654563628883,6.0,3.5374791622161865,0.7702779769897461,6.0,77.79946252149213,1.0,0.23422525823116302,-0.0808568149805069,2.039947271347046,0.0,57.50830078125,-60.10182189941406,197.08540534973145,-0.21629272401332855,-178.63795119686066,-0.19548101723194122,64.94374084472656,2.2380011081695557
76.5574722290039,-288.37868864684026,-134.66069375566528,30.655933380126953,1000.0,4.480953693389893,7000,0.02240411346542305,0.0376906655728817,7.0,7,0.7297344207763672,0.7826393842697144,30.498804305095632,7.0,5.0248870849609375,0.7905421257019043,7.0,-469.94689449273574,1.0,0.21166320145130157,-0.09569443017244339,2.0299794673919678,0.0,74.88764953613281,-76.20738220214844,229.51719450950623,0.047060560435056686,-134.66069375566528,0.007833585143089294,79.09842681884766,2.7109057903289795
89.34825134277344,-271.3332533403326,-156.90000448837054,37.14879608154297,1000.0,3.3339431285858154,8000,0.0211056883401964,0.05310562252998352,8.0,8,0.747124433517456,0.7166792154312134,30.5485071062857,8.0,4.236791610717773,0.7168077826499939,8.0,-152.01520619477887,1.0,0.19427945464849472,-0.06882105767726898,2.0085666179656982,0.0,87.83989715576172,-91.15718841552734,261.8785910606384,-0.06200796365737915,-156.90000448837054,-0.050581466406583786,91.51734161376953,4.6011247634887695
101.27125549316406,-278.9052383870008,-158.70406350769719,44.02264404296875,1000.0,4.11777925491333,9000,0.02152991267583435,0.04563269764184952,9.0,9,0.7410702109336853,0.7297306656837463,30.550672574049717,9.0,4.614667892456055,0.7026643753051758,9.0,-339.4811187603465,1.0,0.20806439965963364,-0.057082436978816986,2.0814497470855713,0.0,99.66171264648438,-104.86534881591797,294.5925323963165,0.19340725243091583,-158.70406350769719,0.2536260783672333,103.5145492553711,7.070295333862305
112.60154724121094,-280.28322887680815,-177.73070773531745,50.345314025878906,1000.0,5.062040328979492,10000,0.019106704324195603,0.05034947022795677,10.0,10,0.7377941608428955,0.7267128229141235,30.562596316480747,10.0,6.225167751312256,0.726180374622345,10.0,-292.6851432850747,1.0,0.20645223557949066,-0.04910963401198387,2.103361129760742,0.0,111.07421875,-117.19004821777344,327.1973328590393,0.09150540083646774,-177.73070773531745,0.04743191972374916,113.87417602539062,7.590513706207275
