train/loss_actor,total/episodes,rollout/return,eval/episodes,rollout/Q_mean,reference_Q_std,total/steps_per_second,reference_Q_mean,ret_rms_mean,eval/Q,reference_action_mean,train/loss_critic,rollout/episodes,total/duration,rollout/return_history,train/param_noise_distance,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,rollout/actions_mean,rollout/episode_steps,total/steps,total/epochs,ret_rms_std,rollout/actions_std,eval/return,obs_rms_mean,obs_rms_std,eval/return_history
-0.2753736972808838,1.0,-310.070682053618,1.0,-0.46575453877449036,1.0336453914642334,30.98105624301333,0.0030418941751122475,0.0,0.5335933566093445,-0.38036608695983887,0.04124537110328674,1.0,32.27778911590576,-310.070682053618,0.0,0.792590856552124,0.40704813599586487,1.0850303173065186,0.12266481667757034,1000.0,1000,1,1.0,0.6929932832717896,-51.30922926360688,0.026920707896351814,0.7439295649528503,-51.30922926360688
-3.45009183883667,2.0,-337.1962749076424,2.0,-0.5878024101257324,2.877239942550659,31.046437103491055,5.169617652893066,0.0,1.809552788734436,-0.005179802421480417,0.13670219480991364,2.0,64.41963028907776,-337.1962749076424,0.0,0.8761606812477112,5.755021095275879,2.97306227684021,-0.16305045783519745,1000.0,2000,2,1.0,0.7362920045852661,-551.6240014727236,0.0345768928527832,0.9947523474693298,-301.46661536816526
-5.8785858154296875,3.0,-381.4287815053972,3.0,-0.3108828663825989,2.94887638092041,31.08327292745406,12.091562271118164,0.0,-3.4454336166381836,0.09125538915395737,0.2641133964061737,3.0,96.51493287086487,-381.4287815053972,0.0,0.7407611608505249,12.7310152053833,2.877871513366699,-0.17371264100074768,1000.0,3000,3,1.0,0.787015974521637,-529.7601357071616,0.040497489273548126,0.9826251864433289,-377.56445548116403
-7.4799885749816895,4.0,-384.6958824766154,4.0,-1.4663478136062622,2.1141345500946045,30.992157200956076,18.669658660888672,0.0,-1.0042791366577148,0.08174920827150345,0.3653131127357483,4.0,129.0649106502533,-384.6958824766154,0.0,0.7131819128990173,19.399133682250977,2.0469813346862793,-0.18958555161952972,1000.0,4000,4,1.0,0.7833051085472107,-330.997572049005,0.058074746280908585,1.131150245666504,-365.92273462312426
-5.864550590515137,5.0,-394.2396268527838,5.0,-1.992692232131958,2.446584463119507,30.889360632925996,25.08200454711914,0.0,24.781518936157227,0.08831673860549927,0.4232245683670044,5.0,161.86803150177002,-394.2396268527838,0.0,0.7548699975013733,25.642696380615234,2.4417641162872314,-0.1174485981464386,1000.0,5000,5,1.0,0.8051804900169373,-145.89767183156582,0.08790778368711472,1.4275978803634644,-321.91772206481255
-8.00192642211914,6.0,-376.42130629980073,6.0,0.1910884976387024,2.1323752403259277,30.886487214863667,30.673553466796875,0.0,31.605680465698242,0.19342082738876343,0.46123331785202026,6.0,194.25970840454102,-376.42130629980073,0.0,0.7084620594978333,31.597984313964844,1.9589357376098633,-0.08926762640476227,1000.0,6000,6,1.0,0.792321503162384,207.3336039672451,0.09864185750484467,1.6168097257614136,-233.70916772613626
-16.021503448486328,7.0,-326.2774839502817,7.0,4.937497615814209,1.6551365852355957,30.91524986893797,35.26095962524414,0.0,37.41450119018555,-0.06451980024576187,0.7041893005371094,7.0,226.42547059059143,-326.2774839502817,0.0,0.6354714632034302,35.98772430419922,1.5815261602401733,-0.09260932356119156,1000.0,7000,7,1.0,0.7671939730644226,211.94810283630926,0.09601592272520065,1.6182016134262085,-170.0438433600726
-25.414928436279297,8.0,-262.00675438334736,8.0,9.291521072387695,1.3826180696487427,30.95501324164504,41.27919006347656,0.0,42.71246337890625,0.03559910133481026,0.5854693651199341,8.0,258.43955993652344,-262.00675438334736,0.0,0.6029945015907288,42.201499938964844,1.2869318723678589,-0.07664568722248077,1000.0,8000,8,1.0,0.7391082048416138,-222.14112944286452,0.09947551041841507,1.6091835498809814,-176.55600412042162
-29.915599822998047,9.0,-251.57482506338687,9.0,11.400312423706055,1.8071672916412354,30.973545567279285,47.07252883911133,0.0,50.45466613769531,0.09310019016265869,0.796092689037323,9.0,290.57054448127747,-251.57482506338687,0.0,0.5925090312957764,48.140296936035156,1.9223511219024658,-0.08989433199167252,1000.0,9000,9,1.0,0.7278692722320557,341.5539038274403,0.09705966711044312,1.6343666315078735,-118.98823657065918
-33.495967864990234,10.0,-204.5784354937645,10.0,15.481871604919434,2.001070022583008,31.001418578710762,53.91144561767578,0.0,33.7184944152832,0.18385599553585052,1.0461827516555786,10.0,322.56588435173035,-204.5784354937645,0.0,0.5586425065994263,54.667396545410156,2.0616424083709717,-0.08847266435623169,1000.0,10000,10,1.0,0.7137807607650757,-449.34422609933273,0.09927418828010559,1.6617149114608765,-152.02383552352654
-41.033958435058594,11.0,-159.5673950014301,11.0,19.461057662963867,2.3456003665924072,31.013993550449594,59.48508834838867,0.0,58.298851013183594,0.2749398946762085,1.9056837558746338,11.0,354.6786060333252,-159.5673950014301,0.0,0.573239803314209,60.493316650390625,2.3710546493530273,-0.09214569628238678,1000.0,11000,11,1.0,0.7038351893424988,-408.5524487508099,0.09787899255752563,1.6757159233093262,-175.34461854418865
-50.315269470214844,12.0,-130.71349302698258,12.0,23.34962272644043,3.201094388961792,31.024189489076313,65.8201675415039,0.0,22.58619499206543,0.1459808647632599,2.0076346397399902,12.0,386.79495573043823,-130.71349302698258,0.0,0.7591904997825623,66.80290985107422,3.215416431427002,-0.09960616379976273,1000.0,12000,12,1.0,0.6985871195793152,-790.8222492146499,0.0959274172782898,1.7200461626052856,-226.63442110006042
