rollout/episode_steps,eval/episodes,total/duration,rollout/actions_std,reference_Q_mean,train/loss_critic,eval/return,rollout/episodes,train/loss_actor,rollout/actions_mean,rollout/return,total/steps,reference_actor_Q_std,reference_perturbed_action_std,rollout/Q_mean,obs_rms_mean,ret_rms_std,reference_action_mean,obs_rms_std,eval/Q,reference_action_std,total/episodes,eval/return_history,reference_perturbed_action_mean,param_noise_stddev,reference_Q_std,ret_rms_mean,rollout/return_history,reference_actor_Q_mean,total/steps_per_second,total/epochs,train/param_noise_distance
1000.0,376.0,4198.395017623901,0.6980360746383667,234.11373901367188,79.41478729248047,1279.8511678674924,376.0,-231.46121215820312,0.19682207703590393,719.6351115440051,376000,2.8791658878326416,0.8333762884140015,157.34986877441406,0.1728513091802597,1.0,-0.021529072895646095,2.477196216583252,245.801025390625,0.8249084949493408,376.0,1325.786326928064,-0.026356542482972145,0.025752950698953586,3.0789854526519775,0.0,1176.4329597800142,236.15098571777344,89.55803311066207,376,0.2105417400598526
1000.0,377.0,4209.795352458954,0.6983417868614197,234.36404418945312,24.055191040039062,1182.5363219700594,377.0,-233.9113311767578,0.1963927149772644,720.9664611451526,377000,3.339362859725952,0.776597797870636,157.58197021484375,0.1728726625442505,1.0,0.10273206979036331,2.4782419204711914,241.67669677734375,0.7841651439666748,377.0,1328.0971878961384,0.08553999662399292,0.027337276104373337,3.497774124145508,0.0,1177.1454758255838,236.47792053222656,89.55304674841099,377,0.193134143948555
1000.0,378.0,4221.126660585403,0.6985645294189453,233.53594970703125,44.479793548583984,1335.6490113873035,378.0,-233.18511962890625,0.19597920775413513,722.92866771465,378000,3.2104804515838623,0.7970674633979797,157.81663513183594,0.17288267612457275,1.0,0.054764002561569214,2.4783008098602295,245.2528533935547,0.8058685064315796,378.0,1329.590156393641,0.13314472138881683,0.027337276104373337,3.4885921478271484,0.0,1179.4010502460096,235.78390502929688,89.54955167054318,378,0.177749902009964
1000.0,379.0,4232.473340749741,0.6987320780754089,234.37281799316406,20.972116470336914,1583.8220464545507,379.0,-234.3829345703125,0.19586199522018433,723.6662334448357,379000,3.3815414905548096,0.7923959493637085,158.04379272460938,0.1728021800518036,1.0,-0.024419939145445824,2.4780147075653076,246.8603515625,0.7678366899490356,379.0,1333.783174379897,-0.0965607538819313,0.026270585008002553,3.6164538860321045,0.0,1180.6297391600879,236.1319580078125,89.54575008211721,379,0.2025083303451538
1000.0,380.0,4243.83091211319,0.6988745331764221,235.16390991210938,81.9105453491211,1366.7518204896094,380.0,-232.9329071044922,0.1953488439321518,725.7779213479278,380000,3.426845073699951,0.7818306684494019,158.2777862548828,0.17280565202236176,1.0,0.08281375467777252,2.478707790374756,246.30874633789062,0.7371575236320496,380.0,1334.5834781368776,-0.03554018586874008,0.026270585008002553,3.6198067665100098,0.0,1184.5066298005295,236.65960693359375,89.54173902531411,380,0.15766669809818268
1000.0,381.0,4255.216644048691,0.6989789009094238,236.47402954101562,62.32419967651367,1066.1940829632526,381.0,-234.1549835205078,0.195255845785141,726.8105234849223,381000,2.884723424911499,0.7994210124015808,158.50425720214844,0.17285190522670746,1.0,0.047709930688142776,2.4800212383270264,242.72232055664062,0.7895933389663696,381.0,1331.94704205031,0.06078314408659935,0.02788675535407124,3.056290626525879,0.0,1185.7683132920943,238.46240234375,89.53715682910371,381,0.19629421830177307
1000.0,382.0,4266.508839607239,0.6992031931877136,234.67636108398438,50.579689025878906,1410.7638722348615,382.0,-233.74365234375,0.19496288895606995,728.3410837229883,382000,3.6974639892578125,0.7181207537651062,158.73260498046875,0.17283308506011963,1.0,0.10638197511434555,2.481691360473633,248.1851043701172,0.7178930044174194,382.0,1332.3834544857152,0.15845631062984467,0.025752950698953586,4.690333843231201,0.0,1196.150767556271,236.36781311035156,89.5345619476475,382,0.23203764855861664
1000.0,383.0,4277.796463727951,0.6992201209068298,236.10830688476562,58.72517013549805,1325.691506647349,383.0,-235.9678955078125,0.195001482963562,729.0202699479051,383000,3.6759276390075684,0.7540416717529297,158.9614715576172,0.1727759838104248,1.0,0.0462476871907711,2.4813666343688965,248.12339782714844,0.7675958275794983,383.0,1332.2126259676797,0.20022743940353394,0.025752950698953586,3.497920274734497,0.0,1192.2728076288788,237.7572784423828,89.53207644344742,383,0.1849953681230545
1000.0,384.0,4289.1481828689575,0.6993999481201172,234.66539001464844,63.43034744262695,1356.6428313618767,384.0,-236.34945678710938,0.19463644921779633,730.1104238422,384000,3.9778294563293457,0.8076483011245728,159.19081115722656,0.17274382710456848,1.0,-0.04092758521437645,2.4815759658813477,246.98974609375,0.8027944564819336,384.0,1335.191243222231,0.010206903330981731,0.026798623766663403,4.055619239807129,0.0,1193.1981052813169,236.76516723632812,89.5282661330547,384,0.26507651805877686
1000.0,385.0,4300.480171442032,0.69968181848526,234.29568481445312,61.105464935302734,1342.3069964719587,385.0,-237.05397033691406,0.19423700869083405,731.4024639933693,385000,4.03622579574585,0.7710028886795044,159.41868591308594,0.1727849245071411,1.0,0.21850693225860596,2.4832682609558105,246.8437042236328,0.7478436827659607,385.0,1336.5428682813874,0.01741696335375309,0.026798623766663403,4.48476505279541,0.0,1193.5259561350001,236.23876953125,89.52488667582956,385,0.18508462607860565
1000.0,386.0,4311.898652076721,0.6999803185462952,235.27066040039062,38.99623107910156,1239.6374536450287,386.0,-236.1678924560547,0.19400858879089355,732.9973757639237,386000,4.1165571212768555,0.7996797561645508,159.64596557617188,0.17283949255943298,1.0,0.16809885203838348,2.4850924015045166,242.58169555664062,0.7862911224365234,386.0,1336.8142796669904,0.16422486305236816,0.025752950698953586,4.529477596282959,0.0,1195.5823521558943,237.37152099609375,89.51972927612584,386,0.1500927209854126
1000.0,387.0,4323.281735658646,0.7001094818115234,236.3358917236328,3.1113884449005127,1352.3791257935836,387.0,-238.03549194335938,0.1936313658952713,734.9073969544121,387000,4.070998668670654,0.7980931401252747,159.87423706054688,0.17286545038223267,1.0,0.11582612991333008,2.4862828254699707,248.53707885742188,0.7981551289558411,387.0,1336.7339690499157,0.055932749062776566,0.0252455158307554,3.98970627784729,0.0,1210.4981721365946,238.13540649414062,89.5153320238199,387,0.2124725580215454
