train/param_noise_distance,rollout/return_history,rollout/return,total/episodes,rollout/episodes,ret_rms_std,total/duration,eval/Q,reference_action_std,rollout/episode_steps,eval/return,obs_rms_mean,reference_actor_Q_mean,eval/return_history,rollout/Q_mean,eval/episodes,train/loss_actor,total/epochs,rollout/actions_mean,reference_action_mean,total/steps,reference_Q_std,reference_Q_mean,reference_actor_Q_std,total/steps_per_second,train/loss_critic,rollout/actions_std,ret_rms_mean,obs_rms_std
0.0,-365.08684756532904,-365.08684756532904,1.0,1.0,1.0,32.22208261489868,3.2494559288024902,0.8920673727989197,1000.0,-524.5257643516483,0.12056698650121689,0.8141069412231445,-524.5257643516483,-1.0123080015182495,1.0,-0.8163519501686096,1,0.45339298248291016,-0.0961655005812645,1000,1.6295254230499268,0.33641982078552246,1.585222601890564,31.03461722047802,0.01540914922952652,0.6500490307807922,0.0,1.0243662595748901
0.0,-312.69668706176384,-312.69668706176384,2.0,2.0,1.0,64.39978289604187,7.183858394622803,0.9153770804405212,1000.0,-440.2445173661952,0.07377372682094574,5.992575645446777,-482.3851408589218,1.5698307752609253,2.0,-6.552396774291992,2,0.13426850736141205,0.11098412424325943,2000,1.4625815153121948,5.166813373565674,1.4772545099258423,31.05600531648568,0.06936799734830856,0.7543274760246277,0.0,1.1272400617599487
0.0,-309.8485148055808,-309.8485148055808,3.0,3.0,1.0,96.64968919754028,19.71590805053711,0.7793672680854797,1000.0,-120.63574973043019,0.0914461761713028,16.082393646240234,-361.8020104827579,3.1977245807647705,3.0,-12.179204940795898,3,0.10020886361598969,0.3304693400859833,3000,1.6089435815811157,15.061091423034668,1.6669262647628784,31.03993427095624,0.2678482234477997,0.7429341673851013,0.0,1.3836907148361206
0.0,-259.97942091190197,-259.97942091190197,4.0,4.0,1.0,128.8226523399353,27.094362258911133,0.6807417869567871,1000.0,-148.3977621960915,0.0708165168762207,28.05609130859375,-308.4509484110913,8.490509033203125,4.0,-25.334943771362305,4,0.027168873697519302,-0.011684332974255085,4000,2.0312225818634033,26.97433090209961,2.0526154041290283,31.050439711836233,0.5350115299224854,0.7069705724716187,0.0,1.282056212425232
0.0,-233.3038947284483,-233.3038947284483,5.0,5.0,1.0,161.0311315059662,25.698802947998047,0.5966914892196655,1000.0,-399.1108918198085,0.06677280366420746,34.270912170410156,-326.58293709283475,12.51768970489502,5.0,-31.138471603393555,5,-0.010357447899878025,0.23668111860752106,5000,1.648269534111023,33.480159759521484,1.734919786453247,31.049896707797465,0.893961489200592,0.683676540851593,0.0,1.2732452154159546
0.0,-219.97985970952996,-219.97985970952996,6.0,6.0,1.0,193.19190335273743,36.24073028564453,0.6245815753936768,1000.0,41.050642059840435,0.0738615021109581,36.21941375732422,-265.31067390072224,16.221378326416016,6.0,-35.259490966796875,6,0.015667974948883057,0.09979573637247086,6000,1.4440420866012573,35.53634262084961,1.3897950649261475,31.057202169828837,0.63227778673172,0.6726143956184387,0.0,1.3625425100326538
0.0,-185.25876330384236,-185.25876330384236,7.0,7.0,1.0,225.36985230445862,47.24274826049805,0.6677305698394775,1000.0,243.88949980753023,0.07718034833669662,40.210853576660156,-192.56779194240045,19.222253799438477,7.0,-39.56120681762695,7,0.007532633375376463,-0.1496860384941101,7000,2.1108407974243164,39.3583869934082,1.8742107152938843,31.06005496486504,1.3802049160003662,0.6645734906196594,0.0,1.4488601684570312
0.0,-141.1806960518221,-141.1806960518221,8.0,8.0,1.0,257.5503661632538,49.97334289550781,0.5920541286468506,1000.0,-30.51459761271142,0.07625757157802582,44.698829650878906,-172.3111426511893,22.492143630981445,8.0,-44.35184097290039,8,-0.0009129015379585326,0.0037352542858570814,8000,2.428800344467163,43.67847442626953,2.049410581588745,31.06188556116837,1.6352583169937134,0.6582760810852051,0.0,1.5069128274917603
0.0,-112.22974783387815,-112.22974783387815,9.0,9.0,1.0,289.77321457862854,52.55888748168945,0.6294249296188354,1000.0,-227.39206407567093,0.07737075537443161,51.012367248535156,-178.43124503168727,25.454486846923828,9.0,-50.38912582397461,9,-0.001020187046378851,0.03596131131052971,9000,1.3744049072265625,50.20387649536133,1.3349465131759644,31.058771298400647,1.7025914192199707,0.6537120938301086,0.0,1.600745677947998
0.0,-78.21056544457443,-78.21056544457443,10.0,10.0,1.0,321.7962667942047,63.43629837036133,0.7056978940963745,1000.0,193.34853250347263,0.07590621709823608,60.60382080078125,-141.25326727817128,28.795743942260742,10.0,-59.53065490722656,10,0.007791274692863226,0.11629331111907959,10000,2.11912202835083,59.38479995727539,2.206146001815796,31.075562496799268,2.1510844230651855,0.6499102711677551,0.0,1.6845808029174805
