reference_Q_std,total/epochs,total/duration,rollout/episode_steps,rollout/return_history,reference_perturbed_action_std,obs_rms_mean,eval/episodes,param_noise_stddev,reference_action_std,eval/Q,reference_perturbed_action_mean,rollout/actions_std,total/steps_per_second,reference_Q_mean,reference_action_mean,eval/return,rollout/actions_mean,rollout/return,reference_actor_Q_mean,rollout/episodes,train/param_noise_distance,obs_rms_std,ret_rms_std,total/steps,train/loss_actor,ret_rms_mean,reference_actor_Q_std,eval/return_history,train/loss_critic,rollout/Q_mean,total/episodes
5.04632568359375,219,2355.7252554893494,37.3839194264254,-51.839563118921134,0.8660485148429871,0.016860662028193474,219.0,0.009521154623962158,0.8700407147407532,-12.45750617980957,0.292738139629364,0.9354959726333618,92.96500068914345,-25.076610565185547,0.2805386483669281,-18.76990104807558,-0.05108876898884773,-84.66799241602851,-23.850807189941406,5858.0,0.19785134494304657,0.5908875465393066,1.0,219000,132.80447387695312,0.0,5.109209060668945,-38.64910740929097,67.55419921875,-102.27458190917969,5858.0
5.902143478393555,220,2365.9392075538635,37.102546803845506,-22.189740325618974,0.8068142533302307,0.016906270757317543,220.0,0.009907751681525063,0.8449918031692505,-17.48322868347168,0.3588293194770813,0.9354508519172668,92.98632834588224,-24.311321258544922,0.30787450075149536,-36.854344652650624,-0.05066584795713425,-83.93662104105644,-22.92014503479004,5929.0,0.22202473878860474,0.5914002060890198,1.0,220000,131.31378173828125,0.0,6.080281734466553,-38.830487202490666,54.9924430847168,-101.8843002319336,5929.0
5.986847877502441,221,2376.200075149536,36.83780630105017,-28.833665182506202,0.864111602306366,0.0169520266354084,221.0,0.009149642450409314,0.8680617809295654,-136.06353759765625,0.10315419733524323,0.9354425668716431,93.0056363145651,-24.88405990600586,0.12398596853017807,-73.78948327936932,-0.050237029790878296,-83.28776420722374,-23.340105056762695,5999.0,0.21619677543640137,0.5918449759483337,1.0,221000,133.38157653808594,0.0,6.0677008628845215,-38.9884018584758,41.48974609375,-101.49645233154297,5999.0
6.713717460632324,222,2386.3602232933044,36.82514930325149,-44.01116628954621,0.8575167655944824,0.016947511583566666,222.0,0.008792626553888941,0.8655917644500732,-13.666766166687012,0.36459851264953613,0.9355176687240601,93.02870448185234,-25.0839900970459,0.33214616775512695,-25.98698804110068,-0.04986730217933655,-83.277165190822,-24.224998474121094,6028.0,0.23035523295402527,0.5919991135597229,1.0,222000,133.4701385498047,0.0,6.5005316734313965,-38.86704721470152,166.77178955078125,-101.67969512939453,6028.0
6.392135143280029,223,2396.4908978939056,36.6468364831553,-44.33619284153957,0.8746850490570068,0.016989337280392647,223.0,0.00896935834762211,0.8668094277381897,-14.901500701904297,0.07668742537498474,0.9354625940322876,93.05272145868688,-26.532180786132812,0.14384064078330994,-21.29076431920582,-0.04924239218235016,-82.78823971324772,-25.4235897064209,6085.0,0.2461882382631302,0.5924282670021057,1.0,223000,127.55480194091797,0.0,6.531929016113281,-38.70006132453791,42.86992645263672,-101.30461120605469,6085.0
6.448514461517334,224,2406.760362625122,36.34269024825572,-22.678134093684204,0.8757815361022949,0.016997920349240303,224.0,0.00896935834762211,0.8473086953163147,-15.492414474487305,0.06278468668460846,0.9354292750358582,93.07116881203612,-26.619388580322266,0.0946008488535881,-30.16064720238079,-0.04930278658866882,-82.03265153743875,-25.89097023010254,6163.0,0.21426686644554138,0.5928937196731567,1.0,224000,125.93734741210938,0.0,6.387848854064941,-38.84165785584799,143.23680114746094,-100.93000030517578,6163.0
7.063455104827881,225,2416.9020767211914,36.13991967871486,-26.00969785210862,0.8453234434127808,0.017010124400258064,225.0,0.00896935834762211,0.8731008768081665,-16.97391128540039,0.2814646363258362,0.9353696703910828,93.09437985391557,-26.655973434448242,0.28986451029777527,-25.75348589870842,-0.049046847969293594,-81.49459483893915,-25.239028930664062,6225.0,0.22215536236763,0.5931936502456665,1.0,225000,129.1633758544922,0.0,6.997569561004639,-38.826016614363986,59.13644027709961,-100.55634307861328,6225.0
7.425511360168457,226,2427.0901453495026,35.90942316860003,-25.89452900056076,0.8754783868789673,0.017042016610503197,226.0,0.00896935834762211,0.867037832736969,-18.720266342163086,0.03833457827568054,0.9352806210517883,93.11561848373616,-25.381019592285156,0.08075457066297531,-29.81306052004603,-0.04898328706622124,-80.89198671105106,-23.45492172241211,6293.0,0.17439471185207367,0.5935836434364319,1.0,226000,125.6224136352539,0.0,7.364445209503174,-38.88705395014688,103.86009979248047,-100.18456268310547,6293.0
7.152767658233643,227,2437.275418281555,35.70536416548686,-24.46610152774304,0.8868464827537537,0.017063545063138008,227.0,0.009149642450409314,0.8808529376983643,-19.993011474609375,-0.03003031760454178,0.9351789951324463,93.1367863875025,-25.87125587463379,0.05006546527147293,-25.661834698005812,-0.04892440885305405,-80.35487490011448,-24.216976165771484,6357.0,0.1918841004371643,0.5938881039619446,1.0,227000,127.7601089477539,0.0,7.2833452224731445,-38.90115824692866,157.10279846191406,-99.81793975830078,6357.0
7.206907749176025,228,2447.4040536880493,35.5444340505145,-29.24375302143432,0.8820152282714844,0.017096875235438347,228.0,0.008792626553888941,0.8825831413269043,-7.9696044921875,0.00019494444131851196,0.9350582957267761,93.15993395386494,-26.410083770751953,0.014368187636137009,-11.203435473275716,-0.048612080514431,-79.9138406820481,-25.361560821533203,6414.0,0.22861044108867645,0.5942069292068481,1.0,228000,127.48294067382812,0.0,7.171514987945557,-38.60941852743874,67.86346435546875,-99.474365234375,6414.0
5.687155246734619,229,2457.531064271927,35.42055495272051,-26.86304842168707,0.8893042206764221,0.017060888931155205,229.0,0.008449541294664952,0.8824599385261536,-12.68394660949707,0.008766330778598785,0.9350380897521973,93.18295232530214,-23.276121139526367,0.052900344133377075,-17.913929179792284,-0.04896790161728859,-79.58725785601789,-22.566513061523438,6451.0,0.20138151943683624,0.5945428609848022,1.0,229000,130.2349395751953,0.0,5.529809951782227,-38.62897768421587,132.01849365234375,-99.60271453857422,6451.0
