obs_rms_mean,rollout/return_history,obs_rms_std,rollout/episodes,rollout/episode_steps,total/duration,rollout/Q_mean,rollout/actions_std,train/param_noise_distance,reference_perturbed_action_std,total/steps,reference_perturbed_action_mean,total/steps_per_second,reference_Q_std,reference_actor_Q_mean,train/loss_actor,reference_actor_Q_std,ret_rms_std,eval/return_history,eval/Q,total/episodes,eval/return,ret_rms_mean,total/epochs,rollout/return,rollout/actions_mean,eval/episodes,reference_action_mean,reference_action_std,train/loss_critic,reference_Q_mean,param_noise_stddev
1.1377434730529785,149.26906068234206,6.457949161529541,33.0,29.90909090909091,15.39959716796875,9.232166290283203,0.5351982712745667,0.6082256436347961,0.6064445972442627,1000,0.17965500056743622,64.93676354599754,1.9185281991958618,20.303098678588867,-19.512798309326172,1.3934470415115356,1.0,88.71056307614809,19.95453643798828,33.0,88.71056307614809,0.0,1,149.26906068234206,0.08259963244199753,1.0,0.09149637073278427,0.48535722494125366,2.464560031890869,20.143417358398438,0.16720346283821505
1.1843173503875732,154.47395007745163,7.117702960968018,63.0,31.317460317460316,30.324385166168213,19.28182029724121,0.5661993026733398,0.5619068741798401,0.4973304271697998,2000,-0.012363114394247532,65.95352186171694,7.3661580085754395,41.49981689453125,-39.982784271240234,5.981266498565674,1.0,95.55933994485895,42.67124938964844,63.0,102.40811681356982,0.0,2,154.47395007745163,0.09430037438869476,2.0,0.0691230371594429,0.5448652505874634,3.390066146850586,40.833412170410156,0.1370306733903066
1.0848699808120728,145.65213652968566,7.183509349822998,99.0,29.848484848484848,44.874380111694336,28.894878387451172,0.5681260824203491,0.6071832180023193,0.6613348722457886,3000,0.08921631425619125,66.85329117712303,13.644461631774902,61.7293586730957,-59.488731384277344,11.553695678710938,1.0,140.37313111275216,63.88443374633789,99.0,230.0007134485386,0.0,3,145.65213652968566,0.08301378786563873,3.0,0.05511337146162987,0.6052581667900085,5.123981952667236,60.152679443359375,0.11230273064362171
1.219188928604126,162.01294651112266,7.106842041015625,124.0,32.0,59.6499388217926,39.523773193359375,0.5883738398551941,0.6019262075424194,0.6554807424545288,4000,0.2545505464076996,67.05790616064527,21.050846099853516,80.65738677978516,-79.16375732421875,18.387147903442383,1.0,188.91020332815236,88.11468505859375,124.0,334.521419974353,0.0,4,157.57854024134232,0.08825461566448212,4.0,0.18188589811325073,0.7069613933563232,6.742618560791016,78.13700866699219,0.09203708190275892
1.327103853225708,174.56729103133537,7.114424228668213,142.0,34.929577464788736,74.34151840209961,50.25396728515625,0.6055601835250854,0.5445420145988464,0.6900241374969482,5000,0.16472655534744263,67.25716810027903,28.991291046142578,100.76657104492188,-100.33706665039062,24.767322540283203,1.0,208.40944306420928,112.19171142578125,142.0,286.406402008437,0.0,5,172.7674047131481,0.10006846487522125,5.0,0.16432838141918182,0.7228494882583618,8.579712867736816,96.34126281738281,0.07542848153938683
1.4284968376159668,201.69559993147905,7.072286605834961,161.0,37.01242236024845,89.35058975219727,60.366172790527344,0.6209684014320374,0.5392459630966187,0.6909307241439819,6000,0.18527065217494965,67.15120758173228,40.51866149902344,115.37290954589844,-119.29631042480469,36.96813201904297,1.0,219.01838373640518,124.05471801757812,161.0,272.06308709738465,0.0,6,183.61356334350236,0.1150519996881485,6.0,0.17781314253807068,0.7368987202644348,8.605094909667969,111.36563873291016,0.06181699495154324
1.4750478267669678,225.72732294465376,7.0461931228637695,180.0,38.7,104.5263524055481,69.55136108398438,0.6375851035118103,0.42326971888542175,0.7698284387588501,7000,0.15622319281101227,66.96875801081192,49.56772232055664,132.0355224609375,-136.4005126953125,43.9560546875,1.0,223.94153058675008,128.12411499023438,180.0,253.48041168881952,0.0,7,192.38334239337854,0.11768405884504318,7.0,0.16627751290798187,0.7722828984260559,12.688963890075684,126.09796905517578,0.05066177638540577
1.532905101776123,255.21609118525367,6.990596771240234,196.0,40.755102040816325,119.69204664230347,79.00875091552734,0.6598063707351685,0.35787761211395264,0.8296510577201843,8000,0.09249691665172577,66.83819204719416,55.42452621459961,153.26820373535156,-154.7079620361328,47.54209899902344,1.0,234.8959430764801,167.8006591796875,196.0,311.5768305045904,0.0,8,201.6042313575837,0.11907286942005157,8.0,0.11957409977912903,0.8224454522132874,14.963671684265137,145.46624755859375,0.04151957869412388
1.5965285301208496,280.98659894861686,6.89272928237915,212.0,42.45283018867924,134.6842498779297,88.049072265625,0.6796062588691711,0.3668660521507263,0.812915027141571,9000,0.10415154695510864,66.82295820154992,57.05219268798828,174.97134399414062,-173.06321716308594,48.48586654663086,1.0,241.5680092511662,157.97128295898438,212.0,294.9445386486546,0.0,9,210.10856598322817,0.11326867341995239,9.0,0.12725260853767395,0.8273704648017883,22.01919174194336,167.06317138671875,0.034027141129503384
1.650052547454834,285.78777428703626,6.87807559967041,230.0,43.334782608695654,149.8723578453064,96.32698822021484,0.694547176361084,0.26894161105155945,0.7813161611557007,10000,0.23909485340118408,66.72344482844322,61.10249328613281,193.0223846435547,-187.43350219726562,53.68992233276367,1.0,243.92969757032134,168.73260498046875,230.0,265.1848924427176,0.0,10,215.3331646242102,0.1145925298333168,10.0,0.1941378116607666,0.7957642674446106,29.918237686157227,185.10189819335938,0.027886755354071244
