reference_action_std,train/loss_actor,total/steps_per_second,rollout/return,train/param_noise_distance,total/epochs,rollout/episode_steps,reference_perturbed_action_mean,eval/return,rollout/return_history,reference_actor_Q_mean,eval/Q,rollout/actions_mean,reference_Q_std,reference_Q_mean,total/episodes,rollout/episodes,reference_perturbed_action_std,train/loss_critic,ret_rms_std,eval/return_history,param_noise_stddev,ret_rms_mean,rollout/Q_mean,obs_rms_std,reference_actor_Q_std,rollout/actions_std,eval/episodes,obs_rms_mean,reference_action_mean,total/steps,total/duration
0.843996524810791,-9.024869918823242,28.82668262772965,-322.3340981411456,0.637380838394165,1,1000.0,0.13569098711013794,-421.2016905512487,-322.3340981411456,9.500694274902344,8.53361988067627,-0.2385888248682022,2.360349416732788,8.458839416503906,1.0,1.0,0.8006812930107117,0.08658725768327713,1.0,-421.2016905512487,0.13978498992545177,0.0,2.8572838306427,1.9260988235473633,1.9851144552230835,0.7307102084159851,1.0,0.09633857011795044,0.04378587007522583,1000,34.69008255004883
0.804701030254364,-18.51846694946289,29.086834329225148,-387.4247222806317,0.46865861117839813,2,1000.0,0.389529824256897,-456.7687325760774,-387.4247222806317,20.6116943359375,20.083892822265625,0.013947291299700737,3.7936389446258545,19.709644317626953,2.0,2.0,0.6573920249938965,0.11371248960494995,1.0,-438.98521156366303,0.09388702724900437,0.0,7.694215774536133,1.489353895187378,3.453936815261841,0.8199077248573303,2.0,0.05661604925990105,0.133191779255867,2000,68.75963115692139
0.8303411602973938,-32.20718002319336,29.251807843760563,-388.7444604888374,0.4598037153482437,3,1000.0,0.07354409992694855,-500.10960413683824,-388.7444604888374,30.8265380859375,35.076904296875,0.1344759464263916,4.331471920013428,29.957693099975586,3.0,3.0,0.8655186891555786,0.4399532675743103,1.0,-459.36000908805477,0.06305951655006926,0.0,13.836997032165527,1.526781678199768,4.055910110473633,0.8046233654022217,3.0,0.04895526543259621,0.05537210777401924,3000,102.55776381492615
0.838329553604126,-41.13056564331055,29.341133694350493,-413.97740120081426,0.29342179000377655,4,1000.0,0.13548444211483002,359.46299585642123,-413.97740120081426,38.92485046386719,44.69840621948242,0.06765487045049667,4.329351902008057,38.234153747558594,4.0,4.0,0.8442169427871704,1.0086463689804077,1.0,-254.65425785193577,0.04235412222587577,0.0,19.558490753173828,1.4310085773468018,4.185945987701416,0.8185359239578247,4.0,0.02783733233809471,-0.003775467397645116,4000,136.32738399505615
0.8083921670913696,-47.025177001953125,29.37325005298777,-324.05192440304427,0.21346182376146317,5,1000.0,-0.16105978190898895,-537.9515237365853,-324.05192440304427,44.13526153564453,49.32413101196289,-0.03926016017794609,5.356678009033203,42.914161682128906,5.0,5.0,0.8615463376045227,1.1908750534057617,1.0,-311.31371102886567,0.03019736003336582,0.0,25.112262725830078,1.6055958271026611,4.770798206329346,0.810019314289093,5.0,0.008443314582109451,-0.3227899372577667,5000,170.22290658950806
0.7891877293586731,-54.082176208496094,29.40435270515125,-360.11069090949474,0.2072923555970192,6,1000.0,-0.39190050959587097,-183.88619583679082,-360.11069090949474,53.9666748046875,54.64720153808594,-0.08870261907577515,2.6485838890075684,53.02836990356445,6.0,6.0,0.797450840473175,1.1999714374542236,1.0,-290.0757918301866,0.03269941380439557,0.0,29.037015914916992,1.4792283773422241,2.282602548599243,0.8302175402641296,6.0,-0.0025352647062391043,-0.42038723826408386,6000,204.05142259597778
0.8439432382583618,-60.20228576660156,29.42511875957726,-270.71988295025875,0.20951226353645325,7,1000.0,-0.29577428102493286,-412.2775252976825,-270.71988295025875,60.12037658691406,60.34479904174805,-0.1291555017232895,2.1452476978302,59.28311538696289,7.0,7.0,0.8246866464614868,0.7674075365066528,1.0,-307.5331823255431,0.032055106170371106,0.0,33.42002868652344,1.6223140954971313,1.8451569080352783,0.8168485164642334,7.0,-0.005473541561514139,-0.25108885765075684,7000,237.89198803901672
0.7406948804855347,-64.96945190429688,29.42835706833142,-266.38872844175506,0.2485639676451683,8,1000.0,-0.4808872640132904,-332.8357474013865,-266.38872844175506,64.80559539794922,64.8839111328125,-0.13418921828269958,2.851836919784546,63.94731903076172,8.0,8.0,0.6805316805839539,1.7829258441925049,1.0,-310.6960029600235,0.024748079434129402,0.0,36.999454498291016,1.6503969430923462,2.514543294906616,0.8182583451271057,8.0,-0.008729944005608559,-0.39971017837524414,8000,271.84664034843445
0.8007038235664368,-67.53382110595703,29.36031844407446,-281.8490098733185,0.1943199262022972,9,1000.0,-0.13853751122951508,-365.11547752538337,-281.8490098733185,66.32788848876953,67.65489959716797,-0.18012568354606628,3.869457483291626,65.87361907958984,9.0,9.0,0.8300380706787109,1.6800947189331055,1.0,-316.74261124506353,0.02575295069895359,0.0,39.71952819824219,1.6137127876281738,3.815539598464966,0.8151611685752869,9.0,-0.00278100254945457,-0.20081813633441925,9000,306.53618478775024
0.8181185722351074,-69.23171997070312,29.35778386316032,-300.7022741528174,0.22243056446313858,10,1000.0,-0.17376770079135895,-282.4537616825514,-300.7022741528174,66.22527313232422,68.54610443115234,-0.18217797577381134,5.576854705810547,65.60819244384766,10.0,10.0,0.8107270002365112,2.6692731380462646,1.0,-313.3137262888123,0.02426044449968572,0.0,42.518192291259766,1.7153382301330566,5.447098255157471,0.8129776120185852,10.0,-0.006445836275815964,-0.14445403218269348,10000,340.62516593933105
