rollout/return_history,obs_rms_mean,total/steps,total/epochs,rollout/episodes,ret_rms_std,ret_rms_mean,rollout/episode_steps,total/duration,reference_actor_Q_mean,eval/return,train/loss_critic,train/param_noise_distance,eval/return_history,train/loss_actor,rollout/Q_mean,reference_Q_mean,rollout/actions_std,eval/Q,eval/episodes,total/steps_per_second,rollout/return,total/episodes,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_std,reference_Q_std,reference_action_mean
-96.26261885881814,0.1335076093673706,15000,15,15.0,1.0,0.0,1000.0,490.51077342033386,64.81300354003906,434.54441891733666,1.6139048337936401,0.0,-47.156009059478926,-65.30844116210938,31.102935791015625,63.90324401855469,0.6711418628692627,68.24137878417969,15.0,30.58036808326335,-96.26261885881814,15.0,0.800089955329895,0.01664542965590954,1.5423132181167603,2.3050594329833984,1.6105879545211792,0.05212821438908577
-71.01734700779753,0.1362968236207962,16000,16,16.0,1.0,0.0,1000.0,523.8071043491364,70.9437484741211,762.6376349400172,3.553934335708618,0.0,3.4560936904895954,-71.80557250976562,33.61853790283203,70.15823364257812,0.6708255410194397,76.87316131591797,16.0,30.54559563463924,-71.01734700779753,16.0,0.7237637042999268,0.010489879176020622,1.5065202713012695,2.3501577377319336,1.5189037322998047,0.05885465815663338
-31.416598855622926,0.141245499253273,17000,17,17.0,1.0,0.0,1000.0,557.0530438423157,80.33543395996094,620.92680632252,3.5449652671813965,0.0,39.777900315903146,-81.03153228759766,36.38237762451172,79.18795776367188,0.673561155796051,86.04657745361328,17.0,30.517740075058576,-31.416598855622926,17.0,0.8329041004180908,0.01009670365601778,1.5982578992843628,2.3997044563293457,1.5411815643310547,-0.034942079335451126
7.412787118036224,0.14687159657478333,18000,18,18.0,1.0,0.0,1000.0,590.2893431186676,90.06481170654297,580.7350198685615,6.073148727416992,0.0,69.83107362438416,-91.25631713867188,39.420047760009766,88.79574584960938,0.6765133142471313,96.23280334472656,18.0,30.49352018605121,7.412787118036224,18.0,0.7778492569923401,0.009429150260984898,1.6501195430755615,2.4408581256866455,1.5032421350479126,-0.03870176896452904
17.042238769974446,0.14644533395767212,19000,19,19.0,1.0,0.0,1000.0,623.0781381130219,99.56651306152344,649.8442804746221,7.028515815734863,0.0,100.3580845112388,-100.83015441894531,42.507774353027344,98.36386108398438,0.6815208196640015,105.43180084228516,19.0,30.493767695880123,17.042238769974446,19.0,0.8027046918869019,0.003491672920063138,1.9324607849121094,2.462895154953003,1.7283778190612793,-0.06270173192024231
46.53036870045112,0.1499336063861847,20000,20,20.0,1.0,0.0,1000.0,656.1229574680328,109.51692199707031,677.2224826397389,4.495794296264648,0.0,129.2013044176638,-109.99554443359375,45.83474349975586,108.0294189453125,0.6823943853378296,113.59813690185547,20.0,30.482091462215642,46.53036870045112,20.0,0.73906010389328,0.0025789933279156685,1.7566807270050049,2.4951064586639404,1.6914386749267578,0.09409650415182114
61.19650143384611,0.1512378603219986,21000,21,21.0,1.0,0.0,1000.0,689.0487370491028,116.7022705078125,737.5782578790976,7.325064659118652,0.0,158.17163553487495,-117.8017349243164,49.20497512817383,115.51141357421875,0.6875178217887878,121.65257263183594,21.0,30.476799202816775,61.19650143384611,21.0,0.7271060943603516,-0.0018940650625154376,1.8669912815093994,2.517336130142212,1.7461320161819458,0.10111620277166367
87.5123330567596,0.1540234386920929,22000,22,22.0,1.0,0.0,1000.0,721.646758556366,122.68143463134766,773.6738057554481,2.582437515258789,0.0,186.14900690853736,-124.2258529663086,52.648460388183594,121.3333969116211,0.6904510259628296,129.092041015625,22.0,30.485829443771603,87.5123330567596,22.0,0.7411255240440369,-0.000982308411039412,2.153285503387451,2.5402045249938965,2.1849782466888428,0.09050234407186508
109.49030229390237,0.1565413922071457,23000,23,23.0,1.0,0.0,1000.0,754.2125933170319,128.85556030273438,626.6829378295553,9.328533172607422,0.0,205.30265607901637,-131.42176818847656,56.08662033081055,127.55308532714844,0.6898082494735718,136.11708068847656,23.0,30.495380485289765,109.49030229390237,23.0,0.7861469388008118,-0.002202201634645462,2.681436061859131,2.5652754306793213,2.6784145832061768,-0.008292357437312603
128.59992986721957,0.1592257171869278,24000,24,24.0,1.0,0.0,1000.0,786.844883441925,135.17539978027344,701.3662612072139,8.694236755371094,0.0,225.971972959358,-137.7606201171875,59.530242919921875,133.88192749023438,0.6932904124259949,141.88943481445312,24.0,30.501564546007977,128.59992986721957,24.0,0.747616171836853,-0.0017049063462764025,2.7040252685546875,2.5806777477264404,2.6455023288726807,0.026391446590423584
