reference_action_mean,rollout/episodes,rollout/Q_mean,total/steps_per_second,rollout/return,rollout/actions_std,ret_rms_std,ret_rms_mean,eval/return,eval/return_history,reference_actor_Q_mean,train/loss_critic,reference_Q_std,reference_perturbed_action_std,obs_rms_mean,train/loss_actor,total/epochs,total/episodes,total/duration,eval/episodes,reference_action_std,rollout/return_history,eval/Q,reference_perturbed_action_mean,reference_Q_mean,total/steps,rollout/actions_mean,train/param_noise_distance,param_noise_stddev,obs_rms_std,reference_actor_Q_std,rollout/episode_steps
0.22090314328670502,27.0,9.478740692138672,88.020793394747,177.55619164784977,0.6596519351005554,1.0,0.0,376.20037410028806,376.20037410028806,20.400333404541016,1.9585647583007812,2.635932445526123,0.655996561050415,1.4507617950439453,-19.953466415405273,1,27.0,11.360951900482178,1.0,0.6063021421432495,177.55619164784977,20.959074020385742,0.11797706037759781,20.22730255126953,1000,0.0939922109246254,0.6729295253753662,0.16720346283821505,6.810257911682129,2.1888256072998047,35.629629629629626
0.04565586894750595,53.0,19.313573837280273,89.98470134957185,185.3261329899592,0.6786887645721436,1.0,0.0,165.8997811627993,271.0500776315437,42.26823806762695,3.8040130138397217,7.337040901184082,0.6343392729759216,1.586277723312378,-40.98958969116211,2,53.0,22.22600030899048,2.0,0.5968807339668274,185.3261329899592,43.12747573852539,0.07059754431247711,41.482059478759766,2000,0.12254685908555984,0.7225432395935059,0.1370306733903066,6.571924209594727,5.672962188720703,37.528301886792455
0.2277269959449768,82.0,29.579551696777344,91.00851630280015,176.84287935826055,0.6756983399391174,1.0,0.0,110.85630912923321,217.65215479744018,61.86302185058594,5.289716720581055,14.61346435546875,0.5904492735862732,1.5001877546310425,-60.1186408996582,3,82.0,32.963948011398315,3.0,0.6292096972465515,176.84287935826055,61.315399169921875,0.3186194598674774,60.970176696777344,3000,0.12286132574081421,0.610999345779419,0.11230273064362171,7.025693416595459,13.633145332336426,36.58536585365854
0.14913451671600342,105.0,39.27898406982422,91.05975571766979,183.32272771557777,0.6735373735427856,1.0,0.0,232.35503675089848,221.32787528580474,79.87378692626953,6.9760589599609375,22.678546905517578,0.6292962431907654,1.570052146911621,-77.94217681884766,4,105.0,43.92719888687134,4.0,0.7038467526435852,184.88911179381742,75.84874725341797,0.37610799074172974,78.30705261230469,4000,0.16130609810352325,0.5806090831756592,0.09203708190275892,7.077747821807861,21.178457260131836,37.93333333333333
0.1591920554637909,124.0,49.09199142456055,90.8466500306465,193.88789041372476,0.6808413863182068,1.0,0.0,317.8037995389637,240.62306013643652,97.60499572753906,8.473724365234375,30.593650817871094,0.6931485533714294,1.6357346773147583,-94.48925018310547,5,124.0,55.03780269622803,5.0,0.7215533256530762,197.8303317841561,105.04740142822266,0.2279917299747467,94.95645904541016,5000,0.17613358795642853,0.5628206729888916,0.07542848153938683,6.8709001541137695,28.5192813873291,40.25
0.26064378023147583,139.0,59.21504592895508,90.72979910834113,205.11728576176833,0.6836251020431519,1.0,0.0,312.8029498628027,252.65304175749756,114.73912048339844,7.262824535369873,39.03803634643555,0.7321594953536987,1.7098793983459473,-114.27783966064453,6,139.0,66.13042306900024,6.0,0.7014983892440796,212.0669787056326,123.12419128417969,0.20076802372932434,111.88453674316406,6000,0.19781599938869476,0.4317966103553772,0.06181699495154324,6.819436550140381,37.304744720458984,42.51798561151079
0.2671763300895691,154.0,69.38216400146484,90.34167432282864,219.80314463539565,0.6831156611442566,1.0,0.0,477.0161709969899,284.7049173631393,130.8839569091797,11.365274429321289,47.820621490478516,0.7241002321243286,1.7888151407241821,-130.02655029296875,7,154.0,77.48362040519714,7.0,0.7134115099906921,239.29334270797506,147.06866455078125,0.22896996140480042,127.28378295898438,7000,0.22152353823184967,0.36136990785598755,0.05066177638540577,6.617169380187988,45.992919921875,45.33766233766234
0.23965510725975037,166.0,79.02462005615234,89.98271028912443,232.8439258580676,0.6855366826057434,1.0,0.0,505.0847723421928,312.252399235521,146.205078125,15.34941291809082,58.268943786621094,0.7230849862098694,1.8626539707183838,-146.94569396972656,8,166.0,88.90596842765808,8.0,0.7250466346740723,269.4167447360783,160.99905395507812,0.25407126545906067,141.3349609375,8000,0.243001326918602,0.37093910574913025,0.04151957869412388,6.4818549156188965,55.40496063232422,47.98795180722892
0.28708338737487793,180.0,87.44991302490234,89.96191352141878,244.0039418069537,0.6862177848815918,1.0,0.0,350.98716779421,316.5562624087087,163.1551513671875,27.819469451904297,66.94487762451172,0.6915930509567261,1.8997224569320679,-164.1741943359375,9,180.0,100.04233622550964,9.0,0.7155268788337708,296.1081384276266,178.78152465820312,0.3416960537433624,157.97561645507812,9000,0.2547641396522522,0.2965545654296875,0.034027141129503384,6.4599609375,63.74795913696289,49.99444444444445
0.21998868882656097,194.0,95.9691390991211,89.81620710979604,250.03128433901026,0.6894212365150452,1.0,0.0,431.0396966422542,328.00460583206325,178.74728393554688,24.725156784057617,75.66523742675781,0.7244507074356079,1.9394406080245972,-180.62054443359375,10,194.0,111.33848023414612,10.0,0.7209873795509338,319.19813400430803,182.3451690673828,0.20415155589580536,172.56906127929688,10000,0.26639288663864136,0.2745206952095032,0.027886755354071244,6.405159950256348,72.26746368408203,51.26288659793814
