reference_actor_Q_std,reference_perturbed_action_mean,total/steps,rollout/actions_mean,train/loss_actor,reference_actor_Q_mean,reference_Q_std,rollout/return_history,ret_rms_std,train/param_noise_distance,rollout/Q_mean,total/duration,ret_rms_mean,eval/Q,eval/episodes,rollout/episode_steps,rollout/actions_std,eval/return,obs_rms_mean,rollout/episodes,param_noise_stddev,eval/return_history,obs_rms_std,total/steps_per_second,reference_action_std,train/loss_critic,reference_Q_mean,reference_perturbed_action_std,total/episodes,rollout/return,reference_action_mean,total/epochs
14.081138610839844,-0.05544131249189377,44000,0.024740835651755333,57.18533706665039,-18.315067291259766,13.977446556091309,-357.97163678715975,1.0,0.23192419111728668,-37.47662353515625,450.4123570919037,0.0,-3.707287073135376,44.0,240.28333333333333,0.8623597621917725,-11.174852716231129,0.020053185522556305,180.0,0.019882513137642284,-640.639077411788,0.43104562163352966,97.68826122819293,0.7154725193977356,12.17618179321289,-19.464128494262695,0.7119735479354858,180.0,-465.01943626853335,0.02158299833536148,44
14.62462043762207,0.1550506353378296,45000,0.026657436043024063,59.46784210205078,-19.022567749023438,14.43176555633545,-382.7095454574578,1.0,0.197036474943161,-38.864723205566406,459.39862966537476,0.0,-1.7936099767684937,45.0,243.2032967032967,0.8637945652008057,-9.01517219402767,0.02001023478806019,182.0,0.0211056883401964,-626.6029906291711,0.4297468066215515,97.95414503691039,0.7124947309494019,20.635826110839844,-20.777294158935547,0.6958571672439575,182.0,-474.59256691730593,0.1473577320575714,45
14.643866539001465,0.20647048950195312,46000,0.026412703096866608,60.584136962890625,-18.684650421142578,14.54012393951416,-385.0495180434571,1.0,0.16526047885417938,-39.88713073730469,468.36408829689026,0.0,0.8429828882217407,46.0,235.5699481865285,0.8641865253448486,-3.7914405272593803,0.01992795057594776,193.0,0.02152991267583435,-613.0636091052165,0.4292506277561188,98.21419094548762,0.7105486392974854,17.55696678161621,-20.358551025390625,0.6999889612197876,193.0,-460.50090890297975,0.09199726581573486,46
14.151556968688965,0.09301363676786423,47000,0.024213869124650955,63.707096099853516,-18.902061462402344,14.39969539642334,-387.07447125131824,1.0,0.1890793889760971,-40.73996353149414,477.4205548763275,0.0,-16.38151741027832,47.0,230.0591133004926,0.8643856048583984,-31.85356163905476,0.019922414794564247,203.0,0.02152991267583435,-600.6974378825322,0.4290877878665924,98.44569849359549,0.7258001565933228,13.402653694152832,-20.42262077331543,0.7192848324775696,203.0,-450.4584522173981,0.0427076630294323,47
14.04306411743164,0.12526196241378784,48000,0.01732601970434189,64.82669067382812,-18.368688583374023,13.621438980102539,-408.61398273609933,1.0,0.20485013723373413,-41.909053802490234,487.3126561641693,0.0,-92.23377990722656,48.0,231.85436893203882,0.8655577301979065,-443.9997180602668,0.01976139470934868,206.0,0.0211056883401964,-597.4329020529017,0.4290582537651062,98.49939128982815,0.754326581954956,11.575346946716309,-20.434303283691406,0.7486096620559692,206.0,-454.9109588617191,0.033209264278411865,48
13.986649513244629,0.15666836500167847,49000,0.009798065759241581,64.41333770751953,-17.772884368896484,13.906805038452148,-385.25057580525396,1.0,0.2395818680524826,-42.885501861572266,496.6315860748291,0.0,-10.202316284179688,49.0,225.76958525345623,0.8658111095428467,-83.98035098962167,0.019568854942917824,217.0,0.019882513137642284,-586.9542785618144,0.43014663457870483,98.664687011303,0.7507520914077759,17.926376342773438,-19.522663116455078,0.7381470203399658,217.0,-442.8101081295467,0.11541791260242462,49
14.034279823303223,0.0644078329205513,50000,0.009994798339903355,67.9661865234375,-17.380889892578125,13.988282203674316,-406.68446913328194,1.0,0.211157888174057,-44.25581359863281,505.7273190021515,0.0,-3.0442378520965576,50.0,229.32110091743118,0.8663281798362732,-39.53786541080413,0.0194413922727108,218.0,0.019490749081111935,-576.0059502987941,0.4311539828777313,98.86750847997453,0.7396044135093689,15.517709732055664,-19.1842098236084,0.7422223091125488,218.0,-450.76122965844064,0.054662223905324936,50
13.540078163146973,0.19574300944805145,51000,0.010887008160352707,67.65787506103516,-18.051420211791992,13.588604927062988,-389.25895932997764,1.0,0.1914949268102646,-43.9682731628418,514.5973505973816,0.0,0.5759319067001343,51.0,219.33333333333334,0.8637929558753967,-2.747535605733502,0.019385719671845436,231.0,0.019106704324195603,-564.7655892263812,0.4326133728027344,99.10661207407216,0.7185273766517639,14.314727783203125,-19.62841796875,0.7118645906448364,231.0,-426.52762416763267,0.15952186286449432,51
12.623268127441406,0.2502557337284088,52000,0.012423458509147167,67.41600036621094,-16.429885864257812,12.62572193145752,-409.14670092063693,1.0,0.2225237786769867,-44.78395080566406,524.4986569881439,0.0,-98.82942199707031,52.0,218.15546218487395,0.8631956577301025,-445.8047489381644,0.019388603046536446,238.0,0.019882513137642284,-562.4778807593001,0.43384993076324463,99.14229389757129,0.7582005262374878,21.867311477661133,-18.245342254638672,0.7372828125953674,238.0,-422.8298907943178,0.18984977900981903,52
12.684784889221191,0.07289497554302216,53000,0.011521713808178902,68.40800476074219,-14.839402198791504,12.212668418884277,-392.57270373211134,1.0,0.18998894095420837,-45.53537368774414,533.4886269569397,0.0,-4.405189037322998,53.0,211.62753036437246,0.863222062587738,-26.167713037586168,0.01928895153105259,247.0,0.018361167303396805,-552.3588209909658,0.43515151739120483,99.34607285316669,0.7623488903045654,18.057353973388672,-16.861034393310547,0.736946702003479,247.0,-408.5006848269212,0.05584293603897095,53
12.504596710205078,0.1042947769165039,54000,0.012330020777881145,70.47453308105469,-14.630556106567383,12.351475715637207,-371.2399217927364,1.0,0.21528825163841248,-45.54487991333008,542.5838787555695,0.0,-13.507999420166016,54.0,213.84462151394422,0.8618370294570923,-62.13976089003813,0.019127175211906433,251.0,0.019106704324195603,-543.2806902483561,0.43722760677337646,99.52378261560303,0.7485097050666809,28.169599533081055,-16.228378295898438,0.7581282258033752,251.0,-412.7333323723215,0.11989389359951019,54
10.909211158752441,0.06934851408004761,55000,0.015023965388536453,71.6133041381836,-14.045476913452148,11.01220417022705,-372.2879602883806,1.0,0.1743173599243164,-46.16219711303711,552.6110668182373,0.0,-8.72693920135498,55.0,214.82421875,0.8613855838775635,-310.01250050062873,0.01895584538578987,256.0,0.019490749081111935,-539.0394504347611,0.4387493431568146,99.52750370468131,0.8220634460449219,17.518848419189453,-15.800460815429688,0.7874638438224792,256.0,-413.36386995270277,-0.026964634656906128,55
