eval/return,reference_perturbed_action_std,reference_actor_Q_std,total/episodes,total/steps_per_second,reference_Q_std,obs_rms_std,total/epochs,train/loss_critic,reference_action_std,eval/Q,eval/return_history,rollout/return,reference_actor_Q_mean,ret_rms_mean,train/param_noise_distance,rollout/actions_mean,total/steps,reference_Q_mean,rollout/return_history,train/loss_actor,reference_perturbed_action_mean,rollout/episodes,rollout/actions_std,total/duration,ret_rms_std,rollout/Q_mean,rollout/episode_steps,param_noise_stddev,reference_action_mean,eval/episodes,obs_rms_mean
72.51923834901646,0.8254391551017761,23.742355346679688,49.0,25.192954191597114,25.469982147216797,9.24020004272461,1,2.4793360233306885,0.8051331639289856,72.0020523071289,72.51923834901646,93.54090042114137,69.88917541503906,0.0,0.7744901180267334,-0.058432359248399734,1000,66.6015625,93.54090042114137,-67.41020202636719,-0.15168771147727966,49.0,0.796708881855011,39.69363784790039,1.0,32.900882720947266,20.0,0.13978498992545177,0.006627453491091728,1.0,0.4958610534667969
253.05721859218903,0.8397201299667358,60.670623779296875,76.0,25.191144677543477,63.71827697753906,8.939464569091797,2,3.877140760421753,0.834819495677948,146.37367248535156,162.78822847060275,119.63217490850253,130.18450927734375,0.0,0.738992303609848,-0.021917013451457024,2000,121.59416198730469,119.63217490850253,-135.68797302246094,-0.03462740778923035,76.0,0.8089868426322937,79.39297819137573,1.0,70.03692626953125,24.986842105263158,0.09388702724900437,0.017406845465302467,2.0,0.9348561763763428
178.5561408816777,0.8295813798904419,102.55697631835938,99.0,25.183828624230664,105.21646118164062,8.601522445678711,3,17.535001754760742,0.8245725631713867,209.19937133789062,168.0441992742944,144.70607606072622,191.20175170898438,0.0,0.624597817659378,0.03303465247154236,3000,178.94525146484375,144.70607606072622,-197.0215301513672,0.037332478910684586,99.0,0.8229847550392151,119.12406349182129,1.0,103.8654556274414,29.87878787878788,0.06305951655006926,0.08334916830062866,3.0,1.240930438041687
281.4149007112792,0.8443604707717896,144.47369384765625,117.0,25.14249196859308,144.20558166503906,8.46516227722168,4,31.069252014160156,0.8399655222892761,220.96392822265625,196.3868746335406,165.12871729758555,247.427490234375,0.0,0.5257135927677155,0.07892311364412308,4000,231.11270141601562,177.43889255921474,-254.91787719726562,0.12097117304801941,117.0,0.8289931416511536,159.09321975708008,1.0,131.9629669189453,34.07692307692308,0.04235412222587577,0.09763074666261673,4.0,1.4203755855560303
343.1745428309096,0.8772070407867432,177.6900177001953,134.0,25.158841495639592,177.6849822998047,8.507262229919434,5,63.321285247802734,0.8860280513763428,353.3531799316406,225.74440827301441,180.57727882503218,291.53961181640625,0.0,0.3322521150112152,0.09762506932020187,5000,263.0250244140625,211.55217224786108,-303.0290222167969,0.049761027097702026,134.0,0.8347088098526001,198.7372908592224,1.0,160.75634765625,37.11940298507463,0.028447279136688076,0.03916388377547264,5.0,1.5072641372680664
318.33477291674797,0.8659957647323608,230.80532836914062,151.0,25.144171649755588,229.4360809326172,8.437175750732422,6,105.27409362792969,0.8682018518447876,383.5414123535156,241.17613571363668,191.4442184344985,334.8688659667969,0.0,0.24835091829299927,0.11471056193113327,6000,303.78363037109375,240.77415157832885,-347.0662536621094,0.11733350902795792,151.0,0.8407933712005615,238.62388801574707,1.0,188.85093688964844,39.35099337748344,0.019106704324195603,0.12742838263511658,6.0,1.549419641494751
264.6979435255587,0.8662410378456116,263.1387634277344,169.0,25.131523814157077,258.8418273925781,8.468538284301758,7,189.97625732421875,0.8703339099884033,395.7661437988281,244.5363939724827,200.57325720094613,382.1279296875,0.0,0.19089697301387787,0.1204754114151001,7000,347.835205078125,263.51964844120164,-382.86053466796875,0.11768478155136108,169.0,0.8450190424919128,278.53464245796204,1.0,213.0135955810547,41.349112426035504,0.015350253774398782,0.13365770876407623,7.0,1.5860565900802612
255.62037539293866,0.8394055366516113,307.02838134765625,186.0,25.152015021848694,293.08538818359375,8.387543678283691,8,322.9811706542969,0.844104528427124,436.6941223144531,245.9218916500397,208.14339984211588,417.3173828125,0.0,0.1908349245786667,0.13646596670150757,8000,375.7030029296875,272.55802763084864,-418.6641845703125,0.2739097476005554,186.0,0.8437294960021973,318.06596779823303,1.0,235.9817352294922,42.973118279569896,0.014175701821503062,0.26794010400772095,8.0,1.621725082397461
350.0045380366001,0.8366788029670715,359.68304443359375,201.0,25.13340550934773,330.83349609375,8.2988920211792,9,666.7636108398438,0.8395155072212219,352.0513610839844,257.48663013743527,215.72615498169546,443.39471435546875,0.0,0.19902201741933823,0.15733098983764648,9000,383.0830078125,285.61996726631537,-458.967529296875,0.30676954984664917,201.0,0.8432937860488892,358.08915734291077,1.0,262.7516174316406,44.666666666666664,0.014460633428115275,0.29822516441345215,9.0,1.668994665145874
250.60682058857645,0.864382266998291,394.3321228027344,219.0,25.1022675687427,361.1738586425781,8.425464630126953,10,1015.1151733398438,0.8672413229942322,498.66925048828125,256.7986491825494,219.76135926694838,470.4901428222656,0.0,0.1804073080420494,0.16887366771697998,10000,412.79107666015625,282.74956355885524,-488.4400329589844,0.23347173631191254,219.0,0.8442481756210327,398.3703851699829,1.0,284.9367370605469,45.63013698630137,0.015350253774398782,0.19364723563194275,10.0,1.7096158266067505
391.7007639470295,0.8911004066467285,428.8146667480469,234.0,25.085101361586062,391.9141540527344,8.648430824279785,11,1458.50390625,0.903418779373169,506.0331726074219,269.06247779750214,224.39655896603037,471.767333984375,0.0,0.19662638753652573,0.17540714144706726,11000,407.8612365722656,283.114394354968,-536.844482421875,0.12924087047576904,234.0,0.8453012108802795,438.50729727745056,1.0,308.6982421875,46.79059829059829,0.016294603698363365,0.09087450057268143,11.0,1.721677541732788
340.7794740119631,0.8797604441642761,478.0513000488281,249.0,25.07916155282118,428.88299560546875,8.617674827575684,12,2190.3486328125,0.8883552551269531,741.5346069335938,275.0388941487072,230.5516761798612,538.7813720703125,0.0,0.19123674184083939,0.17520050704479218,12000,460.99298095703125,291.3414215690089,-578.5694580078125,0.1948844939470291,249.0,0.8481020331382751,478.48489570617676,1.0,333.3962097167969,48.13253012048193,0.0156587938752642,0.1325637847185135,12.0,1.740435004234314
258.7581616739796,0.8868897557258606,519.0241088867188,262.0,25.081438180370316,452.7215576171875,8.619699478149414,13,3189.458740234375,0.8901997208595276,585.9513549804688,273.78653011218967,236.4116121799681,524.9491577148438,0.0,0.2165326178073883,0.17589296400547028,13000,434.7033996582031,299.5589971325247,-612.5665283203125,0.11828680336475372,262.0,0.851749062538147,518.3115859031677,1.0,347.00408935546875,49.43511450381679,0.015973535632157008,0.13385988771915436,13.0,1.7559492588043213
173.99438137498402,0.8651449680328369,558.8880004882812,281.0,25.101199091107667,485.60308837890625,8.660260200500488,14,4046.36376953125,0.8688772320747375,723.1590576171875,266.65851948810354,237.7971464993902,559.2587890625,0.0,0.1983044147491455,0.17616845667362213,14000,462.4664306640625,294.40981274036096,-637.07763671875,0.2523248791694641,281.0,0.8532863855361938,557.7422795295715,1.0,374.370361328125,49.80782918149466,0.014751292160020392,0.24231646955013275,14.0,1.7664905786514282
418.1948149840197,0.8963414430618286,582.4907836914062,293.0,25.09515796248577,502.2690734863281,8.601807594299316,15,4605.50048828125,0.9005975127220154,939.0388793945312,276.7609391878313,243.21285267252293,552.024169921875,0.0,0.1933257132768631,0.18162024021148682,15000,463.829345703125,302.47328427835555,-699.5127563476562,0.1833827942609787,293.0,0.853227436542511,597.7248687744141,1.0,401.5765380859375,50.955631399317404,0.0156587938752642,0.15773600339889526,15.0,1.7983275651931763
357.16234295786427,0.8662402629852295,629.7940673828125,307.0,25.09815107407901,531.441162109375,8.508255004882812,16,5371.48388671875,0.8354142904281616,962.3642578125,281.7860269234584,246.72946339844967,600.1592407226562,0.0,0.21021534502506256,0.18257096409797668,16000,493.268310546875,308.44301631398355,-756.6004638671875,0.31475719809532166,307.0,0.8546953797340393,637.4971587657928,1.0,430.7677307128906,51.83061889250814,0.01662212523270047,0.3827325403690338,16.0,1.8096152544021606
301.1866773854628,0.8530367016792297,673.810302734375,322.0,25.10498773005638,571.1947021484375,8.45654010772705,17,6304.89892578125,0.8662499785423279,1083.68896484375,282.9272416565175,251.15198553428934,740.6385498046875,0.0,0.21455799043178558,0.1903264820575714,17000,622.4929809570312,317.33451161263315,-850.14697265625,0.35226428508758545,322.0,0.8542124629020691,677.1562759876251,1.0,456.5823974609375,52.732919254658384,0.015973535632157008,0.33371394872665405,17.0,1.8360637426376343
151.94094566980837,0.8717769384384155,767.0606079101562,334.0,25.109350910398337,659.2817993164062,8.438736915588379,18,9216.1142578125,0.8532024025917053,1538.5400390625,275.6502252128114,255.84565406401563,751.2890014648438,0.0,0.20215530693531036,0.1953783482313156,18000,634.887451171875,329.43653659330107,-931.501220703125,0.302359014749527,334.0,0.8537898659706116,716.8644089698792,1.0,494.5076599121094,53.796407185628745,0.015973535632157008,0.3463529646396637,18.0,1.851080060005188
323.77445189297634,0.8742844462394714,875.3185424804688,350.0,25.113162607373173,746.7705078125,8.396045684814453,19,10564.5771484375,0.8796254992485046,901.588623046875,278.1830792486096,257.60403508830655,769.23974609375,0.0,0.20813297480344772,0.20157133042812347,19000,635.2485961914062,324.13041002895756,-1001.6875,0.26455968618392944,350.0,0.8534955382347107,756.5753583908081,1.0,535.3982543945312,54.26,0.01695622994987775,0.25547730922698975,19.0,1.8639562129974365
343.92535734488416,0.8921606540679932,943.0193481445312,366.0,25.105388210688776,820.1218872070312,8.369534492492676,20,12476.1611328125,0.8892982602119446,1092.853271484375,281.47019315342334,258.74182861694936,875.3416748046875,0.0,0.21401887387037277,0.2056405395269394,20000,739.95166015625,317.007499467679,-1075.576904296875,0.23444856703281403,366.0,0.8545275926589966,796.64173412323,1.0,559.2068481445312,54.64207650273224,0.017999379770019416,0.21716612577438354,20.0,1.8705655336380005
185.18686704811134,0.8991971611976624,984.0823974609375,380.0,25.10894581700833,817.9349365234375,8.361485481262207,21,15309.09765625,0.9074710011482239,1401.7467041015625,276.8852728626942,259.89363159115385,962.0409545898438,0.0,0.19374939054250717,0.20573963224887848,21000,786.5762939453125,321.5566717690163,-1184.1312255859375,0.22041213512420654,380.0,0.8555886149406433,836.3553035259247,1.0,591.3726806640625,55.078947368421055,0.017644720880324885,0.17307399213314056,21.0,1.8681514263153076
341.30715355663693,0.85514897108078,1006.1629028320312,395.0,25.108694771135042,857.4229736328125,8.335926055908203,22,16489.07421875,0.8695968389511108,1096.0579833984375,279.8135401669643,261.2101781011386,952.3351440429688,0.0,0.20166204124689102,0.20922760665416718,22000,800.9757080078125,312.45326052220685,-1236.69287109375,0.3443537652492523,395.0,0.8555080890655518,876.1905069351196,1.0,631.3261108398438,55.59746835443038,0.01662212523270047,0.2940349280834198,22.0,1.8717950582504272
345.38600499641564,0.864244818687439,1043.5595703125,410.0,25.114422172372585,888.9629516601562,8.332101821899414,23,22722.732421875,0.8649789094924927,1487.2371826171875,282.6645168986796,262.9349785467554,998.4140014648438,0.0,0.1861381232738495,0.21213912963867188,23000,844.1182861328125,310.6465413094574,-1313.0882568359375,0.3184288740158081,410.0,0.8555975556373596,915.8084483146667,1.0,655.7092895507812,56.01951219512195,0.017999379770019416,0.31107163429260254,23.0,1.8796948194503784
235.9332183130786,0.8834419846534729,1089.68115234375,426.0,25.12285185807309,923.9550170898438,8.337858200073242,24,24378.921875,0.8954669833183289,1736.15380859375,280.7173794576128,263.6438053639094,1024.9893798828125,0.0,0.18538060784339905,0.21466995775699615,24000,872.5894165039062,299.43329198859783,-1361.7880859375,0.2988359332084656,426.0,0.8556706309318542,955.3055574893951,1.0,694.853271484375,56.20657276995305,0.018361167303396805,0.2769051194190979,24.0,1.883007287979126
167.23626192779383,0.8770164251327515,1119.0611572265625,440.0,25.12719220036173,934.3993530273438,8.30701732635498,25,26171.4140625,0.878953218460083,1922.2110595703125,276.1781347564201,264.8198548780047,1028.2098388671875,0.0,0.20567939430475235,0.21556340157985687,25000,875.4853515625,293.2306325352059,-1378.399169921875,0.31217309832572937,440.0,0.856132447719574,994.9380655288696,1.0,724.5059204101562,56.52045454545455,0.01662212523270047,0.2868363857269287,25.0,1.88931405544281
467.723067884971,0.8882636427879333,1128.755615234375,453.0,25.122682334650214,899.7642822265625,8.357848167419434,26,31453.216796875,0.8844308853149414,1567.50390625,283.54524756905664,268.2081453597673,996.0753173828125,0.0,0.19644054770469666,0.21478323638439178,26000,842.6290893554688,305.39599931230185,-1439.8701171875,0.2316666841506958,453.0,0.8565787076950073,1034.9213373661041,1.0,756.9950561523438,57.31346578366446,0.018361167303396805,0.24037832021713257,26.0,1.8901841640472412
361.4568416566253,0.8903308510780334,1173.63232421875,469.0,25.124566970910017,927.7485961914062,8.34870719909668,27,35627.80859375,0.8855648040771484,1449.7503662109375,286.4308621648925,269.1643535358707,1049.025146484375,0.0,0.21420737355947495,0.21766673028469086,27000,856.7818603515625,305.26319331504453,-1484.6773681640625,0.26132795214653015,469.0,0.8561285138130188,1074.645387172699,1.0,788.44482421875,57.55863539445629,0.01695622994987775,0.2564280927181244,27.0,1.8937795162200928
349.5172929099194,0.886614978313446,1237.919921875,482.0,25.125148403719518,955.4141235351562,8.34363079071045,28,39223.30859375,0.8817283511161804,1882.2786865234375,288.6839489772149,271.4829842631384,1151.1048583984375,0.0,0.20850974321365356,0.22089771926403046,28000,939.1383056640625,314.8318281922641,-1583.9547119140625,0.260615736246109,482.0,0.8561211824417114,1114.4212782382965,1.0,819.40869140625,58.03941908713693,0.017644720880324885,0.2805681824684143,28.0,1.9043461084365845
405.141361017199,0.8572889566421509,1356.4632568359375,496.0,25.118807933614196,1053.35498046875,8.340924263000488,29,44938.75,0.8493865728378296,2709.0791015625,292.69972180617987,273.2353206680691,1119.9329833984375,0.0,0.1931542158126831,0.22228339314460754,29000,899.4788208007812,318.93930762230497,-1595.7216796875,0.3276360034942627,496.0,0.8562625646591187,1154.5133860111237,1.0,865.101806640625,58.42540322580645,0.01662212523270047,0.34880638122558594,29.0,1.9116604328155518
