ret_rms_std,reference_perturbed_action_mean,rollout/return,obs_rms_mean,total/steps_per_second,train/param_noise_distance,total/episodes,train/loss_actor,rollout/return_history,eval/episodes,reference_action_std,total/steps,rollout/episodes,obs_rms_std,reference_actor_Q_std,eval/return,total/epochs,param_noise_stddev,reference_perturbed_action_std,eval/Q,rollout/actions_mean,eval/return_history,ret_rms_mean,rollout/actions_std,total/duration,rollout/episode_steps,train/loss_critic,reference_actor_Q_mean,rollout/Q_mean,reference_Q_std,reference_Q_mean,reference_action_mean
1.0,0.783283531665802,16.031606205895336,-0.2596147954463959,103.76486260835765,0.9104623198509216,16.0,-1.9201465845108032,16.031606205895336,1.0,0.01576138474047184,1000,16.0,1.6523386240005493,3.9828593730926514,79.06109251900345,1,0.17056425244126316,0.27548882365226746,1.736380934715271,0.5182350873947144,79.06109251900345,0.0,0.5543562173843384,9.637173652648926,58.375,0.20675897598266602,1.5336425304412842,1.0281822681427002,4.3195672035217285,1.0199371576309204,0.9546896815299988
1.0,0.8333721160888672,40.42030595250263,-0.09314541518688202,105.09185104963778,0.3204321265220642,23.0,-6.374598979949951,40.42030595250263,2.0,0.27169039845466614,2000,23.0,1.3039045333862305,7.283898830413818,326.29668909067607,2,0.15440959267203633,0.3024779260158539,14.795049667358398,0.6859230399131775,202.67889080483977,0.0,0.4577404260635376,19.03097128868103,85.56521739130434,0.42911991477012634,5.572780609130859,2.430696725845337,7.503369331359863,4.926872730255127,0.9098594188690186
1.0,0.9132470488548279,62.86107019057264,-0.01949470303952694,105.88020424764933,0.2658025324344635,27.0,-10.71051025390625,62.86107019057264,3.0,0.1851658672094345,3000,27.0,1.1110572814941406,10.488971710205078,224.84150027356577,3,0.1316837837193291,0.1323607712984085,13.28537368774414,0.7382912039756775,210.0664272944151,0.0,0.4172216057777405,28.333908319473267,109.48148148148148,0.3331679105758667,9.022161483764648,4.9167351722717285,10.60058307647705,8.395833969116211,0.955102264881134
1.0,0.9888376593589783,72.99161918305805,0.01126062124967575,106.61170842532582,0.20105311274528503,31.0,-14.468072891235352,72.99161918305805,4.0,0.14967532455921173,4000,31.0,0.9908921718597412,14.544761657714844,79.59635027133308,4,0.11230273064362171,0.01819969154894352,8.298200607299805,0.7750930786132812,177.4489080386446,0.0,0.3893936276435852,37.519331216812134,128.38709677419354,0.35140782594680786,12.521121978759766,6.278303623199463,14.55750846862793,11.930997848510742,0.9557566046714783
1.0,0.9141127467155457,73.42266140969132,0.026150010526180267,106.74891319463462,0.3057989776134491,36.0,-17.399797439575195,73.42266140969132,5.0,0.23385225236415863,5000,36.0,0.9137284755706787,18.448579788208008,215.4344830428359,5,0.10166619702807067,0.15792499482631683,24.93769645690918,0.8043301701545715,185.04602303948286,0.0,0.36215412616729736,46.838884353637695,136.80555555555554,0.44582560658454895,16.31938934326172,7.080445289611816,18.505741119384766,15.615822792053223,0.92010897397995
1.0,0.849530041217804,83.30437535879165,0.043995536863803864,107.07303022283565,0.34479016065597534,40.0,-21.03180503845215,83.30437535879165,6.0,0.38489195704460144,6000,40.0,0.8577748537063599,21.7972354888916,67.44328330376464,6,0.08670309447319521,0.3754763901233673,12.77822494506836,0.8207080364227295,165.44556641686316,0.0,0.3439919352531433,56.03652000427246,145.75,0.4539889395236969,19.592159271240234,9.7952880859375,21.97113037109375,18.642688751220703,0.8562517166137695
1.0,0.5893738269805908,87.08160943230504,0.05168407782912254,107.33344053957309,0.5135210752487183,46.0,-25.6560001373291,87.08160943230504,7.0,0.6171213388442993,7000,46.0,0.8416624665260315,24.330127716064453,305.7735760762155,7,0.0724852881735357,0.5977569818496704,55.859275817871094,0.8151997923851013,185.4924249396278,0.0,0.3492090404033661,65.2173261642456,151.6086956521739,0.6600505113601685,23.592784881591797,11.63590145111084,24.714298248291016,22.22252655029297,0.6077776551246643
1.0,0.650872528553009,101.77343518172688,0.07051872462034225,107.0347213530898,0.2512802481651306,51.0,-28.507253646850586,101.77343518172688,8.0,0.7035024166107178,8000,51.0,0.8502934575080872,25.577184677124023,352.1873633177437,8,0.05940491710342653,0.5390536785125732,51.554649353027344,0.796541690826416,206.3292922368923,0.0,0.36607372760772705,74.74210143089294,153.86274509803923,0.8959689140319824,25.188648223876953,16.360877990722656,25.94277000427246,24.1962890625,0.5038743019104004
1.0,0.6307905316352844,110.19921087119866,0.06667208671569824,107.1540527339072,0.23588156700134277,57.0,-32.71223449707031,110.19921087119866,9.0,0.7212104201316833,9000,57.0,0.8677967190742493,27.718839645385742,300.9420493629578,9,0.04966353924655011,0.6370174884796143,63.89058303833008,0.7781646847724915,216.8418208064551,0.0,0.38994526863098145,83.99122357368469,156.87719298245614,1.237553358078003,26.631671905517578,18.727365493774414,28.093502044677734,25.72496795654297,0.48299574851989746
1.0,0.5441901087760925,103.63867250017185,0.05769289284944534,107.54119535615496,0.23108209669589996,66.0,-36.16623306274414,103.63867250017185,10.0,0.7374078631401062,10000,66.0,0.8765931129455566,30.726314544677734,269.65537810435467,10,0.04407386942827646,0.7094097137451172,73.58155059814453,0.7581620216369629,222.12317653624504,0.0,0.4239615797996521,92.9876217842102,151.33333333333334,1.4346528053283691,29.072174072265625,20.65850067138672,30.840124130249023,28.014781951904297,0.48494648933410645
