eval/Q,eval/return_history,obs_rms_mean,rollout/return,reference_action_mean,reference_Q_mean,total/epochs,rollout/actions_mean,reference_actor_Q_mean,train/param_noise_distance,total/steps,param_noise_stddev,rollout/episodes,train/loss_actor,eval/return,eval/episodes,ret_rms_std,obs_rms_std,reference_Q_std,rollout/return_history,total/steps_per_second,ret_rms_mean,train/loss_critic,rollout/episode_steps,rollout/Q_mean,total/episodes,reference_actor_Q_std,total/duration,reference_perturbed_action_std,reference_action_std,reference_perturbed_action_mean,rollout/actions_std
20.07929801940918,115.02141004926787,0.6054221391677856,105.22940355600711,-0.06455282866954803,18.493186950683594,1,0.02897125855088234,18.889354705810547,0.5519284605979919,1000,0.16720346283821505,46.0,-18.741804122924805,115.02141004926787,1.0,1.0,7.021523475646973,4.098561763763428,105.22940355600711,76.61358172308518,0.0,2.124863386154175,21.67391304347826,9.114412307739258,46.0,3.4564595222473145,13.052515983581543,0.6440662741661072,0.4391031265258789,0.09660527110099792,0.5329120755195618
37.6891975402832,222.87121012674925,0.6343092918395996,109.04995360283661,0.08065217733383179,36.06485366821289,2,0.045921407639980316,37.118324279785156,0.5984039902687073,2000,0.1370306733903066,89.0,-37.320533752441406,330.72101020423065,2.0,1.0,6.799450397491455,11.436140060424805,109.04995360283661,77.82316153903352,0.0,2.234238386154175,22.44943820224719,18.112215042114258,89.0,10.049985885620117,25.69929003715515,0.5219343304634094,0.5523812174797058,-0.02560516819357872,0.5628883838653564
56.559814453125,188.83550982326952,0.604809045791626,105.40497533469082,0.004552175756543875,50.870079040527344,3,0.03630540519952774,52.69078063964844,0.6267908215522766,3000,0.11230273064362171,137.0,-52.718101501464844,120.76410921631005,3.0,1.0,7.068375587463379,20.618288040161133,103.48874545081989,79.4091348545545,0.0,4.559502124786377,21.868613138686133,26.57181167602539,137.0,18.985885620117188,37.77902889251709,0.6011629700660706,0.6277461051940918,-0.09366370737552643,0.5734228491783142
76.27906036376953,200.22918314445346,0.7732683420181274,113.71138547598227,0.058440253138542175,65.63922119140625,4,0.03876657038927078,68.06578826904297,0.646368682384491,4000,0.09203708190275892,166.0,-68.4236068725586,234.41020310800522,4.0,1.0,7.146660327911377,28.554431915283203,113.60305456259518,79.32609367499074,0.0,6.75319766998291,23.512048192771083,35.9765739440918,166.0,27.077129364013672,50.42476963996887,0.6662707328796387,0.7033950686454773,0.07429640740156174,0.5938956141471863
100.86930847167969,216.2003355481184,0.9724560379981995,131.49194378026718,0.15403512120246887,79.18609619140625,5,0.05365394055843353,82.48977661132812,0.4856812357902527,5000,0.07542848153938683,185.0,-86.5097427368164,280.0849451627781,5.0,1.0,7.197772026062012,38.57304000854492,149.2875161008806,79.54749412337593,0.0,7.3603034019470215,26.983783783783785,45.55396270751953,185.0,37.275238037109375,62.855531215667725,0.6882225275039673,0.7287570834159851,0.054051537066698074,0.6073802709579468
120.27428436279297,214.26430041773324,1.1373851299285889,145.26863982853519,0.166825070977211,95.88566589355469,6,0.07845190912485123,101.86515808105469,0.404589980840683,6000,0.06181699495154324,202.0,-107.50012969970703,204.58412476580745,6.0,1.0,7.1812028884887695,45.6711311340332,181.51172070552,79.7220369705153,0.0,9.822857856750488,29.603960396039604,55.71195983886719,202.0,42.72593307495117,75.26149892807007,0.7387515306472778,0.7551172375679016,0.13710077106952667,0.6220223307609558
121.6131362915039,246.31201214148837,1.2622321844100952,156.17050894632249,0.24568398296833038,112.27618408203125,7,0.0897175595164299,118.16696166992188,0.38183653354644775,7000,0.05066177638540577,218.0,-126.31716918945312,438.5982824840192,7.0,1.0,7.081953525543213,53.569705963134766,213.26478184425642,79.63538630809656,0.0,16.434083938598633,31.926605504587155,63.66548538208008,218.0,50.61314392089844,87.90062212944031,0.7543104887008667,0.7430802583694458,0.21625137329101562,0.6375905871391296
159.01536560058594,260.71682182829795,1.349013328552246,165.8554193916811,0.12646763026714325,123.2176513671875,8,0.10205280035734177,129.36444091796875,0.3539421558380127,8000,0.04151957869412388,236.0,-140.63417053222656,361.55048963596516,8.0,1.0,7.186729907989502,65.17784881591797,247.76900386659534,79.62972828678348,0.0,17.44141960144043,33.83474576271186,72.14849853515625,236.0,62.728214263916016,100.46499180793762,0.763762354850769,0.7533382177352905,0.05559824779629707,0.6505947113037109
160.6372528076172,262.4493180108838,1.4053013324737549,174.0627985205695,0.18879806995391846,132.1026611328125,9,0.10750437527894974,139.30703735351562,0.30570608377456665,9000,0.034027141129503384,253.0,-154.17869567871094,276.3092874715707,9.0,1.0,7.276847839355469,74.81227111816406,278.5491460805947,79.60812494105242,0.0,21.168657302856445,35.41106719367589,81.12960052490234,253.0,73.01441192626953,113.05378699302673,0.7407501935958862,0.7487812638282776,0.17444024980068207,0.6604999303817749
178.43621826171875,270.4349409391766,1.4825245141983032,183.06581728059226,0.15598978102207184,143.13287353515625,10,0.12901592254638672,151.97265625,0.2545637786388397,10000,0.027886755354071244,269.0,-168.203125,342.3055472938116,10.0,1.0,7.155609130859375,83.98287200927734,292.77359501372825,79.51563375531,0.0,25.460031509399414,37.141263940520446,90.59597778320312,269.0,82.56289672851562,125.7614324092865,0.7582533955574036,0.7502285838127136,0.13238492608070374,0.6620721220970154
