eval/return,obs_rms_mean,rollout/return_history,eval/episodes,reference_Q_std,obs_rms_std,rollout/actions_std,reference_perturbed_action_mean,rollout/actions_mean,eval/return_history,reference_actor_Q_mean,param_noise_stddev,reference_actor_Q_std,ret_rms_std,rollout/episode_steps,train/loss_actor,reference_Q_mean,reference_action_std,total/steps_per_second,total/episodes,total/steps,ret_rms_mean,reference_perturbed_action_std,reference_action_mean,total/epochs,eval/Q,total/duration,train/loss_critic,rollout/return,rollout/episodes,train/param_noise_distance,rollout/Q_mean
-617.325280053464,0.032750580459833145,-339.4174709987775,1.0,1.885114312171936,0.3463347554206848,0.4532369077205658,-0.3983573615550995,0.30431920289993286,-617.325280053464,1.239107608795166,0.16720346283821505,1.7019119262695312,1.0,1000.0,-1.2491793632507324,0.569343626499176,0.6534777879714966,61.80181917282065,1.0,1000,0.0,0.34562253952026367,0.026463836431503296,1,3.0087363719940186,16.180753469467163,0.16356787085533142,-339.4174709987775,1.0,0.49700960516929626,0.2522895634174347
-996.5558197136515,0.01753740757703781,-179.9013815664669,2.0,2.6773412227630615,0.3400912582874298,0.5227976441383362,-0.0037690401077270508,-0.04352462664246559,-806.9405498835578,4.455114364624023,0.1370306733903066,2.1501622200012207,1.0,1000.0,-4.594789981842041,3.121713161468506,0.800615668296814,64.22066839407846,2.0,2000,0.0,0.6919057369232178,-0.18609169125556946,2,3.0567352771759033,31.142621994018555,0.3222450613975525,-179.9013815664669,2.0,0.4332805275917053,2.118337869644165
-1320.3623985237316,0.016063055023550987,-214.01373589054944,3.0,3.458164691925049,0.3990285396575928,0.5864602327346802,-0.11745952069759369,-0.039762191474437714,-978.081166096949,5.922199249267578,0.11230273064362171,3.073646306991577,1.0,756.0,-5.9032673835754395,5.019097328186035,0.7647254467010498,63.881929163883015,3.0,3000,0.0,0.7036659717559814,0.034022487699985504,3,4.388874053955078,46.96163749694824,0.6671122908592224,-214.01373589054944,3.0,0.5633230805397034,2.7048768997192383
-685.8240562706684,0.016659224405884743,-337.42596529846475,4.0,3.5080173015594482,0.40773776173591614,0.6123231053352356,0.39973020553588867,-0.01534029096364975,-905.0168886403789,6.337865829467773,0.09203708190275892,3.3771114349365234,1.0,620.6666666666666,-6.789361000061035,6.046924114227295,0.7020853757858276,67.49457226234645,6.0,4000,0.0,0.5752090811729431,0.3483292758464813,4,5.808495998382568,59.26402473449707,0.67924964427948,-337.42596529846475,6.0,0.6224944591522217,3.8014559745788574
-245.80963023969517,0.01877274550497532,-350.74607928767296,5.0,3.971235752105713,0.4046706557273865,0.6325758695602417,-0.2724229395389557,0.04729541018605232,-773.1754369602421,7.599021911621094,0.07542848153938683,3.7207908630371094,1.0,547.1111111111111,-6.9944844245910645,6.799412727355957,0.6990423202514648,70.75679904070317,9.0,5000,0.0,0.6212145090103149,-0.13403697311878204,5,8.171174049377441,70.6645872592926,0.7970848083496094,-350.74607928767296,9.0,0.555397629737854,3.6901133060455322
-890.1879087765249,0.016252530738711357,-395.1556576997444,6.0,4.02632999420166,0.4191811978816986,0.6411263942718506,-0.1183978021144867,0.011619619093835354,-792.6775155962893,9.94576358795166,0.06181699495154324,3.4394073486328125,1.0,592.4,-7.6075968742370605,9.047327041625977,0.7804481387138367,70.7843152178842,10.0,6000,0.0,0.733991265296936,-0.04172748327255249,6,11.091507911682129,84.7645411491394,0.9923229217529297,-395.1556576997444,10.0,0.363807737827301,3.4930806159973145
-281.7803855406828,0.01713119074702263,-371.7923182063365,7.0,4.325613975524902,0.415050745010376,0.6568336486816406,0.000801965594291687,0.009325627237558365,-719.6922113026312,9.351827621459961,0.05066177638540577,4.175087928771973,1.0,551.0909090909091,-7.9006195068359375,8.860245704650879,0.6899888515472412,72.58758547750465,11.0,7000,0.0,0.7510499954223633,-0.07754641771316528,7,9.158058166503906,96.43522310256958,1.1318405866622925,-371.7923182063365,11.0,0.3051426112651825,4.420968532562256
-278.3110613479637,0.01690446026623249,-443.3702669594433,8.0,5.135467052459717,0.4154647886753082,0.6639543771743774,-0.04878861829638481,0.02848467230796814,-664.5195675582978,10.425222396850586,0.04151957869412388,4.89964485168457,1.0,588.5,-7.799469470977783,9.679624557495117,0.638461172580719,74.12926065634886,12.0,8000,0.0,0.6912060976028442,0.23584991693496704,8,4.661315441131592,107.919597864151,1.3261111974716187,-443.3702669594433,12.0,0.24168530106544495,4.529527187347412
-329.68185516445146,0.017926590517163277,-405.44735770101687,9.0,4.9711527824401855,0.4158242642879486,0.6712735891342163,0.3638482689857483,0.04874351620674133,-627.3153772923148,11.66622257232666,0.037587132956139066,4.658721446990967,1.0,525.125,-7.656984329223633,10.941739082336426,0.6510670185089111,75.33481238782396,16.0,9000,0.0,0.6018205881118774,0.01159253716468811,9,7.969338417053223,119.46668100357056,1.4226230382919312,-405.44735770101687,16.0,0.20416279137134552,4.446821689605713
-472.8870880968316,0.01807946152985096,-463.4666146029892,10.0,5.370713233947754,0.41376855969429016,0.6800755262374878,-0.12310275435447693,0.0352659747004509,-611.8725483727665,12.348511695861816,0.036846517945435794,5.032263278961182,1.0,527.0555555555555,-6.261895179748535,11.678533554077148,0.6368436813354492,75.5996302339329,18.0,10000,0.0,0.6153334975242615,-0.13868440687656403,10,6.688913345336914,132.27577924728394,1.8225245475769043,-463.4666146029892,18.0,0.19244307279586792,4.413917064666748
