rollout/return_history,obs_rms_mean,total/steps,total/epochs,rollout/episodes,ret_rms_std,ret_rms_mean,rollout/episode_steps,total/duration,reference_actor_Q_mean,eval/return,train/loss_critic,train/param_noise_distance,eval/return_history,train/loss_actor,rollout/Q_mean,reference_Q_mean,rollout/actions_std,eval/Q,eval/episodes,total/steps_per_second,rollout/return,total/episodes,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_std,reference_Q_std,reference_action_mean
1051.8234710360152,0.16328047215938568,904000,904,904.0,1.0,0.0,1000.0,10197.931746959686,296.3773193359375,1519.3372183441684,38.131465911865234,0.0,1460.8017689016522,-269.32208251953125,221.42799377441406,294.1591796875,0.6600279808044434,311.7799377441406,904.0,88.6454256050017,616.9561103383987,904.0,0.5279977917671204,0.02510533109307289,1.6337028741836548,2.3307154178619385,1.5604215860366821,0.3028508722782135
1051.4740428448433,0.16333314776420593,905000,905,905.0,1.0,0.0,1000.0,10209.719860076904,294.98138427734375,1620.591666387691,37.075584411621094,0.0,1465.434541453815,-270.3760681152344,221.4527587890625,292.5232849121094,0.6600542664527893,312.7806396484375,905.0,88.64102173251824,617.3597327246534,905.0,0.5821537375450134,0.02518269792199135,1.9789737462997437,2.330953598022461,2.210340738296509,0.4148377478122711
1053.6934012209106,0.16339004039764404,906000,906,906.0,1.0,0.0,1000.0,10221.528337955475,296.7626647949219,1348.9691392676473,69.57133483886719,0.0,1466.3311452297742,-268.1781311035156,221.5509796142578,294.31256103515625,0.6600415110588074,277.2405090332031,906.0,88.63645142339051,618.042519670715,906.0,0.6287161111831665,0.02530084364116192,1.832924485206604,2.331277847290039,1.6090058088302612,0.34223151206970215
1051.369845127686,0.1633712202310562,907000,907,907.0,1.0,0.0,1000.0,10233.28085398674,296.7870788574219,1268.4173946660806,7.079581260681152,0.0,1466.7032169910633,-268.5011291503906,221.6411590576172,293.71551513671875,0.6600136756896973,310.1769104003906,907.0,88.63237635529623,618.0174797622169,907.0,0.692319393157959,0.025215353816747665,2.1621174812316895,2.331512928009033,2.401909112930298,0.3778890073299408
1049.9045260125856,0.1634109765291214,908000,908,908.0,1.0,0.0,1000.0,10245.041860818863,295.7318115234375,1612.6294790399706,95.35933685302734,0.0,1470.7028844391461,-270.5814514160156,221.63502502441406,292.61016845703125,0.6600648760795593,312.1661682128906,908.0,88.6282371839353,618.1552795544496,908.0,0.6114660501480103,0.025276213884353638,2.1184418201446533,2.331460952758789,2.401799440383911,0.4755617678165436
1048.1757986814416,0.16345034539699554,909000,909,909.0,1.0,0.0,1000.0,10256.815018415451,297.5400390625,1782.5427005682966,96.74993896484375,0.0,1474.1727380288562,-271.7431335449219,221.73287963867188,294.4613952636719,0.6600409150123596,313.63421630859375,909.0,88.62400251617574,618.8056211244987,909.0,0.6927009224891663,0.025262663140892982,1.7671043872833252,2.331677198410034,2.306104898452759,0.40729770064353943
1050.8543969414436,0.16351228952407837,910000,910,910.0,1.0,0.0,1000.0,10268.650807380676,298.0496826171875,1760.598307031863,97.38400268554688,0.0,1477.3318070908845,-269.43585205078125,221.83038330078125,295.689697265625,0.6600543260574341,313.9202575683594,910.0,88.61923704192279,619.3582555222429,910.0,0.668836772441864,0.02539672702550888,1.1796715259552002,2.331879138946533,1.2664330005645752,0.3125405013561249
1059.9964656646098,0.1635277420282364,911000,911,911.0,1.0,0.0,1000.0,10280.45571231842,296.86322021484375,926.3226456477298,73.1307601928711,0.0,1472.7760291731774,-270.94390869140625,221.9205780029297,294.91796875,0.6600701212882996,306.7633972167969,911.0,88.61474875169262,619.6455206896578,911.0,0.7120130658149719,0.02534561976790428,1.4067100286483765,2.332395553588867,1.266726016998291,0.22351093590259552
1056.6869467100294,0.16353781521320343,912000,912,912.0,1.0,0.0,1000.0,10292.19172167778,296.28887939453125,1660.8299655140156,99.65428924560547,0.0,1475.2072995377594,-274.6128234863281,222.01197814941406,294.89178466796875,0.6600407958030701,313.6150207519531,912.0,88.6108639114362,619.7457846865746,912.0,0.6109570264816284,0.025296207517385483,1.6849911212921143,2.332904815673828,1.7303166389465332,0.3763390779495239
1060.5671875173318,0.16360601782798767,913000,913,913.0,1.0,0.0,1000.0,10303.968952417374,296.9360656738281,1813.7281601194197,65.9538345336914,0.0,1479.125548027624,-268.76190185546875,222.11080932617188,295.124267578125,0.6600245237350464,314.5684509277344,913.0,88.60663344543606,620.6883367076709,913.0,0.6700528264045715,0.025326920673251152,1.804835319519043,2.3333654403686523,2.005483627319336,0.2402181178331375
1059.3567234754064,0.16363327205181122,914000,914,914.0,1.0,0.0,1000.0,10315.655514001846,295.8434753417969,1475.167525720466,182.9149169921875,0.0,1480.5999509481685,-273.1799621582031,222.19793701171875,294.0538024902344,0.6600547432899475,311.3663635253906,914.0,88.60319140740903,620.9039066701664,914.0,0.6391792893409729,0.025360004976391792,1.9709042310714722,2.3341660499572754,1.94813871383667,0.28541988134384155
1060.2742949574083,0.16367202997207642,915000,915,915.0,1.0,0.0,1000.0,10327.305962324142,297.8618469238281,1489.6103048066348,10.678265571594238,0.0,1482.506890718634,-268.6059265136719,222.29481506347656,295.35009765625,0.6600795388221741,313.0201110839844,915.0,88.60006698146482,621.5318506004337,915.0,0.6829368472099304,0.025459853932261467,1.9460265636444092,2.334571361541748,1.5709655284881592,0.3199048936367035
1060.1410959327682,0.16374477744102478,916000,916,916.0,1.0,0.0,1000.0,10339.049752473831,298.57586669921875,1254.0540145979253,95.7870101928711,0.0,1483.3431868238717,-271.11834716796875,222.39341735839844,295.6284484863281,0.6600440144538879,311.0470275878906,916.0,88.59614973618132,622.3467954765862,916.0,0.6795336604118347,0.02556060068309307,1.781422734260559,2.3352181911468506,1.752681016921997,0.3688817024230957
1069.6758048292074,0.16379296779632568,917000,917,917.0,1.0,0.0,1000.0,10351.0393075943,296.0345153808594,1828.6328025045368,120.45417785644531,0.0,1486.4045043035615,-270.70806884765625,222.4878387451172,293.20947265625,0.6600160598754883,315.5992431640625,917.0,88.59013793206447,622.9579927934485,917.0,0.6993539333343506,0.025580447167158127,1.661389946937561,2.3359174728393555,1.9492104053497314,0.15214753150939941
