rollout/episodes,ret_rms_mean,reference_actor_Q_std,total/episodes,train/loss_actor,reference_perturbed_action_mean,reference_action_mean,eval/return_history,reference_Q_std,reference_perturbed_action_std,rollout/actions_mean,train/param_noise_distance,total/duration,total/epochs,param_noise_stddev,ret_rms_std,obs_rms_mean,reference_actor_Q_mean,rollout/Q_mean,eval/episodes,total/steps,rollout/episode_steps,reference_Q_mean,obs_rms_std,eval/Q,reference_action_std,rollout/return_history,eval/return,rollout/return,train/loss_critic,rollout/actions_std,total/steps_per_second
31.0,0.0,2.6425423622131348,31.0,-19.675731658935547,-0.18164555728435516,0.008171997033059597,289.1954460629958,3.2177507877349854,0.5523961782455444,-0.010037477128207684,0.4736589789390564,15.988607406616211,1,0.16720346283821505,1.0,1.0601445436477661,19.88979721069336,9.33065414428711,1.0,1000,32.064516129032256,19.591312408447266,6.560249328613281,20.04271697998047,0.4783896207809448,155.9587919928239,289.1954460629958,155.9587919928239,1.7683061361312866,0.5336067080497742,62.54453402778482
56.0,0.0,5.8075761795043945,56.0,-40.28732681274414,0.14024758338928223,-0.0034994075540453196,221.994701840375,8.016658782958984,0.5902014374732971,0.022899823263287544,0.5115518569946289,30.9101824760437,2,0.1370306733903066,1.0,1.2328635454177856,41.36937713623047,19.234968185424805,2.0,2000,35.375,40.20527648925781,6.241854190826416,41.72774887084961,0.5498112440109253,171.88239250798713,154.79395761775422,171.88239250798713,4.367440700531006,0.5490696430206299,64.70359731942892
82.0,0.0,8.377013206481934,82.0,-61.60651397705078,-0.17564630508422852,-0.15484672784805298,178.202845555624,12.4015531539917,0.582251250743866,0.009564423933625221,0.5916642546653748,45.3759241104126,3,0.11230273064362171,1.0,1.2169926166534424,63.360477447509766,29.225744247436523,3.0,3000,36.426829268292686,61.515838623046875,6.133172035217285,59.65556335449219,0.6134735941886902,176.3429516621269,90.61913298612203,176.3429516621269,11.890250205993652,0.5684881210327148,66.11435598975665
113.0,0.0,16.79629898071289,113.0,-81.03126525878906,0.20884113013744354,0.06819566339254379,166.0751068834562,19.90009117126465,0.5767081379890442,0.003165836213156581,0.5085885524749756,59.44751787185669,4,0.09203708190275892,1.0,1.2033612728118896,82.16500854492188,39.465484619140625,4.0,4000,35.07079646017699,80.19959259033203,6.157952308654785,73.08528900146484,0.6434459090232849,174.52695487651792,129.69189086695266,170.02281773473152,10.271402359008789,0.5844048857688904,67.28624075814707
138.0,0.0,23.131975173950195,138.0,-99.48750305175781,0.1621570736169815,0.07296759635210037,196.768532713316,27.735397338867188,0.6866910457611084,0.011587163433432579,0.533999502658844,74.57876205444336,5,0.07542848153938683,1.0,1.2690026760101318,101.03912353515625,49.34888458251953,5.0,5000,35.92028985507246,97.85299682617188,6.183876037597656,93.8261947631836,0.7108794450759888,179.28150814607878,319.5422360327553,174.20602333698244,11.055153846740723,0.6022243499755859,67.04321528359431
156.0,0.0,36.13023376464844,156.0,-116.03441619873047,0.21851679682731628,0.12899962067604065,203.8762037672336,39.0334587097168,0.6617113947868347,0.031230200082063675,0.4739148020744324,89.49220943450928,6,0.06181699495154324,1.0,1.3760308027267456,115.8717041015625,59.29759216308594,6.0,6000,38.42948717948718,112.76520538330078,6.086784362792969,105.12235260009766,0.7359194755554199,195.16621721821718,239.41455903682132,186.80792116839098,11.291351318359375,0.6215997338294983,67.04494210069561
173.0,0.0,43.77433776855469,173.0,-132.8553466796875,0.12720951437950134,0.1450352817773819,205.2800425215164,47.18782043457031,0.7433173060417175,0.04026872664690018,0.43498021364212036,104.5451135635376,7,0.05066177638540577,1.0,1.4676114320755005,133.34239196777344,69.24181365966797,7.0,7000,40.190751445086704,128.94163513183594,5.993175029754639,143.15634155273438,0.7565538883209229,208.53295429447223,213.7030750472133,196.1031101735204,16.07027816772461,0.6390627026557922,66.95674012296834
187.0,0.0,48.1224365234375,187.0,-153.66676330566406,0.10325324535369873,0.1412116289138794,229.3824782917424,52.927833557128906,0.7616021633148193,0.04321575537323952,0.414283812046051,120.28325200080872,8,0.04151957869412388,1.0,1.5095142126083374,154.84751892089844,78.06843566894531,8.0,8000,42.598930481283425,149.23423767089844,6.037086486816406,155.9090576171875,0.7832021117210388,238.48088536895867,398.0995286833246,207.3759962340771,25.326486587524414,0.6571418046951294,66.50967501233016
205.0,0.0,56.55009460449219,205.0,-171.3613739013672,0.26339447498321533,0.17030656337738037,228.84232053324305,60.88400650024414,0.7444344162940979,0.05290961265563965,0.3163161277770996,135.70043396949768,9,0.034027141129503384,1.0,1.5575090646743774,172.58993530273438,87.4127197265625,9.0,9000,43.75609756097561,166.23724365234375,6.130613803863525,158.80245971679688,0.7754372358322144,267.19380154263996,224.52105846524836,214.03587781494824,26.72124481201172,0.6699997186660767,66.32255871799933
227.0,0.0,65.70233917236328,227.0,-187.95387268066406,0.23248142004013062,0.20992949604988098,235.68567413122355,72.29414367675781,0.7655078768730164,0.07112476974725723,0.3048318922519684,150.70077562332153,10,0.027886755354071244,1.0,1.5983437299728394,187.77670288085938,94.8312759399414,10.0,10000,44.04405286343612,180.6278533935547,6.317788124084473,163.34510803222656,0.7692915797233582,271.9464803061588,297.27585651304804,215.08620975017058,36.18659210205078,0.6823562383651733,66.35665913886949
247.0,0.0,70.62842559814453,247.0,-201.46566772460938,0.12127017974853516,0.12013962864875793,232.9981929313835,76.83483123779297,0.7788271307945251,0.08816701918840408,0.26385363936424255,165.63902592658997,11,0.022854436146078055,1.0,1.6298071146011353,205.54965209960938,102.57572937011719,11.0,11000,44.4251012145749,197.53533935546875,6.406436443328857,153.965087890625,0.7832224369049072,262.1092243140942,206.1233809329828,215.41248758130544,55.57535171508789,0.692898154258728,66.40947046425593
266.0,0.0,83.22310638427734,266.0,-218.3779754638672,0.17239812016487122,0.12947630882263184,231.20008711099695,88.75909423828125,0.7664276361465454,0.09431113302707672,0.23646947741508484,180.881493806839,12,0.018730226766195082,1.0,1.639283537864685,220.75408935546875,110.1905517578125,12.0,12000,45.0,212.22509765625,6.67260217666626,212.69940185546875,0.7729073166847229,259.14000640133696,211.42092308674478,217.63058449842583,53.98179626464844,0.7000532150268555,66.34177851723541
285.0,0.0,92.0057601928711,285.0,-231.32778930664062,0.16197741031646729,0.1163487434387207,227.33050269728164,97.30622100830078,0.7805162668228149,0.0942041203379631,0.21327738463878632,195.99960231781006,13,0.017297050171870294,1.0,1.648392677307129,238.3702850341797,117.67341613769531,13.0,13000,45.578947368421055,229.39797973632812,6.705356121063232,239.117919921875,0.7823026180267334,247.48626140048202,180.89548973269794,220.52312431882436,51.99740219116211,0.7070685625076294,66.32666518843604
304.0,0.0,106.06548309326172,304.0,-246.1979522705078,0.18259428441524506,0.2344498336315155,228.11655612106387,111.1136245727539,0.7572029829025269,0.10010015964508057,0.20206484198570251,211.4106273651123,14,0.017297050171870294,1.0,1.6721863746643066,249.35011291503906,125.28399658203125,14.0,14000,45.9703947368421,240.33497619628906,6.755900859832764,225.54661560058594,0.7457245588302612,240.49068848206392,238.3352506302327,222.85541273962764,77.4865951538086,0.7131909132003784,66.22183650125399
320.0,0.0,114.18494415283203,320.0,-251.88751220703125,0.23461245000362396,0.19241122901439667,233.9418965765456,120.55168914794922,0.7467399835586548,0.10686364024877548,0.22255319356918335,227.69323873519897,15,0.01695622994987775,1.0,1.702434778213501,265.7320556640625,133.1028594970703,15.0,15000,46.6375,255.0855255126953,6.785266399383545,245.46337890625,0.7537745237350464,249.95686677127145,315.4966629532897,226.6165906808091,94.9726333618164,0.718038022518158,65.87810900017365
338.0,0.0,129.460693359375,338.0,-265.88458251953125,0.1912359744310379,0.2610434889793396,236.54525741109103,132.78067016601562,0.7670296430587769,0.11623508483171463,0.18945351243019104,242.78480529785156,16,0.01695622994987775,1.0,1.717015027999878,274.35076904296875,140.9379119873047,16.0,16000,47.26331360946745,264.7279357910156,6.874040126800537,229.5216522216797,0.7591992616653442,264.17062457646665,275.5956699292725,229.7216716420111,130.9638214111328,0.7191467881202698,65.90198254116846
351.0,0.0,142.48060607910156,351.0,-273.3198547363281,0.16651462018489838,0.22415593266487122,250.05021911926815,144.7577362060547,0.8129280805587769,0.12222234904766083,0.18819643557071686,258.3473365306854,17,0.017999379770019416,1.0,1.7341396808624268,281.111328125,147.9600067138672,17.0,17000,48.38461538461539,271.562744140625,6.8245110511779785,273.3128967285156,0.7754487991333008,285.7375127705508,466.12960645010224,235.21204238925455,123.93331909179688,0.7231309413909912,65.80288470665464
364.0,0.0,155.98426818847656,364.0,-281.4465026855469,0.33100852370262146,0.2476148009300232,256.5070530534183,157.991943359375,0.7395046353340149,0.12966163456439972,0.22001142799854279,273.9783773422241,18,0.01695622994987775,1.0,1.7499663829803467,289.8724670410156,156.69944763183594,18.0,18000,49.44505494505494,281.5536193847656,6.800339698791504,334.1966247558594,0.7564631700515747,298.76656084761186,366.2732299339708,239.9857306886136,167.11961364746094,0.72528076171875,65.69861525063472
378.0,0.0,165.8675079345703,378.0,-292.74444580078125,0.2142237424850464,0.23620621860027313,260.47143220915854,166.96835327148438,0.7751667499542236,0.13835330307483673,0.2008030116558075,289.60793018341064,19,0.01695622994987775,1.0,1.7744274139404297,295.73101806640625,163.65670776367188,19.0,19000,50.24074074074074,286.85345458984375,6.756669044494629,279.9315185546875,0.7504703402519226,308.8637292858761,331.8302570124833,243.57460691401525,206.43350219726562,0.7276852130889893,65.60593830413129
