eval/return,total/epochs,reference_actor_Q_std,rollout/return,eval/return_history,reference_perturbed_action_mean,total/steps_per_second,rollout/actions_mean,rollout/episode_steps,reference_action_mean,ret_rms_std,ret_rms_mean,reference_actor_Q_mean,train/loss_critic,eval/episodes,reference_perturbed_action_std,param_noise_stddev,rollout/actions_std,reference_Q_mean,eval/Q,train/param_noise_distance,obs_rms_std,rollout/Q_mean,obs_rms_mean,total/episodes,train/loss_actor,rollout/episodes,reference_action_std,reference_Q_std,rollout/return_history,total/duration,total/steps
3319.3676427197597,4413,3847.3896484375,872.6901478681477,1180.24472758578,0.11928039789199829,54.94172501772675,0.14294126629829407,182.99129028244369,0.11289551854133606,1.0,0.0,4163.7724609375,205487.0,4413.0,0.9441608786582947,0.00795985011672278,0.8704937100410461,3853.046875,9637.25390625,0.19299399852752686,6.6504807472229,4173.27490234375,1.8429795503616333,24111.0,-8388.8203125,24111.0,0.9454653859138489,3788.461181640625,985.7067120996668,80321.46785664558,4413000
1588.2619852157125,4414,3858.33056640625,872.8669084916331,1171.3334418707468,0.17759230732917786,54.93924939569311,0.14292867481708527,183.02890197379332,0.16960687935352325,1.0,0.0,4217.56298828125,157712.65625,4414.0,0.9358240962028503,0.008119843104068908,0.8704944849014282,3907.619873046875,8259.8310546875,0.19018135964870453,6.650426864624023,4174.32861328125,1.8429465293884277,24116.0,-8355.041015625,24116.0,0.9388346672058105,3796.472900390625,1027.4923703135512,80343.28915214539,4414000
1473.2475335906943,4415,3798.19921875,872.917371372184,1171.2989710050783,0.21969369053840637,54.93697174677651,0.142924502491951,183.03996683250415,0.2351195365190506,1.0,0.0,4187.55078125,229283.421875,4415.0,0.9268205761909485,0.007649259507199841,0.8704959154129028,3892.63671875,8720.2373046875,0.2004716545343399,6.650515079498291,4175.38623046875,1.842909336090088,24120.0,-8377.89453125,24120.0,0.9235491752624512,3744.580810546875,1048.5906992579387,80364.82280731201,4415000
1642.923414627669,4416,3813.506103515625,872.9929419281585,1172.7060358814433,0.1966172605752945,54.934386871711176,0.1429174691438675,183.0562948223687,0.1786169409751892,1.0,0.0,4278.3212890625,171306.84375,4416.0,0.9339419007301331,0.007803009623294559,0.8704975843429565,3989.0654296875,8910.4814453125,0.21508018672466278,6.650561332702637,4176.4521484375,1.8428679704666138,24123.0,-8399.23046875,24123.0,0.9352476000785828,3758.876220703125,1081.7626878615215,80386.80781698227,4416000
1547.514116217312,4417,3856.93603515625,872.8974930036226,1179.391792157784,0.16044986248016357,54.93197708066281,0.14291000366210938,183.0373793046289,0.17676153779029846,1.0,0.0,4206.97705078125,189670.578125,4417.0,0.9381100535392761,0.007649259507199841,0.8705020546913147,3921.775390625,8879.6982421875,0.19114743173122406,6.650575637817383,4177.48291015625,1.8428479433059692,24131.0,-8495.1865234375,24131.0,0.9375026822090149,3809.119140625,1058.1280180868055,80408.53860974312,4417000
1384.2883015966743,4418,3873.533203125,872.8300302349103,1179.6641653222082,0.17655602097511292,54.92974047458477,0.14291775226593018,183.02357278979204,0.18674404919147491,1.0,0.0,4274.73291015625,178649.15625,4418.0,0.9354299902915955,0.007498538875796335,0.870503842830658,3986.9091796875,8964.28515625,0.21363839507102966,6.650656700134277,4178.4208984375,1.8428159952163696,24138.0,-8452.837890625,24138.0,0.9354116320610046,3829.8408203125,1068.9438085047866,80430.01772499084,4418000
1992.8869147510152,4419,3880.161865234375,872.9915469876952,1195.4506125600851,0.15890361368656158,54.92661420533135,0.14289484918117523,183.0574174572269,0.1473921835422516,1.0,0.0,4281.37109375,153710.203125,4419.0,0.940706193447113,0.007649259507199841,0.8704986572265625,3977.1943359375,9356.1298828125,0.20883776247501373,6.650453090667725,4179.76806640625,1.8427693843841553,24139.0,-8499.2578125,24139.0,0.946874737739563,3819.935302734375,1111.6240047447563,80452.80168700218,4419000
1533.6219637246284,4420,3879.570556640625,873.0866974999034,1193.4325214401467,0.12345535308122635,54.92418141147987,0.14287663996219635,183.07778974401458,0.11058399081230164,1.0,0.0,4236.37548828125,204143.140625,4420.0,0.9463360905647278,0.007803009623294559,0.8705024123191833,3947.201171875,8645.3154296875,0.17953373491764069,6.650449752807617,4180.79833984375,1.8427304029464722,24142.0,-8424.005859375,24142.0,0.9443003535270691,3841.100341796875,1147.4063807510875,80474.5721540451,4420000
2687.4338624624575,4421,3844.265625,873.1681604872891,1197.3660390091115,0.11872293055057526,54.92046782596294,0.1428665667772293,183.09489292962763,0.08521108329296112,1.0,0.0,4222.48583984375,172036.375,4421.0,0.9444534182548523,0.007803009623294559,0.8705025911331177,3937.687255859375,9622.9580078125,0.21028012037277222,6.65026330947876,4181.962890625,1.8427281379699707,24143.0,-8341.5029296875,24143.0,0.9444434642791748,3804.352783203125,1168.0653785205473,80498.22179245949,4421000
2315.7329266647753,4422,3869.3828125,873.359157006919,1218.6495368914455,0.0833292230963707,54.91713404383676,0.14284992218017578,183.1352604986333,0.08312086760997772,1.0,0.0,4210.3125,212407.921875,4422.0,0.9447644352912903,0.008119843104068908,0.8705015182495117,3933.83837890625,9942.611328125,0.18633633852005005,6.650167465209961,4183.029296875,1.842694878578186,24146.0,-8406.26171875,24146.0,0.9466691613197327,3823.6171875,1215.5041756949834,80521.31774520874,4422000
2251.881098151259,4423,3814.539794921875,873.4579955723514,1238.5615115536166,0.052970074117183685,54.913876315242916,0.14283834397792816,183.1568659930429,0.0724368616938591,1.0,0.0,4212.986328125,171538.84375,4423.0,0.9449122548103333,0.008119843104068908,0.8705018162727356,3943.25537109375,9032.1376953125,0.17949196696281433,6.650119304656982,4184.2080078125,1.8426718711853027,24148.0,-8426.66015625,24148.0,0.943589985370636,3783.157470703125,1248.1040445167723,80544.30495142937,4423000
725.737046190108,4424,3784.45263671875,873.5404972177082,1243.0892536924134,0.1329173445701599,54.91176451246981,0.14281757175922394,183.17386443625523,0.15881100296974182,1.0,0.0,4227.4873046875,169665.921875,4424.0,0.9395968914031982,0.007803009623294559,0.8705044984817505,3945.71240234375,8495.5859375,0.23216329514980316,6.650209903717041,4185.314453125,1.8426294326782227,24151.0,-8339.3603515625,24151.0,0.9398365616798401,3747.2919921875,1278.0541493595076,80565.61356711388,4424000
