reference_action_std,eval/return,total/steps,total/episodes,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,reference_Q_mean,ret_rms_mean,ret_rms_std,rollout/actions_mean,eval/return_history,reference_actor_Q_std,rollout/episodes,rollout/return,rollout/Q_mean,train/loss_critic,obs_rms_std,train/loss_actor,obs_rms_mean,total/epochs,eval/episodes,total/duration,rollout/episode_steps,eval/Q,reference_action_mean,rollout/return_history,reference_Q_std,total/steps_per_second
0.771091639995575,-277.5705114741066,1000,1.0,-0.3430737257003784,0.5213344097137451,0.0,-0.4685840308666229,0.0,1.0,0.13693305850028992,-277.5705114741066,0.4679000675678253,1.0,-159.71797812883628,-0.21856366097927094,0.012103253975510597,0.9819156527519226,0.3069208264350891,0.07962808012962341,1,1.0,10.925726652145386,1000.0,0.13506191968917847,-0.10221356153488159,-159.71797812883628,0.4892578125,91.52709305642743
0.7234982252120972,-428.4895487036926,2000,2.0,0.32601332664489746,0.6009207367897034,0.0,0.002294955775141716,0.0,1.0,-0.07115832716226578,-353.0300300888996,0.4357467591762543,2.0,-193.36976863596462,-0.4173266291618347,0.018290884792804718,0.9251730442047119,-0.0531572625041008,0.0767405703663826,2,2.0,21.73207139968872,1000.0,-0.40460383892059326,-0.4067114293575287,-193.36976863596462,0.44395551085472107,92.02988354016944
0.8123233914375305,-248.46607790961374,3000,3.0,0.6698580384254456,0.6362601518630981,0.0,0.316877156496048,0.0,1.0,-0.09530797600746155,-318.175379362471,0.7498654723167419,3.0,-244.62722208951868,-0.13696742057800293,0.05867903679609299,1.0439666509628296,-0.333867609500885,0.03766745328903198,3,3.0,32.402586698532104,1000.0,0.8216049075126648,-0.16241933405399323,-244.62722208951868,0.796420156955719,92.58520092582316
0.787234365940094,-517.8405250342687,4000,4.0,3.1401164531707764,0.6553884148597717,0.0,2.602064847946167,0.0,1.0,-0.1775541603565216,-368.0916657804204,1.2515372037887573,4.0,-293.03933734411294,-0.3876757323741913,0.08556368201971054,1.1988548040390015,-1.4563795328140259,0.04649972915649414,4,4.0,43.05296444892883,1000.0,-1.1345784664154053,-0.13247302174568176,-293.03933734411294,1.2508288621902466,92.90881710932965
0.8078293204307556,-437.5762176670435,5000,5.0,4.3991241455078125,0.6762281060218811,0.0,4.020671844482422,0.0,1.0,-0.12275337427854538,-381.988576157745,0.9482188820838928,5.0,-295.01601707667754,-0.30905985832214355,0.0625072792172432,1.136780858039856,-2.1839685440063477,0.0738794207572937,5,5.0,53.86006450653076,1000.0,4.23356819152832,-0.06370183825492859,-295.01601707667754,0.9716269969940186,92.83316026095233
0.6156293749809265,-178.60661553674885,6000,6.0,5.6748046875,0.6968556046485901,0.0,5.112468719482422,0.0,1.0,-0.10050955414772034,-348.0915827209123,0.977301836013794,6.0,-318.7341942966518,-0.2947536110877991,0.14025375247001648,1.4748039245605469,-1.9471580982208252,0.08676233142614365,6,6.0,64.60058045387268,1000.0,1.3234670162200928,-0.3551759421825409,-318.7341942966518,1.0866446495056152,92.87842242043371
0.6491075754165649,-431.7171053181286,7000,7.0,6.742295265197754,0.7094855308532715,0.0,6.398968696594238,0.0,1.0,-0.13883362710475922,-360.03808594908605,0.9615804553031921,7.0,-323.68547915251185,-0.1729610711336136,0.09648960828781128,1.4553786516189575,-2.488055944442749,0.08367829769849777,7,7.0,75.32564043998718,1000.0,-1.1715980768203735,-0.29740259051322937,-323.68547915251185,1.0179682970046997,92.9298437970399
0.6522230505943298,-130.94502128643686,8000,8.0,7.738917350769043,0.7192389369010925,0.0,7.4263715744018555,0.0,1.0,-0.16413995623588562,-331.4014528662549,1.146487832069397,8.0,-335.0928938580637,-0.3269065022468567,0.15982790291309357,1.4315764904022217,-2.352379560470581,0.08504930883646011,8,8.0,86.05109357833862,1000.0,0.28675442934036255,-0.0641140565276146,-335.0928938580637,1.1720936298370361,92.96802245420639
0.6108585596084595,11.059043436800804,9000,9.0,9.533604621887207,0.7240402698516846,0.0,8.97805118560791,0.0,1.0,-0.14006160199642181,-293.3502866103598,1.002016544342041,9.0,-286.22580967993815,-0.10965529829263687,0.13466908037662506,1.7627955675125122,-3.5697195529937744,0.0985710546374321,9,9.0,96.70742440223694,1000.0,2.612072229385376,0.08687636256217957,-286.22580967993815,1.1113747358322144,93.0642094506223
0.6240553259849548,166.16640778559866,10000,10.0,10.593672752380371,0.7347074747085571,0.0,10.196086883544922,0.0,1.0,-0.11640901118516922,-247.39861717076397,0.5939569473266602,10.0,-253.10247851013628,0.1602211892604828,0.22244825959205627,1.9704101085662842,-4.6254777908325195,0.11006157845258713,10,10.0,107.37395071983337,1000.0,3.5222108364105225,-0.027458274737000465,-253.10247851013628,0.6720191836357117,93.13245841249342
0.5107529163360596,143.02069353237374,11000,11.0,11.749271392822266,0.7392565011978149,0.0,11.363485336303711,0.0,1.0,-0.10434800386428833,-211.90595256138783,0.6747543811798096,11.0,-203.26768515381093,0.5602750182151794,0.23051805794239044,2.1185238361358643,-5.67898416519165,0.11980587989091873,11,11.0,118.03401470184326,1000.0,5.169164657592773,0.033907756209373474,-203.26768515381093,0.7017287015914917,93.19347501469184
0.4499521553516388,379.18372744293737,12000,12.0,13.4568452835083,0.7422603964805603,0.0,13.002222061157227,0.0,1.0,-0.10532521456480026,-162.64847922769405,0.6245594024658203,12.0,-169.35502145864234,1.0152288675308228,0.24399696290493011,2.3050737380981445,-7.4285149574279785,0.1253224015235901,12,12.0,128.72048497200012,1000.0,8.265421867370605,0.20543880760669708,-169.35502145864234,0.729766845703125,93.22525472624109
