rollout/episode_steps,rollout/episodes,reference_perturbed_action_mean,train/param_noise_distance,param_noise_stddev,train/loss_actor,rollout/return,total/steps_per_second,total/duration,obs_rms_mean,total/episodes,reference_actor_Q_std,rollout/actions_mean,reference_Q_std,rollout/return_history,rollout/Q_mean,reference_Q_mean,obs_rms_std,reference_action_mean,ret_rms_std,ret_rms_mean,total/epochs,eval/episodes,train/loss_critic,reference_actor_Q_mean,eval/return,eval/Q,reference_action_std,eval/return_history,total/steps,reference_perturbed_action_std,rollout/actions_std
33.06666666666667,30.0,0.2382924109697342,0.4820086359977722,0.16720346283821505,-19.59937858581543,162.37556016804308,80.81259128449086,12.374309301376343,1.1930005550384521,30.0,1.8620553016662598,0.09874974191188812,2.239917278289795,162.37556016804308,9.47864055633545,20.171588897705078,6.304561614990234,0.1895385980606079,1.0,0.0,1,1.0,2.5596725940704346,20.32003402709961,117.2510465952034,20.340492248535156,0.46689289808273315,117.2510465952034,1000,0.5870490074157715,0.5421857833862305
34.75,56.0,0.0976642295718193,0.5082318186759949,0.1370306733903066,-40.52305603027344,170.87937536898977,82.65757680527696,24.196208953857422,1.3193011283874512,56.0,4.395152568817139,0.15888820588588715,6.175245761871338,170.87937536898977,19.505983352661133,41.18561935424805,6.63715124130249,0.10376836359500885,1.0,0.0,2,2.0,5.209197521209717,41.94810104370117,138.6742494412386,42.90232467651367,0.5330290794372559,127.962648018221,2000,0.5569466948509216,0.5741012096405029
32.505494505494504,91.0,0.2560098171234131,0.5222896337509155,0.11230273064362171,-60.253604888916016,158.96088988535575,83.70565525029649,35.83987236022949,1.227170467376709,91.0,11.993727684020996,0.14850576221942902,13.18131160736084,158.96088988535575,29.544260025024414,60.55065155029297,6.777523517608643,0.08370748907327652,1.0,0.0,3,3.0,4.162481307983398,61.49994659423828,119.63347370047272,54.701194763183594,0.6421228647232056,125.18625657897157,3000,0.5876055955886841,0.5822960138320923
36.38532110091743,109.0,0.17079579830169678,0.46927738189697266,0.09203708190275892,-78.7693862915039,174.75907379146773,83.5417014742234,47.880279302597046,1.28029465675354,109.0,21.52409553527832,0.14252473413944244,23.37155532836914,180.51887024962508,39.6016731262207,77.51575469970703,6.7884087562561035,0.12404999881982803,1.0,0.0,4,4.0,8.420419692993164,79.61624145507812,253.00454104311376,80.38810729980469,0.6630039811134338,157.14082769500712,4000,0.6659420132637024,0.585719883441925
39.57142857142857,126.0,0.33992335200309753,0.43719905614852905,0.07542848153938683,-97.2745132446289,190.36888708245314,83.34815964585427,59.98932695388794,1.392745018005371,126.0,28.770410537719727,0.16057202219963074,31.999330520629883,199.05830688769476,49.36998748779297,95.51290893554688,6.793120861053467,0.29495590925216675,1.0,0.0,5,5.0,7.922956466674805,99.00952911376953,307.98436698132787,104.95390319824219,0.657987654209137,187.30953555227126,5000,0.5993828177452087,0.5938876867294312
41.333333333333336,144.0,0.3636168837547302,0.41043922305107117,0.06181699495154324,-116.99740600585938,200.79759727986695,83.27769672968752,72.04810214042664,1.5311243534088135,144.0,38.218387603759766,0.20026612281799316,40.408382415771484,216.50064811397468,59.042484283447266,114.17472076416016,6.700995922088623,0.34038329124450684,1.0,0.0,6,6.0,13.21463394165039,117.61775207519531,282.4321740128652,117.09076690673828,0.6652109622955322,203.16330862903692,6000,0.658855140209198,0.6066561937332153
43.05555555555556,162.0,0.3250831961631775,0.3595890402793884,0.05066177638540577,-133.19651794433594,210.56161248576385,82.92987414601915,84.40866541862488,1.6232887506484985,162.0,50.176876068115234,0.228896364569664,52.17201232910156,236.26805464795405,68.4570083618164,129.42385864257812,6.68499755859375,0.27730652689933777,1.0,0.0,7,7.0,13.9339599609375,133.814697265625,343.00681341322274,139.34774780273438,0.7186185717582703,223.1409521696349,7000,0.6839931011199951,0.6149145364761353
45.42613636363637,176.0,0.2860305905342102,0.2911199629306793,0.04151957869412388,-149.6215362548828,219.4316529479547,82.79194185059434,96.62776136398315,1.6631979942321777,176.0,61.51045227050781,0.2379111498594284,63.57147216796875,265.78789841557017,78.08759307861328,144.72467041015625,6.78626012802124,0.20554739236831665,1.0,0.0,8,8.0,26.98546600341797,149.35494995117188,387.509274912528,161.68603515625,0.732292115688324,243.68699251249654,8000,0.6906318664550781,0.6229995489120483
47.21578947368421,190.0,0.2433585524559021,0.2904013693332672,0.034027141129503384,-166.92160034179688,228.22634733169062,82.66457478652922,108.87372279167175,1.6964677572250366,190.0,71.20917510986328,0.23921515047550201,74.14927673339844,289.9425367844865,87.5892562866211,158.89508056640625,6.856032371520996,0.19169354438781738,1.0,0.0,9,9.0,31.392824172973633,164.77133178710938,392.85578530222506,154.64735412597656,0.7297541499137878,260.26130282246635,9000,0.6902428269386292,0.6305220127105713
48.995098039215684,204.0,0.2467697411775589,0.21382510662078857,0.027886755354071244,-183.94117736816406,237.01098706308846,82.55640848760164,121.12930035591125,1.7407680749893188,204.0,81.13326263427734,0.24267810583114624,83.5936508178711,308.769037868749,95.78014373779297,173.89297485351562,6.801176071166992,0.24408166110515594,1.0,0.0,10,10.0,39.244876861572266,180.55320739746094,400.96816223177234,168.01754760742188,0.7443163990974426,274.3319887633969,10000,0.7236770987510681,0.6378006935119629
