reference_Q_std,total/epochs,train/loss_critic,eval/return,ret_rms_std,rollout/Q_mean,rollout/return,eval/episodes,rollout/episode_steps,train/loss_actor,train/param_noise_distance,reference_action_mean,total/steps_per_second,rollout/actions_std,reference_perturbed_action_mean,total/steps,rollout/actions_mean,eval/return_history,reference_action_std,reference_perturbed_action_std,ret_rms_mean,reference_Q_mean,rollout/return_history,reference_actor_Q_std,rollout/episodes,total/episodes,param_noise_stddev,reference_actor_Q_mean,obs_rms_std,total/duration,obs_rms_mean,eval/Q
0.558117151260376,556,47.001441955566406,886.4375991213853,1.0,157.43402099609375,599.8973064185283,556.0,1000.0,-193.9187469482422,0.16248905658721924,0.5646492838859558,85.95959690173208,0.6377328634262085,0.5054507255554199,556000,0.015468662604689598,917.9233820618375,0.66933274269104,0.6858026385307312,0.0,180.517578125,776.3457119204664,0.5560923218727112,556.0,556.0,0.020282151651708893,182.19688415527344,2.5888867378234863,6468.155040740967,0.2075459510087967,197.16098022460938
0.7325595021247864,557,36.31587219238281,812.9585078741321,1.0,157.5023651123047,600.1115426964648,557.0,1000.0,-194.02944946289062,0.21106988191604614,0.691493034362793,85.95933497184328,0.6377757787704468,0.7206017374992371,557000,0.015432063490152359,919.5615071811606,0.46136990189552307,0.4618473947048187,0.0,182.14358520507812,774.5179972842774,0.5993203520774841,557.0,557.0,0.020689822899908242,183.33770751953125,2.5882174968719482,6479.808157920837,0.20756685733795166,196.49803161621094
0.6642035841941833,558,14.375223159790039,902.3048310639379,1.0,157.56500244140625,599.7047607297262,558.0,1000.0,-194.04393005371094,0.22793270647525787,0.5941783785820007,85.95837693658781,0.6377290487289429,0.7538536190986633,558000,0.015458068810403347,922.7814446745,0.5981606841087341,0.4073612093925476,0.0,181.06736755371094,770.1132546571572,0.6212447285652161,558.0,558.0,0.020689822899908242,182.66468811035156,2.588134765625,6491.513915061951,0.20754757523536682,196.62986755371094
0.6986450552940369,559,39.433040618896484,584.1825919814208,1.0,157.63148498535156,599.8944286999676,559.0,1000.0,-193.85768127441406,0.283000111579895,0.7332964539527893,85.95658827467366,0.6377042531967163,0.6307806968688965,559000,0.015431881882250309,918.1820213645534,0.43086662888526917,0.6334536075592041,0.0,182.0203857421875,769.254902200886,0.5668885111808777,559.0,559.0,0.02152991267583435,183.65567016601562,2.5879709720611572,6503.282775878906,0.20758412778377533,193.37835693359375
0.7109600305557251,560,7.1189775466918945,774.9570073136847,1.0,157.6949462890625,599.8391808056085,560.0,1000.0,-193.92103576660156,0.23270456492900848,0.7044736742973328,85.95625505460434,0.6377911567687988,0.8266844749450684,560000,0.015449849888682365,915.155764340881,0.44640684127807617,0.2829481363296509,0.0,182.58355712890625,764.992222517083,0.5021994709968567,560.0,560.0,0.020689822899908242,183.95504760742188,2.587482452392578,6514.941811323166,0.20761804282665253,194.8268280029297
0.7225795984268188,561,84.10021209716797,1080.8945838349655,1.0,157.75869750976562,599.781985289522,561.0,1000.0,-193.33697509765625,0.21162483096122742,0.5859236121177673,85.95675750860428,0.637818455696106,0.6884021759033203,561000,0.015485644340515137,915.9215752104664,0.5723638534545898,0.4808964133262634,0.0,182.54119873046875,761.7963738910101,0.4385010898113251,561.0,561.0,0.02152991267583435,183.73951721191406,2.5872714519500732,6526.537485361099,0.20763346552848816,195.89950561523438
0.9797239303588867,562,37.324337005615234,1061.6623644505996,1.0,157.82720947265625,600.4105678579093,562.0,1000.0,-193.49964904785156,0.23066487908363342,0.4473307430744171,85.95583919481668,0.6379225254058838,0.296029657125473,562000,0.015250537544488907,919.6433894141417,0.6404232382774353,0.7067807912826538,0.0,181.12875366210938,764.5754907735651,0.5503121614456177,562.0,562.0,0.02152991267583435,181.23074340820312,2.5871975421905518,6538.241092920303,0.20765264332294464,196.0052947998047
0.800894558429718,563,14.018268585205078,973.1907464239821,1.0,157.8949737548828,601.0475590791251,563.0,1000.0,-193.16578674316406,0.23051387071609497,0.552324652671814,85.95473357747089,0.6379668116569519,0.260921448469162,563000,0.015220850706100464,920.4992418487777,0.5232362151145935,0.6857897043228149,0.0,179.1920166015625,768.6016035782942,0.7025187015533447,563.0,563.0,0.021962663920618616,181.1153564453125,2.5869803428649902,6549.959223508835,0.2077011615037918,195.8767547607422
0.8742277026176453,564,39.31655502319336,984.9076238354164,1.0,157.958984375,601.2684776176065,564.0,1000.0,-192.76547241210938,0.26090019941329956,0.6913242340087891,85.95362588141273,0.638006329536438,0.6070749163627625,564000,0.015026855282485485,919.8261479742928,0.47510987520217896,0.5709192752838135,0.0,181.11196899414062,771.0761405655957,0.5925611853599548,564.0,564.0,0.0211056883401964,182.3177947998047,2.5869150161743164,6561.677814245224,0.20769254863262177,195.37448120117188
0.6573125720024109,565,49.392391204833984,840.7520318145034,1.0,158.0243377685547,601.8077259922483,565.0,1000.0,-193.00926208496094,0.21041907370090485,0.5436809659004211,85.95313230588829,0.6380058526992798,0.589008092880249,565000,0.01493993028998375,918.4952559606096,0.4896470606327057,0.5062093734741211,0.0,180.31539916992188,771.4430549599608,0.5882593989372253,565.0,565.0,0.0211056883401964,181.1000518798828,2.5868191719055176,6573.349741220474,0.20771323144435883,195.28558349609375
0.7831745743751526,566,12.264545440673828,1039.2233634235533,1.0,158.08924865722656,602.1922476100218,566.0,1000.0,-192.87078857421875,0.1851482093334198,0.5370388031005859,85.9516674159559,0.638143002986908,0.4011327028274536,566000,0.014853089116513729,918.0086874471621,0.4711361825466156,0.5095309615135193,0.0,179.72238159179688,769.2092526942976,0.5864383578300476,566.0,566.0,0.021962663920618616,181.8842315673828,2.5869338512420654,6585.096217632294,0.20774652063846588,196.78799438476562
0.7762518525123596,567,36.06528854370117,980.4782859121211,1.0,158.15675354003906,603.0274801493268,567.0,1000.0,-192.9227294921875,0.18709106743335724,0.4795537292957306,85.94964872708331,0.638177752494812,0.38230419158935547,567000,0.01485420297831297,917.5300484835269,0.5417723655700684,0.6210641264915466,0.0,180.08338928222656,768.199706194634,0.5724649429321289,567.0,567.0,0.02152991267583435,181.42991638183594,2.5869221687316895,6596.885599851608,0.20780426263809204,196.48704528808594
