reference_Q_std,total/epochs,eval/episodes,rollout/Q_mean,reference_actor_Q_mean,rollout/return,total/duration,reference_actor_Q_std,rollout/actions_std,rollout/episode_steps,total/steps,rollout/actions_mean,rollout/episodes,train/param_noise_distance,eval/return,reference_action_std,train/loss_critic,eval/return_history,train/loss_actor,obs_rms_std,total/steps_per_second,obs_rms_mean,rollout/return_history,ret_rms_mean,eval/Q,ret_rms_std,reference_Q_mean,total/episodes,reference_action_mean
6.082535266876221,171,171.0,239.92784118652344,369.15008544921875,1260.6481004591212,2031.1912696361542,5.891246795654297,0.6890115737915039,1000.0,171000,0.27968648076057434,171.0,0.0,2754.417367256891,0.622606635093689,201.7759246826172,2060.8529157362264,-369.7606506347656,2.2696774005889893,84.18704951928585,0.12182381749153137,1621.9438285520537,0.0,400.62115478515625,1.0,367.0025634765625,171.0,0.3456592261791229
4.915477275848389,172,172.0,240.84056091308594,371.81451416015625,1265.5514077324394,2043.01007437706,5.039490699768066,0.6890822052955627,1000.0,172000,0.2794787287712097,172.0,0.0,2497.851318760695,0.6232430338859558,30.06208038330078,2070.8183097800775,-374.4573059082031,2.2718887329101562,84.18950163642488,0.12211097031831741,1631.250188870077,0.0,402.15423583984375,1.0,370.0205078125,172.0,0.36201199889183044
4.027690410614014,173,173.0,241.75804138183594,375.60211181640625,1270.5803488453575,2054.8016142845154,4.808288097381592,0.6894864439964294,1000.0,173000,0.2793833911418915,173.0,0.0,2442.3762157572164,0.5784239768981934,75.01065063476562,2077.8710174670387,-377.58380126953125,2.2744011878967285,84.19304267494398,0.12232483178377151,1635.8757165905436,0.0,403.7620849609375,1.0,373.8095703125,173.0,0.4749282896518707
4.534958839416504,174,174.0,242.67208862304688,375.97796630859375,1274.6231134039162,2066.634242296219,5.217713832855225,0.6895087957382202,1000.0,174000,0.27937597036361694,174.0,0.0,2490.7238009051757,0.597510039806366,158.67283630371094,2085.873975442767,-378.4769287109375,2.275942802429199,84.19486933820963,0.12247379869222641,1643.8491953309249,0.0,405.0617980957031,1.0,373.9091796875,174.0,0.3708469867706299
4.582430839538574,175,175.0,243.5215606689453,376.9564208984375,1275.3105383849165,2078.4860649108887,3.8533122539520264,0.689597487449646,1000.0,175000,0.2786582112312317,175.0,0.0,2543.197191804937,0.6594550609588623,57.5802001953125,2101.606062578409,-379.6694641113281,2.2781717777252197,84.19589765568277,0.12244970351457596,1641.6077113531655,0.0,407.3162536621094,1.0,373.1634521484375,175.0,0.224700927734375
5.205976486206055,176,176.0,244.44015502929688,376.80218505859375,1280.7272010131599,2090.4647653102875,3.599839925765991,0.6897215247154236,1000.0,176000,0.27880677580833435,176.0,0.0,2876.57185622367,0.5839928984642029,108.44656372070312,2114.033942720738,-380.6559753417969,2.2811222076416016,84.19180410049931,0.12290813028812408,1656.5933069764005,0.0,411.7437438964844,1.0,373.57421875,176.0,0.38115039467811584
3.3693654537200928,177,177.0,245.36160278320312,382.00189208984375,1285.7552755482316,2102.3374252319336,2.874391794204712,0.6898749470710754,1000.0,177000,0.2788398563861847,177.0,0.0,2601.481989344734,0.5573779940605164,209.05882263183594,2121.729269876637,-381.5953063964844,2.2829456329345703,84.19200356501909,0.12306708097457886,1664.6408638147855,0.0,411.6933288574219,1.0,378.0467529296875,177.0,0.3924200236797333
3.6706387996673584,178,178.0,246.24801635742188,384.74908447265625,1289.087780707269,2114.2003886699677,3.227618455886841,0.6898857951164246,1000.0,178000,0.2783918082714081,178.0,0.0,2710.0239666847356,0.4883279502391815,122.54035949707031,2135.9430233166013,-382.58551025390625,2.2848424911499023,84.19258692501654,0.12318819016218185,1668.107111009229,0.0,412.6248474121094,1.0,380.9502868652344,178.0,0.557270884513855
4.201000690460205,179,179.0,247.16920471191406,385.9062805175781,1295.387787365323,2126.0915501117706,3.4558331966400146,0.6901187300682068,1000.0,179000,0.27827131748199463,179.0,0.0,3243.0963286135893,0.6050944924354553,158.7521209716797,2157.3358303344917,-383.0626220703125,2.2882587909698486,84.19204713484224,0.12347254902124405,1683.8837269655219,0.0,416.2513427734375,1.0,382.4673156738281,179.0,0.36688432097435
3.424295663833618,180,180.0,248.03477478027344,387.24542236328125,1297.2363764193028,2137.999798297882,3.351496458053589,0.6899843215942383,1000.0,180000,0.27898797392845154,180.0,0.0,2789.0005131940716,0.6012405157089233,252.822265625,2168.1788842477886,-384.7186584472656,2.2881152629852295,84.19084049647842,0.12371350824832916,1687.7310045777297,0.0,416.1684875488281,1.0,384.31329345703125,180.0,0.4135037362575531
4.985940456390381,181,181.0,248.94691467285156,391.0978088378906,1302.8705650217673,2149.890124320984,5.309113502502441,0.6901770234107971,1000.0,181000,0.27920377254486084,181.0,0.0,2077.8433898544636,0.6177941560745239,114.24385070800781,2177.2569108378025,-388.9980773925781,2.291191577911377,84.19034905663683,0.1240590438246727,1700.7945325384346,0.0,412.9324035644531,1.0,387.9088134765625,181.0,0.3939650058746338
5.260227203369141,182,182.0,249.84967041015625,389.41400146484375,1306.9508108358048,2161.7674334049225,5.571887493133545,0.6902963519096375,1000.0,182000,0.2794361114501953,182.0,0.0,2451.8641175553694,0.6479631066322327,177.53359985351562,2188.249824667051,-389.91131591796875,2.293863296508789,84.19036996655015,0.12425856292247772,1709.9188651490456,0.0,417.1050109863281,1.0,386.799072265625,182.0,0.41909298300743103
7.294744491577148,183,183.0,250.74497985839844,390.8601989746094,1310.3731121299334,2173.7397389411926,6.152369022369385,0.6902809143066406,1000.0,183000,0.27989137172698975,183.0,0.0,2115.9886850271514,0.6578366160392761,66.62508392333984,2195.379908129006,-390.9897155761719,2.2948875427246094,84.18671137195915,0.12448126077651978,1718.8221361919027,0.0,416.3125915527344,1.0,387.4779052734375,183.0,0.3596562445163727
5.3636345863342285,184,184.0,251.6140594482422,392.73321533203125,1311.9830021179152,2185.616055727005,4.023013591766357,0.6901141405105591,1000.0,184000,0.28052258491516113,184.0,0.0,2322.7713888871212,0.672644853591919,9.630697250366211,2212.5610579284976,-392.4144592285156,2.295522451400757,84.1867900438697,0.12458011507987976,1725.7806206418709,0.0,419.9767150878906,1.0,389.1258544921875,184.0,0.24117572605609894
