train/loss_actor,total/steps_per_second,obs_rms_mean,train/param_noise_distance,total/steps,obs_rms_std,rollout/return,total/duration,reference_Q_std,eval/Q,reference_actor_Q_mean,param_noise_stddev,ret_rms_mean,eval/return_history,ret_rms_std,rollout/episodes,rollout/Q_mean,eval/episodes,rollout/return_history,reference_actor_Q_std,reference_perturbed_action_mean,eval/return,reference_Q_mean,total/epochs,reference_action_std,rollout/actions_mean,total/episodes,reference_perturbed_action_std,rollout/episode_steps,reference_action_mean,train/loss_critic,rollout/actions_std
-19.50228500366211,86.10354771610676,1.276258945465088,0.53787761926651,1000,7.545919895172119,148.49135780931192,11.61392331123352,2.5117275714874268,20.007017135620117,20.079025268554688,0.16720346283821505,0.0,480.4755339685271,1.0,31.0,9.378656387329102,1.0,148.49135780931192,2.146784782409668,0.2242516577243805,480.4755339685271,19.913742065429688,1,0.6954777836799622,0.05533374845981598,31.0,0.7172600030899048,30.838709677419356,0.19299627840518951,1.9444384574890137,0.6836637854576111
-39.645172119140625,88.54216258901403,1.4318974018096924,0.5692729353904724,2000,7.1943864822387695,165.56500673083977,22.588108777999878,6.4485344886779785,41.45706558227539,41.192325592041016,0.1370306733903066,0.0,359.448751041174,1.0,58.0,19.182188034057617,2.0,165.56500673083977,5.260092735290527,0.01255264412611723,238.42196811382092,40.702880859375,2,0.6292324662208557,0.09936899691820145,58.0,0.8000621199607849,34.48275862068966,-0.03187978267669678,2.5820937156677246,0.7173545360565186
-59.35048294067383,89.67880658318457,1.5083134174346924,0.6608085036277771,3000,7.259658336639404,173.00433859400505,33.452719926834106,12.062849998474121,61.43598556518555,61.81325149536133,0.11230273064362171,0.0,307.2541599533173,1.0,83.0,28.978214263916016,3.0,173.00433859400505,10.270061492919922,0.051352519541978836,202.86497777760397,60.72878646850586,3,0.6552324891090393,0.10655587166547775,83.0,0.7059579491615295,35.68674698795181,-0.0024898650590330362,5.62319803237915,0.716480016708374
-78.71736145019531,90.02111629855192,1.5891646146774292,0.6223288774490356,4000,7.458620071411133,184.86582100752477,44.43401908874512,18.243492126464844,82.63558959960938,82.13777160644531,0.09203708190275892,0.0,291.0171723010945,1.0,105.0,38.800540924072266,4.0,186.3032418712184,15.702803611755371,0.24691759049892426,242.3062093444261,80.30602264404297,4,0.7162887454032898,0.12016197293996811,105.0,0.7651671171188354,38.06666666666667,0.19183692336082458,6.915863513946533,0.7151820063591003
-96.14373016357422,90.0468491348761,1.6912428140640259,0.5106270909309387,5000,7.225393772125244,200.09757574949816,55.52665138244629,24.89768409729004,96.5152816772461,100.5829086303711,0.07542848153938683,0.0,287.2179019295674,1.0,121.0,48.90522003173828,5.0,211.83961876200712,22.150400161743164,0.24202285706996918,272.020820443459,98.16085815429688,5,0.7181704044342041,0.1486538052558899,121.0,0.7283318638801575,40.98347107438016,0.22780445218086243,6.28347635269165,0.7180089950561523
-113.9007339477539,89.82835567991421,1.806806206703186,0.4016023874282837,6000,7.059225559234619,214.94888932508934,66.79405355453491,34.75724411010742,121.0139389038086,118.09610748291016,0.06181699495154324,0.0,318.8706775602483,1.0,137.0,58.107364654541016,6.0,237.35521988934244,31.446178436279297,0.4000128507614136,477.13455571365256,114.94276428222656,6,0.7340847253799438,0.1791386902332306,137.0,0.7029190063476562,43.68613138686131,0.33060094714164734,9.235535621643066,0.7230671644210815
-128.94549560546875,89.80555985081807,1.8671209812164307,0.3759532570838928,7000,6.95167875289917,227.8192286778579,77.94617629051208,43.31538009643555,131.60308837890625,134.83514404296875,0.05066177638540577,0.0,320.86797460183396,1.0,151.0,65.62578582763672,7.0,266.71346276366074,39.92294692993164,0.418150931596756,332.8517568513483,131.30540466308594,7,0.7268233299255371,0.19681695103645325,151.0,0.7067065834999084,46.13245033112583,0.3866095542907715,14.789022445678711,0.7304731011390686
-146.3850555419922,89.79319107271392,1.920616626739502,0.2831139862537384,8000,6.885587692260742,236.71916253900363,89.09361505508423,54.940311431884766,142.50804138183594,150.4027862548828,0.04151957869412388,0.0,318.41816641047075,1.0,166.0,73.61724853515625,8.0,285.72487042923063,51.49732208251953,0.4016568660736084,301.26950907092817,146.38656616210938,8,0.7362155318260193,0.21676838397979736,166.0,0.7325800061225891,47.92168674698795,0.4000803232192993,13.950796127319336,0.7373504042625427
-159.8517608642578,89.78631955224796,1.9574755430221558,0.2976933419704437,9000,6.85635232925415,243.02235094148028,100.23798775672913,61.102806091308594,166.51785278320312,167.8760986328125,0.034027141129503384,0.0,320.2870351920613,1.0,182.0,82.41361999511719,9.0,301.2230812266241,57.16019821166992,0.28737035393714905,335.237985444786,163.19090270996094,9,0.7837066650390625,0.2313651740550995,182.0,0.7675158381462097,49.10989010989011,0.22814664244651794,12.068702697753906,0.741908073425293
-173.21026611328125,89.79033218527138,1.989137887954712,0.2171200066804886,10000,6.788522243499756,250.06152026433762,111.37056469917297,70.37721252441406,165.2960662841797,184.07952880859375,0.027886755354071244,0.0,318.57514523675275,1.0,198.0,89.65953826904297,10.0,314.7559575579484,65.57823181152344,0.21873874962329865,303.16813563897597,178.61727905273438,10,0.7962472438812256,0.24588164687156677,198.0,0.7916818857192993,50.474747474747474,0.21617597341537476,14.266305923461914,0.7461410760879517
