ret_rms_std,train/param_noise_distance,total/epochs,rollout/episode_steps,ret_rms_mean,rollout/actions_mean,reference_perturbed_action_std,total/steps,rollout/return,param_noise_stddev,obs_rms_mean,rollout/Q_mean,train/loss_critic,obs_rms_std,total/duration,train/loss_actor,reference_action_std,eval/return,total/episodes,total/steps_per_second,eval/episodes,reference_Q_std,reference_actor_Q_mean,rollout/episodes,eval/Q,rollout/return_history,eval/return_history,reference_perturbed_action_mean,reference_Q_mean,rollout/actions_std,reference_action_mean,reference_actor_Q_std
1.0,0.8211759924888611,1,1000.0,0.0,0.2004755288362503,0.7040936946868896,1000,-469.10728265129967,0.16720346283821505,0.0343797542154789,-0.49996405839920044,0.05905294418334961,1.7731379270553589,18.49895453453064,-0.6268879175186157,0.8042253255844116,-444.5309872726717,1.0,54.05710891031023,1.0,1.4551336765289307,0.6826961040496826,1.0,0.7275564670562744,-469.10728265129967,-444.5309872726717,0.4373055696487427,-0.18505939841270447,0.6940664649009705,0.38369986414909363,1.10658860206604
1.0,0.6483657956123352,2,1000.0,0.0,0.2837287187576294,0.6648833155632019,2000,-489.70058964051657,0.1370306733903066,0.07468853890895844,-0.20363910496234894,0.08173312246799469,1.5872007608413696,36.54315114021301,-1.7855726480484009,0.641145646572113,-362.49229059322437,2.0,54.72981769760816,2.0,1.767775058746338,3.138657569885254,2.0,1.8965957164764404,-489.70058964051657,-403.511638932948,0.2664395570755005,2.580068588256836,0.6691811084747314,0.20015768706798553,1.5372806787490845
1.0,0.8233254551887512,3,1000.0,0.0,0.09163671731948853,0.5403597950935364,3000,-411.890687718288,0.11230273064362171,0.05138373002409935,1.0333564281463623,0.12420064210891724,1.4936230182647705,54.5274498462677,-4.012932300567627,0.7173019647598267,-355.08717177283904,3.0,55.01816073295319,3.0,2.300729513168335,4.956246376037598,3.0,2.271375894546509,-411.890687718288,-387.3701498795784,0.4290344715118408,4.113824844360352,0.7245762348175049,0.1998416632413864,2.0362768173217773
1.0,0.7078778743743896,4,1000.0,0.0,0.039092741906642914,0.716546893119812,4000,-401.8208128986067,0.09203708190275892,0.0588630773127079,1.6007940769195557,0.14187563955783844,1.36516273021698,72.50271081924438,-6.168912887573242,0.6471185684204102,-335.4354064779427,4.0,55.17035094001314,4.0,2.7142586708068848,8.177160263061523,4.0,5.820664882659912,-401.8208128986067,-374.3864640291695,0.09804389625787735,7.421504020690918,0.7447439432144165,0.282757967710495,2.522231101989746
1.0,0.41972288489341736,5,1000.0,0.0,0.054629143327474594,0.6646052598953247,5000,-405.8200796880269,0.07542848153938683,0.04491155594587326,3.91520619392395,0.3742603361606598,1.4986062049865723,90.4314911365509,-9.35572624206543,0.6589136123657227,-299.031211750918,5.0,55.29047389531635,5.0,3.5905144214630127,12.490313529968262,5.0,5.049161911010742,-405.8200796880269,-359.31541357351915,0.005895962473005056,11.278993606567383,0.7266088128089905,0.18781287968158722,3.339186191558838
1.0,0.3696346580982208,6,1000.0,0.0,0.056394997984170914,0.6244435906410217,6000,-309.95347608819065,0.06181699495154324,0.03781833127140999,6.615972518920898,0.2831242084503174,1.7491668462753296,108.44743371009827,-16.074939727783203,0.6290271878242493,-478.61529213782524,6.0,55.3263437845768,6.0,2.987546920776367,17.355945587158203,6.0,7.658349990844727,-309.95347608819065,-379.19872666757016,0.04404471442103386,16.300735473632812,0.7115252017974854,-0.006136173848062754,2.6029670238494873
1.0,0.40124937891960144,7,1000.0,0.0,0.02066970057785511,0.5735870003700256,7000,-277.1771427924301,0.05066177638540577,0.04434811323881149,7.817701816558838,0.4665699899196625,1.806274175643921,126.4743025302887,-20.16960906982422,0.5978394150733948,-359.7908750490652,7.0,55.34721172566739,7.0,2.7882468700408936,22.78339385986328,7.0,12.685104370117188,-277.1771427924301,-376.42617643635515,-0.22069697082042694,21.850549697875977,0.7124955654144287,0.05753758177161217,2.44282865524292
1.0,0.22424916923046112,8,1000.0,0.0,0.020237784832715988,0.640794038772583,8000,-215.36047578624434,0.04151957869412388,0.04074786975979805,10.54296875,0.6272914409637451,1.8683052062988281,144.5234613418579,-25.32806968688965,0.6011275053024292,-437.95424482650526,8.0,55.354334346287786,8.0,2.993828535079956,27.66388511657715,8.0,16.373647689819336,-215.36047578624434,-384.1171849851239,-0.03546568378806114,26.502647399902344,0.6915792226791382,0.14482402801513672,2.4050025939941406
1.0,0.1939161717891693,9,1000.0,0.0,0.021089643239974976,0.5319978594779968,9000,-218.89373893776113,0.03540877950819716,0.040412627160549164,12.347923278808594,0.5871409773826599,1.7753782272338867,162.6266577243805,-29.589052200317383,0.5077601671218872,-368.357795186815,9.0,55.34148045551789,9.0,2.84342622756958,31.775882720947266,9.0,23.129192352294922,-218.89373893776113,-382.3661416742007,0.18354439735412598,30.576866149902344,0.6877660751342773,0.038843270391225815,2.2760698795318604
1.0,0.20287968218326569,10,1000.0,0.0,-0.03845788165926933,0.5886431336402893,10000,-234.25400823408455,0.030804326970036475,0.040677208453416824,13.366724967956543,1.2782975435256958,1.7306655645370483,180.603360414505,-34.22100830078125,0.5553785562515259,-419.4921710428566,10.0,55.369955337757155,10.0,2.285749912261963,36.150733947753906,10.0,26.45393180847168,-234.25400823408455,-386.0787446110663,0.06396698951721191,35.16164779663086,0.7006749510765076,0.054025907069444656,2.109354019165039
1.0,0.20935657620429993,11,1000.0,0.0,-0.041527435183525085,0.5493523478507996,11000,-234.8221740383944,0.028447279136688076,0.04038932919502258,15.393745422363281,1.7916651964187622,1.722022533416748,198.54022431373596,-37.49428939819336,0.5211054086685181,-476.3170329956238,11.0,55.40438990648892,11.0,3.671447277069092,39.21428680419922,11.0,28.888261795043945,-234.8221740383944,-394.2822253732988,-0.04066736251115799,38.067352294921875,0.7002019286155701,0.030552774667739868,2.610711097717285
