rollout/Q_mean,obs_rms_std,total/epochs,reference_action_std,train/param_noise_distance,ret_rms_std,total/steps_per_second,eval/Q,obs_rms_mean,eval/return,eval/return_history,reference_Q_std,reference_perturbed_action_std,reference_perturbed_action_mean,reference_action_mean,ret_rms_mean,total/duration,total/episodes,reference_Q_mean,rollout/episode_steps,reference_actor_Q_std,rollout/actions_std,rollout/episodes,rollout/return_history,eval/episodes,reference_actor_Q_mean,train/loss_actor,param_noise_stddev,total/steps,train/loss_critic,rollout/actions_mean,rollout/return
10045.08984375,7.080478191375732,6170,0.939215898513794,0.2299075424671173,1.0,60.373920435713735,21050.421875,1.7680079936981201,1084.3975894419464,1205.0394015041359,8579.181640625,0.9401140809059143,0.16928356885910034,0.17741024494171143,0.0,102196.4443500042,30466.0,11100.255859375,202.51749491236131,8432.8681640625,0.8711463809013367,30466.0,1106.8637196983718,6170.0,12248.42578125,-21871.248046875,0.005563337841870998,6170000,1221274.75,0.1380213052034378,968.0333991180522
10047.28515625,7.080636501312256,6171,0.9441511631011963,0.24333271384239197,1.0,60.3723377022476,19555.125,1.7679892778396606,791.4352452163828,1206.9873411341935,8600.6953125,0.9430468082427979,0.1648818701505661,0.16536688804626465,0.0,102215.68743014336,30469.0,10998.5126953125,202.53290229413503,8452.73828125,0.8711422681808472,30469.0,1133.2351431047448,6171.0,12154.3232421875,-22150.7421875,0.005563337841870998,6171000,1261549.625,0.13802461326122284,968.1072357385402
10049.5166015625,7.080775260925293,6172,0.9411638975143433,0.19152717292308807,1.0,60.37075318611668,21057.607421875,1.767970323562622,774.8498295913123,1203.5156252813222,8626.4501953125,0.9381466507911682,0.18627721071243286,0.1689268797636032,0.0,102234.93453812599,30471.0,10896.685546875,202.54760263857438,8483.9296875,0.8711395859718323,30471.0,1148.7067226557474,6172.0,12031.3212890625,-22168.3125,0.006024297687744463,6172000,1144296.625,0.1380155384540558,968.1787669939414
10051.3740234375,7.08093786239624,6173,0.9430809020996094,0.21132659912109375,1.0,60.36923559922114,21045.68359375,1.7679474353790283,774.1155976801294,1206.436415932052,8651.900390625,0.9464500546455383,0.13769155740737915,0.15780171751976013,0.0,102254.06929087639,30477.0,10893.05078125,202.54283558092988,8542.0732421875,0.8711391687393188,30477.0,1163.8212543912232,6173.0,12014.04296875,-22015.3359375,0.0059055952237471445,6173000,1462784.5,0.1380128711462021,968.152447391117
10053.3896484375,7.08081579208374,6174,0.9444401264190674,0.19392813742160797,1.0,60.36716612392818,21029.322265625,1.7679455280303955,1423.431649444588,1209.700981082707,8570.2900390625,0.9403057098388672,0.15455083549022675,0.1324036568403244,0.0,102274.14000725746,30478.0,11137.8583984375,202.559387098891,8470.7177734375,0.8711393475532532,30478.0,1190.724242915005,6174.0,12322.599609375,-21930.953125,0.006024297687744463,6174000,1324578.375,0.1380176693201065,968.2265659758172
10055.392578125,7.080788612365723,6175,0.9458581209182739,0.17170019447803497,1.0,60.36554572981816,23809.392578125,1.767926812171936,826.6450511125653,1204.992382226662,8589.65625,0.9502072334289551,0.08991730213165283,0.12982574105262756,0.0,102293.45109605789,30481.0,11112.650390625,202.57481709917653,8480.7431640625,0.8711391091346741,30481.0,1203.8041630942923,6175.0,12249.96484375,-22005.15234375,0.0057892316672357065,6175000,1156444.75,0.13801348209381104,968.2942433075079
10057.166015625,7.080865859985352,6176,0.9420922994613647,0.24229484796524048,1.0,60.36395712592914,20961.982421875,1.7679178714752197,743.4037140947779,1202.1202815814393,8589.646484375,0.9375340938568115,0.13765186071395874,0.12834714353084564,0.0,102312.70933938026,30485.0,11033.599609375,202.58710841397408,8497.3251953125,0.871139645576477,30485.0,1199.0337299540538,6176.0,12184.4375,-21941.3515625,0.005675160932492605,6176000,1310560.125,0.13800811767578125,968.3503038292437
10058.984375,7.080911636352539,6177,0.937304675579071,0.25623345375061035,1.0,60.36191754674774,22732.6328125,1.767913818359375,1406.6537258848198,1197.4502865625998,8458.9423828125,0.9365065097808838,0.14016857743263245,0.15588369965553284,0.0,102332.733137846,30490.0,10943.640625,202.58232207281077,8371.9580078125,0.8711406588554382,30490.0,1175.3619495063215,6177.0,12111.31640625,-22152.595703125,0.006145386071268126,6177000,1947077.125,0.13800786435604095,968.3241525365362
10060.7705078125,7.081490993499756,6178,0.9303188920021057,0.26616576313972473,1.0,60.360042295872965,21406.900390625,1.76789128780365,1178.6005366096483,1200.7935614512635,8451.419921875,0.9296054840087891,0.19165070354938507,0.1940131038427353,0.0,102352.47963738441,30495.0,10981.720703125,202.58799803246433,8321.4912109375,0.8711424469947815,30495.0,1197.2571199705064,6178.0,12138.54296875,-22044.296875,0.005675160932492605,6178000,1538490.125,0.13800814747810364,968.3455947849377
10062.802734375,7.081604480743408,6179,0.9414850473403931,0.19537559151649475,1.0,60.358195009024634,23052.2734375,1.7678990364074707,1039.3860385873345,1202.7927197293072,8430.296875,0.9421099424362183,0.10233165323734283,0.09556122869253159,0.0,102372.17993474007,30498.0,11191.951171875,202.60325267230638,8289.1630859375,0.8711395859718323,30498.0,1204.2693727912401,6179.0,12379.9150390625,-21832.349609375,0.0059055952237471445,6179000,1176993.75,0.13802406191825867,968.4143396874186
10064.5947265625,7.082011699676514,6180,0.9373824000358582,0.21688684821128845,1.0,60.356283531793466,22006.921875,1.7678714990615845,1176.7991800490404,1203.862126061769,8474.5869140625,0.9345293045043945,0.12982594966888428,0.1340092420578003,0.0,102391.99033427238,30503.0,11329.685546875,202.6010884175327,8281.46484375,0.8711442947387695,30503.0,1177.5336228683127,6180.0,12507.5693359375,-22097.029296875,0.0057892316672357065,6180000,1384148.0,0.13801023364067078,968.3960631604854
10066.626953125,7.082099914550781,6181,0.9426764845848083,0.17871421575546265,1.0,60.35429970859245,23386.81640625,1.767861008644104,1252.2178564307808,1195.9966549358087,8419.62109375,0.937835693359375,0.10545423626899719,0.09732324630022049,0.0,102411.92474842072,30510.0,11332.458984375,202.5857423795477,8259.681640625,0.8711464405059814,30510.0,1129.2150051813753,6181.0,12516.361328125,-22383.6484375,0.006145386071268126,6181000,1131902.75,0.1380005180835724,968.3196698897004
