rollout/episodes,train/loss_critic,rollout/return_history,total/steps_per_second,rollout/Q_mean,train/param_noise_distance,rollout/episode_steps,reference_action_mean,rollout/return,reference_actor_Q_std,eval/return,total/epochs,rollout/actions_std,reference_Q_mean,obs_rms_mean,reference_action_std,ret_rms_std,reference_actor_Q_mean,total/episodes,rollout/actions_mean,reference_Q_std,ret_rms_mean,eval/Q,total/steps,eval/episodes,train/loss_actor,total/duration,obs_rms_std,eval/return_history
1.0,0.034204356372356415,-327.537918530561,24.536680257426696,-0.38367462158203125,0.0,1000.0,0.4067653715610504,-327.537918530561,3.4851620197296143,-366.54593768355323,1,0.7552433609962463,2.416199207305908,0.09918916970491409,0.7869532704353333,1.0,3.112433433532715,1.0,0.06981316953897476,3.318023681640625,0.0,4.800976753234863,1000,1.0,-3.0324485301971436,40.75530958175659,0.8462281823158264,-366.54593768355323
2.0,0.09065607190132141,-280.55527541071103,24.69809779604768,3.5405449867248535,0.0,1000.0,0.1070643737912178,-280.55527541071103,5.304742813110352,-793.711601450625,2,0.7478157877922058,9.127481460571289,0.1026221215724945,0.6886582374572754,1.0,9.669496536254883,2.0,-0.0020045877899974585,5.008186340332031,0.0,13.254434585571289,2000,2.0,-10.385415077209473,80.9778962135315,1.3972892761230469,-580.1287695670892
3.0,0.20357951521873474,-136.49187668258094,24.876710207448205,8.616570472717285,0.0,1000.0,0.2622310519218445,-136.49187668258094,12.171674728393555,-752.5397000766121,3,0.6869864463806152,12.624555587768555,0.10649976134300232,0.7244501709938049,1.0,13.298891067504883,3.0,-0.00021790653408970684,12.006279945373535,0.0,23.367774963378906,3000,3.0,-18.451519012451172,120.59472393989563,1.6189051866531372,-637.5990797369301
4.0,0.3042003810405731,-82.9954290429118,24.950122407350264,14.304020881652832,0.0,1000.0,0.1045827865600586,-82.9954290429118,13.8787202835083,923.8541563468532,4,0.6642782688140869,19.525192260742188,0.10399246215820312,0.804522693157196,1.0,20.37689208984375,4.0,0.015889769420027733,13.718781471252441,0.0,41.5521240234375,4000,4.0,-30.40142822265625,160.31985473632812,1.7050247192382812,-247.2357707159843
5.0,1.06880521774292,131.79957658660834,25.01471628257483,21.60271644592285,0.0,1000.0,-0.07364843785762787,131.79957658660834,19.59735870361328,1164.593632222417,5,0.6463234424591064,29.806396484375,0.11293476074934006,0.8339895009994507,1.0,31.2655029296875,5.0,-0.022190125659108162,19.16606903076172,0.0,65.4598159790039,5000,5.0,-48.800880432128906,199.8823390007019,1.8980743885040283,35.13010987169596
6.0,1.7777562141418457,239.66036513700521,25.050376658777722,30.620620727539062,0.0,1000.0,-0.15308429300785065,239.66036513700521,30.430423736572266,1286.193927032194,6,0.635265588760376,46.01473617553711,0.11830145865678787,0.8297699689865112,1.0,47.457855224609375,6.0,-0.0473012775182724,29.86172103881836,0.0,92.17963409423828,6000,6.0,-74.8345947265625,239.51735663414001,2.028067111968994,243.64074606511232
7.0,4.8155131340026855,326.8197694498584,25.019717876147208,40.50075912475586,0.0,1000.0,0.00798592995852232,326.8197694498584,27.501962661743164,699.5093446616847,7,0.6302374601364136,71.74275970458984,0.12011346966028214,0.8526386618614197,1.0,74.34587097167969,7.0,-0.0710224062204361,28.21464729309082,0.0,104.27783966064453,7000,7.0,-102.9570083618164,279.77933382987976,2.071394205093384,308.76483157890834
8.0,6.185319900512695,267.2868567233905,24.991618858602312,44.748985290527344,0.0,1000.0,0.06578540056943893,267.2868567233905,31.414657592773438,1146.76022411842,8,0.6469133496284485,97.71598815917969,0.12169861793518066,0.8247970938682556,1.0,99.65647888183594,8.0,-0.09378038346767426,30.600013732910156,0.0,153.992431640625,8000,8.0,-126.97179412841797,320.1073145866394,2.109884023666382,413.5142556463473
9.0,12.31562614440918,309.51652329285275,25.004626557284894,57.571876525878906,0.0,1000.0,0.053029924631118774,309.51652329285275,42.29880905151367,1180.6110372948838,9,0.6410188674926758,114.77070617675781,0.12090522050857544,0.8282175660133362,1.0,116.45989990234375,9.0,-0.1055513396859169,41.76694107055664,0.0,181.37445068359375,9000,9.0,-152.41961669921875,359.93338990211487,2.114833116531372,498.7472313850736
10.0,14.706596374511719,276.93861843445006,25.033488772371623,62.63669204711914,0.0,1000.0,-0.10665735602378845,276.93861843445006,50.54469299316406,1374.4006882470453,10,0.648156464099884,133.34347534179688,0.11964133381843567,0.8688483238220215,1.0,135.5733642578125,10.0,-0.13543546199798584,49.64811325073242,0.0,221.27377319335938,10000,10.0,-173.8080596923828,399.464896440506,2.1340157985687256,586.3125770712708
11.0,13.555963516235352,338.0770449898109,25.047996956255382,77.41429901123047,0.0,1000.0,-0.07265958935022354,338.0770449898109,62.392704010009766,-394.48483348182947,11,0.640978217124939,152.54090881347656,0.12093938142061234,0.8446202278137207,1.0,154.9469451904297,11.0,-0.1461043655872345,62.204833984375,0.0,213.45030212402344,11000,11.0,-202.7809600830078,439.15687227249146,2.148919105529785,497.149176111898
12.0,19.95946502685547,302.7778039886589,25.070098454484715,88.64766693115234,0.0,1000.0,-0.08846414089202881,302.7778039886589,65.45854187011719,1563.4473865591704,12,0.6475159525871277,170.23829650878906,0.11775220185518265,0.8700293898582458,1.0,172.6907958984375,12.0,-0.12794062495231628,65.00987243652344,0.0,274.8140563964844,12000,12.0,-224.49693298339844,478.65787291526794,2.103731393814087,586.0073603158374
13.0,28.984752655029297,261.16461190559863,25.07924500597239,93.67382049560547,0.0,1000.0,-0.10001953691244125,261.16461190559863,74.98187255859375,1418.7737330099499,13,0.664635956287384,191.37232971191406,0.12167543172836304,0.8331954479217529,1.0,193.3382568359375,13.0,-0.11313267797231674,73.49266052246094,0.0,304.5009460449219,13000,13.0,-242.28732299804688,518.3569121360779,2.0982398986816406,650.0663120615384
14.0,22.331676483154297,305.5794883770101,25.08943379590646,109.01631927490234,0.0,1000.0,0.20663435757160187,305.5794883770101,89.46585083007812,1257.4508468286003,14,0.6610373258590698,203.08294677734375,0.12304134666919708,0.76103276014328,1.0,205.39401245117188,14.0,-0.11778239905834198,88.35621643066406,0.0,331.4958801269531,14000,14.0,-268.9210510253906,558.0038239955902,2.1076908111572266,693.450921687757
15.0,31.957910537719727,259.1347206426162,25.10095468912215,110.58773040771484,0.0,1000.0,0.17647124826908112,259.1347206426162,104.76687622070312,1346.249632153645,15,0.6723794937133789,218.2419891357422,0.1254674196243286,0.821862518787384,1.0,220.8109588623047,15.0,-0.11260955780744553,103.8547592163086,0.0,366.231689453125,15000,15.0,-283.130126953125,597.5868322849274,2.16239595413208,736.9708357188163
16.0,39.50674057006836,241.9789665800859,25.11072596661304,115.74869537353516,0.0,1000.0,0.20427840948104858,241.9789665800859,116.95551300048828,1192.0645724142755,16,0.6784889698028564,233.34925842285156,0.12662988901138306,0.7843931317329407,1.0,235.9774932861328,16.0,-0.1150791198015213,115.70553588867188,0.0,387.239501953125,16000,16.0,-298.9579162597656,637.1779143810272,2.1706104278564453,765.4141942622825
17.0,28.7356014251709,274.6505455104083,25.11684098600804,132.1161651611328,0.0,1000.0,0.15132856369018555,274.6505455104083,128.12191772460938,1186.536072112307,17,0.6726094484329224,243.54141235351562,0.12861919403076172,0.7955344915390015,1.0,245.71932983398438,17.0,-0.10948152840137482,127.026123046875,0.0,407.1064453125,17000,17.0,-315.15020751953125,676.8367092609406,2.2022390365600586,790.1860694299311
18.0,34.44908142089844,302.29674995351365,25.119761081898513,147.26661682128906,0.0,1000.0,0.08022727817296982,302.29674995351365,135.31698608398438,1029.7202588970758,18,0.6712188124656677,249.74237060546875,0.13099870085716248,0.841815173625946,1.0,251.80296325683594,18.0,-0.09860145300626755,134.63780212402344,0.0,419.7507629394531,18000,18.0,-334.8507385253906,716.5673248767853,2.218214988708496,803.4935244003279
19.0,35.56487274169922,307.1694097740949,25.123974435122093,155.11871337890625,0.0,1000.0,-0.12805871665477753,307.1694097740949,140.0832977294922,322.78109017974145,19,0.6733189821243286,264.4906921386719,0.13219678401947021,0.8639988899230957,1.0,267.3424987792969,19.0,-0.09830894321203232,139.04478454589844,0.0,417.2206115722656,19000,19.0,-347.5238037109375,756.2497744560242,2.2409563064575195,778.1928699676655
20.0,70.93168640136719,298.8461379579536,25.131160673016538,166.3191680908203,0.0,1000.0,0.013874425552785397,298.8461379579536,144.75582885742188,986.4122194840713,20,0.6748969554901123,278.6031494140625,0.13102126121520996,0.8932163715362549,1.0,281.6243591308594,20.0,-0.09535899013280869,143.5862274169922,0.0,403.8570556640625,20000,20.0,-368.2328796386719,795.8247635364532,2.2408480644226074,788.6038374434859
21.0,53.743560791015625,265.2683809145694,25.132388695857518,165.9213104248047,0.0,1000.0,-0.08836784958839417,265.2683809145694,152.2750244140625,-277.6460600930992,21,0.6845163702964783,293.4049987792969,0.13305561244487762,0.8759773969650269,1.0,296.33349609375,21.0,-0.09154907613992691,150.93150329589844,0.0,463.089111328125,21000,21.0,-374.73870849609375,835.5751717090607,2.304130792617798,737.8300327988866
22.0,69.25872039794922,254.18336173990502,25.12019523890646,180.29783630371094,0.0,1000.0,-0.12578041851520538,254.18336173990502,162.14944458007812,1470.250815731953,22,0.6834830045700073,303.7452392578125,0.13194571435451508,0.8849022388458252,1.0,306.1820068359375,22.0,-0.09024129807949066,161.37571716308594,0.0,513.12158203125,22000,22.0,-390.6913146972656,875.7893714904785,2.275210380554199,771.1218865685714
