rollout/return_history,reference_perturbed_action_std,eval/Q,rollout/actions_mean,total/steps_per_second,total/episodes,reference_perturbed_action_mean,train/param_noise_distance,ret_rms_mean,rollout/Q_mean,rollout/return,reference_action_std,total/steps,reference_Q_std,rollout/actions_std,eval/return,reference_action_mean,eval/episodes,train/loss_critic,reference_actor_Q_std,param_noise_stddev,reference_actor_Q_mean,eval/return_history,total/epochs,ret_rms_std,total/duration,rollout/episodes,obs_rms_mean,rollout/episode_steps,train/loss_actor,reference_Q_mean,obs_rms_std
-102.73466044915257,0.8155361413955688,8.624189376831055,-0.42832398414611816,30.254741899519324,1.0,-0.1702776998281479,0.4813636243343353,0.0,4.7981343269348145,-102.73466044915257,0.8644027709960938,1000,1.975293755531311,0.4800174832344055,-383.21434052262066,-0.1451142132282257,1.0,0.14305509626865387,1.6779717206954956,0.1639088940674591,11.745773315429688,-383.21434052262066,1,1.0,33.05267000198364,1.0,-0.08016195893287659,1000.0,-11.266966819763184,10.89169979095459,1.7337003946304321
-253.59610899258982,0.781162679195404,18.304258346557617,-0.2932431697845459,30.46789616032524,2.0,-0.11948886513710022,0.4475110024213791,0.0,9.939847946166992,-253.59610899258982,0.7668898701667786,2000,2.319791316986084,0.678611695766449,-342.21360660418134,-0.09472788125276566,2.0,0.24001972377300262,1.9142987728118896,0.11008992318755192,23.795154571533203,-362.713973563401,2,1.0,65.64286518096924,2.0,-0.05983923375606537,1000.0,-22.274553298950195,23.113740921020508,1.400842547416687
-279.78807519921,0.8126260042190552,30.490787506103516,-0.2588275372982025,30.57380087629456,3.0,-0.009551167488098145,0.34539462625980377,0.0,14.12763500213623,-279.78807519921,0.7747247815132141,3000,3.1737852096557617,0.6987128853797913,-343.5314070706588,-0.03639315068721771,3.0,0.6074845790863037,2.5174553394317627,0.07394224246582377,33.14944076538086,-356.319784732487,3,1.0,98.12322688102722,3.0,-0.052172958850860596,1000.0,-30.175395965576172,32.59423828125,1.1834630966186523
-300.245472190366,0.8070329427719116,39.20252990722656,-0.20518778264522552,30.60128140983558,4.0,-0.2044077068567276,0.2108203023672104,0.0,19.00609016418457,-300.245472190366,0.7087613940238953,4000,3.829094648361206,0.7307824492454529,-6.691661031524319,-0.2681056261062622,4.0,0.8954470157623291,3.200721502304077,0.04966353924655011,38.16498565673828,-268.9127538072463,4,1.0,130.7134804725647,4.0,-0.03521443530917168,1000.0,-35.197486877441406,37.67753601074219,1.0640736818313599
-270.4218542805247,0.587131679058075,42.60969543457031,-0.2075052708387375,30.623378888336177,5.0,0.010517154820263386,0.2912755310535431,0.0,23.454866409301758,-270.4218542805247,0.544990599155426,5000,3.825853109359741,0.7397757172584534,246.3677659445123,-0.020460307598114014,5.0,0.9343101382255554,3.2256641387939453,0.03612049597631193,43.67222595214844,-165.8566498568946,5,1.0,163.27394890785217,5.0,-0.035469722002744675,1000.0,-39.77294921875,42.961551666259766,1.1307942867279053
-208.65380821825275,0.6973035335540771,44.42768096923828,-0.1842324435710907,30.609192034573823,6.0,0.163845494389534,0.18846363574266434,0.0,26.76350975036621,-208.65380821825275,0.6668990850448608,6000,4.150052547454834,0.7233105897903442,-274.70714617369237,0.26782622933387756,6.0,1.595768928527832,3.621047019958496,0.03142349394213421,49.71622085571289,-183.99839924302754,6,1.0,196.0195484161377,6.0,-0.026988837867975235,1000.0,-47.135013580322266,48.85462951660156,1.3327784538269043
-217.93756720665985,0.639445960521698,51.127410888671875,-0.17955735325813293,30.605052505839826,7.0,0.3430284559726715,0.155424565076828,0.0,29.453046798706055,-217.93756720665985,0.6366180181503296,7000,4.68425989151001,0.7158774137496948,-392.19707769653684,0.37022829055786133,7.0,1.824958086013794,3.4965779781341553,0.03335667202186392,59.97434997558594,-213.74106759352887,7,1.0,228.72040486335754,7.0,-0.012780745513737202,1000.0,-55.98024368286133,59.12387466430664,1.2654165029525757
-239.7255721366375,0.619808554649353,50.727779388427734,-0.07470541447401047,30.62971651761772,8.0,0.043669771403074265,0.2356959953904152,0.0,32.07631301879883,-239.7255721366375,0.6023023128509521,8000,5.506640911102295,0.7436015605926514,-394.9188398914938,0.13497181236743927,8.0,1.7347089052200317,5.055637359619141,0.02901906944733551,64.687744140625,-236.3882891307745,8,1.0,261.18426513671875,8.0,0.011095977388322353,1000.0,-58.89922332763672,64.0017318725586,1.2414320707321167
-257.3631668066135,0.6258994340896606,66.03777313232422,-0.03751399368047714,30.64265584691699,9.0,-0.04544876143336296,0.21017208695411682,0.0,34.0306510925293,-257.3631668066135,0.598966658115387,9000,5.483922004699707,0.7554044723510742,-46.23551499595177,0.0493425577878952,9.0,2.269421339035034,4.282627582550049,0.026798623766663407,68.34870910644531,-215.26020311579418,9,1.0,293.70822310447693,9.0,0.03343169018626213,1000.0,-61.787208557128906,67.64418029785156,1.2480576038360596
-256.35679151151925,0.6510721445083618,62.27837371826172,-0.06333065032958984,30.651240220979894,10.0,0.04416791722178459,0.19767563790082932,0.0,35.94905471801758,-256.35679151151925,0.6133922934532166,10000,6.2209320068359375,0.7525137662887573,-249.8539237768809,0.012246248312294483,10.0,2.486738681793213,5.675920486450195,0.027886755354071244,72.73876190185547,-218.71957518190283,10,1.0,326.2510726451874,10.0,0.038790639489889145,1000.0,-64.3530502319336,72.08999633789062,1.295742154121399
