total/duration,reference_perturbed_action_mean,rollout/actions_std,rollout/return_history,train/param_noise_distance,reference_actor_Q_std,rollout/episode_steps,reference_Q_std,rollout/actions_mean,eval/return,total/steps_per_second,eval/return_history,total/epochs,eval/Q,ret_rms_mean,param_noise_stddev,total/steps,reference_action_mean,reference_actor_Q_mean,eval/episodes,ret_rms_std,train/loss_critic,reference_perturbed_action_std,rollout/return,rollout/episodes,train/loss_actor,reference_Q_mean,rollout/Q_mean,obs_rms_std,reference_action_std,total/episodes,obs_rms_mean
44.79271578788757,-0.28711259365081787,0.6290444135665894,-106.69297196369187,0.8908207416534424,1.2804985046386719,1000.0,1.3591420650482178,-0.18701745569705963,600.8882282037214,22.32505849244378,600.8882282037214,1,8.917612075805664,0.0,0.13978498992545177,1000,-0.07649777084589005,7.605461597442627,1.0,1.0,0.05548626929521561,0.5020070672035217,-106.69297196369187,1.0,-7.36855411529541,7.030412673950195,2.714451551437378,1.6468952894210815,0.7079373598098755,1.0,-0.037491850554943085
89.7527117729187,-0.1563338190317154,0.5639762282371521,-38.70286334471834,0.6201848983764648,1.7051345109939575,1000.0,1.9779155254364014,-0.20920796692371368,-196.50434656964728,22.283449274047058,202.19194081703705,2,19.214923858642578,0.0,0.09388702724900437,2000,-0.1924249678850174,21.029396057128906,2.0,1.0,0.2239258736371994,0.6920181512832642,-38.70286334471834,2.0,-20.93185043334961,20.275854110717773,8.434625625610352,1.8676692247390747,0.5681164264678955,2.0,-0.03954071179032326
135.34296298027039,0.46157339215278625,0.6053628921508789,-128.7035683187012,0.46878834068775177,1.915878176689148,1000.0,2.4449639320373535,-0.1946006566286087,-348.38487505496414,22.165910468779416,18.666335526369988,3,31.697406768798828,0.0,0.06305951655006926,3000,0.2587984502315521,35.878509521484375,3.0,1.0,0.20681099593639374,0.4968089759349823,-128.7035683187012,3.0,-34.642704010009766,34.76129150390625,14.07085132598877,1.6521905660629272,0.5983933210372925,3.0,-0.03671416640281677
180.19833612442017,-0.0588996559381485,0.6634178757667542,-178.08773225888876,0.3419486880302429,1.7127032279968262,1000.0,2.7615480422973633,-0.04095158725976944,-69.69391292441944,22.197763231499266,-3.423726586327369,4,45.73014831542969,0.0,0.04235412222587577,4000,0.18887706100940704,48.37213134765625,4.0,1.0,0.6260758638381958,0.6472834348678589,-178.08773225888876,4.0,-46.17633819580078,47.299644470214844,19.81092071533203,1.4707567691802979,0.6000884175300598,4.0,-0.0008449872257187963
304.56608414649963,0.07355806231498718,0.6510708928108215,46.96954688605174,0.2185627669095993,3.130625009536743,1000.0,4.445639610290527,-0.03468449041247368,1156.9374027706458,16.416798390443713,228.6484992850673,5,65.66097259521484,0.0,0.02901906944733551,5000,0.1897219568490982,62.5850830078125,5.0,1.0,2.300774335861206,0.6152265071868896,46.96954688605174,5.0,-61.17133712768555,61.1953125,27.587705612182617,1.6596616506576538,0.6058114171028137,5.0,0.008490477688610554
349.19313621520996,0.2598014771938324,0.6357727646827698,146.5430624912924,0.19487350434064865,1.8082501888275146,1000.0,2.3633272647857666,-0.03175213187932968,-79.69583014805065,17.182468318341062,177.25777771288097,6,76.18022155761719,0.0,0.02733727610437334,6000,0.27356287837028503,82.06820678710938,6.0,1.0,2.082555055618286,0.5884857773780823,146.5430624912924,6.0,-80.80614471435547,80.35816955566406,35.8497428894043,1.644540548324585,0.5890868902206421,6.0,0.011894866824150085
394.0094881057739,0.27313026785850525,0.6465046405792236,116.69612791990541,0.19495128095149994,2.024550199508667,1000.0,2.378641366958618,-0.03354364633560181,1085.7008012017864,17.766069628558824,307.03535249701025,7,106.36289978027344,0.0,0.028447279136688076,7000,0.14448165893554688,99.25316619873047,7.0,1.0,4.1300368309021,0.6406542658805847,116.69612791990541,7.0,-96.80964660644531,97.75759887695312,42.70199966430664,1.6174448728561401,0.6252413392066956,7.0,0.01677548699080944
438.61465430259705,-0.04366563260555267,0.6596124172210693,66.9816166053674,0.16480359435081482,2.811704158782959,1000.0,3.708857536315918,-0.05207720771431923,1110.9369902655767,18.23924467986621,407.52305721808114,8,124.94812774658203,0.0,0.029602352743226954,8000,0.0741763710975647,117.51319885253906,8.0,1.0,7.424736499786377,0.5262858867645264,66.9816166053674,8.0,-110.9145278930664,115.82124328613281,49.002742767333984,1.5627546310424805,0.5528590083122253,8.0,0.02089562825858593
484.07004857063293,0.0703173279762268,0.6412569880485535,159.35583518406546,0.21613206714391708,2.3160715103149414,1000.0,2.8003151416778564,-0.06518866121768951,506.22700010350536,18.592350480215195,418.49016198312825,9,132.65524291992188,0.0,0.028447279136688076,9000,0.17297695577144623,135.19764709472656,9.0,1.0,8.316768646240234,0.6179044246673584,159.35583518406546,9.0,-127.32898712158203,133.62289428710938,58.30679702758789,1.597223162651062,0.5866891741752625,9.0,0.01924399845302105
529.0079779624939,0.08664947748184204,0.6629042625427246,105.35765869700849,0.20537478476762772,2.2100718021392822,1000.0,3.0257182121276855,-0.1128302738070488,911.4717460196143,18.903306597597265,467.78832038677683,10,156.09164428710938,0.0,0.02901906944733551,10000,0.12206432968378067,151.00401306152344,10.0,1.0,9.11317253112793,0.6161653995513916,105.35765869700849,10.0,-140.34515380859375,149.05616760253906,63.55778884887695,1.5572787523269653,0.6000990271568298,10.0,0.015756044536828995
625.4867608547211,0.13189534842967987,0.6586979031562805,189.45176914969008,0.20031066983938217,2.805189609527588,1000.0,2.9181764125823975,-0.09570159763097763,742.8129671197818,17.586303481417602,492.7905609988682,11,172.61453247070312,0.0,0.02733727610437334,11000,0.04231950640678406,165.0345458984375,11.0,1.0,7.427728176116943,0.6048082113265991,189.45176914969008,11.0,-155.54605102539062,163.3929901123047,72.8176498413086,1.5969653129577637,0.6340464949607849,11.0,0.02085580676794052
