rollout/Q_mean,rollout/episode_steps,rollout/episodes,obs_rms_std,train/loss_critic,rollout/return,rollout/actions_mean,ret_rms_mean,param_noise_stddev,train/loss_actor,ret_rms_std,total/episodes,reference_Q_std,total/epochs,total/steps,total/steps_per_second,reference_actor_Q_std,eval/episodes,eval/Q,rollout/return_history,obs_rms_mean,reference_Q_mean,total/duration,reference_perturbed_action_std,reference_action_std,train/param_noise_distance,reference_perturbed_action_mean,reference_action_mean,rollout/actions_std,eval/return,reference_actor_Q_mean,eval/return_history
379.31378173828125,345.60956175298804,1255.0,1.8038500547409058,624.4793090820312,516.2688663967997,0.48500528931617737,0.0,0.016294603698363365,-623.4627075195312,1.0,1255.0,233.05979919433594,434,434000,84.89941200654022,231.58106994628906,434.0,676.1673583984375,956.9577454438146,-0.011881879530847073,456.34649658203125,5111.931752443314,0.7457348108291626,0.7145302891731262,0.16635090112686157,0.3170171082019806,0.3736378848552704,0.6001935005187988,1538.4029195389696,466.0269470214844,1195.8007884213848
379.8480529785156,345.6303656597774,1258.0,1.8048793077468872,396.2035217285156,517.7176584486573,0.4849913418292999,0.0,0.015973535632157008,-627.8199462890625,1.0,1258.0,233.7186279296875,435,435000,84.86566917467782,232.0731201171875,435.0,752.8484497070312,980.9701284971839,-0.011800209991633892,470.07073974609375,5125.74759888649,0.7070779204368591,0.7638766169548035,0.179402157664299,0.3926974833011627,0.37149056792259216,0.600191056728363,3027.502688302941,479.3807067871094,1215.086680011443
380.6776123046875,346.1501191421763,1259.0,1.8046979904174805,432.6135559082031,519.9388405517786,0.4848778247833252,0.0,0.015973535632157008,-631.3541870117188,1.0,1259.0,239.4245147705078,436,436000,84.85832005241255,236.045166015625,436.0,677.5588989257812,1004.8654831414824,-0.01148354820907116,463.42999267578125,5137.975860595703,0.6737076640129089,0.6995556354522705,0.1998133510351181,0.47267213463783264,0.47963860630989075,0.6001755595207214,1718.5531358142093,473.8458557128906,1220.7265983731072
381.5180358886719,346.6690476190476,1260.0,1.8044065237045288,386.4527587890625,521.9035196598946,0.4848911166191101,0.0,0.0156587938752642,-633.6305541992188,1.0,1260.0,237.93919372558594,437,437000,84.84235620197006,235.70181274414062,437.0,742.879150390625,1027.1758237788513,-0.011264636181294918,463.833984375,5150.729182481766,0.5882442593574524,0.6257486343383789,0.16125410795211792,0.5117533802986145,0.4816012382507324,0.6000595688819885,2355.0037980881375,472.795654296875,1236.8615511651228
382.0337829589844,346.37025316455697,1264.0,1.8053767681121826,617.683349609375,522.6784175044527,0.48496004939079285,0.0,0.0156587938752642,-630.5032958984375,1.0,1264.0,237.1375274658203,438,438000,84.83712449551386,235.07765197753906,438.0,687.28076171875,1037.619597567571,-0.011265269480645657,465.55279541015625,5162.834108352661,0.5799301266670227,0.6513028144836426,0.19304990768432617,0.5606523752212524,0.5029826760292053,0.6000745296478271,1547.1798542318998,474.8979797363281,1240.6399124113932
382.8453063964844,346.3762845849802,1265.0,1.8056023120880127,428.86053466796875,523.1742627565076,0.4849644601345062,0.0,0.01662212523270047,-637.0850219726562,1.0,1265.0,238.82949829101562,439,439000,84.83123024746571,236.63584899902344,439.0,681.0933227539062,1045.4514530187432,-0.011101403273642063,465.1959228515625,5174.980944156647,0.7060109376907349,0.6559402942657471,0.17108610272407532,0.44003960490226746,0.4875607490539551,0.6000473499298096,1512.818854919921,474.8262939453125,1243.9917620572767
383.6150207519531,347.0047355958958,1267.0,1.8061822652816772,616.0967407226562,526.2549897921725,0.4849342703819275,0.0,0.01662212523270047,-639.719482421875,1.0,1267.0,240.53358459472656,440,440000,84.83516870295097,238.48651123046875,440.0,663.3673706054688,1086.304827095995,-0.010953724384307861,463.6536560058594,5186.528260946274,0.5816124677658081,0.5429801344871521,0.19141922891139984,0.5804930329322815,0.6153976321220398,0.5999609231948853,916.2846508378173,472.02374267578125,1250.2894142841549
384.3591613769531,347.41843971631204,1269.0,1.8066424131393433,419.54278564453125,528.2444970174911,0.4847537875175476,0.0,0.015973535632157008,-638.0255126953125,1.0,1269.0,238.28314208984375,441,441000,84.80965923138484,236.34054565429688,441.0,737.773681640625,1113.3065041017078,-0.010901806876063347,460.81353759765625,5199.8794004917145,0.5276207327842712,0.5914432406425476,0.20156987011432648,0.6497089862823486,0.5719718337059021,0.5999090671539307,2472.758482008028,470.1719970703125,1268.3550295023674
385.14898681640625,347.9322834645669,1270.0,1.807063341140747,503.0474548339844,530.4559699161476,0.48478204011917114,0.0,0.016294603698363365,-642.4432983398438,1.0,1270.0,237.29298400878906,442,442000,84.79627327114044,235.239013671875,442.0,663.0987548828125,1136.8670985400263,-0.010760070756077766,462.91973876953125,5212.493225812912,0.6400918364524841,0.6710836291313171,0.23606055974960327,0.4633657932281494,0.39224302768707275,0.599873423576355,930.9821659787274,471.2558288574219,1268.084226855786
385.86004638671875,348.44531864673485,1271.0,1.8075898885726929,581.2207641601562,531.9479933058434,0.4845468997955322,0.0,0.016294603698363365,-638.8478393554688,1.0,1271.0,234.1060028076172,443,443000,84.77130549041921,231.92742919921875,443.0,762.5768432617188,1156.6837425408448,-0.010680277831852436,465.9852294921875,5225.824911355972,0.690402626991272,0.6285467743873596,0.1940951645374298,0.3935863971710205,0.5040784478187561,0.5998876690864563,2689.8460242253614,474.41571044921875,1290.8673575033633
386.6810302734375,348.95754716981133,1272.0,1.8082876205444336,407.4979248046875,533.5357996966154,0.4844529926776886,0.0,0.01695622994987775,-639.1788940429688,1.0,1272.0,236.42654418945312,444,444000,84.73826683568844,233.79061889648438,444.0,777.3531494140625,1176.7151703335965,-0.010622469708323479,465.00946044921875,5239.663455247879,0.654899537563324,0.6109877824783325,0.21454501152038574,0.5240397453308105,0.5181137919425964,0.5998221635818481,3210.928077241556,473.69085693359375,1310.8527047784446
387.39385986328125,349.04163393558525,1273.0,1.8086285591125488,544.4468994140625,534.3199228438294,0.4844442903995514,0.0,0.01695622994987775,-644.506103515625,1.0,1273.0,232.1746826171875,445,445000,84.71176249945877,230.33128356933594,445.0,771.6622924804688,1180.338942455087,-0.010469152592122555,470.0255126953125,5253.107559919357,0.6306084990501404,0.6506558656692505,0.2126806080341339,0.4574723243713379,0.4100414514541626,0.5997800827026367,2848.873006824903,477.87457275390625,1320.926092257296
