reference_action_std,eval/return,param_noise_stddev,total/steps,total/episodes,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,reference_Q_mean,ret_rms_mean,ret_rms_std,rollout/actions_mean,reference_perturbed_action_std,eval/return_history,reference_actor_Q_std,rollout/episodes,rollout/Q_mean,rollout/return,train/loss_critic,obs_rms_std,train/loss_actor,obs_rms_mean,total/epochs,eval/episodes,total/duration,rollout/episode_steps,eval/Q,reference_action_mean,rollout/return_history,reference_perturbed_action_mean,reference_Q_std,total/steps_per_second
0.7992657423019409,772.622661071217,0.016294603698363365,518000,4606.0,629.6416015625,0.789837658405304,0.22978723049163818,583.5640869140625,0.0,1.0,0.2329421192407608,0.8125190734863281,965.3279103254666,456.9286193847656,4606.0,685.3788452148438,542.8173484422621,2542.62744140625,5.822944164276123,-773.4725952148438,1.9747282266616821,518,518.0,6733.028890132904,112.44246634824142,842.3494262695312,0.29818984866142273,889.2355338043412,0.2776782810688019,436.7234802246094,76.93417159684505
0.838214099407196,741.1975659210605,0.01662212523270047,519000,4612.0,641.1630859375,0.7898459434509277,0.2148066610097885,592.3773803710938,0.0,1.0,0.2329186350107193,0.8397812247276306,962.4027958387828,469.89923095703125,4612.0,685.7889404296875,543.1890304888888,2340.584716796875,5.821883678436279,-800.389404296875,1.9746519327163696,519,519.0,6746.640179157257,112.52211621856027,818.1280517578125,0.17615735530853271,897.0571922216219,0.15902607142925262,446.7586669921875,76.92717948755788
0.8305972218513489,884.3633532595738,0.015973535632157008,520000,4617.0,594.178955078125,0.7898956537246704,0.21143794059753418,543.9135131835938,0.0,1.0,0.23285949230194092,0.8266366720199585,962.2734237828412,450.1941223144531,4617.0,686.225830078125,543.6355897603191,2221.5576171875,5.820591926574707,-801.3135375976562,1.9745217561721802,520,520.0,6760.352602958679,112.61880008663634,912.7918701171875,0.24320662021636963,907.1980822874447,0.250094473361969,427.31549072265625,76.91906480919667
0.8243361711502075,1166.3554194089645,0.01695622994987775,521000,4621.0,620.6087646484375,0.7899404764175415,0.2155570089817047,570.8255615234375,0.0,1.0,0.23280659317970276,0.828507125377655,965.5475230050774,463.4814453125,4621.0,686.6982421875,544.2481480277438,2504.227294921875,5.819784164428711,-785.317626953125,1.9746806621551514,521,521.0,6774.594225168228,112.7431291928154,947.863037109375,0.19040897488594055,915.0691549986653,0.16914249956607819,441.3951110839844,76.90497507060098
0.8126254081726074,1275.5501665068361,0.015973535632157008,522000,4627.0,610.916015625,0.7899832725524902,0.17210109531879425,564.7135620117188,0.0,1.0,0.2326892614364624,0.8273119926452637,969.0026733544214,459.57110595703125,4627.0,687.3067626953125,544.5191380406206,2323.112060546875,5.819513320922852,-784.5572509765625,1.9744490385055542,522,522.0,6788.908074855804,112.80419278149989,944.2395629882812,0.28563690185546875,912.1094139391373,0.265224814414978,439.0195617675781,76.89012640093631
0.8066213130950928,1198.0176970987911,0.01662212523270047,523000,4631.0,617.112060546875,0.7899765372276306,0.18786175549030304,570.0965576171875,0.0,1.0,0.23269778490066528,0.7973819971084595,973.615922844742,465.1004333496094,4631.0,687.8928833007812,544.9989999363822,2297.014892578125,5.8181257247924805,-802.0098266601562,1.9745935201644897,523,523.0,6803.1110026836395,112.90088533793997,916.3553466796875,0.29621002078056335,902.2882245579256,0.3128194212913513,446.1598815917969,76.87659363395525
0.8133323192596436,1112.2312442896227,0.01662212523270047,524000,4637.0,602.3099365234375,0.7899795770645142,0.19320079684257507,553.345947265625,0.0,1.0,0.2327250838279724,0.8129759430885315,973.0310579788284,458.1923522949219,4637.0,688.3117065429688,545.3454750351773,2425.550537109375,5.817895889282227,-797.75341796875,1.9746249914169312,524,524.0,6817.220264196396,112.9749838257494,1030.5626220703125,0.26840949058532715,901.795914218342,0.27638497948646545,438.1343994140625,76.8641733276559
0.8077243566513062,1022.5122828014871,0.01662212523270047,525000,4641.0,615.492919921875,0.7899735569953918,0.20858941972255707,567.127197265625,0.0,1.0,0.23265400528907776,0.8144457936286926,972.5268334068568,456.6932678222656,4641.0,688.8277587890625,545.9878836344216,2557.753173828125,5.817162036895752,-798.9043579101562,1.9746792316436768,525,525.0,6831.151001930237,113.10838181426416,992.1534423828125,0.2811453640460968,919.8578361371833,0.2744138538837433,439.67181396484375,76.853812754491
0.7950965166091919,1100.6792190880674,0.016294603698363365,526000,4644.0,617.4842529296875,0.7899174094200134,0.20090846717357635,570.5731201171875,0.0,1.0,0.232773557305336,0.8074652552604675,973.7241998961086,464.304443359375,4644.0,689.4911499023438,546.5520734348983,2325.0966796875,5.816737174987793,-779.8818969726562,1.9749191999435425,526,526.0,6845.321078777313,113.22545219638243,991.9844360351562,0.2927304804325104,941.9533433947512,0.2671862542629242,445.4089660644531,76.84080760371758
0.8064042925834656,1021.702167499909,0.015973535632157008,527000,4651.0,604.0546875,0.7898761034011841,0.2287939339876175,556.2503662109375,0.0,1.0,0.23269690573215485,0.8130870461463928,975.200397657002,459.7461853027344,4651.0,690.0991821289062,546.8978137575411,2539.85302734375,5.815383434295654,-799.5740356445312,1.9748262166976929,527,527.0,6859.3205037117,113.30273059557085,961.3793334960938,0.2593059539794922,934.6324416943536,0.23918037116527557,441.76708984375,76.82976757170493
0.8045777678489685,1080.1589415897336,0.01662212523270047,528000,4657.0,594.6837158203125,0.7898738384246826,0.19170686602592468,546.0747680664062,0.0,1.0,0.23265928030014038,0.8081530928611755,979.4552406716933,457.8746643066406,4657.0,690.5281372070312,547.2298115049396,2463.54833984375,5.813972473144531,-791.6860961914062,1.9749356508255005,528,528.0,6873.370898962021,113.36933648271419,946.5336303710938,0.2571585476398468,935.7831406447336,0.2493351697921753,437.8148193359375,76.81820285294596
0.7775195240974426,1044.720540925499,0.017644720880324885,529000,4663.0,561.07763671875,0.7898496985435486,0.19856692850589752,514.5405883789062,0.0,1.0,0.23270311951637268,0.7840560674667358,982.1635288140671,456.4256286621094,4663.0,690.902587890625,547.5308531653927,2401.75439453125,5.813015460968018,-782.5037231445312,1.9749455451965332,529,529.0,6887.464122056961,113.43105297019086,960.7267456054688,0.35362115502357483,919.1272789962036,0.3396097719669342,436.15191650390625,76.80620771669626
