rollout/episodes,train/loss_critic,rollout/return_history,total/steps_per_second,rollout/Q_mean,train/param_noise_distance,rollout/episode_steps,reference_action_mean,rollout/return,reference_actor_Q_std,eval/return,total/epochs,rollout/actions_std,reference_Q_mean,obs_rms_mean,reference_action_std,ret_rms_std,reference_actor_Q_mean,total/episodes,rollout/actions_mean,reference_Q_std,ret_rms_mean,eval/Q,total/steps,eval/episodes,train/loss_actor,total/duration,obs_rms_std,eval/return_history
1.0,0.015332471579313278,-355.5016882502389,55.28077818939393,-0.6730199456214905,0.0,1000.0,0.33930644392967224,-355.5016882502389,1.3646966218948364,-335.54459858088376,1,0.7222146987915039,-1.384547233581543,0.08882027864456177,0.8303624391555786,1.0,-1.0782520771026611,1.0,0.30213937163352966,1.393218994140625,0.0,-1.5036075115203857,1000,1.0,1.05808687210083,18.089470386505127,0.866364061832428,-335.54459858088376
2.0,0.013721954077482224,-374.8127980855803,55.50081558385938,-1.769471526145935,0.0,1000.0,-0.240306094288826,-374.8127980855803,0.6111086010932922,-591.6328971732645,2,0.8037204146385193,-0.041450876742601395,0.08948411792516708,0.8970931768417358,1.0,0.4542263150215149,2.0,0.05946597456932068,0.7711789608001709,0.0,0.5717089176177979,2000,2.0,0.8826402425765991,36.0355064868927,0.856137752532959,-463.5887478770741
3.0,0.06986750662326813,-399.79907141955795,55.659876962014984,-1.7278538942337036,0.0,1000.0,0.23951603472232819,-399.79907141955795,1.3916319608688354,-650.2302677231646,3,0.7821237444877625,0.7078362703323364,0.1025485098361969,0.8950978517532349,1.0,1.5814547538757324,3.0,0.12405924499034882,1.4901262521743774,0.0,-1.4004184007644653,3000,3.0,0.06453603506088257,53.89878964424133,1.457570195198059,-525.802587825771
4.0,0.16760164499282837,-442.2913641765074,55.66758626884105,-1.9739179611206055,0.0,1000.0,-0.11439768224954605,-442.2913641765074,0.45051419734954834,-398.18130734396044,4,0.7958243489265442,5.7912492752075195,0.11824391782283783,0.8610601425170898,1.0,6.5719895362854,4.0,0.12374836951494217,0.5350853800773621,0.0,7.032651424407959,4000,4.0,-0.986655592918396,71.85510039329529,1.5616101026535034,-493.89726770531837
5.0,0.22889085114002228,-405.6232503512448,55.69473834251002,-0.8439612984657288,0.0,1000.0,-0.23812659084796906,-405.6232503512448,0.39577996730804443,-235.61425335679596,5,0.7899152040481567,8.925636291503906,0.12071366608142853,0.8267160654067993,1.0,9.632070541381836,5.0,0.1126197949051857,0.525657057762146,0.0,1.6664680242538452,5000,5.0,-2.5232954025268555,89.77508735656738,1.6579456329345703,-442.2406648356139
6.0,0.2718715965747833,-389.71464924029556,55.62698299335562,-1.5034160614013672,0.0,1000.0,-0.26994237303733826,-389.71464924029556,0.6121216416358948,-518.2288022785134,6,0.7881166934967041,11.825783729553223,0.13072744011878967,0.7075263261795044,1.0,12.869701385498047,6.0,0.12720273435115814,0.7499620318412781,0.0,-4.452073574066162,6000,6.0,-2.4469475746154785,107.86132335662842,1.5687557458877563,-454.90535440943046
7.0,0.4232245683670044,-399.76840826448284,55.6297740537798,-2.526822328567505,0.0,1000.0,0.14378027617931366,-399.76840826448284,0.795686662197113,-511.85091574849366,7,0.7975175380706787,17.12808609008789,0.142686128616333,0.7676835060119629,1.0,18.119098663330078,7.0,0.14952272176742554,0.9385663270950317,0.0,-10.845281600952148,7000,7.0,-1.6821597814559937,125.83189702033997,1.482923150062561,-463.04043460072523
8.0,0.550886869430542,-395.50440407248175,55.67986030439101,-3.822453260421753,0.0,1000.0,0.13369925320148468,-395.50440407248175,0.5789692401885986,-149.87006320174677,8,0.8038387298583984,21.3535213470459,0.1466568410396576,0.6752966046333313,1.0,22.51388931274414,8.0,0.12799440324306488,0.9872276186943054,0.0,22.613311767578125,8000,8.0,-1.0646415948867798,143.67852139472961,1.419710636138916,-423.8941381758529
9.0,0.3994424045085907,-396.39246974428556,55.715124505370575,-4.0281805992126465,0.0,1000.0,0.10219958424568176,-396.39246974428556,0.6368025541305542,-655.8747981156159,9,0.8059641718864441,26.124340057373047,0.14475300908088684,0.6934177875518799,1.0,26.895061492919922,9.0,0.09279875457286835,0.5860901474952698,0.0,-15.10726547241211,9000,9.0,-1.640165090560913,161.53602957725525,1.527311086654663,-449.6697670580488
10.0,0.5515838861465454,-374.3298454636108,55.737774643476484,-0.9301087856292725,0.0,1000.0,0.22382469475269318,-374.3298454636108,1.1231257915496826,-89.7595611584027,10,0.7899007797241211,28.686180114746094,0.1399746686220169,0.6289113759994507,1.0,29.25774574279785,10.0,0.08364909142255783,1.0711510181427002,0.0,30.790555953979492,10000,10.0,-5.269038677215576,179.41154026985168,1.5587503910064697,-413.6787464680842
11.0,0.9142606258392334,-350.5265772429652,55.7386234994766,1.9423516988754272,0.0,1000.0,0.06331776827573776,-350.5265772429652,0.5414580702781677,64.66208998354293,11,0.7710294723510742,31.121524810791016,0.1362794190645218,0.7420589327812195,1.0,31.88648223876953,11.0,0.08777452260255814,0.6396234631538391,0.0,31.489702224731445,11000,11.0,-8.790127754211426,197.34968876838684,1.593788504600525,-370.19321588157266
12.0,1.1498948335647583,-324.1787563387008,55.757676577276,4.448369026184082,0.0,1000.0,-0.021086061373353004,-324.1787563387008,0.8557270765304565,-489.13438530372815,12,0.7528443336486816,31.871944427490234,0.13454794883728027,0.6657727956771851,1.0,33.03209686279297,12.0,0.08748389780521393,1.257515788078308,0.0,31.27134132385254,12000,12.0,-10.96874713897705,215.2170021533966,1.6224583387374878,-380.1049800000856
