rollout/episodes,reference_Q_std,reference_action_std,reference_actor_Q_std,rollout/Q_mean,reference_Q_mean,total/episodes,total/steps,total/epochs,reference_actor_Q_mean,rollout/actions_std,eval/episodes,obs_rms_std,rollout/episode_steps,reference_perturbed_action_std,train/param_noise_distance,reference_action_mean,total/duration,ret_rms_mean,ret_rms_std,obs_rms_mean,eval/Q,total/steps_per_second,param_noise_stddev,eval/return,rollout/return,reference_perturbed_action_mean,rollout/actions_mean,train/loss_critic,train/loss_actor,eval/return_history,rollout/return_history
24.0,2.8994524478912354,0.5219069719314575,2.4476399421691895,-0.2502995729446411,-0.5817123055458069,24.0,1000,1,0.4033815562725067,0.775847315788269,1.0,2.107084274291992,39.083333333333336,0.34385761618614197,1.119030475616455,0.7076995968818665,8.516093015670776,0.0,1.0,-0.6243879199028015,-0.31957197189331055,117.42473903935328,0.16720346283821505,-39.07692818710622,-18.506750320453154,0.7651813626289368,0.24583986401557922,0.14057859778404236,-0.11819315701723099,-39.07692818710622,-18.506750320453154
30.0,4.185991287231445,0.5499876141548157,4.068175315856934,1.5941880941390991,1.455482006072998,30.0,2000,2,2.245924949645996,0.6981860399246216,2.0,1.7273626327514648,64.06666666666666,0.803962767124176,0.6063107848167419,0.7454583048820496,17.425339937210083,0.0,1.0,-0.2930082082748413,8.118917465209961,114.77537925840969,0.1370306733903066,330.66787509945107,8.51284918565631,0.3547203838825226,0.43851497769355774,0.2477082461118698,-3.6245768070220947,145.79547345617243,8.51284918565631
37.0,6.1842851638793945,0.48870745301246643,6.019520282745361,2.433824300765991,4.848512649536133,37.0,3000,3,6.274582862854004,0.635348916053772,3.0,1.634933590888977,79.62162162162163,0.5071547031402588,0.4586283564567566,0.7625517845153809,26.19375205039978,0.0,1.0,-0.19950827956199646,9.728772163391113,114.53112918789398,0.11230273064362171,153.60634106943866,13.365372317098174,0.6201663017272949,0.5392199754714966,0.5710871815681458,-7.3030500411987305,148.39909599392783,13.365372317098174
43.0,7.707454204559326,0.5654752254486084,7.684516906738281,4.649850368499756,6.845999717712402,43.0,4000,4,7.898494720458984,0.5945127606391907,4.0,1.5246121883392334,92.93023255813954,0.5281429290771484,0.44846275448799133,0.675260603427887,34.96646690368652,0.0,1.0,-0.12677410244941711,23.382389068603516,114.39531511770436,0.09203708190275892,338.72816411826653,25.40514643279199,0.6144664883613586,0.5847597718238831,0.8060160875320435,-10.391727447509766,195.9813630250125,25.40514643279199
50.0,9.207829475402832,0.634757399559021,9.060805320739746,6.797359943389893,9.192018508911133,50.0,5000,5,10.828815460205078,0.5669780373573303,5.0,1.5011335611343384,99.68,0.5275042653083801,0.3143904209136963,0.603954017162323,43.76276898384094,0.0,1.0,-0.08247438073158264,16.93120765686035,114.25236830526447,0.07542848153938683,156.00177062589182,39.25660693122756,0.6078035235404968,0.6166596412658691,1.4198081493377686,-14.129990577697754,187.9854445451884,39.25660693122756
57.0,9.988375663757324,0.7147817611694336,9.82172679901123,9.605880737304688,12.417409896850586,57.0,6000,6,13.94859504699707,0.5525755286216736,6.0,1.4185435771942139,104.94736842105263,0.6405572295188904,0.2836848795413971,0.5291052460670471,52.57447409629822,0.0,1.0,-0.04711878299713135,35.037559509277344,114.12382345489712,0.06181699495154324,389.84982699394425,54.625303326620006,0.5516309142112732,0.6230862736701965,1.3705918788909912,-18.433279037475586,221.6295082866477,54.625303326620006
62.0,11.441413879394531,0.6903526186943054,11.673194885253906,12.699429512023926,13.19767951965332,62.0,7000,7,14.800057411193848,0.5395244359970093,7.0,1.361948847770691,110.0,0.7077521085739136,0.29276999831199646,0.5059182047843933,61.12806725502014,0.0,1.0,-0.02489567920565605,44.38493728637695,114.51368110162399,0.05066177638540577,277.2623559961682,66.31795896476406,0.48674002289772034,0.6342127919197083,2.0180704593658447,-23.736061096191406,229.57705795943636,66.31795896476406
67.0,14.342286109924316,0.6754807233810425,14.277774810791016,14.347626686096191,16.58064842224121,67.0,8000,8,18.40134620666504,0.5339505076408386,8.0,1.3216972351074219,113.65671641791045,0.5868743658065796,0.25817739963531494,0.538215160369873,70.06573414802551,0.0,1.0,-0.02101708948612213,50.83641052246094,114.1784939139961,0.04151957869412388,368.76635995570723,69.9568315640727,0.6258001923561096,0.6385539770126343,2.116764783859253,-28.89728546142578,246.97572070897021,69.9568315640727
70.0,16.48324203491211,0.739757776260376,16.621826171875,17.57682228088379,19.377727508544922,70.0,9000,9,21.395980834960938,0.5196481943130493,9.0,1.2592600584030151,127.82857142857142,0.6847907900810242,0.33753272891044617,0.4693887531757355,78.67923331260681,0.0,1.0,0.0018584623467177153,59.126800537109375,114.388506611921,0.040701478966889394,317.5893575592598,89.84747850130277,0.5262851715087891,0.6527795195579529,2.770951271057129,-33.806480407714844,254.82168035900239,89.84747850130277
75.0,18.04037094116211,0.7452753782272339,18.30536460876465,19.86484146118164,20.662506103515625,75.0,10000,10,22.74950408935547,0.526253342628479,10.0,1.2735258340835571,130.98666666666668,0.7154148817062378,0.22985035181045532,0.4529705047607422,87.57459425926208,0.0,1.0,0.0008496611262671649,40.8160514831543,114.18836803737035,0.03834263432855746,4.58364701579988,94.51117318991498,0.44190463423728943,0.649063229560852,3.549476385116577,-38.072975158691406,229.79787702468212,94.51117318991498
82.0,20.109052658081055,0.7143820524215698,20.72566032409668,23.34609031677246,21.934829711914062,82.0,11000,11,24.33203887939453,0.5229431986808777,11.0,1.306868314743042,133.28048780487805,0.7673271298408508,0.1915569007396698,0.49089744687080383,97.00877833366394,0.0,1.0,0.008355041034519672,48.51572036743164,113.39180009220655,0.03612049597631192,162.42784327620234,103.91198688700752,0.39527010917663574,0.6494768857955933,3.9824841022491455,-42.03838348388672,223.67332850209303,103.91198688700752
92.0,21.394704818725586,0.7134465575218201,22.493982315063477,25.705881118774414,26.08338165283203,92.0,12000,12,29.20184326171875,0.5341320037841797,12.0,1.381194829940796,129.83695652173913,0.7142413854598999,0.21071532368659973,0.5263620018959045,106.22418880462646,0.0,1.0,0.007578734308481216,57.68906784057617,112.96861981286652,0.032055106170371106,161.4366964416615,106.63015173665791,0.5455349087715149,0.6407987475395203,8.349189758300781,-47.7057991027832,218.48694249705704,106.63015173665791
104.0,24.71565055847168,0.7706673741340637,26.213361740112305,28.276485443115234,28.389183044433594,104.0,13000,13,32.16313171386719,0.5405758619308472,13.0,1.4689717292785645,124.25,0.7734474539756775,0.23527050018310547,0.4364902675151825,115.74835014343262,0.0,1.0,0.0019938587211072445,60.65105438232422,112.31261598019071,0.032055106170371106,101.2440077305701,105.37191066036051,0.46301665902137756,0.6362011432647705,14.082816123962402,-54.098167419433594,209.46825520732727,110.00803034143388
114.0,29.533613204956055,0.6955187916755676,31.765819549560547,30.66050910949707,35.59575271606445,114.0,14000,14,40.226341247558594,0.5448977947235107,14.0,1.5314760208129883,122.02631578947368,0.6915691494941711,0.18327364325523376,0.5229084491729736,125.53782391548157,0.0,1.0,8.564256131649017e-05,43.64934539794922,111.52017426576958,0.03019736003336582,65.442525283924,104.9657144648164,0.5059360861778259,0.6293700933456421,17.19365119934082,-61.58563995361328,199.18070306994133,121.35342453040786
115.0,35.27061080932617,0.7292191982269287,37.06703567504883,32.57063674926758,43.837493896484375,115.0,15000,15,49.051719665527344,0.54599529504776,15.0,1.5219027996063232,129.62608695652173,0.7038019895553589,0.2102501541376114,0.49295052886009216,134.99701642990112,0.0,1.0,0.008081205189228058,92.05179595947266,111.11356677863274,0.030197360033365817,249.96442883168442,109.98233666129211,0.5127717852592468,0.6238247156143188,12.958425521850586,-69.57545471191406,202.56628478739088,128.41703852518907
