eval/episodes,train/loss_critic,eval/return_history,reference_action_mean,rollout/episode_steps,rollout/actions_mean,rollout/episodes,train/param_noise_distance,eval/return,rollout/Q_mean,reference_actor_Q_mean,rollout/return_history,total/duration,obs_rms_mean,ret_rms_std,eval/Q,rollout/return,total/epochs,train/loss_actor,rollout/actions_std,total/steps_per_second,total/episodes,total/steps,reference_action_std,reference_Q_mean,reference_actor_Q_std,obs_rms_std,reference_Q_std,ret_rms_mean
11.0,0.2986545264720917,-418.8623304649422,0.19132445752620697,1000.0,-0.18656589090824127,11.0,0.0,-20.50765467613908,3.9654178619384766,17.36249542236328,-359.521605646283,142.36228442192078,0.050547268241643906,1.0,14.4121732711792,-359.521605646283,11,-9.908254623413086,0.7551388144493103,77.26765585890129,11.0,11000,0.7461016774177551,16.779630661010742,1.8852945566177368,1.273600697517395,1.9473236799240112,0.0
12.0,0.2792664170265198,-402.7170484011902,-0.023910989984869957,1000.0,-0.16290368139743805,12.0,0.0,-225.1189456999185,4.79581880569458,20.357803344726562,-339.8116376176208,155.2995731830597,0.05475148186087608,1.0,14.543428421020508,-339.8116376176208,12,-11.740692138671875,0.747245192527771,77.27001275048563,12.0,12000,0.8545572757720947,19.376392364501953,1.7915549278259277,1.3137403726577759,1.7765082120895386,0.0
13.0,0.3760378360748291,-349.92474946699673,-0.14414317905902863,1000.0,-0.14023974537849426,13.0,0.0,283.58283774332574,5.406299114227295,22.659910202026367,-327.52862142685,168.24048280715942,0.06057261675596237,1.0,17.12236785888672,-327.52862142685,13,-13.211978912353516,0.7445352673530579,77.27034411153502,13.0,13000,0.7943971753120422,22.166826248168945,1.9425194263458252,1.3706893920898438,1.8981425762176514,0.0
14.0,0.3994598090648651,-334.1392963838831,-0.23347653448581696,1000.0,-0.12488725036382675,14.0,0.0,-128.92840630340655,6.22208309173584,24.570236206054688,-293.74645983847597,181.14758682250977,0.06527244299650192,1.0,24.3055362701416,-293.74645983847597,14,-14.115870475769043,0.741318941116333,77.28504831652735,14.0,14000,0.7207755446434021,24.112625122070312,1.7044271230697632,1.468576431274414,1.7540689706802368,0.0
15.0,0.35723400115966797,-315.60908564658075,-0.16099844872951508,1000.0,-0.11609271168708801,15.0,0.0,-56.18613532434754,7.063570499420166,25.211105346679688,-266.1202943379547,193.84247040748596,0.06724918633699417,1.0,24.477270126342773,-266.1202943379547,15,-14.974559783935547,0.7365357875823975,77.38242279139214,15.0,15000,0.6356639862060547,24.601158142089844,1.9021120071411133,1.5515241622924805,2.004103899002075,0.0
16.0,0.431527316570282,-289.8567168080242,-0.171870157122612,1000.0,-0.12185849249362946,16.0,0.0,96.42881577032327,8.25995922088623,25.73464584350586,-258.1887340305976,206.69747185707092,0.06084926053881645,1.0,27.231369018554688,-258.1887340305976,16,-16.10332489013672,0.7260088324546814,77.40781663291861,16.0,16000,0.6340199708938599,25.343460083007812,1.9453866481781006,1.5548490285873413,2.006188154220581,0.0
17.0,0.8386648297309875,-272.4958763720011,-0.16416029632091522,1000.0,-0.11984450370073318,17.0,0.0,5.27757060436809,9.37502384185791,25.94522476196289,-250.90511149300164,219.58679223060608,0.055534545332193375,1.0,26.828012466430664,-250.90511149300164,17,-17.610441207885742,0.7171531915664673,77.41813534097673,17.0,17000,0.7585774064064026,25.540040969848633,1.7874648571014404,1.5233805179595947,1.84327232837677,0.0
18.0,0.42145606875419617,-214.64978473071884,-0.1693630963563919,1000.0,-0.11473247408866882,18.0,0.0,768.7337731710796,10.219544410705566,26.08904266357422,-227.42671404320015,232.50462675094604,0.05587980896234512,1.0,25.3132381439209,-227.42671404320015,18,-18.687824249267578,0.7136085033416748,77.41781422389161,18.0,18000,0.5871263742446899,25.734020233154297,2.1928815841674805,1.5574870109558105,2.123673677444458,0.0
19.0,0.44005244970321655,-168.12463120232377,-0.16846461594104767,1000.0,-0.11507901549339294,19.0,0.0,669.3281323087878,11.124624252319336,27.084583282470703,-188.18103507667146,245.38369464874268,0.05720150098204613,1.0,27.735719680786133,-188.18103507667146,19,-20.385725021362305,0.7084227800369263,77.4297576177495,19.0,19000,0.5439823269844055,26.578380584716797,1.8435583114624023,1.6171685457229614,1.9947593212127686,0.0
20.0,0.648728609085083,-161.2476838060857,-0.212961807847023,1000.0,-0.12414920330047607,20.0,0.0,-30.58568327756227,12.092803001403809,27.811573028564453,-172.44002932601686,258.2758102416992,0.05229726433753967,1.0,28.9940128326416,-172.44002932601686,20,-22.373125076293945,0.6995730996131897,77.43659764839624,20.0,20000,0.6077832579612732,27.42552375793457,1.9019368886947632,1.6049833297729492,1.848557472229004,0.0
21.0,0.8996925950050354,-119.76866520020528,0.07341240346431732,1000.0,-0.11473479121923447,21.0,0.0,709.8117069174028,12.914944648742676,29.285930633544922,-150.45213242850164,271.2333984375,0.05574166774749756,1.0,32.7254753112793,-150.45213242850164,21,-24.573013305664062,0.7001920342445374,77.42409349650576,21.0,21000,0.6868045330047607,28.466337203979492,2.2646267414093018,1.6397905349731445,2.1272802352905273,0.0
22.0,0.6010947227478027,-85.54179486823054,-0.03488190844655037,1000.0,-0.10993122309446335,22.0,0.0,633.2224821032391,13.848451614379883,31.917282104492188,-119.9027807328293,284.1472418308258,0.05865880474448204,1.0,35.21417999267578,-119.9027807328293,22,-27.166980743408203,0.6984105706214905,77.42464737031743,22.0,22000,0.7349814772605896,30.955768585205078,1.9674320220947266,1.7008957862854004,2.131028175354004,0.0
23.0,1.7177374362945557,-51.86636101195743,0.060265347361564636,1000.0,-0.10953871160745621,23.0,0.0,688.9931838260509,14.776466369628906,35.14985656738281,-93.69708159924983,297.07634258270264,0.06107649952173233,1.0,38.121612548828125,-93.69708159924983,23,-29.97357940673828,0.6944838166236877,77.42117665797325,23.0,23000,0.7424760460853577,34.27085876464844,1.2998408079147339,1.7481030225753784,1.3115135431289673,0.0
24.0,1.1106595993041992,-10.516644025250818,0.0043658060021698475,1000.0,-0.10238412022590637,24.0,0.0,940.5268466690019,15.677206993103027,36.72743225097656,-81.32116094265557,309.9619257450104,0.062001340091228485,1.0,41.45228576660156,-81.32116094265557,24,-33.459896087646484,0.6926735043525696,77.42886466560269,24.0,24000,0.7715732455253601,36.06547927856445,1.796802282333374,1.7681565284729004,1.6628528833389282,0.0
25.0,1.3780455589294434,22.08593119986567,-0.006070882081985474,1000.0,-0.09838072955608368,25.0,0.0,804.5477366026613,16.737262725830078,39.35163116455078,-52.55455325075232,322.88527488708496,0.06475597620010376,1.0,44.184505462646484,-52.55455325075232,25,-35.7407112121582,0.6911318302154541,77.42688175774711,25.0,25000,0.8215374946594238,38.32307434082031,1.4862816333770752,1.816449761390686,1.6903237104415894,0.0
26.0,3.271285057067871,53.613663075979,-0.058168500661849976,1000.0,-0.09495431184768677,26.0,0.0,841.8069599788121,17.820402145385742,42.43293762207031,-40.17412289172734,335.78486466407776,0.06178669258952141,1.0,46.84254837036133,-40.17412289172734,26,-39.073673248291016,0.6888078451156616,77.43052989005515,26.0,26000,0.7933469414710999,41.30017852783203,1.6307616233825684,1.838488221168518,1.6679656505584717,0.0
27.0,2.0158286094665527,79.5653518529635,0.07072880864143372,1000.0,-0.09355153143405914,27.0,0.0,754.3092600545606,18.932090759277344,45.223915100097656,-17.452731083543327,348.65558981895447,0.0639757290482521,1.0,50.24943923950195,-17.452731083543327,27,-42.15937423706055,0.6858580112457275,77.44031872261169,27.0,27000,0.8399729132652283,43.923065185546875,2.223055362701416,1.872779130935669,2.1309471130371094,0.0
28.0,1.8285750150680542,108.79138556701876,0.027027765288949013,1000.0,-0.09109876304864883,28.0,0.0,897.8942958465108,20.069318771362305,47.09405517578125,7.643477594574433,361.57205510139465,0.06612884998321533,1.0,53.386173248291016,7.643477594574433,28,-45.79945755004883,0.683684229850769,77.43961294837356,28.0,28000,0.7315383553504944,46.232303619384766,3.1530866622924805,1.9146339893341064,3.0227763652801514,0.0
29.0,1.4634203910827637,134.96163807892327,0.09618604928255081,1000.0,-0.09197773784399033,29.0,0.0,867.72870841225,21.263992309570312,50.46504211425781,30.788649489025474,374.46951937675476,0.06803031265735626,1.0,57.24538040161133,30.788649489025474,29,-49.813514709472656,0.6822621822357178,77.44288520001817,29.0,29000,0.8231071829795837,49.43031311035156,2.6467373371124268,1.944709062576294,2.688089370727539,0.0
30.0,2.6224710941314697,158.24663956670904,0.06545533984899521,1000.0,-0.09156635403633118,30.0,0.0,833.5116827124964,22.49512481689453,53.813865661621094,52.427651211498265,387.4289495944977,0.07008776068687439,1.0,60.472381591796875,52.427651211498265,30,-53.632205963134766,0.6807373762130737,77.43355273631329,30.0,30000,0.801864743232727,52.71873474121094,2.4707489013671875,1.9771959781646729,2.530622720718384,0.0
31.0,2.796937942504883,181.28561395507808,-0.13636182248592377,1000.0,-0.09304727613925934,31.0,0.0,872.4548456061495,23.769298553466797,55.94303512573242,72.6949840774062,400.40749406814575,0.07178691029548645,1.0,64.09839630126953,72.6949840774062,31,-56.641212463378906,0.6793158650398254,77.42112837359652,31.0,31000,0.8160204291343689,54.96805191040039,1.7858529090881348,2.0063533782958984,1.780307650566101,0.0
32.0,5.2227678298950195,199.6474676916752,0.10857003927230835,1000.0,-0.08804633468389511,32.0,0.0,768.8649335261848,24.542898178100586,60.02554702758789,59.44662079822475,413.2560634613037,0.07481516897678375,1.0,65.84062194824219,59.44662079822475,32,-59.69548034667969,0.6816825866699219,77.43383056978765,32.0,32000,0.8096588253974915,59.10235595703125,1.0786993503570557,2.0481297969818115,1.166426420211792,0.0
33.0,2.8220105171203613,223.60849803416127,0.20773841440677643,1000.0,-0.08643146604299545,33.0,0.0,990.361468993716,25.891151428222656,64.90730285644531,80.04439953567142,426.18941259384155,0.07659417390823364,1.0,72.03759765625,80.04439953567142,33,-63.15199661254883,0.6803839206695557,77.43036083218941,33.0,33000,0.7902247309684753,63.30973815917969,1.4532252550125122,2.0764150619506836,1.1305993795394897,0.0
34.0,5.675925254821777,242.74931874587887,0.25112465023994446,1000.0,-0.08685964345932007,34.0,0.0,874.3964022325592,27.26552963256836,67.21691131591797,96.44450395319035,439.09230184555054,0.07789267599582672,1.0,75.36927032470703,96.44450395319035,34,-66.48796844482422,0.6790834069252014,77.43246660689442,34.0,34000,0.7970044016838074,66.26792907714844,1.3074148893356323,2.096806049346924,1.3629133701324463,0.0
35.0,3.441269636154175,261.03756146858257,0.2683264911174774,1000.0,-0.08633479475975037,35.0,0.0,882.8378140405077,28.65987205505371,71.06564331054688,112.95537495732005,451.955078125,0.07941282540559769,1.0,77.89991760253906,112.95537495732005,35,-69.3615951538086,0.6786960959434509,77.4413247998064,35.0,35000,0.792806088924408,69.77267456054688,1.2603219747543335,2.1182358264923096,1.0275245904922485,0.0
36.0,3.3381285667419434,273.6364642035286,0.17073766887187958,1000.0,-0.08611574023962021,36.0,0.0,714.5980599266411,29.978899002075195,75.61875915527344,121.38335809977477,464.88854002952576,0.0805087611079216,1.0,82.05606842041016,121.38335809977477,36,-73.24359893798828,0.6766212582588196,77.43791661913968,36.0,36000,0.8583595752716064,73.97808837890625,1.4901201725006104,2.1417195796966553,1.3860270977020264,0.0
37.0,3.300987482070923,291.22345845479447,0.294477641582489,1000.0,-0.08608048409223557,37.0,0.0,924.3552515003654,31.41454315185547,77.77664184570312,135.50865571024764,477.76401019096375,0.08193327486515045,1.0,85.57133483886719,135.50865571024764,37,-75.9438705444336,0.6768472790718079,77.44409208473235,37.0,37000,0.7959398031234741,76.54316711425781,1.2829959392547607,2.15374755859375,1.2463549375534058,0.0
38.0,2.494943618774414,304.3584034086522,0.374529629945755,1000.0,-0.08484715968370438,38.0,0.0,790.351366701389,32.84650802612305,81.48933410644531,143.81438664842065,490.6106307506561,0.08297795057296753,1.0,88.93900299072266,143.81438664842065,38,-79.75838470458984,0.6766049861907959,77.45449775896276,38.0,38000,0.7658886909484863,80.16829681396484,1.5428822040557861,2.162693738937378,1.441230058670044,0.0
39.0,9.515360832214355,319.90135570622095,0.3194742202758789,1000.0,-0.08382432162761688,39.0,0.0,910.533543013835,34.29986572265625,84.68111419677734,157.85469850384465,503.4576644897461,0.08412235975265503,1.0,90.98228454589844,157.85469850384465,39,-82.65918731689453,0.6758650541305542,77.46430882033839,39.0,39000,0.8032092452049255,83.57817077636719,1.4511064291000366,2.1726698875427246,1.5177090167999268,0.0
40.0,11.259012222290039,332.70286586220425,0.348397821187973,1000.0,-0.08278293907642365,40.0,0.0,831.9617619455506,35.53138732910156,87.9052734375,162.3463695945423,516.3896033763885,0.08530803769826889,1.0,94.28199768066406,162.3463695945423,40,-85.08290100097656,0.677178680896759,77.46089336125655,40.0,40000,0.7758982181549072,86.69526672363281,1.5493029356002808,2.1741321086883545,1.4933964014053345,0.0
41.0,1.820623755455017,346.28696964327304,0.33037999272346497,1000.0,-0.08276646584272385,41.0,0.0,889.6511208860233,36.98628234863281,90.03397369384766,174.9148535960348,529.3194818496704,0.08636166900396347,1.0,97.83384704589844,174.9148535960348,41,-87.6406021118164,0.6774507164955139,77.45794629876144,41.0,41000,0.7251008152961731,88.8673324584961,1.3708425760269165,2.184945583343506,1.3254519701004028,0.0
42.0,11.542271614074707,364.9756535321033,0.4099838435649872,1000.0,-0.08028163760900497,42.0,0.0,1131.2116929741467,38.395751953125,93.09521484375,183.742473653962,542.4921445846558,0.08731178939342499,1.0,99.9111099243164,183.742473653962,42,-90.44988250732422,0.6766930222511292,77.42047588939035,42.0,42000,0.6265091300010681,92.36332702636719,1.5591005086898804,2.1922571659088135,1.6918889284133911,0.0
43.0,9.041617393493652,381.7648888377806,0.44582071900367737,1000.0,-0.07899970561265945,43.0,0.0,1086.9127716762239,39.8499755859375,95.47571563720703,196.1137001936746,555.718917131424,0.08851197361946106,1.0,103.1978530883789,196.1137001936746,43,-92.85648345947266,0.6759006977081299,77.37724715574291,43.0,43000,0.6816685199737549,93.9895248413086,1.484230399131775,2.202937364578247,1.4964021444320679,0.0
44.0,2.474839687347412,391.8961669686289,0.1491655856370926,1000.0,-0.08157376199960709,44.0,0.0,827.5411265951076,41.30778503417969,99.16941833496094,207.57506392014076,568.8240625858307,0.08920961618423462,1.0,106.02057647705078,207.57506392014076,44,-95.89215850830078,0.6753294467926025,77.35256451701316,44.0,44000,0.7522066831588745,97.75067138671875,1.6445828676223755,2.213684320449829,1.5064603090286255,0.0
45.0,8.588348388671875,407.1267086586627,0.17322516441345215,1000.0,-0.08201886713504791,45.0,0.0,1077.2705430201477,41.97228240966797,102.75235748291016,208.0034308628963,581.6772363185883,0.0905565544962883,1.0,108.28812408447266,208.0034308628963,45,-98.83425903320312,0.6777734756469727,77.36249106945148,45.0,45000,0.7462113499641418,101.21176147460938,1.634498119354248,2.2120463848114014,1.634507417678833,0.0
46.0,13.079255104064941,421.2670524144861,0.36730480194091797,1000.0,-0.07748284190893173,46.0,0.0,1057.582521426539,43.4133415222168,105.66967010498047,222.18500326113167,594.5980904102325,0.09223022311925888,1.0,110.93238830566406,222.18500326113167,46,-100.05342102050781,0.6781148314476013,77.36318152024859,46.0,46000,0.697774350643158,104.25555419921875,1.8245576620101929,2.2259254455566406,1.8853250741958618,0.0
47.0,13.479674339294434,431.6210934739185,0.17973391711711884,1000.0,-0.07707542181015015,47.0,0.0,907.9069822078075,44.868282318115234,107.74378967285156,232.52951678940445,607.5270602703094,0.09312421828508377,1.0,113.50334930419922,232.52951678940445,47,-102.57982635498047,0.6784756779670715,77.36280912176669,47.0,47000,0.7331920862197876,106.6799545288086,1.6140851974487305,2.2294678688049316,1.48828125,0.0
48.0,3.003986120223999,441.52911620543773,0.39127883315086365,1000.0,-0.07497674226760864,48.0,0.0,907.2061845868471,46.29966735839844,110.1761703491211,237.98484463450055,620.4164698123932,0.0939471572637558,1.0,116.52239990234375,237.98484463450055,48,-105.55284118652344,0.6786670088768005,77.36738519290864,48.0,48000,0.6941776275634766,108.60752868652344,1.6219849586486816,2.2351434230804443,1.6287426948547363,0.0
49.0,22.82962417602539,452.3524000585397,0.4730881154537201,1000.0,-0.07352811098098755,49.0,0.0,971.8700250074319,47.73826599121094,111.47032165527344,243.42637916427674,633.3830833435059,0.09469274431467056,1.0,117.71197509765625,243.42637916427674,49,-106.13282012939453,0.6786875128746033,77.36234403567988,49.0,49000,0.6658943295478821,110.37689971923828,1.9842408895492554,2.238867998123169,2.138625383377075,0.0
50.0,14.438573837280273,462.2744182043771,0.35779598355293274,1000.0,-0.07414335012435913,50.0,0.0,948.453307350413,49.152191162109375,113.50963592529297,251.8779653558179,646.1388323307037,0.09518680721521378,1.0,120.06758880615234,251.8779653558179,50,-108.62834930419922,0.6786961555480957,77.382750421676,50.0,50000,0.6949261426925659,112.58012390136719,1.8339544534683228,2.2447476387023926,1.8654203414916992,0.0
51.0,14.566125869750977,461.20650364782756,0.37103569507598877,1000.0,-0.07291776686906815,51.0,0.0,407.81077582034897,49.200809478759766,115.05451965332031,245.14055626599054,659.0087380409241,0.09636634588241577,1.0,84.68336486816406,245.14055626599054,51,-110.95545959472656,0.6821280121803284,77.3889586830227,51.0,51000,0.7250433564186096,113.73779296875,1.9182381629943848,2.2388129234313965,1.9766820669174194,0.0
52.0,12.356209754943848,460.87246082551115,0.4099290370941162,1000.0,-0.06967521458864212,52.0,0.0,443.8362768873728,50.63936996459961,118.27685546875,254.9519023698272,671.9099812507629,0.09742109477519989,1.0,85.26587677001953,254.9519023698272,52,-111.74993896484375,0.6822768449783325,77.39131944907531,52.0,52000,0.7316466569900513,117.17694091796875,1.8199458122253418,2.248854637145996,1.6829023361206055,0.0
53.0,6.95169734954834,466.46598176548713,0.3744398355484009,1000.0,-0.06817185878753662,53.0,0.0,757.3290706442397,52.06697463989258,120.32292175292969,260.7394129871862,684.8562843799591,0.09827054291963577,1.0,128.0444793701172,260.7394129871862,53,-113.34991455078125,0.6815314888954163,77.38849917685144,53.0,53000,0.7098676562309265,118.84910583496094,2.173712730407715,2.254326105117798,2.0720691680908203,0.0
54.0,14.987326622009277,468.54992187590335,0.34941336512565613,1000.0,-0.06782998144626617,54.0,0.0,578.9987477279641,53.473480224609375,122.70352935791016,267.14635916843173,697.8235034942627,0.09876446425914764,1.0,105.44852447509766,267.14635916843173,54,-115.31291198730469,0.681183397769928,77.38346405588497,54.0,54000,0.7410576343536377,121.66677856445312,1.822204828262329,2.257938861846924,1.7653988599777222,0.0
55.0,23.806602478027344,472.85506577466685,0.3264838457107544,1000.0,-0.06573010236024857,55.0,0.0,705.3328363078932,54.85348129272461,123.54763793945312,270.4250810842253,710.8648827075958,0.09937560558319092,1.0,120.83995056152344,270.4250810842253,55,-117.6204605102539,0.6803457140922546,77.37054022209094,55.0,55000,0.7297356128692627,122.39319610595703,2.1265292167663574,2.2595627307891846,2.0841474533081055,0.0
56.0,13.287705421447754,465.1051919692106,0.4382131099700928,1000.0,-0.06619209796190262,56.0,0.0,38.86213266912023,56.21003723144531,125.88233184814453,273.40350931352634,723.8054502010345,0.0995095819234848,1.0,54.622779846191406,273.40350931352634,56,-118.50534057617188,0.6800541877746582,77.36885648546331,56.0,56000,0.6619501113891602,124.89010620117188,1.779944896697998,2.259045124053955,1.6742693185806274,0.0
57.0,28.907737731933594,460.31459356271915,0.27652475237846375,1000.0,-0.0656728520989418,57.0,0.0,192.0410827991971,57.55121994018555,126.71284484863281,280.3749023608932,736.7215445041656,0.10004037618637085,1.0,79.46258544921875,280.3749023608932,57,-119.81139373779297,0.6792646646499634,77.36980196277904,57.0,57000,0.64384925365448,125.73565673828125,1.8514776229858398,2.2622482776641846,1.8185173273086548,0.0
58.0,18.82297134399414,446.6477052395317,0.32663869857788086,1000.0,-0.06163382902741432,58.0,0.0,-332.36492918215356,57.52007293701172,129.20123291015625,274.4307190364508,749.6915414333344,0.10106603801250458,1.0,18.524625778198242,274.4307190364508,58,-120.20597839355469,0.6797390580177307,77.3651519251636,58.0,58000,0.7455061674118042,127.54741668701172,1.9225068092346191,2.2542917728424072,1.8850317001342773,0.0
59.0,12.406148910522461,436.14828553522915,0.4477027356624603,1000.0,-0.05780789256095886,59.0,0.0,-172.8180573143175,57.70149230957031,130.9263916015625,270.95779710876974,762.5932152271271,0.10238806158304214,1.0,33.85146713256836,270.95779710876974,59,-120.955322265625,0.6826168894767761,77.36759103269458,59.0,59000,0.7636512517929077,129.9403533935547,1.5036776065826416,2.2544267177581787,1.4579384326934814,0.0
60.0,22.49823570251465,431.64507682646524,0.5167452096939087,1000.0,-0.05663563311100006,60.0,0.0,165.9557630093966,59.039363861083984,132.20059204101562,275.51511254775,775.5280623435974,0.10286292433738708,1.0,65.35874938964844,275.51511254775,60,-122.37541961669922,0.6815677881240845,77.36663947231483,60.0,60000,0.6908206343650818,131.062744140625,1.591638207435608,2.258687973022461,1.551047921180725,0.0
61.0,47.531883239746094,438.1299101390933,0.06712651997804642,1000.0,-0.057583749294281006,61.0,0.0,827.2199088967757,60.32309341430664,133.504638671875,276.920551364896,788.4402852058411,0.10239236056804657,1.0,141.54420471191406,276.920551364896,61,-124.01232147216797,0.6805902719497681,77.36793913831343,61.0,61000,0.763481855392456,132.02650451660156,1.7513809204101562,2.260599136352539,1.6471493244171143,0.0
62.0,24.053125381469727,442.72427678402875,0.14180153608322144,1000.0,-0.05577797442674637,62.0,0.0,722.9806421250897,61.622764587402344,136.10345458984375,281.08798397757187,801.2729895114899,0.10276807099580765,1.0,130.7323760986328,281.08798397757187,62,-125.44945526123047,0.6801344156265259,77.37687506201773,62.0,62000,0.758560299873352,134.59104919433594,1.7292735576629639,2.2675931453704834,1.5935239791870117,0.0
63.0,9.58108901977539,449.20433525844396,0.263132244348526,1000.0,-0.05424574390053749,63.0,0.0,850.967960672186,62.93088150024414,138.43698120117188,286.10128521643827,814.2366628646851,0.10330188274383545,1.0,146.42868041992188,286.10128521643827,63,-127.80853271484375,0.6798382997512817,77.37308189777464,63.0,63000,0.7170702815055847,137.0109100341797,1.9206589460372925,2.2749521732330322,1.8408257961273193,0.0
64.0,44.089298248291016,442.0430079679709,0.23354411125183105,1000.0,-0.05297459289431572,64.0,0.0,-9.120611331834883,64.2237777709961,140.31951904296875,292.2800550432362,827.1398794651031,0.10358750820159912,1.0,44.15644836425781,292.2800550432362,64,-128.85211181640625,0.6795896887779236,77.37506265734362,64.0,64000,0.7688791155815125,138.97592163085938,1.944322109222412,2.27935791015625,2.031346321105957,0.0
65.0,17.949901580810547,438.51926727872086,0.17622177302837372,1000.0,-0.048393044620752335,65.0,0.0,212.99986316671925,64.58287048339844,142.75790405273438,290.99759318361777,840.00501537323,0.10477015376091003,1.0,78.43938446044922,290.99759318361777,65,-130.326416015625,0.6810255646705627,77.38049036661916,65.0,65000,0.7531476616859436,141.30422973632812,2.225273609161377,2.280951738357544,2.162907123565674,0.0
66.0,21.7169132232666,446.34020720405766,0.15885379910469055,1000.0,-0.04980584606528282,66.0,0.0,954.7013023509514,65.86559295654297,143.20956420898438,294.9216882256991,852.8902616500854,0.1048797070980072,1.0,150.07879638671875,294.9216882256991,66,-132.7059783935547,0.6809328198432922,77.383929642144,66.0,66000,0.7270437479019165,141.8192901611328,1.6158403158187866,2.285501718521118,1.7987123727798462,0.0
