eval/Q,train/loss_critic,param_noise_stddev,rollout/actions_std,reference_Q_std,obs_rms_std,obs_rms_mean,reference_actor_Q_std,rollout/actions_mean,train/param_noise_distance,reference_perturbed_action_std,total/steps,rollout/return,reference_actor_Q_mean,total/steps_per_second,rollout/episode_steps,rollout/return_history,reference_action_mean,ret_rms_std,reference_Q_mean,reference_perturbed_action_mean,total/episodes,train/loss_actor,eval/return,total/epochs,total/duration,eval/episodes,eval/return_history,rollout/Q_mean,rollout/episodes,ret_rms_mean,reference_action_std
4.741072177886963,0.20841072499752045,0.16720346283821505,0.5898299813270569,3.682708978652954,1.6634165048599243,-0.22381126880645752,3.4975433349609375,0.5347685217857361,0.47109004855155945,0.30523860454559326,1000,20.093918309004895,2.5457355976104736,51.92326085343423,55.22222222222222,20.093918309004895,0.9849863052368164,1.0,2.029806137084961,0.8084046244621277,18.0,-2.860776662826538,194.0943279932937,1,19.259191036224365,1.0,194.0943279932937,1.1898545026779175,18.0,0.0,0.0037578702904284
6.529299259185791,0.3641924262046814,0.14838458355742482,0.5028560161590576,6.874353885650635,1.2763806581497192,-0.09851033985614777,6.694103240966797,0.6897353529930115,0.45593103766441345,0.4903872311115265,2000,32.41042028247147,5.693802356719971,51.25189003612789,78.0,32.41042028247147,0.8408560752868652,1.0,5.163362503051758,0.7190153002738953,24.0,-5.953739643096924,114.3937111460646,2,39.02295112609863,2.0,154.24401956967915,2.481746196746826,24.0,0.0,0.3241737186908722
24.164716720581055,0.442458838224411,0.12160776493778987,0.4769202470779419,9.389660835266113,1.1182721853256226,-0.037239134311676025,9.063724517822266,0.6758707165718079,0.5370727181434631,0.5003108382225037,3000,39.27789204800528,8.18576431274414,52.55936490834235,89.96428571428571,39.27789204800528,0.5969130396842957,1.0,7.331476211547852,0.6472657918930054,28.0,-10.215108871459961,278.6914180639122,3,57.07831525802612,3.0,195.72648573442348,5.593352794647217,28.0,0.0,0.6385370492935181
30.91353416442871,0.42807304859161377,0.09966297130484332,0.4744102954864502,11.623788833618164,1.0349173545837402,0.0012240882497280836,11.482098579406738,0.6481332778930664,0.664482593536377,0.633521318435669,4000,77.29918338406799,11.21052360534668,52.71384020707472,123.53125,77.29918338406799,0.46089109778404236,1.0,10.179403305053711,0.465978741645813,32.0,-16.963422775268555,300.61541190995774,4,75.8814001083374,4.0,221.94871727830704,9.249316215515137,32.0,0.0,0.7385485768318176
34.214603424072266,1.5126135349273682,0.08167823703026889,0.46562880277633667,14.977484703063965,0.98189377784729,0.016392728313803673,15.059211730957031,0.6390528678894043,0.49338799715042114,0.5860983729362488,5000,80.94867352452944,14.493778228759766,52.63192422728772,134.3235294117647,80.94867352452944,0.5729261040687561,1.0,13.514936447143555,0.573559582233429,34.0,-21.723386764526367,438.8101848946377,5,94.99937677383423,5.0,265.32101080157315,11.784987449645996,34.0,0.0,0.641581118106842
45.51662063598633,1.5116004943847656,0.06693894750505577,0.4507530927658081,18.379436492919922,0.9102289080619812,0.043119560927152634,18.414356231689453,0.6339694857597351,0.45637989044189453,0.3457688093185425,6000,114.21432315669765,17.165470123291016,52.96311284696569,161.22222222222223,114.21432315669765,0.6333693861961365,1.0,15.907251358032227,0.7984487414360046,36.0,-27.474288940429688,302.1825728768869,6,113.28639268875122,6.0,271.46460448079216,15.466888427734375,36.0,0.0,0.5937219858169556
42.53827667236328,3.533836603164673,0.054859444277966955,0.43415719270706177,21.316131591796875,0.8567301630973816,0.05318998917937279,21.558834075927734,0.6416565179824829,0.4427698850631714,0.44222909212112427,7000,114.45003740904355,19.603816986083984,53.014910795768344,163.32432432432432,114.45003740904355,0.5613139271736145,1.0,17.951353073120117,0.728818416595459,37.0,-33.680789947509766,289.3142294104911,7,132.03832459449768,7.0,274.01455089932057,19.75892448425293,37.0,0.0,0.6395791172981262
57.791568756103516,1.0950100421905518,0.04495975420378481,0.44121912121772766,24.576696395874023,0.8121343851089478,0.06800344586372375,24.9136962890625,0.6443291902542114,0.3753246068954468,0.42340949177742004,8000,139.48646136225614,24.008270263671875,53.00711139520785,183.74358974358975,139.48646136225614,0.532931387424469,1.0,22.292938232421875,0.7538582682609558,39.0,-40.2342529296875,284.621332210334,8,150.9231457710266,8.0,275.34039856319725,23.21125602722168,39.0,0.0,0.6549776196479797
65.10974884033203,3.883821964263916,0.0368465179454358,0.44162991642951965,27.288795471191406,0.8279590010643005,0.07739663869142532,27.512439727783203,0.6459221839904785,0.225218266248703,0.6197754740715027,9000,162.89313934154717,28.478288650512695,53.135560742801566,199.95555555555555,162.89313934154717,0.4341544210910797,1.0,26.633007049560547,0.5113343596458435,45.0,-45.92673873901367,281.3956914186866,9,169.378093957901,9.0,276.0132088804738,25.493776321411133,45.0,0.0,0.6876427531242371
69.80609130859375,4.502937316894531,0.03335667202186392,0.4393112063407898,28.318035125732422,0.8647933006286621,0.08708006888628006,28.1201114654541,0.6432635188102722,0.24416404962539673,0.6045604348182678,10000,168.39348740494302,32.101806640625,53.28032441316059,194.9607843137255,168.39348740494302,0.49193379282951355,1.0,29.931554794311523,0.5727711319923401,51.0,-50.50199890136719,281.58434270783715,10,187.68654489517212,10.0,276.5703222632102,28.359880447387695,51.0,0.0,0.6535130143165588
78.5218734741211,6.1018476486206055,0.02901906944733551,0.44300442934036255,27.711027145385742,0.9163644313812256,0.0997157022356987,27.502662658691406,0.6364871859550476,0.2223392128944397,0.7039301991462708,11000,178.383068155163,36.87925338745117,53.189853356631936,189.35087719298247,178.383068155163,0.432696133852005,1.0,34.20586013793945,0.33853694796562195,57.0,-56.655120849609375,344.4164911839842,11,206.80636072158813,11.0,282.73815580146237,32.244590759277344,57.0,0.0,0.7002714276313782
67.13935852050781,4.4998369216918945,0.026270585008002556,0.449467271566391,28.521270751953125,0.9625473022460938,0.10311740636825562,28.49555778503418,0.6274111866950989,0.2425292283296585,0.6841974258422852,12000,191.71760227394944,41.411293029785156,52.56846125945105,187.76190476190476,191.71760227394944,0.3066079020500183,1.0,38.93199920654297,0.35476264357566833,63.0,-62.80344772338867,694.1231134670142,12,228.27375411987305,12.0,317.02023560692504,35.995689392089844,63.0,0.0,0.6960564851760864
57.62646484375,6.509328842163086,0.02426044449968572,0.4610888659954071,30.424617767333984,1.00832200050354,0.10118276625871658,30.499988555908203,0.6124961376190186,0.20307977497577667,0.6730949878692627,13000,202.6148022600818,47.23839569091797,52.70407067525634,192.4179104477612,202.6148022600818,0.2835187613964081,1.0,43.90729522705078,0.2928386628627777,67.0,-71.29975128173828,20.823919029941592,13,246.66026425361633,13.0,294.2359035625417,39.27764892578125,67.0,0.0,0.6877143979072571
