total/steps_per_second,reference_Q_mean,train/param_noise_distance,obs_rms_mean,param_noise_stddev,rollout/return,eval/episodes,train/loss_critic,rollout/return_history,ret_rms_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_std,eval/Q,rollout/actions_mean,eval/return,reference_Q_std,ret_rms_mean,total/duration,rollout/Q_mean,obs_rms_std,eval/return_history,reference_action_mean,total/steps,rollout/episodes,total/episodes,total/epochs,train/loss_actor,rollout/actions_std,rollout/episode_steps,reference_perturbed_action_mean,reference_action_std
86.20995764419081,235.82638549804688,0.19173592329025269,0.16822005808353424,0.01662212523270047,336.68149496824566,840.0,65.2331314086914,578.4929139392175,1.0,238.36083984375,1.2590724229812622,0.6716245412826538,187.97958374023438,0.04873015359044075,769.0193135151601,1.7978633642196655,0.0,9743.654015779495,136.1875457763672,2.7028167247772217,799.0903120765897,0.21886996924877167,840000,840.0,840.0,840,-163.56321716308594,0.7185600399971008,1000.0,0.24592356383800507,0.6599428653717041
86.20633800992935,236.22264099121094,0.21764566004276276,0.16826403141021729,0.01662212523270047,337.20478258509723,841.0,64.31222534179688,574.940503130448,1.0,239.22035217285156,1.2388639450073242,0.5881065130233765,243.977294921875,0.048697054386138916,1146.5721503138707,1.785223126411438,0.0,9755.663207769394,136.26333618164062,2.7036406993865967,798.0702975298212,0.30162909626960754,841000,841.0,841.0,841,-158.04092407226562,0.7186446189880371,1000.0,0.2682057321071625,0.6174559593200684
86.20153171212928,237.27377319335938,0.19979283213615417,0.16832022368907928,0.016294603698363365,336.4211688480478,842.0,8.783624649047852,559.3590677201242,1.0,240.07102966308594,1.1093624830245972,0.6924839019775391,246.72149658203125,0.048855122178792953,1314.0938439176557,1.502754807472229,0.0,9767.807871580124,136.08013916015625,2.7050087451934814,800.9583813832811,0.28172653913497925,842000,842.0,842.0,842,-163.61183166503906,0.7189403176307678,1000.0,0.28303858637809753,0.6464660167694092
86.19765707091842,237.39144897460938,0.2038792073726654,0.1683388501405716,0.016294603698363365,337.05136001669615,843.0,31.782136917114258,557.7066037542917,1.0,239.75479125976562,0.9782652854919434,0.6934849619865417,245.6144256591797,0.04892027750611305,1262.2119651093433,1.3869426250457764,0.0,9779.848184347153,136.20924377441406,2.704949378967285,803.8996017202217,0.21069909632205963,843000,843.0,843.0,843,-163.03074645996094,0.7188319563865662,1000.0,0.2073953002691269,0.6603304743766785
86.19197883614572,236.61459350585938,0.18488247692584991,0.16839289665222168,0.016294603698363365,337.93912995145917,844.0,51.757991790771484,559.4561671321308,1.0,240.05674743652344,1.25697660446167,0.6678829789161682,220.43409729003906,0.04886346682906151,1118.142727499966,1.5600522756576538,0.0,9792.094477891922,136.337890625,2.7052712440490723,804.555162807618,0.0957755371928215,844000,844.0,844.0,844,-162.73316955566406,0.7187685966491699,1000.0,0.0735996812582016,0.6727332472801208
86.18819619992298,236.97271728515625,0.1762821525335312,0.16843129694461823,0.015973535632157008,338.804827362135,845.0,47.292396545410156,559.5653826071007,1.0,239.7050323486328,1.3595685958862305,0.6692643165588379,246.51150512695312,0.04880858212709427,1243.9383534613028,1.591747760772705,0.0,9804.126751184464,136.4649200439453,2.7058262825012207,806.2927609675037,0.24766385555267334,845000,845.0,845.0,845,-167.61033630371094,0.7187231183052063,1000.0,0.17903323471546173,0.6635910272598267
86.18154988101816,236.9267120361328,0.19750851392745972,0.16846582293510437,0.015350253774398782,339.7311061173359,846.0,26.86426544189453,562.2715985431992,1.0,239.645263671875,1.3063514232635498,0.62669837474823,247.04249572753906,0.04884694144129753,1237.4522935252576,1.754416823387146,0.0,9816.486256837845,136.59567260742188,2.7058053016662598,808.5957622492926,0.20489375293254852,846000,846.0,846.0,846,-163.49464416503906,0.7185863256454468,1000.0,0.2526222765445709,0.6356870532035828
86.17479521612118,235.91229248046875,0.18092042207717896,0.16849283874034882,0.015973535632157008,340.70746530844286,847.0,50.999149322509766,567.2428084116436,1.0,238.36166381835938,1.3641278743743896,0.6792479157447815,246.05482482910156,0.04885394126176834,1090.1113020288437,1.7943875789642334,0.0,9828.860026597977,136.72584533691406,2.70585560798645,809.532209212251,0.2235066294670105,847000,847.0,847.0,847,-160.5635223388672,0.7184507846832275,1000.0,0.17010581493377686,0.6732433438301086
86.1690363940027,236.30841064453125,0.25841301679611206,0.1685110330581665,0.015973535632157008,341.4539330792299,848.0,52.2467155456543,567.1240578661724,1.0,239.30624389648438,1.291481852531433,0.6835395097732544,245.89259338378906,0.048881955444812775,1144.9924041587938,1.7462315559387207,0.0,9841.122002601624,136.8544921875,2.705479621887207,811.247207476868,0.1343022733926773,848000,848.0,848.0,848,-162.4203338623047,0.718302309513092,1000.0,0.1129576787352562,0.6667243242263794
86.16226514429637,235.95571899414062,0.1799398809671402,0.16856689751148224,0.017297050171870294,342.24350161841727,849.0,110.31857299804688,578.7716251998738,1.0,238.40721130371094,1.2435601949691772,0.6335298418998718,246.0384979248047,0.04884874075651169,1287.188303996563,1.4893466234207153,0.0,9853.501397371292,136.979736328125,2.706092119216919,811.9602940419786,0.21644894778728485,849000,849.0,849.0,849,-162.7942657470703,0.7182589173316956,1000.0,0.24481366574764252,0.6707118153572083
86.15656660470286,236.69781494140625,0.17902784049510956,0.16860932111740112,0.01662212523270047,343.40617987037075,850.0,20.994274139404297,582.4470914109218,1.0,238.07318115234375,1.318137764930725,0.7946411967277527,245.7541046142578,0.048832982778549194,1308.3224123676355,1.5473910570144653,0.0,9865.759900808334,137.10914611816406,2.706292152404785,815.223887545197,0.11922987550497055,850000,850.0,850.0,850,-165.3224639892578,0.7181317806243896,1000.0,0.06536092609167099,0.7207355499267578
86.15105292258524,234.8604736328125,0.1732921302318573,0.16862022876739502,0.01662212523270047,344.06521910191395,851.0,67.0371322631836,583.5632393340179,1.0,237.175537109375,1.3296818733215332,0.7120791673660278,86.42406463623047,0.04880166053771973,297.66277819112037,1.8196557760238647,0.0,9877.998830318451,137.1963653564453,2.7070796489715576,807.83041160075,0.003660601796582341,851000,851.0,851.0,851,-163.43655395507812,0.7181401252746582,1000.0,0.025572529062628746,0.6856401562690735
