total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
25000,0.6795557141304016,0.0,25.0,25,-82.59962081009766,19.715238571166992,52.14470672607422,1.0,1000.0,-374.815666711126,1.2492597103118896,-139.37291337711827,0.7855292558670044,0.0,-53.18525314331055,2.157876491546631,0.1269175410270691,25.0,0.024411464110016823,25.0,2.401139974594116,50.615535736083984,51.7761116027832,1.1449182033538818,456.486967086792,-82.59962081009766,-0.011449585668742657,54.76607614790181
26000,0.6801888942718506,0.0,26.0,26,-92.15606982975326,20.90850067138672,61.96548843383789,1.0,1000.0,525.8333732364623,1.1815412044525146,-113.78805619967287,0.7443617582321167,0.0,-56.381221771240234,4.658340930938721,0.12647633254528046,26.0,0.027960440143942833,26.0,2.3619139194488525,54.617149353027344,55.6557731628418,1.0244193077087402,474.42525601387024,-92.15606982975326,-0.06119092181324959,54.80315322681697
27000,0.6799423098564148,0.0,27.0,27,-73.76799827063944,22.487762451171875,65.84815979003906,1.0,1000.0,412.49223198857123,1.0225744247436523,-94.29619367418235,0.7522194385528564,0.0,-61.1654167175293,5.268587589263916,0.12986168265342712,27.0,0.03181969001889229,27.0,2.3938639163970947,59.194000244140625,59.95780944824219,0.9908250570297241,492.3674957752228,-73.76799827063944,-0.1218557059764862,54.83708862115083
28000,0.6791918873786926,0.0,28.0,28,-62.79139311723428,24.019344329833984,68.7220687866211,1.0,1000.0,458.4327679087909,1.0841327905654907,-74.55587361764758,0.7580441832542419,0.0,-64.73591613769531,3.7702834606170654,0.13086163997650146,28.0,0.03155578300356865,28.0,2.4133410453796387,61.84921646118164,62.4505500793457,1.093812346458435,510.3800835609436,-62.79139311723428,-0.15984804928302765,54.86107491625223
29000,0.6791256666183472,0.0,29.0,29,-56.0423800949091,25.516782760620117,75.78392791748047,1.0,1000.0,734.9701254815666,1.4398901462554932,-46.64118399353675,0.7679773569107056,0.0,-68.49869537353516,5.623599052429199,0.13046370446681976,29.0,0.02930007316172123,29.0,2.4282171726226807,64.84512329101562,65.68031311035156,1.401191234588623,528.5024302005768,-56.0423800949091,-0.04809631034731865,54.87202771989893
30000,0.6778835654258728,0.0,30.0,30,-39.17163733637335,27.230148315429688,79.2362289428711,1.0,1000.0,521.4232199138684,1.023240566253662,-27.705703863289912,0.820888340473175,0.0,-72.69158935546875,8.252065658569336,0.13219447433948517,30.0,0.02407592162489891,30.0,2.45021390914917,68.64958953857422,69.85110473632812,1.1286429166793823,546.6327924728394,-39.17163733637335,-0.16626238822937012,54.88144950888693
31000,0.6768597364425659,0.0,31.0,31,-22.723226214578265,28.96010971069336,80.11662292480469,1.0,1000.0,146.1672734462352,1.3949801921844482,-22.096898143627815,0.8592665195465088,0.0,-76.82827758789062,5.168704986572266,0.1346350461244583,31.0,0.022738538682460785,31.0,2.4775142669677734,72.83372497558594,73.87348937988281,1.3007668256759644,564.7538118362427,-22.723226214578265,-0.18853412568569183,54.89117443794931
32000,0.6752753257751465,0.0,32.0,32,-3.5882974083253742,30.740812301635742,87.56332397460938,1.0,1000.0,541.2606416722236,1.9518502950668335,-4.491975024382452,0.8422558307647705,0.0,-81.60279083251953,3.731887102127075,0.13714860379695892,32.0,0.022931305691599846,32.0,2.4970998764038086,77.45236206054688,78.5741958618164,2.0250167846679688,582.8007292747498,-3.5882974083253742,-0.28998658061027527,54.90727515015555
33000,0.674607515335083,0.0,33.0,33,6.939834997643299,32.48237991333008,91.4044418334961,1.0,1000.0,476.2673140855792,1.6439573764801025,10.076488281980023,0.8438241481781006,0.0,-85.63197326660156,10.181401252746582,0.13818249106407166,33.0,0.018299933522939682,33.0,2.506559371948242,81.69342041015625,82.87431335449219,1.7685381174087524,600.7692186832428,6.939834997643299,-0.2253808230161667,54.92957856983571
34000,0.673768162727356,0.0,34.0,34,17.838128579348027,34.24273681640625,95.35757446289062,1.0,1000.0,540.4993877926323,1.305228352546692,25.677161796999208,0.8706077933311462,0.0,-89.63640594482422,5.845205307006836,0.13906387984752655,34.0,0.012269394472241402,34.0,2.5242974758148193,85.99122619628906,86.98053741455078,1.2805440425872803,618.8171484470367,17.838128579348027,-0.1400764286518097,54.943532326674024
35000,0.6726720929145813,0.0,35.0,35,32.87120597846336,36.042572021484375,96.62406158447266,1.0,1000.0,287.0828771595756,1.0974538326263428,33.14589652164425,0.8839789628982544,0.0,-94.27310180664062,5.832803249359131,0.14090734720230103,35.0,0.011852244846522808,35.0,2.5451788902282715,89.71246337890625,90.72126007080078,0.9050787687301636,636.9258816242218,32.87120597846336,-0.15960945188999176,54.95144884165589
36000,0.6726886034011841,0.0,36.0,36,50.7677838655726,37.8704833984375,103.03356170654297,1.0,1000.0,511.6906625649156,1.0736099481582642,46.438806689512894,0.8707630634307861,0.0,-98.78938293457031,7.113180160522461,0.14339575171470642,36.0,0.013780208304524422,36.0,2.562727212905884,93.76220703125,95.08531188964844,0.9700409173965454,655.0213668346405,50.7677838655726,-0.16005121171474457,54.96003920294735
37000,0.6743266582489014,0.0,37.0,37,57.16822461016739,39.634464263916016,106.28559112548828,1.0,1000.0,478.5235349991429,1.5558761358261108,58.1167723195029,0.8724755644798279,0.0,-102.51673889160156,7.547628402709961,0.14347746968269348,37.0,0.010996283032000065,37.0,2.5658915042877197,96.91162109375,97.91250610351562,1.4158354997634888,673.1452836990356,57.16822461016739,-0.06325966119766235,54.96584600085048
38000,0.6761311888694763,0.0,38.0,38,50.42383393035803,41.170955657958984,110.26264953613281,1.0,1000.0,485.56027401217034,1.0712978839874268,69.36528552194152,0.9163110852241516,0.0,-106.1438217163086,6.341465473175049,0.14067138731479645,38.0,0.00841081328690052,38.0,2.5524816513061523,99.21055603027344,100.37381744384766,1.0377615690231323,691.2227990627289,50.42383393035803,0.078030526638031,54.97503851366957
39000,0.6792536973953247,0.0,39.0,39,38.134631827097074,42.620418548583984,109.51746368408203,1.0,1000.0,127.45146507055078,1.1075419187545776,70.85467474113663,0.9264302253723145,0.0,-108.85394287109375,6.826389312744141,0.13926146924495697,39.0,0.007555285468697548,39.0,2.5496139526367188,100.88018798828125,102.34298706054688,1.1271806955337524,709.4499015808105,38.134631827097074,-0.0032433669548481703,54.97216915965372
40000,0.6787879467010498,0.0,40.0,40,50.69980422121061,44.5341796875,121.92652130126953,1.0,1000.0,757.8319704140292,1.3430795669555664,88.02910713295894,0.8896702527999878,0.0,-113.05743408203125,14.918972969055176,0.14112722873687744,40.0,0.008079919032752514,40.0,2.560286521911621,104.8143081665039,105.88560485839844,1.5234495401382446,727.6168999671936,50.69980422121061,-0.10567759722471237,54.97398425160754
41000,0.6777740120887756,0.0,41.0,41,63.06443242761499,46.44590759277344,125.61714935302734,1.0,1000.0,773.0162213641098,1.9825228452682495,104.73610991908457,0.9025887250900269,0.0,-117.11099243164062,16.059846878051758,0.14228187501430511,41.0,0.005376704037189484,41.0,2.574542760848999,108.97220611572266,110.15689086914062,2.0708417892456055,745.7933101654053,63.06443242761499,0.0916861817240715,54.97501712760985
42000,0.6775582432746887,0.0,42.0,42,75.89248442509134,48.34443664550781,129.14942932128906,1.0,1000.0,840.5992297961324,1.5369559526443481,122.2566603923476,0.8791279196739197,0.0,-121.25712585449219,13.198017120361328,0.14298060536384583,42.0,0.0014150507049635053,42.0,2.587249994277954,113.30538940429688,114.17648315429688,1.7174571752548218,763.8738286495209,75.89248442509134,0.13395406305789948,54.98290218196539
