rollout/episodes,train/loss_critic,rollout/return_history,reference_perturbed_action_std,total/steps_per_second,rollout/Q_mean,train/param_noise_distance,param_noise_stddev,rollout/episode_steps,reference_action_mean,rollout/return,reference_actor_Q_std,eval/return,total/epochs,rollout/actions_std,reference_Q_mean,obs_rms_mean,reference_action_std,ret_rms_std,reference_actor_Q_mean,total/episodes,rollout/actions_mean,reference_Q_std,ret_rms_mean,eval/Q,total/steps,eval/episodes,train/loss_actor,total/duration,obs_rms_std,reference_perturbed_action_mean,eval/return_history
23.0,0.11093629151582718,2.468627074853757,0.21042421460151672,87.11842625759284,1.0566129684448242,0.7818402051925659,0.16720346283821505,41.47826086956522,0.8017728924751282,2.468627074853757,3.1816680431365967,87.30885977091211,1,0.5726490616798401,1.4514461755752563,-0.38627275824546814,0.16636313498020172,1.0,1.8121650218963623,23.0,0.5002124309539795,3.450424909591675,0.0,2.839590072631836,1000,1.0,-1.8232972621917725,11.478627920150757,1.6985113620758057,0.8388716578483582,87.30885977091211
30.0,0.1375361680984497,11.163025461533683,0.2991947829723358,88.9800971316871,2.5075738430023193,0.2890032231807709,0.13978498992545177,62.7,0.8695561289787292,11.163025461533683,5.87563943862915,66.55111479188227,2,0.4985746741294861,3.543867588043213,-0.2042195051908493,0.21237118542194366,1.0,4.164972305297852,30.0,0.6064146161079407,6.089486598968506,0.0,4.488244533538818,2000,2.0,-4.727435111999512,22.47693657875061,1.3845322132110596,0.7635655999183655,76.92998728139719
34.0,0.1751530021429062,26.825759300058248,0.17762596905231476,89.06122092597592,4.094059467315674,0.3405129611492157,0.12160776493778987,86.05882352941177,0.8680944442749023,26.825759300058248,8.577376365661621,269.88865154108964,3,0.4541061818599701,5.826651573181152,-0.10567561537027359,0.20573890209197998,1.0,6.490302562713623,34.0,0.6554515361785889,8.646712303161621,0.0,12.35025691986084,3000,3.0,-7.620953559875488,33.68469429016113,1.1854106187820435,0.8831385970115662,141.249542034628
39.0,0.2213754504919052,39.1370474281548,0.20428472757339478,89.30572424330475,5.51144552230835,0.2641046941280365,0.10370968758833489,99.71794871794872,0.8298385143280029,39.1370474281548,11.064414978027344,189.054068811391,4,0.41982635855674744,7.639114856719971,-0.05093160271644592,0.30520790815353394,1.0,8.462528228759766,39.0,0.7088606953620911,11.01203441619873,0.0,13.248785972595215,4000,4.0,-9.803009986877441,44.78996205329895,1.07662832736969,0.8297261595726013,153.20067372881874
44.0,0.6609711647033691,56.187792881595165,0.21559223532676697,89.41069686105847,7.082075119018555,0.33374935388565063,0.08670309447319521,112.04545454545455,0.8434646725654602,56.187792881595165,13.415814399719238,123.6791614152393,5,0.3953172266483307,9.305395126342773,-0.013165551237761974,0.3070264458656311,1.0,10.013201713562012,44.0,0.7345963716506958,13.307547569274902,0.0,10.342464447021484,5000,5.0,-11.96579360961914,55.92172050476074,1.01130211353302,0.8717771172523499,147.29637126610285
49.0,0.737201988697052,59.09522797293203,0.34708473086357117,89.47974934415696,7.507589817047119,0.32491400837898254,0.07105704163663924,121.83673469387755,0.7697344422340393,59.09522797293203,16.50977325439453,239.34676077011198,6,0.37947577238082886,11.782180786132812,0.0035158279351890087,0.39400526881217957,1.0,12.802141189575195,49.0,0.7536253929138184,16.3160400390625,0.0,26.645954132080078,6000,6.0,-15.600028991699219,67.05427813529968,0.956393837928772,0.806346595287323,162.63810285010436
55.0,1.8448964357376099,66.30948196572189,0.5885725617408752,89.72616400082258,9.499017715454102,0.3287707567214966,0.05823440555183466,126.96363636363637,0.48024705052375793,66.30948196572189,18.271411895751953,317.43487256944024,7,0.3856971561908722,13.793203353881836,0.015021405182778835,0.6572568416595459,1.0,15.304847717285156,55.0,0.7408629059791565,18.16176986694336,0.0,44.1683349609375,7000,7.0,-17.813444137573242,78.01514840126038,0.9421387910842896,0.4964667558670044,184.7519270957238
64.0,1.5263274908065796,68.82935402365534,0.6306806802749634,90.01590066390098,12.799976348876953,0.3325227200984955,0.0477256850533856,123.703125,0.2520969808101654,68.82935402365534,18.540786743164062,2.2390342106458476,8,0.41471704840660095,16.330615997314453,0.0058275917544960976,0.7608702182769775,1.0,18.223867416381836,64.0,0.7128698825836182,18.172513961791992,0.0,30.354290008544922,8000,8.0,-23.517444610595703,88.87318730354309,1.0285556316375732,0.4967033863067627,161.93781548508906
73.0,2.436361074447632,61.989110298203116,0.7007182836532593,90.55343352503893,14.506659507751465,0.29906561970710754,0.039113321278561465,122.94520547945206,0.3191933333873749,61.989110298203116,21.307714462280273,10.890907573183336,9,0.4388810396194458,21.2944393157959,-0.008026293478906155,0.6938624978065491,1.0,22.946285247802734,73.0,0.68473219871521,21.12358856201172,0.0,29.80535888671875,9000,9.0,-28.91649627685547,99.38883209228516,1.1336243152618408,0.3578791320323944,145.15482571709953
82.0,2.337188959121704,62.15818932312165,0.5478394031524658,90.49792793644983,16.80309295654297,0.25678324699401855,0.032055106170371106,121.32926829268293,0.5776349902153015,62.15818932312165,24.270797729492188,353.48072788765364,10,0.4483034312725067,21.936033248901367,-0.015100689604878426,0.5307154059410095,1.0,23.639507293701172,82.0,0.672629177570343,23.928056716918945,0.0,61.19207000732422,10000,10.0,-32.49126434326172,110.49976754188538,1.1639652252197266,0.5130835175514221,165.98741593415494
