eval/return,obs_rms_mean,rollout/return_history,eval/episodes,reference_Q_std,obs_rms_std,rollout/actions_std,reference_perturbed_action_mean,rollout/actions_mean,eval/return_history,reference_actor_Q_mean,param_noise_stddev,reference_actor_Q_std,ret_rms_std,rollout/episode_steps,train/loss_actor,reference_Q_mean,reference_action_std,total/steps_per_second,total/episodes,total/steps,ret_rms_mean,reference_perturbed_action_std,reference_action_mean,total/epochs,eval/Q,total/duration,train/loss_critic,rollout/return,rollout/episodes,train/param_noise_distance,rollout/Q_mean
298.4016526439269,-0.13615556061267853,19.184354977569207,1.0,4.452169895172119,1.5808331966400146,0.4919372797012329,0.8218610882759094,0.552874743938446,298.4016526439269,2.2251644134521484,0.16720346283821505,4.2277421951293945,1.0,81.3,-1.8780184984207153,1.7158851623535156,0.3027402460575104,106.55476162119778,10.0,1000,0.0,0.29319602251052856,0.7525394558906555,1,5.3034162521362305,9.384845733642578,0.166345477104187,19.184354977569207,10.0,0.6040202379226685,1.0236592292785645
275.92985013933196,-0.02766270935535431,58.4189493094777,2.0,7.246211051940918,1.3167786598205566,0.47104978561401367,0.8554865717887878,0.6355531811714172,287.16575139162944,5.206737041473389,0.14259466822295333,7.220757961273193,1.0,102.66666666666667,-6.270780563354492,4.664272308349609,0.34127533435821533,109.65355452221267,18.0,2000,0.0,0.2439056932926178,0.8669548034667969,2,13.049527168273926,18.23926281929016,0.3258005380630493,58.4189493094777,18.0,0.27220743894577026,3.5560214519500732
308.89496938512036,-0.008127386681735516,63.327093518785524,3.0,10.292276382446289,1.141395092010498,0.4390517771244049,0.7737061381340027,0.6933915019035339,294.40882405612643,9.419853210449219,0.11686267184170265,10.16366958618164,1.0,121.66666666666667,-9.933873176574707,8.916047096252441,0.5388470888137817,110.49526452516864,24.0,3000,0.0,0.40018877387046814,0.7581722140312195,3,21.044334411621094,27.150484800338745,0.4287135601043701,63.327093518785524,24.0,0.2810867726802826,4.32222318649292
199.45740876813915,0.02233378402888775,85.05422047425898,4.0,12.661279678344727,1.0769667625427246,0.44808655977249146,0.37986263632774353,0.6725482940673828,270.6709702341296,11.064912796020508,0.09769921704229322,12.66227912902832,1.0,130.43333333333334,-14.033747673034668,10.419047355651855,0.7709658145904541,111.68719594514327,30.0,4000,0.0,0.6352890729904175,0.4224185049533844,4,26.596782684326172,35.814311265945435,1.0478633642196655,85.05422047425898,30.0,0.4706817865371704,7.492919921875
504.1655247107975,0.04030071943998337,105.30207413195787,5.0,15.509143829345703,1.134669303894043,0.4691527485847473,0.4544336497783661,0.6504355072975159,317.3698811294632,13.160289764404297,0.08006885308329467,15.293094635009766,1.0,137.91666666666666,-18.657859802246094,12.516382217407227,0.7060337662696838,108.73102083863296,36.0,5000,0.0,0.6756899356842041,0.41116562485694885,5,27.81761360168457,45.985036849975586,0.9755752682685852,105.30207413195787,36.0,0.324371874332428,11.045836448669434
82.55815389668778,0.054094839841127396,129.90825160737103,6.0,18.02444076538086,1.0883986949920654,0.4695153534412384,0.4388698637485504,0.6288226842880249,278.234593257334,17.308639526367188,0.06561998579066344,17.785579681396484,1.0,161.21621621621622,-26.101051330566406,16.313810348510742,0.7831249833106995,109.75382275661165,37.0,6000,0.0,0.7278174161911011,0.3266317844390869,6,29.925819396972656,54.66779971122742,1.5857386589050293,129.90825160737103,37.0,0.31008365750312805,13.872612953186035
257.3961985357199,0.054436828941106796,153.25523353981407,7.0,21.185665130615234,1.0661331415176392,0.46805959939956665,0.37980198860168457,0.6262853741645813,275.2576797256748,24.124242782592773,0.05377849649835011,21.008167266845703,1.0,183.28947368421052,-32.014583587646484,22.790996551513672,0.7638528347015381,110.31164282126463,38.0,7000,0.0,0.7488242983818054,0.31041815876960754,7,55.740787506103516,63.456583738327026,1.3886501789093018,153.25523353981407,38.0,0.23557887971401215,14.541635513305664
886.0745715544488,0.06562763452529907,154.79723272996966,8.0,22.63735008239746,1.1239218711853027,0.4905731976032257,0.13792702555656433,0.6034013628959656,351.6097912042716,29.11996078491211,0.04407386942827646,22.448970794677734,1.0,180.41860465116278,-39.036163330078125,27.58158302307129,0.7866315841674805,106.40281897818788,43.0,8000,0.0,0.7896348834037781,0.2237882763147354,8,47.70539093017578,75.18597793579102,2.7422826290130615,154.79723272996966,43.0,0.20844808220863342,18.041654586791992
251.51872102333158,0.07599736005067825,162.5928234949029,9.0,24.39876365661621,1.1577250957489014,0.49711960554122925,0.19790081679821014,0.5920055508613586,340.4885611841671,36.33757019042969,0.0368465179454358,23.932863235473633,1.0,182.48888888888888,-47.20491027832031,34.03068161010742,0.7531235814094543,107.19493128364688,45.0,9000,0.0,0.7276152968406677,0.2332683950662613,9,68.82238006591797,83.95919370651245,1.7760564088821411,162.5928234949029,45.0,0.25096502900123596,22.356346130371094
278.4114251421967,0.08176729083061218,188.5578272596122,10.0,26.075551986694336,1.1827622652053833,0.4958653748035431,0.18491315841674805,0.5835464596748352,334.2808475799701,42.558204650878906,0.03269941380439557,25.78310203552246,1.0,202.75510204081633,-54.06772994995117,40.621238708496094,0.7469240427017212,107.7820719764408,49.0,10000,0.0,0.7394620776176453,0.2761094272136688,10,75.32451629638672,92.77980852127075,2.9358654022216797,188.5578272596122,49.0,0.21878571808338165,26.3315372467041
