reference_actor_Q_std,train/param_noise_distance,total/steps,rollout/return_history,reference_Q_std,rollout/episode_steps,ret_rms_mean,reference_action_std,eval/episodes,ret_rms_std,reference_action_mean,reference_perturbed_action_mean,rollout/return,reference_perturbed_action_std,train/loss_actor,param_noise_stddev,rollout/actions_mean,total/steps_per_second,total/episodes,eval/return_history,train/loss_critic,eval/Q,total/duration,reference_Q_mean,total/epochs,obs_rms_std,rollout/actions_std,rollout/Q_mean,obs_rms_mean,rollout/episodes,eval/return,reference_actor_Q_mean
0.5547059774398804,0.8029146194458008,1000,-271.42463077861333,0.6235554218292236,1000.0,0.0,0.4767642021179199,1.0,1.0,-0.5391212105751038,-0.1873348206281662,-271.42463077861333,0.805252194404602,-1.6398206949234009,0.16720346283821505,0.12512262165546417,43.78189353883709,1.0,-213.01406766012957,0.0457552969455719,1.3497825860977173,22.840492248535156,1.2173397541046143,1,2.166257619857788,0.7463204264640808,0.5196416974067688,0.0985373929142952,1.0,-213.01406766012957,1.7348123788833618
0.9833505749702454,0.8301587104797363,2000,-113.29694644144047,0.9828034043312073,1000.0,0.0,0.6418830156326294,2.0,1.0,-0.3126843273639679,0.015907445922493935,-113.29694644144047,0.8072793483734131,-6.517787456512451,0.1370306733903066,0.05960756912827492,41.04374105587861,2.0,-365.9587910488615,0.12089937925338745,6.328251361846924,48.72850155830383,5.7850446701049805,2,2.028707265853882,0.7526684999465942,1.9863027334213257,0.04182187840342522,2.0,-518.9035144375935,6.739713668823242
1.0343469381332397,1.0526173114776611,3000,-216.12814197324477,1.353005290031433,1000.0,0.0,0.656338095664978,3.0,1.0,-0.2704507112503052,-0.24582207202911377,-216.12814197324477,0.7089083790779114,-14.411336898803711,0.11230273064362171,0.046422235667705536,41.9674327309262,3.0,-390.10268073154685,0.17427313327789307,14.347286224365234,71.48400092124939,14.52358341217041,3,1.6930185556411743,0.7826703786849976,4.312809944152832,0.015286885201931,3.0,-438.39046009691776,15.777273178100586
1.4277119636535645,0.6445421576499939,4000,-250.26635038028388,2.2708957195281982,1000.0,0.0,0.6351922154426575,4.0,1.0,-0.17848896980285645,-0.28091976046562195,-250.26635038028388,0.5579950213432312,-20.347949981689453,0.09203708190275892,-0.08770792931318283,43.10762835946242,4.0,-400.7016050006907,0.3478107750415802,20.827116012573242,92.79100131988525,21.961124420166016,4,1.627945065498352,0.7750858068466187,6.757718563079834,0.026907235383987427,4.0,-432.49837780812214,23.091476440429688
1.2014968395233154,0.5675399303436279,5000,-288.7028047462582,2.3893799781799316,1000.0,0.0,0.6768971681594849,5.0,1.0,-0.22210180759429932,0.09316875785589218,-288.7028047462582,0.7065216302871704,-24.862266540527344,0.07542848153938683,-0.09627947956323624,44.17932246332106,5.0,-417.7041709584669,0.5201849937438965,19.92040252685547,113.1751172542572,29.28413963317871,5,1.7369463443756104,0.7622500658035278,9.144899368286133,0.043763212859630585,5.0,-485.71443478957156,30.41131591796875
1.0589247941970825,0.532561719417572,6000,-267.23709270467344,2.0173323154449463,1000.0,0.0,0.5645244717597961,6.0,1.0,-0.15292339026927948,-0.09812819957733154,-267.23709270467344,0.7105852961540222,-30.405899047851562,0.06181699495154324,-0.06492619961500168,45.26922570847846,6.0,-384.6719145914922,0.39440301060676575,29.560300827026367,132.54037165641785,35.359588623046875,6,1.7966713905334473,0.7553709745407104,12.998170852661133,0.03897697851061821,6.0,-219.51063275661892,36.430328369140625
1.172803282737732,0.3321479260921478,7000,-299.7502425062491,2.465898275375366,1000.0,0.0,0.6073600649833679,7.0,1.0,-0.2534300982952118,0.00632748007774353,-299.7502425062491,0.6014256477355957,-31.987110137939453,0.05066177638540577,-0.020625166594982147,46.09397142323444,7.0,-400.53402606883316,0.5734919905662537,18.538476943969727,151.8636772632599,41.871421813964844,7,1.6996983289718628,0.7825233936309814,13.6810941696167,0.06463202834129333,7.0,-495.70669493287886,42.997772216796875
1.1869316101074219,0.27582472562789917,8000,-287.2362507016559,3.19865345954895,1000.0,0.0,0.6574244499206543,8.0,1.0,-0.29750287532806396,-0.14231254160404205,-287.2362507016559,0.6487762928009033,-35.705841064453125,0.04151957869412388,-0.004160349722951651,46.75764071591004,8.0,-383.27905691320836,0.7150187492370605,27.644184112548828,171.0950312614441,44.82192611694336,8,1.7643191814422607,0.7607652544975281,17.279006958007812,0.07016012817621231,8.0,-262.4942728238344,45.99605941772461
0.9465241432189941,0.22329886257648468,9000,-316.7502952317607,1.0840498208999634,1000.0,0.0,0.5771733522415161,9.0,1.0,-0.34003159403800964,-0.30659982562065125,-316.7502952317607,0.5826418995857239,-35.21391296386719,0.034027141129503384,-0.07130265980958939,47.26959912602685,9.0,-342.01218569069005,2.6061370372772217,50.46685791015625,190.3972144126892,49.013526916503906,9,1.692124366760254,0.7834210395812988,16.977453231811523,0.06698234379291534,9.0,-11.877215910543482,50.20706558227539
1.0059587955474854,0.2242150455713272,10000,-315.4179477937844,2.995671272277832,1000.0,0.0,0.552830159664154,10.0,1.0,-0.3134879767894745,-0.27744826674461365,-315.4179477937844,0.6088001728057861,-38.62248611450195,0.02901906944733551,-0.06297767907381058,47.68828206169694,10.0,-354.6734814697505,1.546328067779541,13.431184768676758,209.69511938095093,53.769744873046875,10,1.630849003791809,0.778473436832428,20.315366744995117,0.05958897992968559,10.0,-468.62514348129514,54.80204772949219
