obs_rms_std,eval/episodes,total/epochs,rollout/actions_std,reference_Q_mean,rollout/return_history,ret_rms_mean,obs_rms_mean,total/episodes,rollout/episodes,reference_actor_Q_std,reference_action_std,rollout/episode_steps,ret_rms_std,reference_actor_Q_mean,rollout/return,reference_perturbed_action_mean,eval/Q,train/loss_critic,reference_action_mean,total/steps,reference_Q_std,eval/return,train/param_noise_distance,total/steps_per_second,rollout/actions_mean,train/loss_actor,param_noise_stddev,rollout/Q_mean,reference_perturbed_action_std,total/duration,eval/return_history
0.3553285300731659,348.0,348,0.6236559152603149,193.77369689941406,-123.12056653283067,0.0,0.0248003788292408,442.0,442.0,12.04776382446289,0.44642385840415955,785.579185520362,1.0,195.2499542236328,-438.89440089221694,-0.18976321816444397,214.7087860107422,94.82244110107422,-0.23785915970802307,348000,12.021180152893066,491.4877225215606,0.17298465967178345,66.95506971021032,-0.01982089690864086,-123.02793884277344,0.015047793132436803,146.40721130371094,0.4547481834888458,5197.5153114795685,44.836902592725274
0.3552233576774597,349.0,349,0.6232102513313293,193.63427734375,-124.0723288154412,0.0,0.024818601086735725,444.0,444.0,12.23741626739502,0.5355337858200073,784.3198198198198,1.0,195.1146240234375,-436.6667717384914,-0.1953938901424408,17.257678985595703,91.6207504272461,-0.1336749643087387,349000,12.328532218933105,-935.4017488266239,0.19782689213752747,66.95941012998448,-0.02020476944744587,-120.2309341430664,0.014460633428115275,146.58937072753906,0.4503325819969177,5212.112820625305,31.763823360965695
0.35515549778938293,350.0,350,0.6227566003799438,193.7363739013672,-120.08906401194112,0.0,0.024862680584192276,447.0,447.0,11.824454307556152,0.4827807545661926,781.3624161073825,1.0,194.56295776367188,-433.2700924514082,-0.08305154740810394,33.53374099731445,81.7717056274414,-0.1399138867855072,350000,12.016656875610352,-942.1250150222177,0.1878042072057724,66.96341235111926,-0.01991792768239975,-123.91616821289062,0.014751292160020392,146.74574279785156,0.4382782280445099,5226.734834909439,25.44059938065761
0.355012983083725,351.0,351,0.6226205825805664,194.5376434326172,-121.30037699166137,0.0,0.024921812117099762,449.0,449.0,11.25292682647705,0.508593738079071,780.2538975501113,1.0,195.93246459960938,-430.65770981426436,-0.01612396538257599,214.9929962158203,154.58865356445312,-0.2654891312122345,351000,11.482941627502441,442.84786080411476,0.21251215040683746,66.96714531408465,-0.019699446856975555,-124.11949157714844,0.014460633428115275,146.8647003173828,0.5454354882240295,5241.376175642014,30.289325186398745
0.35491544008255005,352.0,352,0.622245192527771,194.65769958496094,-128.604753088778,0.0,0.024936771020293236,451.0,451.0,11.304067611694336,0.4804265797138214,779.0487804878048,1.0,195.80621337890625,-429.94414753922865,-0.12520980834960938,215.91441345214844,72.64873504638672,-0.3254191279411316,352000,11.566574096679688,388.24024308004624,0.16120758652687073,66.97110134255871,-0.019714606925845146,-123.5013198852539,0.014460633428115275,147.03280639648438,0.5184354782104492,5255.998377561569,37.79528684739746
0.3548104465007782,353.0,353,0.6228123307228088,194.3001708984375,-126.48887833297026,0.0,0.02491757646203041,452.0,452.0,11.240752220153809,0.48162853717803955,779.537610619469,1.0,195.11029052734375,-427.892242414145,-0.12041521072387695,187.53562927246094,84.22315216064453,-0.029946863651275635,353000,11.313155174255371,147.78914527710248,0.19614121317863464,66.96096277424517,-0.01972901076078415,-127.07018280029297,0.015350253774398782,146.54937744140625,0.5222118496894836,5271.728263378143,35.52133240733996
0.3546678125858307,354.0,354,0.6231542229652405,193.99044799804688,-158.23931278159614,0.0,0.024940431118011475,453.0,453.0,11.158073425292969,0.5324636101722717,780.0242825607064,1.0,195.365478515625,-433.1269333160384,0.05325443670153618,97.69427490234375,82.1236801147461,-0.1675160825252533,354000,11.560394287109375,-1194.359492034803,0.2377018928527832,66.96363303659506,-0.019220910966396332,-126.81815338134766,0.014751292160020392,146.33802795410156,0.5112008452415466,5286.451525211334,30.13244703194937
0.35466137528419495,355.0,355,0.6229193210601807,193.31027221679688,-158.532262136622,0.0,0.024943774566054344,454.0,454.0,10.343090057373047,0.5528327822685242,780.5088105726873,1.0,194.25067138671875,-432.52185692291323,-0.08757302910089493,123.42261505126953,77.27944946289062,-0.11885681748390198,355000,10.564651489257812,-226.07468533142224,0.3006191551685333,66.95642134078224,-0.019065389409661293,-122.90066528320312,0.015350253774398782,146.49627685546875,0.6596393585205078,5301.956001996994,38.828421842235876
0.35476332902908325,356.0,356,0.6223374605178833,192.3257293701172,-140.06336656245628,0.0,0.024948690086603165,455.0,455.0,10.690114974975586,0.41869741678237915,780.9912087912088,1.0,193.43704223632812,-431.31099087695367,-0.044832974672317505,213.36306762695312,28.51492691040039,-0.18960633873939514,356000,10.883256912231445,514.7637706850379,0.19830873608589172,66.97271571404669,-0.018939567729830742,-124.19405364990234,0.015047793132436803,146.69683837890625,0.5536709427833557,5315.597496747971,53.095617403296245
0.35480254888534546,357.0,357,0.6217652559280396,191.8856201171875,-135.09985203618268,0.0,0.024941889569163322,456.0,456.0,10.570158004760742,0.5894081592559814,781.4714912280701,1.0,193.75155639648438,-429.0171563494727,-0.22825485467910767,165.03672790527344,66.25485229492188,-0.002228260040283203,357000,10.758798599243164,-226.574625695919,0.16778327524662018,66.96252395160066,-0.018924223259091377,-121.89006805419922,0.015973535632157008,146.8815460205078,0.49312469363212585,5331.340262174606,48.28889454718283
0.35475853085517883,358.0,358,0.6212801933288574,190.22402954101562,-132.14055963047397,0.0,0.024942617863416672,457.0,457.0,10.536431312561035,0.44717100262641907,781.9496717724289,1.0,191.29930114746094,-427.0189408573222,-0.11505992710590363,201.77001953125,96.5545425415039,-0.04807902127504349,358000,10.927471160888672,458.5671401180859,0.16240859031677246,66.9530922671124,-0.018955079838633537,-122.0268325805664,0.014751292160020392,147.07366943359375,0.487135648727417,5347.027118206024,51.364685504820024
0.35473379492759705,359.0,359,0.6207720041275024,193.3740997314453,-130.15112626850873,0.0,0.024950435385107994,458.0,458.0,10.577427864074707,0.5718708634376526,782.4257641921397,1.0,195.35707092285156,-425.7119150108242,-0.059800148010253906,194.82371520996094,62.05924987792969,-0.12282442301511765,359000,10.834282875061035,124.09316276580344,0.18454380333423615,66.99009773566463,-0.01907127909362316,-125.78218841552734,0.015350253774398782,147.262939453125,0.48038458824157715,5359.0009887218475,54.78644479509375
