total/episodes,param_noise_stddev,eval/episodes,rollout/episode_steps,rollout/return,train/loss_critic,train/loss_actor,reference_actor_Q_std,ret_rms_mean,reference_Q_mean,reference_Q_std,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,train/param_noise_distance,eval/Q,total/steps,ret_rms_std,rollout/episodes,total/steps_per_second,obs_rms_std,reference_actor_Q_mean,reference_perturbed_action_std,eval/return_history,rollout/actions_mean,eval/return,reference_action_mean,rollout/return_history,total/duration,rollout/actions_std,obs_rms_mean,reference_action_std
30.0,0.16720346283821505,1.0,33.13333333333333,-8.995052513632762,0.2164364755153656,-0.25477662682533264,2.452881097793579,0.0,0.4114554524421692,2.673862934112549,1,-0.19206097722053528,0.4180358648300171,0.4929797649383545,-0.34988200664520264,1000,1.0,30.0,113.20575460282721,2.1655869483947754,1.0088915824890137,0.666720986366272,-7.970873249380105,0.23805443942546844,-7.970873249380105,0.6444475650787354,-8.995052513632762,8.833473205566406,0.7691560983657837,-0.6620801687240601,0.7069728374481201
36.0,0.1370306733903066,2.0,54.72222222222222,13.572248584637732,0.25632837414741516,-3.9097423553466797,3.956390142440796,0.0,1.4282701015472412,3.8256263732910156,2,2.24180006980896,0.5239642262458801,0.5135704278945923,-0.7550264000892639,2000,1.0,36.0,114.6775222373237,1.6935346126556396,2.3104653358459473,0.615484356880188,-9.162876641078356,0.45393475890159607,-10.354880032776604,0.833324134349823,13.572248584637732,17.44020938873291,0.6948228478431702,-0.31464847922325134,0.44402456283569336
41.0,0.11456001552955852,3.0,69.90243902439025,24.764646428223493,0.4571274518966675,-10.19167709350586,5.461277008056641,0.0,6.157883644104004,5.473901271820068,3,4.123987197875977,0.9456464648246765,0.2740872800350189,8.531254768371582,3000,1.0,41.0,113.26330498262382,1.5273152589797974,8.00308609008789,0.167671337723732,12.015360210644744,0.5446304082870483,54.37183391409094,0.8873208165168762,24.764646428223493,26.4869544506073,0.6274785995483398,-0.19714434444904327,0.343068927526474
44.0,0.09388702724900437,4.0,80.81818181818181,26.176558200482386,0.6720714569091797,-13.943523406982422,7.088035583496094,0.0,9.574445724487305,7.039877414703369,4,6.436500549316406,0.7767545580863953,0.5532750487327576,13.250312805175781,4000,1.0,44.0,112.0965529828357,1.3988059759140015,10.776443481445312,0.48229020833969116,42.00294316815177,0.6148092746734619,131.96569204067285,0.8139098286628723,26.176558200482386,35.683523654937744,0.5845683813095093,-0.13129043579101562,0.4454304873943329
52.0,0.07694459401832851,5.0,95.15384615384616,45.47486704186719,1.717415452003479,-17.241737365722656,9.063068389892578,0.0,12.256584167480469,8.8372802734375,5,8.210780143737793,0.5477563738822937,0.3870920240879059,8.912660598754883,5000,1.0,52.0,111.97890160706858,1.350231647491455,13.994499206542969,0.660831093788147,41.81331474566038,0.6239471435546875,41.05480105569481,0.5692011713981628,45.47486704186719,44.65126848220825,0.5737348198890686,-0.10164988040924072,0.6734024882316589
59.0,0.06305951655006926,6.0,100.0,55.21675250121146,1.265042781829834,-22.130332946777344,10.619121551513672,0.0,15.80014419555664,10.63198184967041,6,10.673645973205566,0.5842688679695129,0.46864667534828186,36.4219970703125,6000,1.0,59.0,112.02514622887139,1.2865713834762573,17.757848739624023,0.6288529634475708,82.59356872490737,0.6347330212593079,286.4948386211423,0.419487327337265,55.21675250121146,53.55940341949463,0.5635693669319153,-0.06850259006023407,0.7289386987686157
66.0,0.051680078090752424,7.0,104.83333333333333,67.88117402475706,1.7561798095703125,-27.975658416748047,12.514808654785156,0.0,20.937496185302734,12.534370422363281,7,13.974184036254883,0.5230562090873718,0.3473849594593048,41.734493255615234,7000,1.0,66.0,112.08009666881463,1.2469654083251953,23.659446716308594,0.6173502206802368,106.78184190017896,0.6395982503890991,251.91148095180853,0.40883561968803406,67.88117402475706,62.45533514022827,0.5506820678710938,-0.039051443338394165,0.7378036975860596
72.0,0.04235412222587577,8.0,109.0,75.59282072935632,2.911942481994629,-33.68234634399414,14.214166641235352,0.0,27.097869873046875,14.762052536010742,8,16.650144577026367,0.4476703107357025,0.30750772356987,44.202510833740234,8000,1.0,72.0,112.37658264398681,1.2501448392868042,29.611928939819336,0.6807667016983032,109.52088801200533,0.6286833882331848,128.69421079478983,0.4421559274196625,75.59282072935632,71.18920874595642,0.5460667610168457,-0.025509579107165337,0.7019482851028442
79.0,0.034711086666206405,9.0,113.92405063291139,81.62956987840441,3.0706424713134766,-39.83551025390625,17.711637496948242,0.0,32.940330505371094,17.987911224365234,9,19.138378143310547,0.5130508542060852,0.30795401334762573,55.49672317504883,9000,1.0,79.0,112.3940550444601,1.2833616733551025,35.82539367675781,0.6671825647354126,122.69980181027715,0.6140146851539612,228.13111219645165,0.42988184094429016,81.62956987840441,80.07540965080261,0.547175407409668,-0.019644275307655334,0.7244468331336975
84.0,0.028447279136688076,10.0,117.6547619047619,85.24239665232867,3.7402117252349854,-45.74814987182617,20.480701446533203,0.0,39.8914794921875,20.894399642944336,10,21.72229766845703,0.4444259703159332,0.24679182469844818,59.849388122558594,10000,1.0,84.0,112.71637866557114,1.2746124267578125,42.97866439819336,0.7078654170036316,125.04583670816581,0.6072616577148438,146.1601507891638,0.4569127857685089,85.24239665232867,88.71825122833252,0.5489566326141357,-0.010803028009831905,0.7007704377174377
