ret_rms_mean,total/duration,reference_perturbed_action_std,reference_actor_Q_std,train/param_noise_distance,reference_action_mean,reference_action_std,train/loss_actor,reference_actor_Q_mean,reference_Q_mean,ret_rms_std,obs_rms_mean,eval/Q,reference_Q_std,rollout/episodes,reference_perturbed_action_mean,param_noise_stddev,rollout/actions_std,total/episodes,eval/episodes,eval/return,train/loss_critic,rollout/episode_steps,obs_rms_std,total/epochs,rollout/return,rollout/actions_mean,rollout/return_history,rollout/Q_mean,total/steps_per_second,eval/return_history,total/steps
0.0,1338.5603697299957,0.6167111992835999,6.947976112365723,0.208828404545784,-0.17219455540180206,0.6418978571891785,-160.7803192138672,170.25152587890625,169.16790771484375,1.0,0.03222949802875519,166.04910278320312,6.819547176361084,38.0,-0.1463715136051178,0.017999379770019416,0.6788076162338257,38.0,38.0,728.2900348158726,12.514049530029297,1000.0,1.9951701164245605,38,-118.90142531859189,-0.032255787402391434,-118.90142531859189,119.4503173828125,28.388708390989546,-21.93920721368579,38000
0.0,1373.8661770820618,0.6307911276817322,7.369250774383545,0.20401142537593842,-0.2474481612443924,0.6120346784591675,-160.07945251464844,170.4643096923828,169.46304321289062,1.0,0.03161528706550598,165.22152709960938,7.196381092071533,39.0,-0.176779106259346,0.017644720880324885,0.6752098798751831,39.0,39.0,671.6592787704502,19.12419891357422,1000.0,2.0018465518951416,39,-94.05733549736247,-0.032515257596969604,-94.05733549736247,120.6617202758789,28.387044277363056,-4.154630649989995,39000
0.0,1409.1955149173737,0.7793817520141602,7.0611090660095215,0.21391572803258896,-0.2303629368543625,0.7466245293617249,-159.77597045898438,169.78317260742188,168.35560607910156,1.0,0.031525079160928726,156.63201904296875,6.7160964012146,40.0,-0.18257522583007812,0.017999379770019416,0.6725621819496155,40.0,40.0,-265.81697612704755,18.288209915161133,1000.0,2.016333818435669,40,-66.97424781143886,-0.03457353264093399,-66.97424781143886,121.81105041503906,28.384989574952876,-10.696189286916425,40000
0.0,1444.5545604228973,0.6796019673347473,6.7128095626831055,0.19452302902936935,-0.19766812026500702,0.6738040447235107,-160.4250946044922,169.86285400390625,168.63796997070312,1.0,0.03436121717095375,161.81170654296875,6.694919586181641,41.0,-0.08265373855829239,0.017999379770019416,0.6734259724617004,41.0,41.0,225.92298454941456,25.313173294067383,1000.0,2.0246801376342773,41,-65.92306308667298,-0.031865194439888,-65.92306308667298,123.02052307128906,28.382451672851413,-4.924989925054693,41000
0.0,1479.943615436554,0.7117717266082764,5.924805164337158,0.22500970214605331,-0.06265338510274887,0.6628242135047913,-162.06265258789062,169.2650146484375,168.22564697265625,1.0,0.03361344337463379,164.45021057128906,5.875380992889404,42.0,0.004862971603870392,0.018730226766195082,0.6719268560409546,42.0,42.0,292.6141547653152,15.358990669250488,1000.0,2.0329220294952393,42,-59.06088595968504,-0.03039613738656044,-59.06088595968504,123.9556655883789,28.379459569891,2.1592754247160193,42000
0.0,1515.0739028453827,0.7184755206108093,5.066276550292969,0.20058413594961166,-0.12574589252471924,0.677432119846344,-162.87088012695312,168.1778564453125,167.03900146484375,1.0,0.03201456740498543,167.6430206298828,5.039156436920166,43.0,-0.13641978800296783,0.017297050171870294,0.6697481870651245,43.0,43.0,-191.71069306027726,18.844100952148438,1000.0,2.030683755874634,43,-51.19828868360407,-0.03391790762543678,-51.19828868360407,124.90477752685547,28.381453815054105,-2.349328493539639,43000
0.0,1550.432828426361,0.7205931544303894,5.707214832305908,0.21242906153202057,-0.02180253528058529,0.7090297937393188,-163.62286376953125,169.88734436035156,168.74179077148438,1.0,0.030103325843811035,171.63107299804688,5.59956169128418,44.0,-0.00913282111287117,0.017644720880324885,0.669002890586853,44.0,44.0,745.564256300201,23.695472717285156,1000.0,2.033129930496216,44,-47.78467904062711,-0.03756461292505264,-47.78467904062711,125.82843017578125,28.379172056527317,14.648707524499923,44000
0.0,1585.7880940437317,0.7285205125808716,5.956538200378418,0.1893330067396164,-0.10650843381881714,0.7105333209037781,-165.07391357421875,171.18994140625,169.6558837890625,1.0,0.029383134096860886,178.41485595703125,5.628018856048584,45.0,-0.2253522276878357,0.018361167303396805,0.6692838072776794,45.0,45.0,972.5948810916107,14.639477729797363,1000.0,2.0293402671813965,45,-42.59867436401975,-0.0368979386985302,-42.59867436401975,126.66956329345703,28.377057545722135,35.93640027043572,45000
0.0,1621.1593446731567,0.6359418630599976,6.759105205535889,0.19108853489160538,-0.17838738858699799,0.6378437280654907,-166.86532592773438,175.52554321289062,174.2445831298828,1.0,0.028233489021658897,176.03477478027344,6.707862854003906,46.0,-0.02005627006292343,0.017999379770019416,0.6684094071388245,46.0,46.0,783.6152672527022,22.647628784179688,1000.0,2.0409367084503174,46,-27.087343882802198,-0.040532439947128296,-27.087343882802198,127.69841003417969,28.374755480482456,52.190288683093684,46000
0.0,1656.6613664627075,0.6499732732772827,6.269773006439209,0.19577889144420624,-0.08443960547447205,0.6463519930839539,-168.09446716308594,175.21363830566406,174.0411834716797,1.0,0.030938295647501945,174.81112670898438,6.165250301361084,47.0,-0.09024738520383835,0.017644720880324885,0.6683230400085449,47.0,47.0,657.544146062778,16.280527114868164,1000.0,2.062520742416382,47,-29.27094843405388,-0.04029945656657219,-29.27094843405388,128.7462615966797,28.370312093626044,65.07015798904442,47000
0.0,1692.1966488361359,0.6950993537902832,6.100832462310791,0.18965862691402435,-0.14440305531024933,0.6518128514289856,-169.51303100585938,175.68374633789062,174.58322143554688,1.0,0.031238604336977005,181.839599609375,6.128843784332275,48.0,-0.24122215807437897,0.018361167303396805,0.6674780249595642,48.0,48.0,1089.7520227026894,11.153552055358887,1000.0,2.0684235095977783,48,-22.978690925272304,-0.04119831323623657,-22.978690925272304,129.59854125976562,28.365497611056956,86.41769683724537,48000
0.0,1727.5163788795471,0.6738208532333374,5.056637763977051,0.19126930087804794,-0.09598501771688461,0.6612628102302551,-171.21287536621094,174.32705688476562,173.47930908203125,1.0,0.030255027115345,179.91867065429688,5.211250305175781,49.0,-0.04129902645945549,0.018730226766195082,0.6675640344619751,49.0,49.0,702.0120115485512,17.973073959350586,1000.0,2.0814356803894043,49,-0.8025016598893421,-0.04313366860151291,-0.8025016598893421,130.6895751953125,28.364419926241737,98.98084611706794,49000
