reference_Q_std,train/loss_actor,train/param_noise_distance,rollout/Q_mean,rollout/return_history,reference_action_mean,reference_action_std,train/loss_critic,obs_rms_mean,total/epochs,ret_rms_std,rollout/episodes,obs_rms_std,rollout/episode_steps,total/episodes,rollout/actions_std,rollout/return,ret_rms_mean,eval/return_history,eval/return,eval/episodes,reference_Q_mean,eval/Q,reference_actor_Q_std,total/steps,reference_actor_Q_mean,total/duration,total/steps_per_second,rollout/actions_mean
4.349964141845703,2.21467924118042,0.0,-2.567128896713257,-385.22045116943275,0.2793368101119995,0.9218077659606934,0.03507347032427788,0.07162570208311081,1,1.0,1.0,0.9588274359703064,1000.0,1.0,0.782992422580719,-385.22045116943275,0.0,-460.4582713276638,-460.4582713276638,1.0,-1.6431447267532349,-4.733351707458496,4.499303817749023,1000,-1.2358616590499878,34.82480716705322,28.715162590938107,0.19453853368759155
3.7261364459991455,1.2032064199447632,0.0,-4.3864521980285645,-390.05196123428266,0.3154536485671997,0.8436034917831421,0.10807037353515625,0.09708162397146225,2,1.0,2.0,1.0562124252319336,1000.0,2.0,0.7960215210914612,-390.05196123428266,0.0,-474.973992367257,-489.4897134068501,2.0,1.059680700302124,3.9281914234161377,3.3279731273651123,2000,1.7883573770523071,83.9992163181305,23.8097459436454,0.18761108815670013
2.634218215942383,-3.5490756034851074,0.0,-2.6255781650543213,-275.12479132222114,-0.1164785623550415,0.8042775988578796,0.08574898540973663,0.1165887713432312,3,1.0,3.0,1.356318712234497,1000.0,3.0,0.7895224690437317,-275.12479132222114,0.0,-416.5406776820739,-299.67404831170774,3.0,4.389873504638672,6.534759998321533,2.291529655456543,3000,5.196066379547119,133.727680683136,22.43365012146151,0.21684956550598145
1.722331166267395,-15.795305252075195,0.0,-0.5459062457084656,-229.78512782847596,0.15591412782669067,0.8543369174003601,0.42848747968673706,0.11129220575094223,4,1.0,4.0,1.5920778512954712,1000.0,4.0,0.8119222521781921,-229.78512782847596,0.0,-89.24916851663065,892.6253589796992,4.0,15.409032821655273,23.044696807861328,1.5354609489440918,4000,16.771554946899414,183.22857093811035,21.830656537462662,0.09096495807170868
1.1590845584869385,-33.51058578491211,0.0,5.45314359664917,-83.2045397448381,0.20691756904125214,0.8100662231445312,0.764618456363678,0.11715652048587799,5,1.0,5.0,1.6727057695388794,1000.0,5.0,0.7921823263168335,-83.2045397448381,0.0,132.0321262372662,1017.1573052528536,5.0,33.182960510253906,39.857357025146484,0.9458861947059631,5000,34.344905853271484,233.02102065086365,21.45729164705497,0.059697043150663376
1.0926094055175781,-49.88860321044922,0.0,11.607178688049316,-0.6063591586941186,0.28340139985084534,0.8491299152374268,1.424134373664856,0.12260463833808899,6,1.0,6.0,1.7697287797927856,1000.0,6.0,0.7865832448005676,-0.6063591586941186,0.0,70.06841904840225,-239.75011689591747,6.0,48.40361785888672,50.825225830078125,1.3077973127365112,6000,49.8090934753418,282.29363799095154,21.254464120060405,0.04016426205635071
3.5104432106018066,-64.07605743408203,0.0,17.484336853027344,-5.0273095768445915,0.356580525636673,0.8391726613044739,1.482561469078064,0.12162327766418457,7,1.0,7.0,1.8827382326126099,1000.0,7.0,0.7850081920623779,-5.0273095768445915,0.0,-5.040209054304788,-455.69197767054703,7.0,61.984588623046875,49.322540283203125,3.6914801597595215,7000,63.51829528808594,332.08200001716614,21.079131056902067,0.01749931089580059
3.002774715423584,-77.8402328491211,0.0,21.693069458007812,-33.86525310306091,0.4268200397491455,0.8351938724517822,2.0656533241271973,0.12704941630363464,8,1.0,8.0,2.0848348140716553,1000.0,8.0,0.7881646752357483,-33.86525310306091,0.0,-29.42028026402042,-200.08077873203,8.0,81.68533325195312,57.06351089477539,2.9014976024627686,8000,83.43721008300781,379.3327810764313,21.089661635091037,0.00901864469051361
3.0139071941375732,-90.22356414794922,0.0,25.816316604614258,-46.84932371388942,0.2755220830440521,0.8257805705070496,3.1354410648345947,0.13149932026863098,9,1.0,9.0,2.2343990802764893,1000.0,9.0,0.7968664765357971,-46.84932371388942,0.0,-28.53724667864246,-21.4729779956188,9.0,101.51473999023438,74.1259765625,3.211482048034668,9000,103.32380676269531,430.2818911075592,20.916520508994033,-0.0038879180792719126
2.8575327396392822,-105.64756774902344,0.0,31.820341110229492,-18.853983274266433,0.25166231393814087,0.8327162861824036,3.253403902053833,0.135422483086586,10,1.0,10.0,2.3271830081939697,1000.0,10.0,0.7960400581359863,-18.853983274266433,0.0,26.738305036374932,524.2182704715315,10.0,121.62838745117188,130.23049926757812,3.007676839828491,10000,123.48722839355469,480.2292220592499,20.823389208010788,-0.005267554894089699
3.576225519180298,-120.93450164794922,0.0,41.512168884277344,39.084723791800755,0.3945051431655884,0.7713022232055664,5.587652206420898,0.13796734809875488,11,1.0,11.0,2.298006772994995,1000.0,11.0,0.7895842790603638,39.084723791800755,0.0,130.38902940472158,1166.896273088188,11.0,135.65335083007812,150.2743682861328,3.7345831394195557,11000,137.56503295898438,524.5418906211853,20.97067974299121,0.0005041178083047271
4.700833320617676,-139.09109497070312,0.0,50.876365661621094,98.71887991584407,0.39749327301979065,0.7719391584396362,12.524925231933594,0.13902691006660461,12,1.0,12.0,2.3067288398742676,1000.0,12.0,0.7778090834617615,98.71887991584407,0.0,207.5995655059446,1056.9154626193977,12.0,150.81520080566406,166.83099365234375,5.082890510559082,12000,152.9088134765625,572.0024783611298,20.978930081529967,-0.002848970238119364
