rollout/Q_mean,train/param_noise_distance,ret_rms_std,train/loss_actor,total/steps_per_second,reference_action_mean,total/steps,total/duration,eval/Q,total/episodes,rollout/episodes,obs_rms_mean,rollout/return_history,train/loss_critic,reference_actor_Q_mean,reference_actor_Q_std,reference_action_std,reference_Q_std,rollout/return,total/epochs,eval/episodes,rollout/episode_steps,eval/return_history,rollout/actions_std,reference_Q_mean,ret_rms_mean,obs_rms_std,eval/return,rollout/actions_mean
-0.3930794298648834,0.0,1.0,0.30970412492752075,45.048431071713,0.2995319366455078,1000,22.198331356048584,-1.157504677772522,1.0,1.0,0.06666481494903564,-235.73999101127487,0.0073778871446847916,-0.2841991186141968,0.8944922685623169,0.8605543971061707,0.8611687421798706,-235.73999101127487,1,1.0,1000.0,-517.3562374492678,0.5824352502822876,-0.440310001373291,0.0,0.37672409415245056,-517.3562374492678,0.26807624101638794
-1.1477017402648926,0.0,1.0,1.3791598081588745,45.28791554569249,0.27863165736198425,2000,44.16189122200012,-2.345630168914795,2.0,2.0,0.08320591598749161,-313.2875474483381,0.015761198475956917,0.005042683333158493,1.6050599813461304,0.856580913066864,1.5764429569244385,-313.2875474483381,2,2.0,1000.0,-666.1974701933109,0.7061547636985779,-0.17352177202701569,0.0,0.684083104133606,-815.0387029373538,0.2069217562675476
-2.0929713249206543,0.0,1.0,3.238231897354126,45.325364331954496,0.17895181477069855,3000,66.18810558319092,0.5289632678031921,3.0,3.0,0.09854291379451752,-370.29571962536994,0.09599477052688599,-0.651413083076477,2.196380138397217,0.8597545623779297,2.4237892627716064,-370.29571962536994,3,3.0,1000.0,-307.1317303554607,0.7392200827598572,-0.9313313961029053,0.0,1.1115341186523438,410.99974932023963,0.24222791194915771
-2.0282979011535645,0.0,1.0,1.7787139415740967,45.4002504582966,0.29241544008255005,4000,88.10524082183838,-0.9398650527000427,4.0,4.0,0.08301716297864914,-368.86897017668053,0.0943567156791687,-0.39143550395965576,1.2045035362243652,0.811072587966919,1.4521684646606445,-368.86897017668053,4,4.0,1000.0,-327.2063762584791,0.7757182717323303,-0.6903905868530273,0.0,1.2001029253005981,-387.43031396753435,0.14074192941188812
-2.7430572509765625,0.0,1.0,1.6392697095870972,45.46638040200311,0.3720362186431885,5000,109.97136688232422,-5.383005619049072,5.0,5.0,0.09039876610040665,-394.12216543252237,0.19692960381507874,1.5988941192626953,0.7649480104446411,0.8278996348381042,0.8838280439376831,-394.12216543252237,5,5.0,1000.0,-377.58485697124786,0.797573447227478,1.1935930252075195,0.0,1.4230997562408447,-579.0987798223227,0.08328565955162048
-3.510585308074951,0.0,1.0,0.6066444516181946,45.56191648766737,0.21748222410678864,6000,131.6889293193817,5.924076557159424,6.0,6.0,0.11055159568786621,-392.7983772025049,0.2291187345981598,5.110383987426758,0.6688122749328613,0.7975894212722778,0.5773695111274719,-392.7983772025049,6,6.0,1000.0,-322.88557569306414,0.7996189594268799,4.358018398284912,0.0,1.3798801898956299,-49.389169302145696,0.1193009689450264
-3.4765799045562744,0.0,1.0,-0.6611750721931458,45.62534222353962,0.34861019253730774,7000,153.42350673675537,8.289667129516602,7.0,7.0,0.11738590896129608,-392.342648613501,0.33182185888290405,9.113640785217285,1.3423506021499634,0.7282351851463318,1.4105439186096191,-392.342648613501,7,7.0,1000.0,-314.2760236582431,0.7912721633911133,8.308262825012207,0.0,1.6519670486450195,-262.618711449317,0.1413399875164032
-3.150242567062378,0.0,1.0,-2.0023324489593506,45.668894390989315,0.34332725405693054,8000,175.1739363670349,12.787856101989746,8.0,8.0,0.1210741400718689,-391.08276176492654,0.33578377962112427,13.7254638671875,1.4747633934020996,0.7539482116699219,1.5158703327178955,-391.08276176492654,8,8.0,1000.0,-293.04834665885716,0.7920746803283691,13.000469207763672,0.0,1.7867906093597412,-144.45460766315543,0.13694608211517334
-1.2205476760864258,0.0,1.0,-5.352278232574463,45.681558332783425,0.27705681324005127,9000,197.0160460472107,15.751774787902832,9.0,9.0,0.12072478979825974,-365.257608831974,0.3297216296195984,16.885040283203125,1.8526923656463623,0.6531533002853394,1.9351274967193604,-365.257608831974,9,9.0,1000.0,-292.6233778167724,0.7707180380821228,16.433202743530273,0.0,1.7376930713653564,-289.22362708009433,0.1446491926908493
0.4511445164680481,0.0,1.0,-8.183401107788086,45.70742250694936,0.26900795102119446,10000,218.78284645080566,18.018585205078125,10.0,10.0,0.11685564368963242,-335.2111839753596,0.28195303678512573,20.012187957763672,2.407687187194824,0.6589240431785583,2.5503087043762207,-335.2111839753596,10,10.0,1000.0,-270.73591684256365,0.7608875036239624,19.38690185546875,0.0,1.7767540216445923,-73.74876807468505,0.11401356756687164
1.0927339792251587,0.0,1.0,-9.60503101348877,45.741472731808074,0.32939407229423523,11000,240.4819815158844,20.407678604125977,11.0,11.0,0.11904964596033096,-317.88685334783696,0.3483332097530365,21.05587387084961,3.719712734222412,0.6571773886680603,3.7778100967407227,-317.88685334783696,11,11.0,1000.0,-260.9522034369769,0.7576438188552856,20.545923233032227,0.0,1.9015874862670898,-163.1150693811093,0.0955287516117096
2.947653293609619,0.0,1.0,-10.893649101257324,45.77009917611963,0.35159850120544434,12000,262.1798994541168,24.733156204223633,12.0,12.0,0.11339258402585983,-314.2803484838874,0.4268956780433655,22.308677673339844,2.4598050117492676,0.6211329102516174,2.579913377761841,-314.2803484838874,12,12.0,1000.0,-194.50333132605132,0.7443053126335144,21.823762893676758,0.0,1.8875081539154053,536.4342618941301,0.11096668988466263
