reference_action_std,eval/return,reference_actor_Q_std,total/epochs,ret_rms_mean,rollout/Q_mean,eval/Q,total/episodes,reference_Q_std,rollout/return_history,obs_rms_std,train/loss_critic,reference_actor_Q_mean,train/param_noise_distance,rollout/return,eval/episodes,total/steps_per_second,total/duration,reference_perturbed_action_mean,rollout/actions_mean,rollout/episode_steps,total/steps,param_noise_stddev,reference_perturbed_action_std,reference_action_mean,reference_Q_mean,rollout/actions_std,rollout/episodes,obs_rms_mean,eval/return_history,train/loss_actor,ret_rms_std
0.5476256608963013,4018.381149434201,5.79172420501709,941,0.0,453.7474060058594,818.9102783203125,941.0,10.913774490356445,3908.9818334952884,2.8076159954071045,72.97531127929688,753.5782470703125,0.26924341917037964,2238.442160302339,941.0,76.00364480325081,12380.985180854797,0.16341407597064972,0.008984977379441261,1000.0,941000,0.017999379770019416,0.5330668091773987,0.1102038100361824,746.7442626953125,0.667299211025238,941.0,0.13537517189979553,4228.565376717497,-774.1981201171875,1.0
0.5431060791015625,4412.763443081255,4.46621036529541,942,0.0,454.13018798828125,821.9171752929688,942.0,8.117021560668945,3907.9055758494956,2.8083269596099854,390.85479736328125,753.7163696289062,0.16405443847179413,2240.1515836349563,942.0,75.99886359893536,12394.922178983688,0.09473863989114761,0.009110542945563793,1000.0,942000,0.017644720880324885,0.4942362904548645,0.04330261051654816,747.515625,0.6673534512519836,942.0,0.13548550009727478,4231.2157811690395,-777.3841552734375,1.0
0.6171396970748901,4096.890694061329,4.013933181762695,943,0.0,454.5118103027344,814.789306640625,943.0,3.273855209350586,3904.116130946611,2.809046745300293,647.1263427734375,750.10986328125,0.20909878611564636,2241.7754284850275,943.0,75.99369509967597,12408.924171447754,0.09868162125349045,0.009027017280459404,1000.0,943000,0.017297050171870294,0.6175403594970703,0.018733015283942223,746.010986328125,0.6673526167869568,943.0,0.13558831810951233,4228.110373620034,-776.613037109375,1.0
0.6306249499320984,4386.729042101616,3.8032190799713135,944,0.0,454.8970947265625,820.8474731445312,944.0,3.5011484622955322,3907.8361067163305,2.8102452754974365,612.891845703125,751.9818115234375,0.19463923573493958,2244.1221886868657,944.0,75.98860358293906,12422.915483236313,0.1770794838666916,0.008910935372114182,1000.0,944000,0.017644720880324885,0.6066922545433044,0.08526048809289932,747.1168823242188,0.6674960255622864,944.0,0.13568420708179474,4231.130357905149,-777.5424194335938,1.0
0.639231264591217,4399.072992843238,3.679795503616333,945,0.0,455.2660217285156,821.1671752929688,945.0,3.371514081954956,3908.4032460205535,2.811192750930786,20.673728942871094,753.281494140625,0.21262413263320923,2245.524933695261,945.0,75.98400406052055,12436.828141450882,-0.09862079471349716,0.008994169533252716,1000.0,945000,0.017999379770019416,0.6618328094482422,0.010729074478149414,748.7562866210938,0.6675511598587036,945.0,0.13577771186828613,4230.856816731594,-775.9174194335938,1.0
0.6442057490348816,4425.708630590541,3.563904285430908,946,0.0,455.651123046875,819.6535034179688,946.0,3.4504055976867676,3910.2136559670903,2.8122358322143555,407.67425537109375,752.31640625,0.21269644796848297,2247.8009681834146,946.0,75.98064207282471,12450.539692640305,0.05899326875805855,0.008904346264898777,1000.0,946000,0.017297050171870294,0.6519357562065125,0.02772977389395237,747.5565795898438,0.6675956845283508,946.0,0.13589026033878326,4231.643711063485,-773.4530639648438,1.0
0.592889666557312,4095.0194444981985,4.786993026733398,947,0.0,456.03436279296875,818.4539794921875,947.0,4.489867687225342,3914.8662146290644,2.81327223777771,1178.0367431640625,752.5123291015625,0.22484688460826874,2249.902389693836,947.0,75.97731989366416,12464.245926618576,0.0012727876892313361,0.008959445171058178,1000.0,947000,0.01662212523270047,0.6124403476715088,0.08263105154037476,747.27197265625,0.667616605758667,947.0,0.1359872967004776,4230.673481125461,-773.0858764648438,1.0
0.6041972041130066,4320.571781850958,4.150425910949707,948,0.0,456.4160461425781,819.2863159179688,948.0,4.105588436126709,3926.087902367009,2.8142099380493164,799.1444702148438,752.7991943359375,0.19717812538146973,2251.809011731428,948.0,75.97426425518475,12477.909582853317,0.09470262378454208,0.009075040929019451,1000.0,948000,0.01695622994987775,0.6274961829185486,0.11764544248580933,746.4698486328125,0.6676595211029053,948.0,0.1361418217420578,4233.01198965564,-774.4835815429688,1.0
0.6029660701751709,4314.023022269792,4.063676357269287,949,0.0,456.7939758300781,818.79345703125,949.0,3.93076229095459,3936.7757872954244,2.815153121948242,399.5667724609375,752.7955932617188,0.16379202902317047,2253.679789475544,949.0,75.97113179812,12491.586969137192,0.12539365887641907,0.009163671173155308,1000.0,949000,0.017297050171870294,0.617630660533905,0.16348667442798615,747.3349609375,0.6676802039146423,949.0,0.13625085353851318,4234.888803576544,-775.186767578125,1.0
0.6220690608024597,4328.415075371674,3.265780448913574,950,0.0,457.1719970703125,819.2734375,950.0,2.8424506187438965,3938.0979250792084,2.816128730773926,1302.5814208984375,752.2186279296875,0.1815956085920334,2255.4564359832243,950.0,75.96802672375743,12505.260975837708,-0.008173053152859211,0.009209107607603073,1000.0,950000,0.017644720880324885,0.6132484078407288,0.02509923279285431,748.3687133789062,0.6677396297454834,950.0,0.13633829355239868,4236.636323566246,-773.0368041992188,1.0
0.5610547065734863,4204.825168240461,3.698979616165161,951,0.0,457.556396484375,818.1997680664062,951.0,3.558814764022827,3951.855076038485,2.8173294067382812,775.324462890625,752.6495971679688,0.22919932007789612,2258.101412501665,951.0,75.96491022116503,12518.937983751297,0.0707615539431572,0.009143282659351826,1000.0,951000,0.018361167303396805,0.5851430892944336,0.12467183917760849,748.34130859375,0.6677842140197754,951.0,0.1364273726940155,4234.356093929175,-775.90576171875,1.0
0.5773211717605591,3966.3295071587927,4.152828693389893,952,0.0,457.9371032714844,815.5222778320312,952.0,3.556560516357422,3950.053767485582,2.8180723190307617,227.91619873046875,751.0881958007812,0.20454977452754974,2260.2756661819703,952.0,75.96209904629562,12532.565739393234,0.09172442555427551,0.009256759658455849,1000.0,952000,0.018361167303396805,0.5655614137649536,0.03457086905837059,747.4273071289062,0.6677587032318115,952.0,0.13661980628967285,4231.553760044615,-773.0158081054688,1.0
