rollout/episodes,reference_action_std,eval/return,eval/episodes,rollout/return_history,rollout/return,total/duration,ret_rms_std,total/epochs,rollout/Q_mean,obs_rms_std,ret_rms_mean,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,eval/Q,total/steps,reference_actor_Q_mean,reference_actor_Q_std,rollout/actions_std,eval/return_history,reference_action_mean,train/loss_critic,train/loss_actor,obs_rms_mean,reference_Q_mean,train/param_noise_distance,rollout/episode_steps
1.0,0.48305824398994446,-449.3101265892757,1.0,-234.4649262377944,-234.4649262377944,18.89370036125183,1.0,1,-0.7711673378944397,0.2397880256175995,0.0,1.0,1.4859206676483154,0.25691553950309753,52.92769446322178,-1.3158454895019531,1000,-0.6822535395622253,1.557977557182312,0.5885997414588928,-449.3101265892757,0.7206946015357971,0.009081162512302399,0.5939779877662659,0.06895729899406433,-0.8295889496803284,0.0,1000.0
2.0,0.8946229219436646,73.44579141809852,2.0,-260.86694991440277,-260.86694991440277,37.256816148757935,1.0,2,-0.9358640909194946,0.6255831122398376,0.0,2.0,1.4590580463409424,0.10324623435735703,53.68145232846677,0.8406986594200134,2000,1.0547244548797607,1.4036978483200073,0.6806284189224243,-187.9321675855886,-0.0414646714925766,0.014594623818993568,0.10840313136577606,0.091102235019207,0.8101996779441833,0.0,1000.0
3.0,0.7955038547515869,-569.298114454221,3.0,-309.0747442717645,-309.0747442717645,55.674192905426025,1.0,3,-0.7554332613945007,0.765876293182373,0.0,3.0,1.8022416830062866,0.19560956954956055,53.88493022424433,-0.9554077386856079,3000,1.036203145980835,1.8041397333145142,0.6757178902626038,-315.05414987513274,0.49599960446357727,0.09231986850500107,-0.22438064217567444,0.08382523059844971,1.0109384059906006,0.0,1000.0
4.0,0.7338205575942993,-429.6690250980913,4.0,-325.82891451518606,-325.82891451518606,73.869140625,1.0,4,-0.6935623288154602,1.1429827213287354,0.0,4.0,2.4288394451141357,0.21560369431972504,54.14981095158774,1.930287480354309,4000,1.7594108581542969,2.2655930519104004,0.6846552491188049,-343.70786868087237,0.2390458583831787,0.23044097423553467,-0.33033454418182373,0.08836591243743896,1.4580166339874268,0.0,1000.0
5.0,0.6024964451789856,-10.892093035237831,5.0,-328.20803383297635,-328.20803383297635,92.12169194221497,1.0,5,-0.9474507570266724,1.1601786613464355,0.0,5.0,1.4237523078918457,0.16431918740272522,54.276033088236616,3.4915125370025635,5000,4.107608795166016,1.467671275138855,0.7156105637550354,-277.14471355174544,0.4536888897418976,0.1144476905465126,-1.236160397529602,0.09753713011741638,3.8274085521698,0.0,1000.0
6.0,0.5277454257011414,-204.15477846106336,6.0,-325.91456130797206,-325.91456130797206,110.32955574989319,1.0,6,-0.39181074500083923,1.1445536613464355,0.0,6.0,1.4837027788162231,0.13204503059387207,54.38252659696592,-2.5586037635803223,6000,5.493358612060547,1.4202330112457275,0.726902961730957,-264.97972436996514,0.2457166463136673,0.16691802442073822,-2.1870288848876953,0.09497722238302231,5.228137969970703,0.0,1000.0
7.0,0.557384729385376,-409.2556678613871,7.0,-319.67987967577744,-319.67987967577744,128.63614082336426,1.0,7,-0.6204858422279358,1.476853609085083,0.0,7.0,2.0157546997070312,0.09557880461215973,54.41705538735025,-2.268716335296631,7000,7.4571123123168945,1.9955006837844849,0.7311433553695679,-285.59057344016827,0.2728191018104553,0.16012561321258545,-3.3156332969665527,0.10050327330827713,6.849567413330078,0.0,1000.0
8.0,0.3606843650341034,-178.6905201234081,8.0,-334.82121212992007,-334.82121212992007,146.94668745994568,1.0,8,-1.0248953104019165,1.6170763969421387,0.0,8.0,1.7205374240875244,0.06881597638130188,54.44151302955106,6.547180652618408,8000,10.602521896362305,1.6852521896362305,0.7449198365211487,-272.2280667755732,0.28634214401245117,0.18338698148727417,-3.5812952518463135,0.10617973655462265,10.091424942016602,0.0,1000.0
9.0,0.40980827808380127,-272.72587209909847,9.0,-322.01940108480017,-322.01940108480017,165.25719118118286,1.0,9,0.04006407409906387,1.5633472204208374,0.0,9.0,1.9596824645996094,0.09149577468633652,54.46056498765418,7.704861164093018,9000,12.850565910339355,1.8436503410339355,0.7289718389511108,-272.28337847818716,0.3046843409538269,0.2428925335407257,-6.713131904602051,0.1095060259103775,12.392616271972656,0.0,1000.0
10.0,0.4528712332248688,8.773453744867178,10.0,-299.5016710444446,-299.5016710444446,183.62192749977112,1.0,10,0.23353564739227295,2.0971267223358154,0.0,10.0,1.6441060304641724,0.08284379541873932,54.45972676663284,14.979692459106445,10000,15.89719295501709,1.4609013795852661,0.7368977665901184,-244.1776952558817,0.16941805183887482,0.2776930034160614,-8.550613403320312,0.11424782872200012,15.425577163696289,0.0,1000.0
