rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,reference_perturbed_action_std,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,param_noise_stddev,rollout/Q_mean,eval/return,reference_perturbed_action_mean,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
32.0,20.463829040527344,20.631046295166016,1.0,1000,32.0,0.6013626456260681,11.017049551010132,0.10734856873750687,0.6883432269096375,1.7358274459838867,0.14330962300300598,1.2563377618789673,31.125,2.186436891555786,0.16720346283821505,9.345783233642578,93.11712361609281,-0.15195804834365845,154.64982941490587,1,0.5903058052062988,1.3963028192520142,0.6400207877159119,6.377391338348389,-19.867755889892578,93.11712361609281,154.64982941490587,90.76840358844642,20.16041374206543,0.0,1.0
70.0,41.041038513183594,41.094478607177734,2.0,2000,70.0,0.5888144373893738,22.139727354049683,0.1251806765794754,0.6353970766067505,2.6164660453796387,0.11976877599954605,1.1703603267669678,28.32857142857143,8.081440925598145,0.1370306733903066,19.07601547241211,345.94106333956904,0.20190081000328064,137.95429541720608,2,0.7514733076095581,6.228726863861084,0.6719633340835571,7.050722599029541,-39.399986267089844,219.52909347783094,137.95429541720608,90.3353491222723,40.031227111816406,0.0,1.0
101.0,59.5561637878418,64.0314712524414,3.0,3000,101.0,0.6270567178726196,33.0403618812561,0.3000742197036743,0.6559956669807434,3.6497747898101807,0.11164633929729462,1.2107243537902832,29.396039603960396,16.23107147216797,0.11230273064362171,29.038755416870117,276.8777486068839,0.21518874168395996,142.52453117402152,3,0.6786580085754395,14.420083999633789,0.6655228734016418,7.056579113006592,-57.0819091796875,238.64531185418195,143.07476000278518,90.79803698221323,58.13270568847656,0.0,1.0
122.0,77.31764221191406,82.80132293701172,4.0,4000,122.0,0.67353755235672,44.16478109359741,0.2001751810312271,0.639794647693634,5.191671848297119,0.1578807681798935,1.4324986934661865,32.36065573770492,24.609365463256836,0.09203708190275892,39.564117431640625,373.8529065747163,0.29628321528434753,159.1281255944767,4,0.6047216653823853,23.13747215270996,0.6655632853507996,6.814683437347412,-75.61322021484375,272.44721053431556,163.00269186958013,90.56990436617112,75.50382995605469,0.0,1.0
141.0,93.19813537597656,105.20012664794922,5.0,5000,141.0,0.7122815847396851,55.48249554634094,0.17034807801246643,0.7052633166313171,5.84043025970459,0.16703735291957855,1.5086534023284912,35.05673758865248,36.040435791015625,0.07542848153938683,49.2263069152832,498.3274960358188,0.15727606415748596,171.78819989299976,5,0.5860589742660522,34.443092346191406,0.6663950681686401,6.684597492218018,-93.4843978881836,317.6232676346162,183.16963904424705,90.11851306911426,90.86687469482422,0.0,1.0
159.0,112.05705261230469,108.98735046386719,6.0,6000,159.0,0.731559693813324,66.50989198684692,0.19747057557106018,0.7339962124824524,9.559454917907715,0.16927093267440796,1.549849510192871,37.44654088050314,43.5222282409668,0.06181699495154324,58.0615119934082,308.9551291033341,0.21072842180728912,182.14051496810058,6,0.4224535822868347,41.54890060424805,0.6740858554840088,6.592751979827881,-112.9970703125,316.17857787940255,208.55718026565722,90.2121447015215,108.49726867675781,0.0,1.0
177.0,131.83160400390625,138.92123413085938,7.0,7000,177.0,0.7417439818382263,77.5851092338562,0.23930896818637848,0.6923882961273193,17.416505813598633,0.17545124888420105,1.6070376634597778,39.429378531073446,50.840518951416016,0.05066177638540577,67.38259887695312,344.9330019253507,0.2848634123802185,192.09647493765232,7,0.3681778311729431,48.8004035949707,0.6808551549911499,6.496232032775879,-131.34205627441406,320.28635274310943,232.7974053344936,90.22349867293059,127.34603881835938,0.0,1.0
194.0,146.06996154785156,154.24734497070312,8.0,8000,194.0,0.6971103549003601,88.6206886768341,0.2781156301498413,0.6517937183380127,12.763755798339844,0.18897540867328644,1.68271803855896,40.93298969072165,62.66453170776367,0.04151957869412388,76.35081481933594,284.4225198623349,0.3368483781814575,200.82934226235105,8,0.3437351584434509,60.214576721191406,0.6859062910079956,6.4915452003479,-148.93385314941406,315.8033736330126,257.0782811157215,90.2723745374283,141.09814453125,0.0,1.0
215.0,159.21533203125,160.90708923339844,9.0,9000,215.0,0.7291045784950256,99.78560161590576,0.23022086918354034,0.7034294605255127,21.24227523803711,0.19942134618759155,1.7365243434906006,41.84651162790698,74.98841094970703,0.034027141129503384,85.666259765625,330.4070384708301,0.2577122449874878,206.27706016372636,9,0.2913534343242645,72.74258422851562,0.68742835521698,6.5346574783325195,-161.43478393554688,317.42600305943677,266.24296246421613,90.19337313456059,154.01968383789062,0.0,1.0
230.0,168.84896850585938,166.89585876464844,10.0,10000,230.0,0.7467280626296997,110.85993576049805,0.20809879899024963,0.7415538430213928,29.515600204467773,0.20215682685375214,1.762386441230774,43.40869565217391,86.46046447753906,0.027886755354071244,94.26502227783203,299.19842750766963,0.2633703947067261,214.31781607442662,10,0.25305595993995667,85.15771484375,0.6919187307357788,6.510429859161377,-175.31089782714844,315.6032455042601,275.8562840162891,90.20391299525929,162.6470947265625,0.0,1.0
247.0,180.8824462890625,217.82545471191406,11.0,11000,247.0,0.7546560764312744,121.96082544326782,0.19067659974098206,0.7455713748931885,31.861671447753906,0.2060530185699463,1.7932515144348145,44.51417004048583,98.77043914794922,0.022854436146078055,101.58234405517578,282.8243939906043,0.1773265153169632,220.28455505432328,11,0.22668999433517456,97.95011138916016,0.6983281373977661,6.51884126663208,-188.18267822265625,312.6233499121095,288.7002327571319,90.19289562874302,173.89939880371094,0.0,1.0
260.0,194.500732421875,245.25538635253906,12.0,12000,260.0,0.7703931331634521,133.0442407131195,0.20722316205501556,0.7694541215896606,40.085113525390625,0.20511917769908905,1.8043715953826904,45.9,107.65325164794922,0.022854436146078055,111.87873840332031,279.66930940646205,0.22589537501335144,226.07594557828781,12,0.2043733447790146,106.10228729248047,0.7030937671661377,6.565764904022217,-205.31088256835938,309.8771798699723,294.95460818448953,90.19556153411666,186.1375274658203,0.0,1.0
274.0,200.75357055664062,263.8009948730469,13.0,13000,274.0,0.7853067517280579,144.20321321487427,0.16424840688705444,0.7876047492027283,51.1914176940918,0.20739629864692688,1.8188194036483765,47.36861313868613,118.2333755493164,0.022854436146078055,121.02473449707031,319.85446761279985,0.1647413820028305,232.66336300938585,13,0.19316065311431885,118.21113586425781,0.7085346579551697,6.530909538269043,-215.5927734375,310.6446635424975,304.8658342817703,90.1505570519359,193.7989501953125,0.0,1.0
