total/duration,total/epochs,reference_Q_std,rollout/Q_mean,total/episodes,rollout/episodes,eval/return,rollout/episode_steps,rollout/return,eval/Q,ret_rms_mean,reference_Q_mean,rollout/actions_mean,obs_rms_std,train/param_noise_distance,reference_action_mean,total/steps_per_second,reference_actor_Q_mean,eval/episodes,rollout/actions_std,eval/return_history,obs_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/return_history,reference_action_std,total/steps,train/loss_actor,ret_rms_std
576.5043637752533,32,1.3410555124282837,34.66828155517578,32.0,32.0,-495.8707137561681,1000.0,67.69579705985053,12.045665740966797,0.0,115.29801940917969,0.037673305720090866,2.2612671852111816,0.0,0.2445361167192459,55.506951916976305,116.70657348632812,32.0,0.6990073323249817,128.19026548864488,0.12121019512414932,1.2627544403076172,15.820111274719238,67.69579705985053,0.7642927169799805,32000,-89.4695816040039,1.0
594.3252465724945,33,1.4512999057769775,33.267452239990234,33.0,33.0,-92.795913374549,1000.0,55.132828155673494,47.375614166259766,0.0,120.80937957763672,0.03737153112888336,2.248741388320923,0.0,0.3043001592159271,55.52515258322403,121.95703125,33.0,0.7022073268890381,121.49371461400264,0.12323398888111115,1.4415369033813477,17.575231552124023,55.132828155673494,0.7279778718948364,33000,-90.18795776367188,1.0
612.2045304775238,34,2.0354671478271484,32.82133865356445,34.0,34.0,974.7096051616876,1000.0,50.26417479034835,140.29159545898438,0.0,128.70919799804688,0.043055880814790726,2.2306361198425293,0.0,0.3122939467430115,55.5369950847632,130.2754669189453,34.0,0.7040766477584839,146.588299630111,0.12595823407173157,2.2175838947296143,10.405777931213379,50.26417479034835,0.7246108055114746,34000,-92.05810546875,1.0
630.0099558830261,35,1.3186537027359009,32.702152252197266,35.0,35.0,-579.1734202992702,1000.0,47.469801580044425,34.607906341552734,0.0,135.84414672851562,0.05152994766831398,2.219299554824829,0.0,0.32373976707458496,55.55467762560001,137.37881469726562,35.0,0.7062585353851318,125.85225048927155,0.1289995312690735,1.2098124027252197,13.560935974121094,47.469801580044425,0.696076512336731,35000,-95.00051879882812,1.0
647.7469775676727,36,1.4274389743804932,31.373788833618164,36.0,36.0,936.809433309007,1000.0,28.595727527912643,152.73374938964844,0.0,139.42147827148438,0.05857448652386665,2.219351053237915,0.0,0.2953213155269623,55.577256624464816,140.43067932128906,36.0,0.7112497687339783,148.37883890093087,0.1317673921585083,1.5854816436767578,10.382293701171875,28.595727527912643,0.755995512008667,36000,-94.9752426147461,1.0
665.5247433185577,37,1.2674357891082764,34.62456512451172,37.0,37.0,742.6981309490611,1000.0,37.91655660435197,156.91603088378906,0.0,145.63153076171875,0.06093217805027962,2.220299005508423,0.0,0.42665180563926697,55.59522823374534,147.23422241210938,37.0,0.7097522020339966,164.44152246979925,0.13247054815292358,1.288808822631836,7.546779632568359,37.91655660435197,0.7006289958953857,37000,-99.93042755126953,1.0
683.3119304180145,38,1.826392650604248,35.75316619873047,38.0,38.0,755.1717564113035,1000.0,33.988221641247904,161.51126098632812,0.0,150.8784637451172,0.062308065593242645,2.225339651107788,0.0,0.3224905729293823,55.61149792416706,152.43170166015625,38.0,0.7100518345832825,179.98705494194408,0.1332617998123169,1.6050485372543335,25.406801223754883,33.988221641247904,0.6157093644142151,38000,-103.75377655029297,1.0
701.1946492195129,39,2.871047258377075,38.97664260864258,39.0,39.0,-112.37207611849738,1000.0,41.852949700949544,36.06966781616211,0.0,157.3624267578125,0.06401898711919785,2.2223269939422607,0.0,0.2704554498195648,55.61936338705692,159.20782470703125,39.0,0.7078062891960144,172.49066696603532,0.1332949548959732,3.015781879425049,19.41962432861328,41.852949700949544,0.6208650469779968,39000,-104.56169128417969,1.0
719.0823042392731,40,2.117816209793091,38.52167510986328,40.0,40.0,-59.87347511698101,1000.0,35.29050321478538,51.158817291259766,0.0,161.18365478515625,0.05842791870236397,2.203551769256592,0.0,0.16503609716892242,55.62645578146516,162.95359802246094,40.0,0.7113460302352905,166.68156341395996,0.13284718990325928,1.5640029907226562,24.692035675048828,35.29050321478538,0.5889270305633545,40000,-108.03575897216797,1.0
736.9826831817627,41,2.019723653793335,41.7254524230957,41.0,41.0,677.8246787271086,1000.0,40.107853698008604,174.44908142089844,0.0,166.1602325439453,0.06283247470855713,2.2005488872528076,0.0,0.12406978756189346,55.63224338323854,167.50830078125,41.0,0.7096309661865234,179.14846866550016,0.13257896900177002,1.6872042417526245,35.094505310058594,40.107853698008604,0.6119773983955383,41000,-109.58594512939453,1.0
754.8504891395569,42,1.3090012073516846,44.881343841552734,42.0,42.0,-277.6446975539831,1000.0,45.17370645333829,174.1350555419922,0.0,170.33529663085938,0.062272217124700546,2.198409080505371,0.0,0.21456658840179443,55.640157361327525,171.66729736328125,42.0,0.7072475552558899,168.2724408983696,0.13005854189395905,1.27122962474823,27.39162826538086,45.17370645333829,0.6039811372756958,42000,-114.20759582519531,1.0
772.7002520561218,43,1.1594212055206299,47.97711181640625,43.0,43.0,330.2256497529164,1000.0,50.049639886090404,179.13319396972656,0.0,172.620361328125,0.06177115812897682,2.204469680786133,0.0,0.10159602016210556,55.649004753885954,173.88690185546875,43.0,0.7059835195541382,172.0387945926614,0.12988728284835815,1.1111619472503662,6.027318000793457,50.049639886090404,0.6757628321647644,43000,-116.89814758300781,1.0
790.6200358867645,44,1.4427869319915771,51.04228973388672,44.0,44.0,-56.21513345492129,1000.0,57.01186360629526,178.36245727539062,0.0,174.67898559570312,0.062319837510585785,2.205509662628174,0.0,0.24915838241577148,55.6525233396714,176.54776000976562,44.0,0.7053795456886292,166.85120531885266,0.12966570258140564,1.4440218210220337,26.435279846191406,57.01186360629526,0.6675310730934143,44000,-121.2025375366211,1.0
808.3507735729218,45,1.7356202602386475,53.899810791015625,45.0,45.0,418.43729921136054,1000.0,51.42146577746144,176.8214874267578,0.0,178.40098571777344,0.06214071065187454,2.2159078121185303,0.0,0.22375516593456268,55.66890200537493,179.9483642578125,45.0,0.7054837942123413,172.44200740535285,0.12734268605709076,1.5494829416275024,18.486732482910156,51.42146577746144,0.6262883543968201,45000,-125.5681381225586,1.0
