eval/episodes,rollout/actions_mean,train/loss_critic,rollout/episodes,reference_action_mean,total/steps,total/duration,rollout/return,train/loss_actor,rollout/Q_mean,rollout/actions_std,obs_rms_std,ret_rms_std,reference_actor_Q_std,reference_actor_Q_mean,total/steps_per_second,eval/return_history,total/episodes,reference_Q_mean,reference_action_std,eval/return,obs_rms_mean,rollout/episode_steps,eval/Q,total/epochs,reference_Q_std,rollout/return_history,train/param_noise_distance,ret_rms_mean
1.0,-0.007665280718356371,0.10131822526454926,1.0,-0.44420894980430603,1000,53.12000513076782,-242.204201934602,-3.1197519302368164,-0.5086318850517273,0.6944106221199036,1.3008737564086914,1.0,2.6821320056915283,3.639051914215088,18.82529938651656,-478.21975510673303,1.0,2.8883438110351562,0.7968937158584595,-478.21975510673303,0.05049486458301544,1000.0,0.9611312747001648,1,2.858072280883789,-242.204201934602,0.0,0.0
2.0,0.023142043501138687,0.1804158091545105,2.0,0.1802656054496765,2000,105.2434070110321,-94.77461847782422,-13.590609550476074,4.575766563415527,0.7033633589744568,1.9295384883880615,1.0,5.133929252624512,12.868481636047363,19.003565703553768,-42.48060221194643,2.0,11.734981536865234,0.7733648419380188,393.25855068284017,0.07038415223360062,1000.0,19.37540626525879,2,5.238701343536377,-94.77461847782422,0.0,0.0
3.0,0.06854812800884247,0.5866800546646118,3.0,0.17175447940826416,3000,157.36378288269043,68.6323083595935,-31.526870727539062,11.528305053710938,0.6760416626930237,2.045738935470581,1.0,4.486388206481934,29.812477111816406,19.064107033042045,161.6140517059499,3.0,28.526105880737305,0.7331284284591675,569.8033595417426,0.09062805771827698,1000.0,34.60858917236328,3,4.867448329925537,68.6323083595935,0.0,0.0
4.0,0.07685776799917221,0.8683488965034485,4.0,-0.021646052598953247,4000,208.89431047439575,238.03948509166548,-50.07651901245117,19.652002334594727,0.6565924882888794,2.142148494720459,1.0,2.2632863521575928,46.469879150390625,19.148439183987644,343.5801985381717,4.0,45.201541900634766,0.7521507740020752,889.4786390348372,0.10469893366098404,1000.0,55.20791244506836,4,2.3025665283203125,238.03948509166548,0.0,0.0
5.0,0.054460328072309494,0.9334304928779602,5.0,0.05463221296668053,5000,268.27957701683044,239.54504253120476,-68.81869506835938,26.63389778137207,0.6650777459144592,2.1226296424865723,1.0,3.4760828018188477,66.12287902832031,18.637274054171954,186.12186682598167,5.0,64.44923400878906,0.7295977473258972,-443.71146002277845,0.10537883639335632,1000.0,48.04983901977539,5,3.524296522140503,239.54504253120476,0.0,0.0
6.0,-0.006805579178035259,1.769404411315918,6.0,0.09592875093221664,6000,326.3300824165344,144.71005737086332,-83.25885009765625,31.40499496459961,0.6927638053894043,2.0161991119384766,1.0,5.223039627075195,84.85055541992188,18.386291437089998,73.94468499345216,6.0,83.3773193359375,0.7033523321151733,-486.94122416919544,0.10241474211215973,1000.0,61.49027633666992,6,5.02431058883667,144.71005737086332,0.0,0.0
7.0,0.010857366025447845,2.2308402061462402,7.0,0.10661685466766357,7000,384.4835455417633,70.25573427728824,-93.53449249267578,36.056724548339844,0.7194215655326843,1.960534691810608,1.0,6.293626308441162,102.7379150390625,18.206240764182837,-6.986105640546327,7.0,101.22376251220703,0.7520014643669128,-492.5708494445372,0.11176100373268127,1000.0,57.73695755004883,7,6.321404457092285,70.25573427728824,0.0,0.0
8.0,0.0004014021542388946,3.4384119510650635,8.0,0.2742891311645508,8000,443.5201451778412,28.963073631648854,-99.75090789794922,40.13991165161133,0.7278620004653931,2.0447020530700684,1.0,4.784921646118164,119.1942367553711,18.037512133281314,-97.68962811928887,8.0,117.70486450195312,0.7262495160102844,-732.6142854704865,0.1126270517706871,1000.0,60.93949508666992,8,4.996224880218506,28.963073631648854,0.0,0.0
9.0,-0.009999274276196957,2.067009449005127,9.0,0.14357629418373108,9000,502.2597188949585,-27.69735236162362,-100.33907318115234,41.9699592590332,0.7401443123817444,2.212503671646118,1.0,3.4258859157562256,133.67221069335938,17.91901612138289,-87.51036585227327,9.0,132.19476318359375,0.714198112487793,-6.076267716148483,0.11642346531152725,1000.0,100.83442687988281,9,3.4739091396331787,-27.69735236162362,0.0,0.0
10.0,-0.027590733021497726,2.5456361770629883,10.0,0.14844316244125366,10000,557.4904873371124,-45.476974197862106,-102.2415542602539,44.77639389038086,0.7498145699501038,2.1663811206817627,1.0,3.480970859527588,147.57498168945312,17.9375258002439,-92.82311218682126,10.0,145.7500762939453,0.7358927726745605,-140.63782919775326,0.11573116481304169,1000.0,124.98443603515625,10,3.5442237854003906,-45.476974197862106,0.0,0.0
11.0,-0.04151090234518051,2.899139404296875,11.0,0.13075153529644012,11000,613.2840437889099,-70.71526157993736,-100.95825958251953,44.21514892578125,0.7526543140411377,2.1878318786621094,1.0,2.952298879623413,163.39797973632812,17.936224024419847,-66.82660065914291,11.0,161.5148468017578,0.7752764821052551,193.13851461764068,0.11640633642673492,1000.0,121.59030151367188,11,2.939769744873047,-70.71526157993736,0.0,0.0
12.0,-0.05522426217794418,12.355230331420898,12.0,0.20590800046920776,12000,671.0818681716919,-60.404446454498895,-104.00775146484375,47.50473403930664,0.7532525658607483,2.2704732418060303,1.0,2.5302252769470215,174.52035522460938,17.881573872190923,-7.602142164337541,12.0,172.98245239257812,0.77875155210495,643.8669012785215,0.11535752564668655,1000.0,180.95401000976562,12,2.784731149673462,-60.404446454498895,0.0,0.0
