reference_Q_std,reference_perturbed_action_mean,rollout/actions_std,rollout/episodes,total/duration,reference_action_mean,ret_rms_std,train/loss_actor,reference_Q_mean,total/episodes,rollout/Q_mean,ret_rms_mean,rollout/return_history,eval/return,eval/return_history,reference_actor_Q_std,reference_perturbed_action_std,reference_actor_Q_mean,obs_rms_mean,rollout/actions_mean,total/steps_per_second,eval/Q,obs_rms_std,rollout/episode_steps,train/loss_critic,rollout/return,train/param_noise_distance,total/steps,eval/episodes,total/epochs,param_noise_stddev,reference_action_std
4.217929363250732,0.48093119263648987,0.5774419903755188,19.0,9.440415859222412,0.7069154381752014,1.0,-3.446568012237549,2.407900333404541,19.0,0.9745875597000122,0.0,15.47701014897077,-11.183012670824047,-11.183012670824047,3.9920129776000977,0.6654061675071716,2.827054262161255,-0.327906996011734,0.44330477714538574,105.92753697636027,1.3190422058105469,1.649949550628662,50.1578947368421,0.21388068795204163,15.47701014897077,0.36373746395111084,1000,1.0,1,0.16720346283821505,0.5795698165893555
7.763728141784668,0.8641848564147949,0.5083657503128052,24.0,18.883360624313354,0.952704906463623,1.0,-8.098919868469238,5.350935935974121,24.0,3.826185703277588,0.0,39.22072535736867,163.67831638554728,76.24765185736162,7.522004127502441,0.26065748929977417,6.168386459350586,-0.10738738626241684,0.6183329224586487,105.91335090136928,8.352141380310059,1.267756462097168,77.70833333333333,0.44403275847435,39.22072535736867,0.20917604863643646,2000,2.0,2,0.13978498992545177,0.16195248067378998
10.799248695373535,0.8907440304756165,0.4570778012275696,31.0,28.0986385345459,0.8779408931732178,1.0,-11.800545692443848,9.949028015136719,31.0,4.528613090515137,0.0,43.691558691823325,83.8692483194956,78.78818401140627,10.36245346069336,0.20234468579292297,10.977081298828125,-0.050616756081581116,0.6989935636520386,106.76673876250791,8.984356880187988,1.1026005744934082,95.6774193548387,0.7132143378257751,43.691558691823325,0.19100268185138702,3000,3.0,3,0.1370306733903066,0.333671897649765
13.3080472946167,0.928232729434967,0.41453617811203003,36.0,37.31070947647095,0.855991780757904,1.0,-14.502524375915527,14.099163055419922,36.0,5.990964412689209,0.0,49.5142215336962,84.77596087630863,80.28512822763187,12.920181274414062,0.171584352850914,15.238481521606445,-0.014759526588022709,0.7538928985595703,107.20782467356989,11.814465522766113,0.9898701906204224,110.0,0.27709972858428955,49.5142215336962,0.1970445066690445,4000,4.0,4,0.12405208101303944,0.360138475894928
15.372259140014648,0.9057071208953857,0.39264151453971863,40.0,46.61507797241211,0.7110069394111633,1.0,-17.90350341796875,18.08434295654297,40.0,8.692760467529297,0.0,62.565709550008,152.08839885565777,94.64578235323705,15.045889854431152,0.16665834188461304,19.44317626953125,0.014578948728740215,0.7705774903297424,107.26143165434833,20.551618576049805,0.9153608083724976,121.55,0.5784659385681152,62.565709550008,0.4171701669692993,5000,5.0,5,0.10370968758833489,0.5117161870002747
17.744272232055664,0.8184921741485596,0.39898163080215454,41.0,58.7070198059082,0.6340768337249756,1.0,-23.19878387451172,20.970977783203125,41.0,13.639544486999512,0.0,62.63879139953607,1006.1903706080559,246.56988039570686,17.40925407409668,0.42066776752471924,22.468019485473633,0.034069567918777466,0.761433482170105,102.20242859945289,44.031517028808594,0.8511665463447571,122.95121951219512,0.4585552513599396,62.63879139953607,0.5388036966323853,6000,6.0,6,0.0849947009834283,0.5767809748649597
20.3916072845459,0.7457420825958252,0.40361735224723816,47.0,70.90926790237427,0.5678014755249023,1.0,-28.0434627532959,24.579708099365234,47.0,16.71475601196289,0.0,92.90713475571012,1001.9120122746693,354.47589923555864,20.177425384521484,0.4524112641811371,26.084556579589844,0.0425284244120121,0.7530487775802612,98.71770231272713,47.148895263671875,0.858634352684021,146.7872340425532,1.5916351079940796,92.90713475571012,0.254671186208725,7000,7.0,7,0.06965693719894053,0.6059384346008301
22.982324600219727,0.5946821570396423,0.40971842408180237,53.0,79.8878014087677,0.5666337609291077,1.0,-33.378440856933594,29.117656707763672,53.0,17.880765914916992,0.0,91.59281279853094,23.92059191337888,313.15648582028615,22.490028381347656,0.55654376745224,30.89519500732422,0.03530087321996689,0.7482720017433167,100.14044521097559,21.81220245361328,0.8688359260559082,150.30188679245282,1.0455219745635986,91.59281279853094,0.3260038495063782,8000,8.0,8,0.057086957702023974,0.6078318357467651
25.597593307495117,0.6030096411705017,0.42899948358535767,61.0,89.4076623916626,0.5094340443611145,1.0,-39.69636154174805,32.7501220703125,61.0,19.286487579345703,0.0,86.70992368688222,361.139977668099,318.4879849144876,25.33378028869629,0.49781328439712524,34.36627197265625,0.03074771538376808,0.7296976447105408,100.66251324829697,62.26139450073242,0.8813003301620483,147.45901639344262,1.254634976387024,86.70992368688222,0.4434354901313782,9000,9.0,9,0.046785300513072836,0.6037319898605347
28.703128814697266,0.6888701915740967,0.4435950815677643,68.0,98.58474636077881,0.5898917317390442,1.0,-41.7387809753418,36.15971755981445,68.0,21.24021339416504,0.0,84.82903711575058,290.87444538986284,315.7266309620251,28.350187301635742,0.4396992623806,37.9554443359375,0.027713928371667862,0.7094498872756958,101.43557060444418,69.56974029541016,0.8999590873718262,146.33823529411765,1.7614256143569946,84.82903711575058,0.23297809064388275,10000,10.0,10,0.03834263432855746,0.566993236541748
