rollout/return_history,reference_action_std,eval/return,eval/episodes,ret_rms_mean,rollout/episodes,reference_Q_std,rollout/actions_std,rollout/Q_mean,total/duration,total/steps,total/episodes,reference_actor_Q_mean,eval/Q,rollout/return,reference_actor_Q_std,eval/return_history,train/param_noise_distance,reference_Q_mean,ret_rms_std,train/loss_critic,reference_action_mean,obs_rms_mean,rollout/actions_mean,total/steps_per_second,train/loss_actor,obs_rms_std,total/epochs,rollout/episode_steps
140.12690388020118,0.6072332262992859,688.5048116311797,50.0,0.0,50.0,1.2563735246658325,0.6698031425476074,32.888675689697266,548.8983306884766,50000,50.0,85.69500732421875,92.01410675048828,140.12690388020118,1.226123571395874,198.17469266808928,0.0,84.80546569824219,1.0,8.962693214416504,-0.006959926337003708,0.15642614662647247,-0.054540056735277176,91.09155048310241,-87.53897094726562,2.434129238128662,50,1000.0
144.51592494467627,0.7074052691459656,576.8851766581921,51.0,0.0,51.0,1.3196327686309814,0.6688795685768127,34.03647232055664,559.9667983055115,51000,51.0,86.93973541259766,93.70552825927734,144.51592494467627,1.4199765920639038,205.60038843260108,0.0,85.91305541992188,1.0,6.8033270835876465,-0.0032230715733021498,0.15689490735530853,-0.05454618111252785,91.0768284018421,-89.59194946289062,2.4364120960235596,51,1000.0
150.8204906936475,0.7045339941978455,685.4064614744449,52.0,0.0,52.0,1.5415107011795044,0.6683632135391235,35.197452545166016,570.892648935318,52000,52.0,89.17098236083984,95.9641342163086,150.8204906936475,1.547751784324646,214.8274282987904,0.0,88.0554428100586,1.0,2.73140287399292,0.10031136125326157,0.15750586986541748,-0.05494506657123566,91.08542577484053,-91.54342651367188,2.44510555267334,52,1000.0
158.27710879721968,0.6781255602836609,773.0162182406391,53.0,0.0,53.0,1.534714698791504,0.6679559350013733,36.35801315307617,581.8464443683624,53000,53.0,91.29061889648438,98.40897369384766,158.27710879721968,1.6009799242019653,225.35929225995736,0.0,90.26670837402344,1.0,7.090554714202881,-0.05079245939850807,0.15861807763576508,-0.05201070010662079,91.0893252214258,-93.6095199584961,2.4479267597198486,53,1000.0
166.78300134037113,0.6909939646720886,842.9973584044421,54.0,0.0,54.0,1.8898730278015137,0.6683094501495361,37.52561950683594,592.7786095142365,54000,54.0,94.15763092041016,100.63662719726562,166.78300134037113,1.811423897743225,236.79703422559595,0.0,93.03439331054688,1.0,14.531785011291504,0.0518684983253479,0.15967953205108643,-0.049974869936704636,91.09640451475013,-96.0830307006836,2.454169273376465,54,1000.0
173.33804758388544,0.6951586604118347,553.7994091252436,55.0,0.0,55.0,1.4880388975143433,0.6681490540504456,38.662418365478516,603.774787902832,55000,55.0,95.44551086425781,101.65068817138672,173.33804758388544,1.4419610500335693,242.5607137692259,0.0,94.4140396118164,1.0,8.104161262512207,0.01466620434075594,0.16037124395370483,-0.04922289028763771,91.09356849933816,-98.04781341552734,2.4588053226470947,55,1000.0
180.3550870517183,0.6842101216316223,592.9028267536062,56.0,0.0,56.0,1.315300703048706,0.667898952960968,39.80504608154297,614.7453563213348,56000,56.0,97.2763671875,103.37773895263672,180.3550870517183,1.1970653533935547,248.81682292966124,0.0,96.17243957519531,1.0,4.656913757324219,0.08760610967874527,0.16149336099624634,-0.0465255007147789,91.0946287339308,-100.088623046875,2.466157913208008,56,1000.0
186.97754806611215,0.6298182606697083,814.7834464271996,57.0,0.0,57.0,1.2293027639389038,0.6684874892234802,40.94174575805664,625.7164182662964,57000,57.0,99.1932373046875,105.83808898925781,186.97754806611215,1.2001678943634033,258.74606193839,0.0,98.19520568847656,1.0,15.879480361938477,0.07221145182847977,0.1626448631286621,-0.04271387308835983,91.0955799400833,-102.03026580810547,2.470438241958618,57,1000.0
192.3817958112964,0.6403166651725769,915.1719903797026,58.0,0.0,58.0,1.4397460222244263,0.6680789589881897,42.063133239746094,636.694228887558,58000,58.0,101.21455383300781,108.12071228027344,192.3817958112964,1.437800645828247,270.0637503597919,0.0,100.15013885498047,1.0,11.939796447753906,0.11720078438520432,0.16345861554145813,-0.040861763060092926,91.09553278241347,-104.46106719970703,2.474137306213379,58,1000.0
196.53931406750849,0.7054409384727478,866.657414937524,59.0,0.0,59.0,1.4761908054351807,0.6694092154502869,43.18312454223633,647.6195049285889,59000,59.0,103.35597229003906,109.99372863769531,196.53931406750849,1.718912124633789,280.1755073865331,0.0,102.31839752197266,1.0,22.594404220581055,0.12634216248989105,0.1643942892551422,-0.037759896367788315,91.10287684510948,-106.50305938720703,2.4815731048583984,59,1000.0
202.57767159460994,0.6283820867538452,852.2883895855302,60.0,0.0,60.0,1.479993462562561,0.6699219346046448,44.288421630859375,658.5802464485168,60000,60.0,103.93180847167969,111.86824798583984,202.57767159460994,1.5623646974563599,289.71072208984975,0.0,103.13613891601562,1.0,8.64392375946045,0.12130501121282578,0.1649657040834427,-0.03685981407761574,91.1050708301048,-108.10933685302734,2.4884531497955322,60,1000.0
204.39947508997298,0.7146826982498169,950.305209012319,61.0,0.0,61.0,1.366613745689392,0.6700591444969177,45.36112594604492,669.5506253242493,61000,61.0,104.93302154541016,113.8553237915039,204.39947508997298,1.4767378568649292,300.5401399082509,0.0,104.09925842285156,1.0,17.935277938842773,0.1912292093038559,0.16526159644126892,-0.03709480166435242,91.10588160597861,-109.77989196777344,2.4880568981170654,61,1000.0
211.0396279584041,0.7053138613700867,767.0469184543299,62.0,0.0,62.0,1.5275254249572754,0.6701797842979431,46.465457916259766,680.4968209266663,62000,62.0,105.9599609375,115.48322296142578,211.0396279584041,1.5715540647506714,308.0644427880264,0.0,104.9798812866211,1.0,6.317058563232422,0.13628247380256653,0.16604453325271606,-0.03610938414931297,91.10990396042045,-111.97430419921875,2.495051860809326,62,1000.0
216.93933789468088,0.758945643901825,563.7689655178319,63.0,0.0,63.0,1.9729968309402466,0.6695044636726379,47.56435775756836,691.4755983352661,63000,63.0,107.66448211669922,115.0296859741211,216.93933789468088,2.2358932495117188,312.1232447361185,0.0,106.47657775878906,1.0,1.7956719398498535,-0.044485535472631454,0.1664603352546692,-0.03687051683664322,91.10950574636774,-113.68463897705078,2.5032074451446533,63,1000.0
