eval/episodes,obs_rms_std,eval/return_history,rollout/episodes,total/steps,rollout/actions_mean,reference_action_std,eval/return,rollout/Q_mean,param_noise_stddev,reference_perturbed_action_std,total/episodes,reference_Q_mean,reference_actor_Q_mean,train/loss_critic,rollout/return,obs_rms_mean,train/loss_actor,ret_rms_mean,total/epochs,reference_action_mean,reference_perturbed_action_mean,rollout/episode_steps,total/steps_per_second,ret_rms_std,total/duration,reference_actor_Q_std,train/param_noise_distance,rollout/actions_std,eval/Q,reference_Q_std,rollout/return_history
1.0,1.7496507167816162,70.40040977552576,24.0,1000,0.4465288519859314,0.017996693029999733,70.40040977552576,-0.20986472070217133,0.17056425244126316,0.4093170464038849,24.0,0.4311245083808899,0.8678959608078003,0.11490008234977722,-2.1699479786494345,-0.378535658121109,-0.4925794303417206,0.0,1,0.9289701581001282,0.5740609765052795,41.5,106.07803575723972,1.0,9.427022218704224,2.374201774597168,0.1635165512561798,0.5387592315673828,1.858303189277649,2.6487958431243896,-2.1699479786494345
2.0,1.362550139427185,73.30765181529551,29.0,2000,0.5767180919647217,0.06324314326047897,76.21489385506526,1.8825604915618896,0.16067924131698763,0.280128538608551,29.0,2.012174129486084,2.468036651611328,0.10101158916950226,12.271493243989365,-0.1454528123140335,-3.632852554321289,0.0,2,0.9482586979866028,0.7326074242591858,62.37931034482759,107.02405175914286,1.0,18.6873881816864,4.623799800872803,0.1320423185825348,0.4605723023414612,3.40185546875,4.75169563293457,12.271493243989365
3.0,1.1875498294830322,65.78154460256634,34.0,3000,0.6361567974090576,0.47650355100631714,50.72933017710798,3.3909099102020264,0.13978498992545177,0.4589734673500061,34.0,3.4627110958099365,4.045637130737305,0.33714795112609863,37.239321650925774,-0.0682215690612793,-6.91391658782959,0.0,3,0.7115669250488281,0.6751518249511719,87.23529411764706,108.02234504578573,1.0,27.772031784057617,7.187549591064453,0.660527765750885,0.4344714879989624,4.919073104858398,7.261046886444092,37.239321650925774
4.0,1.0912641286849976,67.0296975401417,37.0,4000,0.6457546949386597,0.3593282103538513,70.77415635286778,4.91645622253418,0.11456001552955852,0.3489936292171478,37.0,5.7727203369140625,6.5954108238220215,0.36523979902267456,47.90931124861182,-0.027109116315841675,-10.6288423538208,0.0,4,0.775521457195282,0.747882068157196,104.4054054054054,108.45704320195615,1.0,36.880961179733276,9.805190086364746,0.35339710116386414,0.4149022102355957,7.485507011413574,9.6891508102417,47.90931124861182
5.0,1.0869547128677368,264.1743580441231,38.0,5000,0.6402706503868103,0.41328558325767517,1052.7530000600489,5.80881929397583,0.09388702724900437,0.2690771818161011,38.0,9.63701057434082,10.633308410644531,1.3595434427261353,56.73325269171719,-0.011275498196482658,-14.733868598937988,0.0,5,0.7906489372253418,0.8321552872657776,127.97368421052632,102.20896854320283,1.0,48.91938614845276,13.12252426147461,0.4166810214519501,0.4146447777748108,17.4078426361084,13.020855903625488,56.73325269171719
6.0,1.0079509019851685,268.9738489408457,40.0,6000,0.6475471258163452,0.4849720597267151,292.97130342445837,9.048215866088867,0.07694459401832851,0.40965908765792847,40.0,11.961034774780273,12.902745246887207,1.0391724109649658,57.814134265602675,0.009661145508289337,-19.032798767089844,0.0,6,0.7451122403144836,0.78045654296875,131.175,102.58162198054116,1.0,58.49000906944275,14.69189453125,0.3365606665611267,0.40129178762435913,30.14779281616211,14.741240501403809,57.814134265602675
7.0,1.0228842496871948,228.03924884566618,47.0,7000,0.6501510143280029,0.6174167394638062,-17.568351725410785,10.054141998291016,0.06305951655006926,0.5551461577415466,47.0,15.913192749023438,16.892507553100586,0.9631739854812622,70.85045899511682,0.01362032350152731,-23.943092346191406,0.0,7,0.5655750632286072,0.5837799906730652,148.68085106382978,104.15021988974044,1.0,67.21061182022095,16.052589416503906,0.34573331475257874,0.4087066650390625,7.2876081466674805,16.43888282775879,70.85045899511682
8.0,1.0833420753479004,198.81047125505268,56.0,8000,0.6390836834907532,0.5639351606369019,-5.790971879241889,10.970388412475586,0.051680078090752424,0.5924249291419983,56.0,19.25254249572754,20.38985252380371,1.6081467866897583,58.11466061985782,-0.0009062769822776318,-27.690879821777344,0.0,8,0.5866950154304504,0.5411706566810608,142.0,105.30151928578584,1.0,75.97231316566467,16.82647705078125,0.350580632686615,0.4223853349685669,20.176776885986328,17.12240982055664,58.11466061985782
9.0,1.0743049383163452,191.57219329653262,61.0,9000,0.6299702525138855,0.46674126386642456,133.665969628372,13.366470336914062,0.04235412222587577,0.5054484605789185,61.0,20.914134979248047,22.047588348388672,2.2275633811950684,64.86170134366685,0.004378728102892637,-29.916643142700195,0.0,9,0.683986246585846,0.6203040480613708,146.54098360655738,105.43813534399501,1.0,85.35811042785645,18.497058868408203,0.26224464178085327,0.4213053286075592,34.1142463684082,18.8305606842041,64.86170134366685
10.0,1.05372953414917,198.49327251853512,64.0,10000,0.62255859375,0.469910591840744,260.78298551655774,15.576031684875488,0.03834263432855746,0.4284152090549469,64.0,22.706026077270508,24.06186866760254,2.98883056640625,73.26516130711752,0.01446222048252821,-32.65890121459961,0.0,10,0.6895624995231628,0.7488383650779724,152.84375,104.99572187212277,1.0,95.24197578430176,18.971773147583008,0.21606628596782684,0.4186725914478302,40.57332992553711,19.228132247924805,73.26516130711752
