rollout/actions_std,reference_perturbed_action_mean,ret_rms_mean,rollout/episode_steps,rollout/return,total/duration,param_noise_stddev,obs_rms_std,total/epochs,total/episodes,eval/Q,train/param_noise_distance,reference_action_mean,rollout/actions_mean,eval/return_history,rollout/return_history,train/loss_actor,reference_perturbed_action_std,reference_actor_Q_std,train/loss_critic,eval/episodes,reference_actor_Q_mean,rollout/Q_mean,reference_Q_std,obs_rms_mean,total/steps,rollout/episodes,eval/return,reference_action_std,reference_Q_mean,total/steps_per_second,ret_rms_std
0.8023954033851624,0.02445933222770691,0.0,55.0,-53.071566584164536,14.387167692184448,0.17056425244126316,0.3661554455757141,1,2.0,-1.5957071781158447,0.17987680435180664,-0.26653021574020386,0.08437442034482956,-2699.3700420818127,-53.071566584164536,1.5875729322433472,0.7865934371948242,1.1667649745941162,0.2879251539707184,1.0,-1.5597823858261108,-2.2036845684051514,1.3034993410110474,0.020957736298441887,1000,2.0,-2699.3700420818127,0.925258219242096,-3.8606185913085938,69.50638384115247,1.0
0.8247694969177246,-0.3234112858772278,0.0,370.0,-596.3930451206348,28.322749614715576,0.13978498992545177,0.3258540630340576,2,3.0,2.9143383502960205,0.7895998358726501,0.6984889507293701,-0.030465412884950638,-2751.303024807333,-596.3930451206348,1.2590198516845703,0.8025532364845276,1.591477394104004,0.15104904770851135,2.0,0.8603637218475342,-2.897864818572998,1.7856576442718506,0.02800379879772663,2000,3.0,-2803.2360075328525,0.6805506348609924,-1.3297760486602783,70.61461288916897,1.0
0.8314144015312195,0.5725593566894531,0.0,527.5,-925.7456116150341,42.244476318359375,0.11456001552955852,0.3100975453853607,3,4.0,0.41916993260383606,0.6661719083786011,-0.10173817723989487,0.14733408391475677,-2459.5664749274124,-925.7456116150341,2.471182346343994,0.6790973544120789,1.6315943002700806,0.23274052143096924,3.0,-1.0863676071166992,-2.947014331817627,1.8702585697174072,0.03508267179131508,3000,4.0,-1876.0933751675711,0.8684070706367493,-2.5706472396850586,71.01520154710038,1.0
0.8218954205513,-0.07254710048437119,0.0,622.0,-1158.2121508381792,55.75442457199097,0.09388702724900437,0.3389507532119751,4,5.0,-2.4018187522888184,0.4083036780357361,-0.2991889715194702,0.12764303386211395,-2356.5919926049587,-1158.2121508381792,3.565887212753296,0.8063116073608398,1.7580736875534058,0.37489527463912964,4.0,-2.393434524536133,-2.5153543949127197,1.811845064163208,0.03154994919896126,4000,5.0,-2047.6685456375988,0.8661593794822693,-3.8241066932678223,71.74318506031999,1.0
0.8390160799026489,-0.2859632968902588,0.0,685.0,-1202.621940798246,69.6998975276947,0.07694459401832851,0.32801124453544617,5,6.0,-2.4330148696899414,0.37102022767066956,0.07080979645252228,0.0021989685483276844,-2368.6996183499555,-1202.621940798246,5.808227062225342,0.7992501258850098,2.633098840713501,0.43501967191696167,5.0,-3.626631021499634,-3.3043999671936035,2.6620125770568848,0.028089070692658424,5000,6.0,-2417.130121329944,0.9216591119766235,-5.054792404174805,71.73611694354773,1.0
0.845468282699585,-0.06271553039550781,0.0,730.0,-1322.7159687784515,83.572678565979,0.06305951655006926,0.32052212953567505,6,7.0,-4.0733513832092285,0.38312506675720215,-0.0002418067306280136,-0.002393875038251281,-2351.7548223133745,-1322.7159687784515,7.05964469909668,0.8623872399330139,3.066129684448242,0.5074160695075989,6.0,-5.297021389007568,-3.6918110847473145,3.12447452545166,0.030222592875361443,6000,7.0,-2267.030842130468,0.9183826446533203,-6.6879754066467285,71.79379796069497,1.0
0.8456410765647888,0.07075439393520355,0.0,763.75,-1414.5353825808647,95.55480575561523,0.051680078090752424,0.3416704833507538,7,8.0,-8.613517761230469,0.33405444025993347,0.05881362408399582,-0.023686714470386505,-2191.1785189247753,-1414.5353825808647,9.315671920776367,0.8847492337226868,3.899897575378418,0.6132534146308899,7.0,-7.921645164489746,-3.976840019226074,3.7998998165130615,0.027889404445886612,7000,8.0,-1227.7206985931816,0.9035431146621704,-9.155431747436523,73.25638877758536,1.0
0.8516471982002258,0.0987047329545021,0.0,790.0,-1456.97002504836,104.7266845703125,0.04235412222587577,0.35250839591026306,8,9.0,-9.85290241241455,0.30146121978759766,-0.15745528042316437,-0.005563230719417334,-1921.9936747490701,-1456.97002504836,12.246953010559082,0.8975340127944946,3.5701942443847656,1.0057423114776611,8.0,-11.39818000793457,-4.778810024261475,3.765625238418579,0.027872908860445023,8000,9.0,-37.699765519130224,0.8618588447570801,-12.244331359863281,76.38931789756866,1.0
0.8502548336982727,0.05184215307235718,0.0,586.4285714285714,-1106.6211764772386,115.94354772567749,0.034711086666206405,0.37308111786842346,9,14.0,-12.957494735717773,0.2470971643924713,-0.13376441597938538,0.01655636727809906,-1789.4235469771868,-1106.6211764772386,14.45252799987793,0.8188771605491638,3.8848495483398438,1.2840940952301025,9.0,-13.895130157470703,-5.653752326965332,3.9135074615478516,0.02726418524980545,9000,14.0,-728.8625248021194,0.860551118850708,-14.959335327148438,77.62398319304499,1.0
0.8461178541183472,-0.04523090273141861,0.0,577.625,-1079.796294882332,128.10348558425903,0.030804326970036475,0.384932279586792,10,16.0,-16.454715728759766,0.19428367912769318,-0.08756767213344574,0.029395077377557755,-1740.6832376237421,-1079.796294882332,16.680984497070312,0.8666139841079712,3.6751115322113037,1.3729732036590576,10.0,-16.378047943115234,-6.495283603668213,3.94482421875,0.02560119889676571,10000,16.0,-1302.0204534427412,0.9115029573440552,-17.722251892089844,78.0618884364593,1.0
