rollout/return,ret_rms_std,total/duration,train/param_noise_distance,reference_Q_std,obs_rms_std,rollout/actions_mean,total/steps_per_second,obs_rms_mean,eval/episodes,rollout/Q_mean,reference_actor_Q_std,eval/Q,reference_action_mean,rollout/return_history,reference_action_std,eval/return_history,reference_Q_mean,rollout/episode_steps,reference_perturbed_action_mean,reference_perturbed_action_std,total/steps,rollout/episodes,reference_actor_Q_mean,param_noise_stddev,train/loss_actor,total/episodes,train/loss_critic,rollout/actions_std,total/epochs,eval/return,ret_rms_mean
-271.50851301482976,1.0,11.844018459320068,0.3831075429916382,1.2198796272277832,1.749123215675354,0.31149357557296753,84.43080390617756,0.07081860303878784,1.0,1.0362977981567383,0.902749240398407,2.1525230407714844,-0.10657137632369995,-271.50851301482976,0.78434818983078,-366.0118010955197,1.539574384689331,1000.0,0.5120720267295837,0.4941749572753906,1000,1.0,2.368567943572998,0.16720346283821505,-2.3800010681152344,1.0,0.09402385354042053,0.6364894509315491,1,-366.0118010955197,0.0
-291.0834589280065,1.0,23.445728540420532,0.6959763765335083,1.7478950023651123,1.4006226062774658,0.4734477400779724,85.30338464646094,0.11235277354717255,2.0,1.2382538318634033,1.7000787258148193,2.2148163318634033,0.016477515920996666,-291.0834589280065,0.6153061389923096,-302.6448520054166,2.5197343826293945,1000.0,0.0543481819331646,0.7206194400787354,2000,2.0,3.0032238960266113,0.1370306733903066,-2.4388482570648193,2.0,0.09718713164329529,0.5403830409049988,2,-239.2779029153136,0.0
-237.33156708663694,1.0,34.985044717788696,0.44652748107910156,2.614830732345581,1.3778371810913086,0.2893204987049103,85.75092655161315,0.07132038474082947,3.0,2.2431602478027344,2.6094374656677246,0.5400402545928955,0.3627801835536957,-237.33156708663694,0.6853947639465332,-372.9646988098327,3.103148937225342,1000.0,0.2298593521118164,0.6087149381637573,3000,3.0,3.6882357597351074,0.11230273064362171,-4.135639190673828,3.0,0.12449435889720917,0.6352657079696655,3,-513.6043924186649,0.0
-219.14317678624133,1.0,46.354140281677246,0.49917110800743103,3.1765387058258057,1.3408806324005127,0.26985737681388855,86.29218394933991,0.08268433809280396,4.0,1.9187190532684326,3.1051971912384033,2.6773440837860107,0.3399437665939331,-219.14317678624133,0.791316568851471,-383.5180676697397,5.0411376953125,1000.0,0.29929038882255554,0.653600811958313,4000,4.0,5.709017753601074,0.09203708190275892,-4.665665149688721,4.0,0.16289129853248596,0.6299490332603455,4,-415.1781742494607,0.0
-229.29209727992375,1.0,57.55770492553711,0.3710879981517792,3.269662857055664,1.3641036748886108,0.27784696221351624,86.86934280073436,0.09054861217737198,5.0,1.9395445585250854,3.2799394130706787,1.1817240715026855,0.2407941222190857,-229.29209727992375,0.778782844543457,-397.6371639340489,6.507652282714844,1000.0,0.17165207862854004,0.6878191232681274,5000,5.0,6.876397132873535,0.07542848153938683,-5.652004241943359,5.0,0.15726067125797272,0.62989741563797,5,-454.11354899128565,0.0
-221.17565878392827,1.0,68.73118019104004,0.2673473656177521,2.8185553550720215,1.5841816663742065,0.2061648666858673,87.29662408419075,0.09913023561239243,6.0,1.9460186958312988,2.6981234550476074,4.473853588104248,0.1548473984003067,-221.17565878392827,0.783076286315918,-417.6020500476787,7.729982376098633,1000.0,0.15991054475307465,0.7622230648994446,6000,6.0,8.028079986572266,0.06181699495154324,-6.583553314208984,6.0,0.18729251623153687,0.6598379015922546,6,-517.4264806158279,0.0
-236.091877370859,1.0,79.80803942680359,0.265544056892395,2.7152743339538574,1.5022538900375366,0.2392299324274063,87.71046188172673,0.0947878509759903,7.0,3.1401143074035645,2.4163243770599365,12.272833824157715,0.08669966459274292,-236.091877370859,0.7613853216171265,-315.01348973560937,7.748161792755127,1000.0,-0.053621381521224976,0.7295016050338745,7000,7.0,8.335943222045898,0.05066177638540577,-7.398995876312256,7.0,0.22798572480678558,0.6620824933052063,7,300.5178721368066,0.0
-241.1445242046849,1.0,90.87003922462463,0.22569434344768524,2.915044069290161,1.4705970287322998,0.2525959610939026,88.0378182761046,0.08764400333166122,8.0,4.145448684692383,2.799182176589966,10.086004257202148,0.17156481742858887,-241.1445242046849,0.7520217895507812,-234.4913436675307,9.330013275146484,1000.0,0.0453517884016037,0.7634009718894958,8000,8.0,10.072376251220703,0.04151957869412388,-9.4239501953125,8.0,0.22540594637393951,0.6620064973831177,8,329.1636788090201,0.0
-74.62086419041881,1.0,102.00343990325928,0.21700328588485718,3.609405517578125,1.6488451957702637,0.23733440041542053,88.23231852313666,0.08882956951856613,9.0,5.452951908111572,4.053421497344971,10.181534767150879,0.19211091101169586,-74.62086419041881,0.7800845503807068,-224.83584328669798,10.714832305908203,1000.0,0.17757509648799896,0.776806116104126,9000,9.0,11.831019401550293,0.0368465179454358,-11.394481658935547,9.0,0.4497576951980591,0.6637806296348572,9,-147.59184024003608,0.0
-102.0634296428513,1.0,113.17924427986145,0.20895779132843018,6.391385555267334,1.790464997291565,0.22604256868362427,88.35542297201351,0.0902082771062851,10.0,5.796992778778076,6.744475364685059,18.943925857543945,0.15124307572841644,-102.0634296428513,0.7086299657821655,-219.536052327794,14.424847602844238,1000.0,0.18180696666240692,0.6887552738189697,10000,10.0,15.242195129394531,0.032055106170371106,-14.456358909606934,10.0,0.8933902978897095,0.6693478226661682,10,-171.8379336976583,0.0
