eval/return,reference_perturbed_action_std,reference_actor_Q_std,total/episodes,total/steps_per_second,reference_Q_std,obs_rms_std,total/epochs,train/loss_critic,reference_action_std,eval/Q,eval/return_history,rollout/return,reference_actor_Q_mean,ret_rms_mean,train/param_noise_distance,rollout/actions_mean,total/steps,reference_Q_mean,rollout/return_history,train/loss_actor,reference_perturbed_action_mean,rollout/episodes,rollout/actions_std,total/duration,ret_rms_std,rollout/Q_mean,rollout/episode_steps,param_noise_stddev,reference_action_mean,eval/episodes,obs_rms_mean
-2634.3433357271742,0.678299069404602,0.9354711771011353,1.0,67.97243695434054,1.2131109237670898,0.4339458644390106,1,0.12274839729070663,0.9246321320533752,-1.6266119480133057,-2634.3433357271742,-1049.178036065147,-0.9245631694793701,0.0,0.25632035732269287,0.18577352166175842,1000,-1.9995230436325073,-1049.178036065147,0.8152424693107605,-0.5580147504806519,1.0,0.6961673498153687,14.711845636367798,1.0,-1.067012071609497,1000.0,0.16720346283821505,-0.2543061375617981,1.0,0.020142480731010437
-2062.439266353283,0.8127468824386597,1.9288569688796997,2.0,68.07092784945387,2.0341811180114746,0.38331666588783264,2,0.3395017981529236,0.8640962243080139,-3.3502554893493652,-2348.3913010402284,-1480.7344303847308,-2.4331719875335693,0.0,0.5789538025856018,-0.14637234807014465,2000,-3.255390167236328,-1480.7344303847308,5.042966842651367,0.0625707358121872,2.0,0.7742587327957153,29.381118535995483,1.0,-3.761094570159912,1000.0,0.1370306733903066,-0.03358861804008484,2.0,0.013232223689556122
-2461.3215509992374,0.8039276599884033,2.587207317352295,3.0,68.12055819576521,2.7469258308410645,0.35618001222610474,3,0.3331957757472992,0.8756294250488281,-3.171196937561035,-2386.0347176932314,-1485.2287389899768,-2.3761236667633057,0.0,0.4089129567146301,-0.06973830610513687,3000,-3.506466865539551,-1485.2287389899768,5.718898296356201,0.18981274962425232,3.0,0.785528302192688,44.03956866264343,1.0,-4.640469074249268,1000.0,0.11230273064362171,0.2588355839252472,3.0,0.018680814653635025
-1232.5185931682072,0.7520761489868164,3.319733142852783,4.0,70.43646222957682,3.5208418369293213,0.3591458201408386,4,0.6282443404197693,0.8598798513412476,-3.3138949871063232,-2097.655686561975,-1546.317621305606,-4.236213684082031,0.0,0.5329859256744385,0.008517692796885967,4000,-5.100686073303223,-1546.317621305606,6.9003167152404785,-0.07104679942131042,4.0,0.7990832924842834,56.788769245147705,1.0,-4.432788848876953,1000.0,0.09203708190275892,-0.05500512570142746,4.0,0.017451485618948936
-1714.0194430644576,0.7352464199066162,4.063961029052734,5.0,70.74524354609197,4.1446404457092285,0.35778969526290894,5,0.44773805141448975,0.8217237591743469,-2.116013288497925,-2020.9284378624714,-1617.395784688289,-4.391007423400879,0.0,0.427690714597702,-0.032087404280900955,5000,-5.233532905578613,-1617.395784688289,8.803911209106445,0.33646491169929504,5.0,0.8028602004051208,70.67612957954407,1.0,-6.214629650115967,1000.0,0.07542848153938683,0.17461907863616943,5.0,0.019855985417962074
-2026.2221732355447,0.8501412868499756,3.8710553646087646,6.0,70.28508935919567,3.9338979721069336,0.344429612159729,6,0.40255436301231384,0.8683666586875916,-6.950268745422363,-2021.810727091317,-1579.9316072674403,-6.1307783126831055,0.0,0.4982662796974182,0.007609352003782988,6000,-6.831973075866699,-1579.9316072674403,8.488988876342773,0.018806464970111847,6.0,0.7984262108802795,85.36661267280579,1.0,-5.574738502502441,1000.0,0.06181699495154324,0.10087889432907104,6.0,0.023522529751062393
-2306.090797162612,0.7180950045585632,4.428964138031006,7.0,70.00862358936726,4.558682441711426,0.3583320677280426,7,1.2422086000442505,0.7812216281890869,-7.042981147766113,-2062.4221656729305,-1613.5029630316626,-6.299012660980225,0.0,0.22640280425548553,0.010980530641973019,7000,-7.572145462036133,-1613.5029630316626,9.028470039367676,0.4539527893066406,7.0,0.804236114025116,99.98768210411072,1.0,-6.047799110412598,1000.0,0.05066177638540577,0.4192170202732086,7.0,0.02171296812593937
-2232.111726085126,0.7957723736763,4.551113605499268,8.0,69.81233174667568,4.666202068328857,0.3466302454471588,8,1.1363643407821655,0.8146489262580872,-9.608747482299805,-2083.633360724455,-1666.4378148550168,-5.568879127502441,0.0,0.17726631462574005,0.08232307434082031,8000,-6.846186637878418,-1666.4378148550168,9.394755363464355,0.3241172134876251,8.0,0.808742880821228,114.59293508529663,1.0,-7.251252174377441,1000.0,0.04235412222587577,0.33325034379959106,8.0,0.025932153686881065
-1512.1013596124226,0.8150433301925659,6.02114200592041,9.0,70.3023737621251,5.746120929718018,0.34146711230278015,9,1.5280932188034058,0.8464187979698181,-9.41182804107666,-2020.1298050453402,-1705.96279850261,-5.6793365478515625,0.0,0.2675475776195526,0.12866218388080597,9000,-6.6858086585998535,-1705.96279850261,11.751062393188477,0.17893609404563904,9.0,0.8092462420463562,128.01843690872192,1.0,-7.946539878845215,1000.0,0.03540877950819716,0.05508383736014366,9.0,0.029003310948610306
-1802.9176467870068,0.8365693688392639,5.985238552093506,10.0,70.38727569770437,6.074226379394531,0.34356561303138733,10,1.123343825340271,0.8437553644180298,-12.856452941894531,-1998.4085892195067,-1705.8567099024851,-6.948334693908691,0.0,0.27736160159111023,0.1451336145401001,10000,-7.3635149002075195,-1705.8567099024851,13.800576210021973,-0.05376085266470909,10.0,0.8077044486999512,142.0711328983307,1.0,-8.46713924407959,1000.0,0.03269941380439557,0.02521032840013504,10.0,0.027983764186501503
