obs_rms_std,rollout/episode_steps,eval/Q,total/duration,train/loss_actor,reference_perturbed_action_mean,eval/return,reference_actor_Q_std,total/epochs,rollout/return_history,total/steps_per_second,train/param_noise_distance,reference_action_mean,eval/episodes,reference_Q_mean,ret_rms_std,obs_rms_mean,param_noise_stddev,reference_actor_Q_mean,reference_perturbed_action_std,reference_Q_std,rollout/actions_mean,total/steps,rollout/return,ret_rms_mean,train/loss_critic,eval/return_history,rollout/actions_std,reference_action_std,rollout/episodes,total/episodes,rollout/Q_mean
6.58142614364624,179.1469505783386,2257.15673828125,46891.517594099045,-2281.32568359375,0.015315556898713112,618.2836624750494,1007.691162109375,2726,757.6789018681354,58.134181614609275,0.18624693155288696,0.0045354305766522884,2726.0,1486.0748291015625,1.0,1.8302810192108154,0.009907751681525063,1561.5509033203125,0.9217836856842041,1029.0377197265625,0.1583266407251358,2726000,850.5995785702509,0.0,10008.662109375,957.6717043062417,0.8591291308403015,0.9245943427085876,15216.0,15216.0,2457.799560546875
6.581456661224365,179.14356110381078,2422.441162109375,46910.281643629074,-2268.736572265625,0.02675636298954487,1135.2010107256308,1000.1277465820312,2727,762.9882120138996,58.13224530853688,0.2024332731962204,-0.0075542558915913105,2727.0,1473.3897705078125,1.0,1.8301715850830078,0.009521154623962158,1549.1552734375,0.9266447424888611,1021.021484375,0.1582583487033844,2727000,850.5825886986339,0.0,11879.619140625,962.6106620655094,0.8591518402099609,0.9271076917648315,15220.0,15220.0,2457.86279296875
6.58160400390625,179.16117168002103,1997.6983642578125,46928.61408472061,-2263.79931640625,-0.024210859090089798,852.6812372179007,993.155517578125,2728,796.8677751689501,58.13084518275181,0.2108021378517151,0.031755853444337845,2728.0,1457.5263671875,1.0,1.8301453590393066,0.009333550263662541,1534.251953125,0.9301799535751343,1015.8350830078125,0.1582344025373459,2728000,850.6568399523538,0.0,9654.6953125,962.255887554422,0.8591768145561218,0.9263206720352173,15226.0,15226.0,2457.79833984375
6.581735610961914,179.1656490053181,2286.573974609375,46946.74272608757,-2243.302734375,0.005984398536384106,661.2083108829213,996.4937744140625,2729,799.6996606083549,58.12969849521716,0.1797190010547638,0.01072486862540245,2729.0,1468.698974609375,1.0,1.8301644325256348,0.009521154623962158,1546.43798828125,0.9309637546539307,1019.6842041015625,0.15824489295482635,2729000,850.6880772978016,0.0,12254.9638671875,956.7256954575381,0.8591954708099365,0.9309620261192322,15231.0,15231.0,2457.73046875
6.581884384155273,179.1637461442541,2489.03271484375,46965.89601826668,-2262.734619140625,0.05160881578922272,1308.7279046363153,1002.7781982421875,2730,800.6642467901912,58.12728450742657,0.1690894216299057,0.0587322935461998,2730.0,1450.798828125,1.0,1.8301684856414795,0.009712529831903797,1532.66455078125,0.9329071640968323,1025.9078369140625,0.15825994312763214,2730000,850.6793831562752,0.0,10782.68359375,959.5473358228443,0.8592125773429871,0.9351947903633118,15237.0,15237.0,2457.684326171875
6.581982612609863,179.1600734763498,2230.20556640625,46984.20683670044,-2244.922119140625,0.07372482866048813,881.2802717105593,998.0562133789062,2731,815.0359128143891,58.125914724748604,0.1945478767156601,0.07101041823625565,2731.0,1443.37158203125,1.0,1.830143690109253,0.009712529831903797,1520.584716796875,0.9306069612503052,1023.0706787109375,0.15826357901096344,2731000,850.6461624490114,0.0,15476.7373046875,954.1728313340546,0.8592285513877869,0.9318951368331909,15243.0,15243.0,2457.67041015625
6.582282543182373,179.1587093389297,2312.285888671875,47003.251124858856,-2215.998291015625,0.11659622937440872,1287.098652389614,995.3046264648438,2732,824.8845533989517,58.12363899558243,0.23327702283859253,0.07957663387060165,2732.0,1459.3021240234375,1.0,1.830118179321289,0.009712529831903797,1536.9283447265625,0.9281179308891296,1014.5303344726562,0.15826299786567688,2732000,850.639518173032,0.0,11604.59765625,957.9741261725071,0.8592422604560852,0.9304600358009338,15248.0,15248.0,2457.605712890625
6.582376480102539,179.17367075329443,1971.1292724609375,47021.612726688385,-2249.105224609375,-0.06864175945520401,927.8837450499577,987.5114135742188,2733,844.0165836457562,58.12220894858445,0.1940832883119583,-0.06648627668619156,2733.0,1470.69140625,1.0,1.830052137374878,0.009907751681525063,1546.412841796875,0.9338893294334412,1013.01123046875,0.1582280695438385,2733000,850.7057330685356,0.0,13179.7578125,954.0009011048028,0.8592610955238342,0.9357637166976929,15253.0,15253.0,2457.524658203125
6.582481861114502,179.16095419096928,2431.68212890625,47040.149747133255,-2233.981201171875,-0.06580495089292526,1021.6293052983046,996.9435424804688,2734,851.6533167566399,58.12056327832198,0.2059609740972519,-0.025805598124861717,2734.0,1445.575927734375,1.0,1.8299560546875,0.009521154623962158,1521.203125,0.9293602108955383,1022.3242797851562,0.15816156566143036,2734000,850.6479151296143,0.0,11047.17578125,952.7161288477633,0.8592861294746399,0.9339631199836731,15259.0,15259.0,2457.461181640625
6.582623481750488,179.17643975627334,2017.2967529296875,47058.55693602562,-2223.15966796875,0.05906260013580322,965.8143904828181,981.45751953125,2735,862.02091544934,58.11907925094541,0.1801331788301468,0.06930510699748993,2735.0,1481.078857421875,1.0,1.829942226409912,0.009521154623962158,1560.0389404296875,0.9364243149757385,1000.5614624023438,0.15815185010433197,2735000,850.7105572482045,0.0,12144.29296875,951.8702777465722,0.8593045473098755,0.9400555491447449,15263.0,15263.0,2457.37158203125
6.582908630371094,179.154082902233,2163.270263671875,47077.20588850975,-2234.177734375,-0.10018607974052429,1114.4048216338608,980.1212158203125,2736,837.0060780875266,58.117297922895254,0.1846923977136612,-0.060728590935468674,2736.0,1473.361328125,1.0,1.8298745155334473,0.009521154623962158,1545.539794921875,0.930979311466217,1002.2971801757812,0.15810257196426392,2736000,850.6031983708589,0.0,10180.8505859375,952.949980196544,0.8593310117721558,0.9376257061958313,15271.0,15271.0,2457.302001953125
6.58335018157959,179.1626734747316,2183.470947265625,47095.776310920715,-2212.970703125,0.008982616476714611,1025.1104815737408,974.837158203125,2737,851.1000929855346,58.11561491057397,0.18153169751167297,0.0267749335616827,2737.0,1488.21240234375,1.0,1.8297972679138184,0.009521154623962158,1563.9788818359375,0.9344382286071777,994.9930419921875,0.15807104110717773,2737000,850.6551407159124,0.0,10974.384765625,952.8509050517347,0.8593539595603943,0.9388989210128784,15276.0,15276.0,2457.224853515625
