reference_actor_Q_std,rollout/Q_mean,rollout/episodes,rollout/actions_mean,reference_Q_mean,ret_rms_std,total/steps_per_second,rollout/actions_std,rollout/episode_steps,rollout/return_history,reference_perturbed_action_mean,reference_perturbed_action_std,train/param_noise_distance,eval/return_history,ret_rms_mean,reference_action_std,param_noise_stddev,reference_action_mean,total/episodes,obs_rms_mean,rollout/return,total/epochs,total/duration,eval/return,reference_Q_std,eval/Q,reference_actor_Q_mean,train/loss_critic,obs_rms_std,train/loss_actor,eval/episodes,total/steps
0.360972136259079,0.06689082086086273,1.0,0.12512262165546417,0.08456811308860779,1.0,87.33571497820971,0.7463204264640808,1000.0,-271.42463077861333,0.1982363909482956,0.7930281162261963,0.7914466857910156,-160.86174975319358,0.0,0.6309947371482849,0.16720346283821505,0.019364291802048683,1.0,0.0985373929142952,-271.42463077861333,1,11.450069427490234,-160.86174975319358,0.5105385184288025,-0.22036582231521606,0.6597989797592163,0.03668741136789322,2.166257619857788,-0.6279768347740173,1.0,1000
0.6476490497589111,-0.12234926968812943,2.0,0.18376152217388153,1.5942039489746094,1.0,89.15144739393168,0.7365792989730835,1000.0,-371.18972115388783,0.09631600230932236,0.8284973502159119,0.7168192267417908,-281.2557325333261,0.0,0.7770159840583801,0.1370306733903066,0.13044138252735138,2.0,0.05584028363227844,-371.18972115388783,2,22.433735609054565,-401.64971531345867,0.6240894198417664,1.4983222484588623,2.1518189907073975,0.10508043318986893,2.2811622619628906,-1.0565048456192017,2.0,2000
0.6485316157341003,0.25426745414733887,3.0,0.09671876579523087,3.7364096641540527,1.0,89.63989004286559,0.7839112281799316,1000.0,-391.13693818633607,-0.1898697018623352,0.7471057176589966,0.6281455755233765,-296.8790703214588,0.0,0.7066723704338074,0.11230273064362171,-0.03966159746050835,3.0,0.02521456778049469,-391.13693818633607,3,33.46724319458008,-328.1257458977242,0.76230788230896,4.66474723815918,4.405458450317383,0.06765598803758621,1.8966145515441895,-2.5479514598846436,3.0,3000
0.7092048525810242,1.2344378232955933,4.0,0.04235852509737015,5.7749457359313965,1.0,89.99441298360901,0.7706802487373352,1000.0,-362.0227565172363,-0.17508040368556976,0.7206099629402161,0.44482657313346863,-332.5431558343284,0.0,0.7669557332992554,0.09203708190275892,-0.009282956831157207,4.0,0.03627842292189598,-362.0227565172363,4,44.447203636169434,-439.5354123729371,0.7735725045204163,5.918034553527832,6.467841148376465,0.1162937805056572,1.7545711994171143,-4.491680145263672,4.0,4000
0.717201292514801,2.3330397605895996,5.0,-0.027477214112877846,8.038902282714844,1.0,90.20840381832713,0.7752055525779724,1000.0,-376.68781382599025,0.14425761997699738,0.7762013673782349,0.3362099230289459,-365.5194156564042,0.0,0.8324585556983948,0.07542848153938683,0.003939688205718994,5.0,0.011840736493468285,-376.68781382599025,5,55.4272084236145,-497.42445494470724,0.8008437752723694,2.2125768661499023,8.746672630310059,0.16061943769454956,1.5964595079421997,-6.614278793334961,5.0,5000
0.7687819600105286,2.386993408203125,6.0,-0.013976987451314926,9.998141288757324,1.0,90.37082436497057,0.778896689414978,1000.0,-379.3074295923077,-0.01425353717058897,0.6493664383888245,0.4546186923980713,-364.8158567818156,0.0,0.6692894697189331,0.06181699495154324,0.034597355872392654,6.0,0.02785675786435604,-379.3074295923077,6,66.39310908317566,-361.29806240887285,0.761370837688446,7.883285045623779,10.557350158691406,0.11689760535955429,1.4944053888320923,-8.318985939025879,6.0,6000
0.7236884236335754,3.281803846359253,7.0,-0.004124448634684086,11.276251792907715,1.0,90.46562890656098,0.7636954188346863,1000.0,-357.38092886788974,0.13119347393512726,0.6167063117027283,0.33719807863235474,-340.73537738616113,0.0,0.6790707111358643,0.05066177638540577,-0.0680098757147789,7.0,0.04685937613248825,-357.38092886788974,7,77.37745356559753,-196.25250101223452,0.7513686418533325,10.419209480285645,11.680946350097656,0.21820633113384247,1.4518109560012817,-9.963515281677246,7.0,7000
0.7814462780952454,4.421359062194824,8.0,0.011698389425873756,12.590839385986328,1.0,90.55561588950519,0.744304895401001,1000.0,-337.24194112913545,0.23798413574695587,0.6816074848175049,0.31775203347206116,-339.5467779432368,0.0,0.6815041899681091,0.04151957869412388,-0.08380448818206787,8.0,0.05284873768687248,-337.24194112913545,8,88.34349942207336,-331.22658184276634,0.8663570284843445,9.587041854858398,13.230419158935547,0.12732809782028198,1.4193637371063232,-11.606562614440918,8.0,8000
0.6437782049179077,5.495692729949951,9.0,0.012206969782710075,13.964738845825195,1.0,90.65771882085033,0.7438458204269409,1000.0,-330.26657088616014,-0.027542511001229286,0.6651085615158081,0.3030194342136383,-323.3889839064853,0.0,0.6629235744476318,0.034711086666206405,-0.048249900341033936,9.0,0.0551423579454422,-330.26657088616014,9,99.27450323104858,-194.12663161247326,0.7264392375946045,12.693939208984375,14.483842849731445,0.34445813298225403,1.3793513774871826,-13.003218650817871,9.0,9000
0.5606263875961304,6.186427116394043,10.0,0.011775183491408825,14.728599548339844,1.0,90.71705952305409,0.7351226806640625,1000.0,-320.402935792166,0.11109242588281631,0.73204505443573,0.252701997756958,-312.5161715431463,0.0,0.7288007736206055,0.03019736003336582,0.05161060020327568,10.0,0.059241026639938354,-320.402935792166,10,110.23284983634949,-214.66086027309515,0.619826078414917,14.35937786102295,15.099642753601074,0.2821897864341736,1.42177414894104,-14.04094123840332,10.0,10000
