rollout/actions_mean,eval/return_history,param_noise_stddev,eval/return,total/steps,train/loss_actor,train/loss_critic,total/epochs,reference_action_std,reference_Q_mean,obs_rms_std,eval/episodes,ret_rms_std,rollout/return,rollout/episodes,reference_actor_Q_std,total/steps_per_second,ret_rms_mean,obs_rms_mean,reference_perturbed_action_mean,rollout/return_history,reference_perturbed_action_std,rollout/actions_std,total/duration,rollout/episode_steps,reference_actor_Q_mean,rollout/Q_mean,reference_Q_std,total/episodes,train/param_noise_distance,eval/Q,reference_action_mean
0.01580837368965149,323.174783355389,0.16720346283821505,323.174783355389,1000,-19.425016403198242,1.933613896369934,1,0.4445664584636688,19.696802139282227,6.182596206665039,1.0,1.0,154.13678540412386,31.0,2.1048221588134766,69.59680386320882,0.0,0.9604947566986084,0.09052624553442001,154.13678540412386,0.6050398349761963,0.5287047624588013,14.368475914001465,30.967741935483872,19.93006134033203,9.274331092834473,2.6967239379882812,31.0,0.5061100125312805,20.589719772338867,0.004440271761268377
0.01579667069017887,198.19508557546135,0.1370306733903066,73.21538779553364,2000,-39.461177825927734,4.061367034912109,2,0.5410302877426147,39.93372344970703,6.131165981292725,2.0,1.0,153.47046850403717,64.0,6.6957831382751465,72.050431302836,0.0,0.981144368648529,0.0025113397277891636,153.47046850403717,0.600857675075531,0.5505080819129944,27.75833487510681,31.109375,40.524009704589844,18.680513381958008,8.068502426147461,64.0,0.5532503724098206,33.45926284790039,-0.08396793156862259
-0.04084685817360878,159.6666143604596,0.11230273064362171,82.60967193045603,3000,-55.55427551269531,4.423764228820801,3,0.6740126013755798,58.86411666870117,6.692198276519775,3.0,1.0,120.32866063242548,121.0,13.401663780212402,73.20648727928464,0.0,0.6324717998504639,-0.10217790305614471,118.8559211340985,0.6643177270889282,0.5686187148094177,40.9799747467041,24.694214876033058,59.99937438964844,26.534135818481445,15.277642250061035,121.0,0.6152757406234741,49.563873291015625,-0.05862077698111534
-0.03518788516521454,204.72653183358472,0.09203708190275892,339.90628425296006,4000,-74.61210632324219,5.950540542602539,4,0.7488918900489807,77.42578125,6.541053295135498,4.0,1.0,136.4069057779054,142.0,18.755584716796875,72.97650611290966,0.0,0.8212602734565735,0.10874544084072113,120.09991470972842,0.7379656434059143,0.6019848585128784,54.81216096878052,28.077464788732396,79.70643615722656,36.97856521606445,21.541738510131836,142.0,0.5973649621009827,82.07177734375,0.06308498233556747
-0.034250739961862564,210.8741297482458,0.07542848153938683,235.46452140689016,5000,-92.32032012939453,10.458548545837402,5,0.7535531520843506,94.87620544433594,6.720494747161865,5.0,1.0,146.43899776154308,163.0,25.925689697265625,72.91743667160652,0.0,0.945592999458313,-0.1538371443748474,141.20211607098827,0.7387003302574158,0.6286584138870239,68.57070446014404,30.380368098159508,97.991943359375,46.941463470458984,29.70038604736328,163.0,0.47039327025413513,84.51456451416016,-0.047247886657714844
-0.03399541974067688,227.3713503410825,0.06181699495154324,309.85745330526606,6000,-110.46990203857422,8.727017402648926,6,0.7353907823562622,110.70362854003906,6.7714667320251465,6.0,1.0,157.6446789315625,181.0,34.76589584350586,72.89288064570185,0.0,1.0512176752090454,0.11101539433002472,174.11629538920283,0.7400972247123718,0.6514682769775391,82.31256532669067,32.90055248618785,114.48580932617188,56.43083953857422,37.99241638183594,181.0,0.5067800879478455,127.1651840209961,0.1455697864294052
-0.004519668873399496,221.24906996881955,0.05066177638540577,184.51538773524177,7000,-129.54461669921875,15.887176513671875,7,0.7163363695144653,128.68035888671875,6.829378128051758,7.0,1.0,170.0727174165677,196.0,41.23151779174805,73.00925559612573,0.0,1.1703158617019653,0.16858243942260742,209.16109625685394,0.7118363976478577,0.6645347476005554,95.87825465202332,35.30612244897959,133.58262634277344,65.73519897460938,45.42842102050781,196.0,0.48937851190567017,125.4731674194336,0.21306174993515015
0.0170244462788105,229.24665155722352,0.04151957869412388,285.2297226760513,8000,-146.32278442382812,18.349533081054688,8,0.7411631941795349,146.75938415527344,6.85561990737915,8.0,1.0,181.44458124749627,211.0,47.74298858642578,73.02774363435078,0.0,1.236312747001648,0.10590819269418716,247.10243358866504,0.7381567358970642,0.6727257966995239,109.54740762710571,37.61611374407583,153.15017700195312,75.12691497802734,53.67189407348633,211.0,0.4310649037361145,149.3482666015625,0.15879979729652405
0.02223319374024868,243.9431967491729,0.034027141129503384,361.5155582847677,9000,-166.4020538330078,20.518997192382812,9,0.7579250931739807,167.405029296875,6.808234214782715,9.0,1.0,191.8754422683464,225.0,52.67623519897461,72.9557776279668,0.0,1.2755601406097412,0.038983304053545,281.55804383935725,0.7712356448173523,0.682593584060669,123.36240243911743,39.81333333333333,174.56365966796875,83.99364471435547,58.57006072998047,225.0,0.3314293920993805,175.21669006347656,0.14790822565555573
0.0283635463565588,243.39237387837926,0.027886755354071244,238.43496804123652,10000,-182.82298278808594,24.775075912475586,10,0.7590701580047607,184.6800079345703,6.811146259307861,10.0,1.0,200.16766847671437,240.0,63.60162353515625,72.97008801445884,0.0,1.3203856945037842,0.16748298704624176,290.00475712311675,0.7522112727165222,0.6925579309463501,137.04245495796204,41.4875,192.35433959960938,93.0577392578125,69.2877197265625,240.0,0.3270082473754883,193.13973999023438,0.10229764133691788
