eval/return_history,reference_action_mean,reference_Q_std,rollout/actions_std,rollout/return_history,eval/episodes,rollout/actions_mean,train/loss_actor,total/episodes,ret_rms_std,train/loss_critic,rollout/episodes,reference_perturbed_action_mean,total/duration,reference_action_std,total/steps_per_second,obs_rms_std,reference_perturbed_action_std,param_noise_stddev,reference_actor_Q_mean,obs_rms_mean,ret_rms_mean,train/param_noise_distance,rollout/return,total/steps,eval/Q,reference_actor_Q_std,rollout/episode_steps,rollout/Q_mean,total/epochs,reference_Q_mean,eval/return
206.2459274972051,0.18439526855945587,3.6250033378601074,0.55264812707901,129.0000199902148,1.0,-0.000852708937600255,-19.37126922607422,36.0,1.0,2.2025115489959717,36.0,-0.03629700094461441,12.018179893493652,0.5341867804527283,83.20727505014095,6.233518123626709,0.6382166147232056,0.16720346283821505,19.57956314086914,0.8840643763542175,0.0,0.5310649275779724,129.0000199902148,1000,19.570419311523438,2.725862979888916,26.38888888888889,9.247844696044922,1,19.201217651367188,206.2459274972051
144.7641790354651,0.27197265625,10.733168601989746,0.5850533246994019,159.84783837766884,2.0,0.1007603108882904,-39.338680267333984,62.0,1.0,2.7365245819091797,62.0,0.42544442415237427,23.478238344192505,0.5352975130081177,85.1852669131248,6.41375732421875,0.45743682980537415,0.1370306733903066,39.3101806640625,1.2951120138168335,0.0,0.46513447165489197,159.84783837766884,2000,34.41754913330078,8.27242660522461,31.919354838709676,19.185216903686523,2,38.014034271240234,83.28243057372511
198.32922284653137,0.15692441165447235,19.012189865112305,0.5912486910820007,169.17342275857894,3.0,0.12701958417892456,-59.82162094116211,87.0,1.0,5.045145034790039,87.0,0.09092328697443008,35.15161061286926,0.6622896194458008,85.34459581495472,6.723171710968018,0.6527063846588135,0.11230273064362171,57.804298400878906,1.3499776124954224,0.0,0.5262873768806458,169.17342275857894,3000,59.30609130859375,16.560514450073242,34.264367816091955,28.96957015991211,3,55.95793914794922,305.4593104686639
220.76238017945553,0.2188473492860794,25.469953536987305,0.6116869449615479,190.53503979129397,4.0,0.14708930253982544,-80.41162109375,106.0,1.0,4.542784690856934,106.0,0.16309231519699097,46.88072896003723,0.7322216629981995,85.3229053543459,6.479472637176514,0.6754122376441956,0.09203708190275892,79.58380889892578,1.4690216779708862,0.0,0.43523335456848145,185.5205543599705,4000,81.2986068725586,20.94066047668457,37.5188679245283,38.71950912475586,4,76.21553039550781,288.061852178228
249.65892328306882,0.259380966424942,35.10794448852539,0.632601797580719,217.43136386455956,5.0,0.17255403101444244,-100.4343490600586,123.0,1.0,8.963862419128418,123.0,0.3518284559249878,58.78792333602905,0.7541955709457397,85.05148194162653,6.293132305145264,0.7044182419776917,0.07542848153938683,98.83941650390625,1.5778255462646484,0.0,0.4421437680721283,200.86807436359075,5000,97.93463134765625,29.91872215270996,40.49593495934959,48.47365188598633,5,95.03782653808594,365.24509569752183
262.3666588593168,0.3478560745716095,45.2605094909668,0.6484562754631042,235.43980145789646,6.0,0.19789788126945496,-119.48030090332031,140.0,1.0,6.865484237670898,140.0,0.2847972810268402,70.60572934150696,0.7344936728477478,84.97893947074891,6.308638572692871,0.7110614776611328,0.06181699495154324,115.10903930664062,1.6443729400634766,0.0,0.34986039996147156,208.00558226721088,6000,125.6047592163086,41.90523147583008,42.464285714285715,58.51155090332031,6,111.89328002929688,325.9053367405565
260.51304409849547,0.25227686762809753,54.02610778808594,0.6573399901390076,257.75441989556776,7.0,0.21592871844768524,-137.4243621826172,155.0,1.0,13.842680931091309,155.0,0.2663572430610657,82.31515598297119,0.7502210736274719,85.03901761964848,6.206149578094482,0.7101063132286072,0.05066177638540577,130.9427490234375,1.714725136756897,0.0,0.35074079036712646,219.65644693639163,7000,142.81036376953125,50.71586227416992,44.71612903225807,69.33366394042969,7,126.88925170898438,249.39135553356755
278.6114949741211,0.1481386423110962,62.43486022949219,0.6700161099433899,274.42908640513235,8.0,0.2108895629644394,-154.73638916015625,170.0,1.0,16.061826705932617,170.0,0.11727899312973022,94.19707155227661,0.7640610337257385,84.92833023540689,6.131047248840332,0.7519280910491943,0.04151957869412388,147.5482177734375,1.7392983436584473,0.0,0.29974064230918884,230.09133577087144,8000,158.71966552734375,59.55465316772461,46.88823529411765,79.50409698486328,8,142.96876525878906,405.3006511035006
282.53434447600023,0.12196747213602066,70.46894073486328,0.683161199092865,298.987007587451,9.0,0.19844944775104523,-175.43832397460938,185.0,1.0,24.756423950195312,185.0,0.08599317818880081,106.07234978675842,0.7904225587844849,84.84774795781433,6.16300630569458,0.7863847613334656,0.034027141129503384,167.652587890625,1.747316598892212,0.0,0.24420960247516632,238.87836569342826,9000,155.75611877441406,64.05609893798828,48.55135135135135,88.65612030029297,9,160.62857055664062,313.9171404910332
279.97134611422535,0.2744686007499695,79.716552734375,0.6963661313056946,303.5651592646851,10.0,0.19410282373428345,-186.77854919433594,204.0,1.0,29.26983070373535,204.0,0.2762494683265686,117.77553272247314,0.7767727375030518,84.907278862105,6.209838390350342,0.7722932696342468,0.02901906944733551,180.5152130126953,1.767709732055664,0.0,0.22757501900196075,242.23356159201686,10000,155.4325408935547,74.74036407470703,49.0,96.41169738769531,10,174.7310791015625,256.9043608582513
