reference_perturbed_action_mean,obs_rms_mean,total/duration,param_noise_stddev,rollout/actions_std,ret_rms_mean,reference_actor_Q_mean,reference_action_mean,eval/return,reference_Q_std,total/episodes,eval/return_history,rollout/actions_mean,train/loss_critic,train/loss_actor,ret_rms_std,reference_perturbed_action_std,reference_action_std,rollout/Q_mean,rollout/return,train/param_noise_distance,rollout/episode_steps,eval/episodes,obs_rms_std,reference_actor_Q_std,rollout/return_history,total/steps_per_second,reference_Q_mean,eval/Q,total/epochs,rollout/episodes,total/steps
0.053536221385002136,1.3564174175262451,15.03804612159729,0.16720346283821505,0.5456601977348328,0.0,20.50960922241211,0.12417908012866974,264.6313705680111,2.581285238265991,32.0,264.6313705680111,0.09427887946367264,2.798100471496582,-19.933122634887695,1.0,0.6615016460418701,0.4880879819393158,9.522960662841797,155.063840892736,0.5265467762947083,30.78125,1.0,6.385394096374512,1.9086371660232544,155.063840892736,66.49800059888256,20.28565216064453,20.428083419799805,1,32.0,1000
0.001482937834225595,1.2621392011642456,29.07029914855957,0.1370306733903066,0.565217912197113,0.0,42.37702941894531,0.07747568935155869,83.41314150749443,6.542122840881348,66.0,174.02225603775275,0.10165612399578094,4.114393711090088,-40.581626892089844,1.0,0.5949749946594238,0.6078586578369141,19.531156539916992,147.58462604876095,0.5956343412399292,30.0,2.0,6.734838485717773,4.824880123138428,147.58462604876095,68.79874162213773,41.740623474121094,41.049007415771484,2,66.0,2000
0.08673527091741562,1.0874828100204468,43.2766215801239,0.11230273064362171,0.5773736834526062,0.0,62.72843933105469,0.07176558673381805,297.6601621000799,12.982243537902832,110.0,215.2348913918618,0.0677897036075592,7.557390213012695,-58.16826629638672,1.0,0.6307300925254822,0.6182960271835327,28.6599063873291,131.8953365865786,0.6906289458274841,26.87272727272727,3.0,7.092990875244141,11.511865615844727,130.99407691814716,69.32149253946942,61.953521728515625,62.10682678222656,3,110.0,3000
0.059061527252197266,1.238222599029541,57.52699303627014,0.09203708190275892,0.5897175669670105,0.0,80.82574462890625,0.05982417240738869,308.82370355900423,21.529569625854492,135.0,238.6320944336474,0.08564317971467972,6.2750773429870605,-76.31401824951172,1.0,0.6769730448722839,0.7302753925323486,38.92300796508789,143.81213122810425,0.5531008243560791,29.2,4.0,7.057404041290283,19.6717586517334,141.59964213608703,69.53257573323958,79.00920104980469,81.8794937133789,4,135.0,4000
0.22982648015022278,1.363747000694275,71.72102093696594,0.07542848153938683,0.6161170601844788,0.0,98.96369934082031,0.12552616000175476,105.83775718406685,30.778247833251953,156.0,212.07322698373127,0.08474931865930557,10.014723777770996,-94.98104858398438,1.0,0.7270644307136536,0.778523325920105,48.997718811035156,158.85770151119155,0.5257312059402466,32.044871794871796,5.0,6.928858757019043,29.37798500061035,160.1173967225625,69.71456812354069,96.47463989257812,101.16547393798828,5,156.0,5000
0.27681151032447815,1.4820876121520996,85.87509560585022,0.06181699495154324,0.6362541913986206,0.0,115.75664520263672,0.17481914162635803,314.1681101716332,40.45656967163086,177.0,229.0890408483816,0.10093354433774948,17.594833374023438,-112.01995849609375,1.0,0.6895264387130737,0.7215261459350586,58.80791091918945,168.811193068534,0.5096016526222229,33.85310734463277,6.0,6.798893928527832,38.13079071044922,187.95541930624367,69.86891784713485,112.31451416015625,123.12445068359375,6,177.0,6000
0.20228886604309082,1.525227427482605,100.0983681678772,0.05066177638540577,0.6482376456260681,0.0,133.9217529296875,0.122567318379879,254.58143007968206,49.69516372680664,197.0,232.73081073856738,0.11638849228620529,21.23975372314453,-130.2822265625,1.0,0.6902495622634888,0.7414425611495972,68.2584228515625,176.29694138538125,0.5168352127075195,35.30964467005076,7.0,6.841822624206543,46.27976989746094,217.07805610318533,69.93120994999784,129.0780029296875,132.0574493408203,7,197.0,7000
0.12959761917591095,1.551047921180725,114.20826125144958,0.04151957869412388,0.655524730682373,0.0,150.83505249023438,0.18480244278907776,321.19065597399157,57.56387710571289,213.0,243.7882913929954,0.12174047529697418,27.23926544189453,-147.06028747558594,1.0,0.6992378234863281,0.7090561389923096,78.43079376220703,185.95518880943223,0.4316105246543884,37.328638497652584,8.0,6.85699462890625,54.02756118774414,245.09988587144545,70.04747215603425,145.69235229492188,161.92510986328125,8,213.0,8000
0.36200636625289917,1.598032832145691,128.30153131484985,0.034027141129503384,0.6649369597434998,0.0,175.30348205566406,0.332528293132782,315.7106638659442,62.607582092285156,232.0,251.77966611221194,0.1276378184556961,39.564697265625,-168.03829956054688,1.0,0.7051064968109131,0.7176145911216736,87.03887176513672,192.11435146746268,0.31900081038475037,38.5948275862069,9.0,7.024610996246338,57.55497360229492,259.6292640583595,70.1472531759122,168.0276336669922,171.93917846679688,9,232.0,9000
0.15087467432022095,1.6368590593338013,142.3994243144989,0.027886755354071244,0.6743807792663574,0.0,192.63345336914062,0.15648654103279114,301.42301052819755,70.3311767578125,249.0,256.7440005538105,0.13596738874912262,39.82048797607422,-182.7837677001953,1.0,0.7628979682922363,0.7602957487106323,95.2209701538086,199.37482613026356,0.26152336597442627,40.1285140562249,10.0,7.129678249359131,65.46517944335938,265.1608795458648,70.22500300221941,185.920654296875,160.99234008789062,10,249.0,10000
