rollout/actions_std,rollout/return,rollout/Q_mean,eval/Q,param_noise_stddev,eval/return,reference_action_mean,reference_action_std,obs_rms_std,total/steps,total/episodes,total/steps_per_second,total/epochs,rollout/episodes,rollout/return_history,train/loss_critic,reference_Q_std,reference_Q_mean,reference_perturbed_action_std,rollout/episode_steps,reference_perturbed_action_mean,rollout/actions_mean,total/duration,ret_rms_mean,ret_rms_std,train/param_noise_distance,eval/return_history,reference_actor_Q_std,obs_rms_mean,train/loss_actor,reference_actor_Q_mean,eval/episodes
0.6183933615684509,-387.59369848810604,-0.5879091024398804,-1.4745714664459229,0.16720346283821505,-417.5095407362222,0.0826076939702034,0.867882251739502,1.602010726928711,1000,1.0,86.71871204134574,1,1.0,-387.59369848810604,0.04108624532818794,0.6279895305633545,-0.6936452388763428,0.597943127155304,1000.0,0.3065946102142334,-0.3799862563610077,11.53153657913208,0.0,1.0,0.7346888780593872,-417.5095407362222,0.4525285065174103,-0.08224810659885406,0.17197610437870026,-0.007170351222157478,1.0
0.7322701811790466,-370.96726185099027,-1.3419109582901,0.39553770422935486,0.1370306733903066,-427.97027525499226,0.31834790110588074,0.7490555644035339,1.6663440465927124,2000,2.0,87.36587412391934,2,2.0,-370.96726185099027,0.04342254623770714,0.5964789986610413,1.4054343700408936,0.3385356366634369,1000.0,0.7449030876159668,-0.03369140625,22.8922336101532,0.0,1.0,0.3147842288017273,-422.73990799560727,0.5244529843330383,0.03221425041556358,0.25632697343826294,1.936706304550171,2.0
0.7184668183326721,-348.5647185790007,-1.7082613706588745,3.611825704574585,0.11230273064362171,-361.9986627950224,0.1459365040063858,0.8438861966133118,1.4011476039886475,3000,3.0,87.92430437976152,3,3.0,-348.5647185790007,0.09602133929729462,0.716479480266571,3.1659417152404785,0.6934576034545898,1000.0,0.2591169774532318,0.11129630357027054,34.12025856971741,0.0,1.0,0.5654128193855286,-402.492826262079,0.7808722257614136,0.06674591451883316,1.0381135940551758,3.544921875,3.0
0.7032573223114014,-344.82610215085515,-0.7024334073066711,-0.8356214761734009,0.09203708190275892,-455.8002448099295,0.14652153849601746,0.7821314334869385,1.3917851448059082,4000,4.0,88.08252158663386,4,4.0,-344.82610215085515,0.07557995617389679,0.7377626895904541,4.145969390869141,0.7920442819595337,1000.0,0.08741658926010132,0.16205306351184845,45.41196060180664,0.0,1.0,0.270589143037796,-415.8196808990416,0.5513119101524353,0.06658925861120224,-0.2417663186788559,4.779891014099121,4.0
0.7148762941360474,-337.61726291149637,-0.8494427800178528,-0.730894923210144,0.07694459401832851,-629.9420212347623,0.17200696468353271,0.8143585920333862,1.3532246351242065,5000,5.0,88.22759811749162,5,5.0,-337.61726291149637,0.06006764993071556,0.5922935009002686,5.060168266296387,0.7971556186676025,1000.0,0.14469455182552338,0.09231113642454147,56.67160964012146,0.0,1.0,0.2634230852127075,-458.64414896618575,0.4864245355129242,0.06054631248116493,-0.8978816866874695,5.55705451965332,5.0
0.7345994114875793,-339.9353118712408,-0.8681009411811829,-1.416772723197937,0.06561998579066344,-474.66875464394514,0.19462482631206512,0.8514163494110107,1.3914531469345093,6000,6.0,88.38841776850587,6,6.0,-339.9353118712408,0.06858795881271362,0.713531494140625,5.043967247009277,0.855032205581665,1000.0,0.2815537452697754,0.03133130446076393,67.88219714164734,0.0,1.0,0.28890934586524963,-461.31491657914563,0.6594275832176208,0.05587339028716087,-0.6737798452377319,5.418142318725586,6.0
0.7632521986961365,-371.1665106442212,-1.1714532375335693,0.13007467985153198,0.05377849649835011,-205.52043747774547,0.12698478996753693,0.8394339084625244,1.4433422088623047,7000,7.0,88.46800052849154,7,7.0,-371.1665106442212,0.06864389777183533,0.7979411482810974,4.990652084350586,0.7639410495758057,1000.0,0.37261447310447693,0.02700592391192913,79.12465476989746,0.0,1.0,0.25119882822036743,-424.7728481360885,0.7442163228988647,0.05606148764491081,0.07823758572340012,5.223280429840088,7.0
0.777009904384613,-335.69748541252704,-0.934161365032196,1.768701195716858,0.04966353924655011,167.6827606998194,-0.153852179646492,0.7743070125579834,1.6802738904953003,8000,8.0,88.52050065953308,8,8.0,-335.69748541252704,0.07038839161396027,0.7532804012298584,5.0382208824157715,0.7684073448181152,1000.0,0.014302273280918598,0.04811883717775345,90.37454533576965,0.0,1.0,0.34509241580963135,-350.7158970316,0.7021991610527039,0.06772059202194214,-0.4939924478530884,5.377565860748291,8.0
0.7908632755279541,-285.4613108551642,-0.5565904974937439,2.162928581237793,0.046785300513072836,-76.88332499509282,-0.13564352691173553,0.6809518337249756,1.979613184928894,9000,9.0,88.568929506607,9,9.0,-285.4613108551642,0.07301527261734009,0.6531777381896973,5.511081695556641,0.7130593657493591,1000.0,0.08837020397186279,0.05832836776971817,101.61577033996582,0.0,1.0,0.16699886322021484,-320.29005569421025,0.5603144764900208,0.07580200582742691,-1.42165207862854,5.938805103302002,9.0
0.7909648418426514,-256.20493569964674,-0.1973726600408554,5.647062301635742,0.04235412222587577,327.04696481116315,-0.1299428939819336,0.6742698550224304,2.1093897819519043,10000,10.0,88.67133312422172,10,10.0,-256.20493569964674,0.1264561116695404,0.6726083755493164,6.138191223144531,0.7228268384933472,1000.0,-0.04186135157942772,0.0770406723022461,112.77601957321167,0.0,1.0,0.2494167536497116,-255.55635364367294,0.6004621982574463,0.07977893948554993,-2.2206003665924072,6.61107063293457,10.0
