total/steps,ret_rms_std,rollout/episodes,train/loss_critic,rollout/actions_std,rollout/episode_steps,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,rollout/return_history,reference_Q_mean,train/loss_actor,param_noise_stddev,reference_action_std,eval/return_history,obs_rms_std,total/steps_per_second,reference_actor_Q_mean,total/episodes,reference_Q_std,eval/Q,rollout/return,ret_rms_mean,reference_actor_Q_std,obs_rms_mean,reference_action_mean,eval/return,total/duration,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,rollout/actions_mean
11000,1.0,253.0,38.6744270324707,0.7113021016120911,43.25296442687747,11,99.60194396972656,0.1113671362400055,267.5268227831222,182.35464477539062,-188.07785034179688,0.022854436146078055,0.7657670974731445,279.54815034098505,7.4029951095581055,67.01430501233357,189.83482360839844,253.0,92.19807434082031,167.1778106689453,213.74170041470364,0.0,88.87130737304688,1.6152710914611816,0.15525516867637634,248.20278771796302,164.14405846595764,11.0,0.24070625007152557,0.7680575251579285,0.05409076809883118
12000,1.0,267.0,42.897850036621094,0.7198624610900879,44.63670411985019,12,107.01319122314453,0.07010873407125473,281.93306986474107,197.34201049804688,-199.9460906982422,0.018730226766195082,0.7737917900085449,284.1631597053656,7.434782028198242,66.99811067387641,204.52151489257812,267.0,101.94965362548828,183.08888244628906,220.65332674756496,0.0,99.28287506103516,1.644984483718872,0.11966309696435928,334.9282627135524,179.10952830314636,12.0,0.20970608294010162,0.7964391708374023,0.06271030008792877
13000,1.0,283.0,56.660614013671875,0.7289006114006042,45.79505300353357,13,113.0382080078125,0.17818725109100342,296.3916996730426,214.49169921875,-216.34835815429688,0.017999379770019416,0.7655854225158691,283.43161566974135,7.542370319366455,67.03247535860999,223.22341918945312,283.0,108.42869567871094,242.70257568359375,225.86863964199057,0.0,104.6012954711914,1.661576747894287,0.1565866619348526,274.65308724225036,193.93584871292114,13.0,0.19088822603225708,0.7654261589050293,0.06222551688551903
14000,1.0,302.0,62.219058990478516,0.7340234518051147,46.205298013245034,14,120.43153381347656,0.18155987560749054,290.2129393717394,228.77294921875,-230.07582092285156,0.018730226766195082,0.7735517621040344,280.01217030858487,7.550553798675537,67.08451852988337,238.59152221679688,302.0,118.26322174072266,198.17123413085938,228.29354112529242,0.0,114.00947570800781,1.6822854280471802,0.18848580121994019,235.55938061355064,208.6919651031494,14.0,0.17808327078819275,0.7752833366394043,0.06523203104734421
15000,1.0,319.0,79.58821868896484,0.7389925122261047,46.96238244514107,15,127.52369689941406,0.19608643651008606,299.743075909493,241.206787109375,-243.90655517578125,0.019106704324195603,0.8066880702972412,282.4381489479692,7.522148132324219,67.10831002537462,250.53445434570312,319.0,127.33211517333984,245.532470703125,232.614559810001,0.0,123.07376861572266,1.7088438272476196,0.16212518513202667,316.40184989934914,223.5192630290985,15.0,0.20058150589466095,0.7944781184196472,0.07106423377990723
16000,1.0,335.0,101.15998840332031,0.7436976432800293,47.582089552238806,16,134.86643981933594,0.16588513553142548,302.5407355988362,254.34463500976562,-248.02561950683594,0.019882513137642284,0.8127590417861938,291.5780215002912,7.472388744354248,67.0249310916914,263.3921813964844,335.0,135.557373046875,291.931640625,235.6566331693322,0.0,131.75230407714844,1.7221580743789673,0.11944560706615448,428.6761097851216,238.71714210510254,16.0,0.18720845878124237,0.8140328526496887,0.07159934192895889
17000,1.0,349.0,116.50526428222656,0.7491146326065063,48.50143266475645,17,141.75318908691406,0.17668594419956207,308.4803307053415,264.45513916015625,-262.5599365234375,0.019490749081111935,0.8106610774993896,294.8152281804214,7.444720268249512,66.9802524592426,275.70159912109375,349.0,141.02005004882812,238.56121826171875,239.66620075369303,0.0,137.81105041503906,1.7343072891235352,0.14520572125911713,346.6105350625046,253.8061499595642,17.0,0.19164937734603882,0.8045671582221985,0.0743357464671135
18000,1.0,363.0,122.39392852783203,0.7542139887809753,49.53443526170799,18,149.0206298828125,0.05686788633465767,309.4195046993862,276.3394775390625,-269.60406494140625,0.0211056883401964,0.8357443809509277,297.75112462025896,7.410974502563477,66.921483726594,288.34356689453125,363.0,147.80213928222656,328.5185241699219,243.41217185557457,0.0,144.892578125,1.7397174835205078,0.086408831179142,347.66136409749765,268.9719204902649,18.0,0.223475381731987,0.8328573703765869,0.07854120433330536
19000,1.0,374.0,135.2511444091797,0.759178638458252,50.526737967914436,19,156.56488037109375,0.08721964806318283,315.956382774045,287.17657470703125,-277.51300048828125,0.019882513137642284,0.8400657773017883,302.01853586569507,7.4860053062438965,66.86851165278425,299.45263671875,374.0,157.1802520751953,318.0023498535156,248.00572181340732,0.0,154.30352783203125,1.7527228593826294,0.08420103788375854,378.8319382835456,284.13971734046936,19.0,0.19000624120235443,0.8476642966270447,0.08316469192504883
20000,1.0,387.0,157.63230895996094,0.7622819542884827,51.56072351421189,20,163.2662811279297,0.1412571370601654,324.2556232278523,287.52899169921875,-283.0317077636719,0.018361167303396805,0.8266721367835999,305.0782075392971,7.53069543838501,66.82583184982786,298.9764404296875,387.0,164.98080444335938,313.96649169921875,251.99723489492658,0.0,163.36740112304688,1.7547580003738403,0.1393943428993225,363.2119693377366,299.28546261787415,20.0,0.22485977411270142,0.8134734034538269,0.0884876623749733
