eval/Q,reference_actor_Q_std,obs_rms_std,total/episodes,train/param_noise_distance,total/steps,eval/episodes,reference_actor_Q_mean,rollout/Q_mean,rollout/actions_mean,total/duration,reference_Q_std,reference_perturbed_action_std,rollout/episodes,ret_rms_std,obs_rms_mean,rollout/return_history,total/steps_per_second,total/epochs,param_noise_stddev,rollout/actions_std,reference_action_mean,eval/return,ret_rms_mean,eval/return_history,rollout/return,reference_perturbed_action_mean,train/loss_actor,train/loss_critic,reference_Q_mean,reference_action_std,rollout/episode_steps
19.781497955322266,3.431824207305908,7.088278293609619,49.0,0.5399906635284424,1000,1.0,18.798616409301758,9.023192405700684,0.0027662375941872597,11.841925144195557,4.27706241607666,0.43033188581466675,49.0,1.0,0.47886791825294495,94.67981659681834,84.44572886784042,1,0.16720346283821505,0.5428977608680725,0.007152507547289133,83.30044557663777,0.0,83.30044557663777,94.67981659681834,-0.05541640892624855,-18.7359676361084,1.5728254318237305,18.328533172607422,0.44360607862472534,19.816326530612244
38.93657684326172,8.722915649414062,6.5860395431518555,91.0,0.5786439180374146,2000,2.0,38.24669647216797,18.379837036132812,0.030565274879336357,23.221688747406006,10.968612670898438,0.4150409400463104,91.0,1.0,0.5779224038124084,103.6340220486222,86.12638046074109,2,0.1370306733903066,0.5508796572685242,0.10741237550973892,73.58455169152543,0.0,78.4424986340816,103.6340220486222,0.3002685606479645,-37.70320129394531,2.7542967796325684,36.99000549316406,0.499880850315094,21.318681318681318
57.748626708984375,17.61428451538086,6.846640586853027,142.0,0.5077396631240845,3000,3.0,55.45242691040039,27.542707443237305,0.029972335323691368,34.50812602043152,19.517024993896484,0.5543218851089478,142.0,1.0,0.5040544867515564,104.51375400011811,86.93604509916779,3,0.11230273064362171,0.5509599447250366,-0.018518462777137756,72.62018007472304,0.0,76.50172578096208,102.54671551118305,-0.10335809737443924,-55.35009765625,4.346246719360352,53.61314392089844,0.6176320314407349,21.077464788732396
66.16675567626953,27.753751754760742,6.88225793838501,175.0,0.4857383668422699,4000,4.0,70.1927261352539,36.858314514160156,0.02382393553853035,45.90438747406006,29.2323055267334,0.616133987903595,175.0,1.0,0.6185181736946106,118.48637875466525,87.13764021489983,4,0.09203708190275892,0.5630784630775452,-0.007531153969466686,127.2819031998522,0.0,89.1967701356846,111.43939398970942,-0.10187260806560516,-71.7770004272461,5.541028022766113,67.6407699584961,0.6897637844085693,22.731428571428573
96.34412384033203,39.41728210449219,7.050560474395752,200.0,0.42450395226478577,5000,5.0,83.7735595703125,46.16688537597656,0.03475241735577583,57.460747480392456,40.65794372558594,0.6692918539047241,200.0,1.0,0.7731386423110962,137.19574511170416,87.01592337806201,5,0.07542848153938683,0.5812035799026489,0.073476143181324,251.33805389315643,0.0,121.62502688717896,122.30305006105267,-0.0038213462103158236,-86.60269165039062,7.304408550262451,80.45099639892578,0.7151691913604736,24.94
119.51775360107422,49.03974533081055,7.026350498199463,223.0,0.43233972787857056,6000,6.0,94.57420349121094,54.9218864440918,0.05057467520236969,69.16192555427551,49.68503952026367,0.6621891856193542,223.0,1.0,0.9021137356758118,160.84121552304973,86.7529345360901,6,0.06181699495154324,0.5992465019226074,0.08205168694257736,310.37419655982046,0.0,153.08322183261922,130.79520485740238,0.06881904602050781,-102.2273941040039,15.237064361572266,90.50975036621094,0.7041779160499573,26.60089686098655
136.4257354736328,56.500091552734375,7.015443325042725,244.0,0.36625996232032776,7000,7.0,106.08718872070312,64.7099380493164,0.06761009991168976,80.8307273387909,57.34867858886719,0.7110118865966797,244.0,1.0,1.0101624727249146,194.43907688795787,86.60073007459727,7,0.05066177638540577,0.6110929846763611,0.16415348649024963,290.6250360101742,0.0,172.73205242941276,140.01811539003282,0.15932975709438324,-118.12689208984375,20.861339569091797,99.37870025634766,0.7108281850814819,28.56967213114754
155.31484985351562,65.80413055419922,6.972237586975098,260.0,0.335518479347229,8000,8.0,123.60526275634766,74.38335418701172,0.07978074997663498,92.54476594924927,65.78054809570312,0.6832399368286133,260.0,1.0,1.1086097955703735,220.3389120025334,86.44465106094849,8,0.04151957869412388,0.6192473769187927,0.11411713063716888,301.6309740616256,0.0,188.84441763343938,150.5213717844787,0.05192319676280022,-139.02098083496094,24.205114364624023,115.3331298828125,0.7083726525306702,30.638461538461538
148.39816284179688,76.76475524902344,6.86890172958374,276.0,0.28346753120422363,9000,9.0,138.28753662109375,84.86530303955078,0.08483532816171646,104.19908738136292,77.07972717285156,0.692093551158905,276.0,1.0,1.1683040857315063,242.14851121052868,86.37311732933415,9,0.034027141129503384,0.6250324249267578,0.07509592920541763,203.41726116976469,0.0,190.46362247080887,158.9729127261463,0.09741218388080597,-156.91983032226562,25.968900680541992,128.4804229736328,0.712161660194397,32.4963768115942
189.5584259033203,85.79412078857422,6.820737361907959,291.0,0.24182140827178955,10000,10.0,155.00601196289062,94.29052734375,0.09325568377971649,116.27455496788025,86.70367431640625,0.741579532623291,291.0,1.0,1.2341396808624268,259.5657245209663,86.00333927541074,10,0.027886755354071244,0.6347386837005615,0.03486590087413788,462.22497220370667,0.0,217.63975744409862,166.97016651282766,0.06722450256347656,-175.05203247070312,31.642423629760742,144.7853240966797,0.74462890625,34.16151202749141
