total/epochs,reference_actor_Q_std,rollout/actions_std,train/loss_critic,param_noise_stddev,reference_Q_std,obs_rms_mean,reference_action_std,total/steps,total/episodes,ret_rms_mean,rollout/return,reference_perturbed_action_mean,total/steps_per_second,obs_rms_std,total/duration,eval/Q,eval/return_history,rollout/return_history,ret_rms_std,train/loss_actor,reference_Q_mean,eval/return,rollout/episodes,rollout/episode_steps,train/param_noise_distance,reference_perturbed_action_std,eval/episodes,reference_actor_Q_mean,reference_action_mean,rollout/Q_mean,rollout/actions_mean
27,3.7222979068756104,0.6240538954734802,1.0397518873214722,0.025245515830755405,3.7046377658843994,-0.002350130584090948,0.7646496295928955,27000,27.0,0.0,-35.24317691592304,-0.0443919338285923,76.72462072418782,1.6792495250701904,351.90789794921875,53.25865173339844,-86.16019531319783,-35.24317691592304,1.0,-46.7153434753418,40.752906799316406,414.0990191140351,27.0,1000.0,0.16331253945827484,0.759186327457428,27.0,41.36609649658203,-0.012227371335029602,27.985111236572266,-0.26176491379737854
28,3.6414594650268555,0.619114875793457,3.8663406372070312,0.02426044449968572,3.62793231010437,-0.004750104155391455,0.7015295624732971,28000,28.0,0.0,-18.902069820221225,0.2331029623746872,76.73021484705583,1.6714017391204834,364.9149172306061,54.41630172729492,-67.67684716503395,-18.902069820221225,1.0,-48.4119873046875,41.89630889892578,431.3735528353909,28.0,1000.0,0.22183895111083984,0.7055237889289856,28.0,42.40763854980469,0.1720031499862671,28.930883407592773,-0.26508674025535583
29,3.7546517848968506,0.6178065538406372,3.8918471336364746,0.026270585008002556,3.7973031997680664,-0.004202292766422033,0.7788190245628357,29000,29.0,0.0,-13.662714156915092,-0.08612465113401413,76.7304507395101,1.673429012298584,377.94643092155457,56.722042083740234,-44.70681167027577,-13.662714156915092,1.0,-49.728759765625,42.8375244140625,598.4541821829536,29.0,1000.0,0.21189004182815552,0.8001892566680908,29.0,43.434696197509766,-0.03875303640961647,29.750642776489258,-0.25540879368782043
30,3.9894063472747803,0.6142642498016357,1.3419839143753052,0.026270585008002556,4.04215145111084,-0.005049246363341808,0.7573099136352539,30000,30.0,0.0,7.724176575967334,-0.004705324769020081,76.71026827605264,1.6695278882980347,391.0819330215454,58.799217224121094,-25.217272178157383,7.724176575967334,1.0,-51.654052734375,43.93951416015625,539.9793730932757,30.0,1000.0,0.2087601125240326,0.7614794969558716,30.0,44.69362258911133,0.04963281378149986,30.673175811767578,-0.25997045636177063
31,3.7817203998565674,0.611649215221405,2.838836431503296,0.026798623766663407,3.7648565769195557,-0.006429610773921013,0.7546677589416504,31000,31.0,0.0,21.694592596232077,0.03823409974575043,76.69855806886096,1.6727184057235718,404.1796975135803,57.71182632446289,-16.076449662356534,21.694592596232077,1.0,-53.442718505859375,45.511470794677734,258.14822581166896,31.0,1000.0,0.23340706527233124,0.7710538506507874,31.0,46.15211486816406,0.08530959486961365,31.593050003051758,-0.2601476311683655
32,3.894083261489868,0.6097639203071594,1.4751157760620117,0.025245515830755405,3.995245933532715,-0.008159146644175053,0.7908013463020325,32000,32.0,0.0,39.04239493714,0.017372628673911095,76.68890299868474,1.667542815208435,417.2702796459198,62.19706344604492,2.8448468071836146,39.04239493714,1.0,-54.94562911987305,47.185707092285156,589.4050373629277,32.0,1000.0,0.20882245898246765,0.8066750764846802,32.0,48.13336181640625,0.05232251062989235,32.525489807128906,-0.2637777030467987
33,3.5893304347991943,0.6112741231918335,2.598660945892334,0.02575295069895359,3.6266894340515137,-0.007283580489456654,0.7781573534011841,33000,33.0,0.0,33.94160652446634,0.05917365849018097,76.692967003498,1.6931264400482178,430.2871735095978,58.641456604003906,11.343590445901684,33.94160652446634,1.0,-56.670230865478516,49.16194534301758,283.3033868848799,33.0,1000.0,0.19917693734169006,0.771662712097168,33.0,49.998043060302734,0.07067257165908813,33.20004653930664,-0.2603681981563568
34,3.9077701568603516,0.6112256646156311,4.509365081787109,0.027886755354071244,3.897367238998413,-0.007968463003635406,0.7800401449203491,34000,34.0,0.0,48.48539493150637,-0.004319339990615845,76.67629857414273,1.6908949613571167,443.42255210876465,63.34723663330078,20.00040357813334,48.48539493150637,1.0,-58.75224685668945,50.13337707519531,305.67523694177794,34.0,1000.0,0.18139603734016418,0.7689390182495117,34.0,50.93930435180664,0.017387568950653076,34.11945724487305,-0.2619078457355499
35,4.126285076141357,0.6096431612968445,5.5789690017700195,0.02733727610437334,4.293247699737549,-0.008571583777666092,0.7678025960922241,35000,35.0,0.0,71.69117712614067,0.12771651148796082,76.68444961027,1.6950442790985107,456.4158728122711,68.3779525756836,45.84520043142883,71.69117712614067,1.0,-60.6307373046875,51.350807189941406,924.5682934434756,35.0,1000.0,0.2465241551399231,0.7559151649475098,35.0,52.340057373046875,0.15313570201396942,35.062984466552734,-0.2641952931880951
36,3.765216588973999,0.6092429757118225,2.9476852416992188,0.026798623766663407,3.753112316131592,-0.008392606861889362,0.7640084624290466,36000,36.0,0.0,89.50812325752013,0.26236918568611145,76.68371228307204,1.7101653814315796,469.4608402252197,70.89717864990234,72.92749607937242,89.50812325752013,1.0,-62.719520568847656,53.854957580566406,1020.807843757398,36.0,1000.0,0.1701490432024002,0.7602573037147522,36.0,54.44976806640625,0.1931476593017578,35.92529296875,-0.26485884189605713
37,4.193689823150635,0.6079383492469788,3.6534783840179443,0.026798623766663407,4.233270645141602,-0.00809447281062603,0.7679599523544312,37000,37.0,0.0,120.96574680738303,0.09329581260681152,76.68452348659447,1.7103242874145508,482.4963150024414,73.06917572021484,102.82020118159821,120.96574680738303,1.0,-64.68939208984375,55.32318115234375,1178.9575848617264,37.0,1000.0,0.19748657941818237,0.7790327668190002,37.0,56.068084716796875,0.17331194877624512,36.8990592956543,-0.26726266741752625
38,4.476181983947754,0.6071348190307617,1.9972435235977173,0.02426044449968572,4.537831783294678,-0.00783567875623703,0.800190806388855,38000,38.0,0.0,142.8781806874645,0.05545497313141823,76.68035485378228,1.7073935270309448,495.56369519233704,75.50630950927734,127.84420174869483,142.8781806874645,1.0,-66.53082275390625,55.835411071777344,1053.73222273127,38.0,1000.0,0.18532687425613403,0.8148729801177979,38.0,56.75714874267578,0.029985874891281128,37.86457061767578,-0.2658531069755554
39,4.488368034362793,0.6065276861190796,3.7160897254943848,0.025245515830755405,4.489912986755371,-0.007113981060683727,0.838006854057312,39000,39.0,0.0,161.73218236925882,0.039666783064603806,76.66979579430605,1.712875247001648,508.67489075660706,61.105010986328125,122.5833455480975,161.73218236925882,1.0,-69.3687515258789,57.86949157714844,-77.3291900746004,39.0,1000.0,0.1475542038679123,0.8390271663665771,39.0,58.59832763671875,0.07296525686979294,38.81098556518555,-0.26542940735816956
40,5.200629711151123,0.6060475707054138,3.8025062084198,0.02575295069895359,5.024194717407227,-0.006325193680822849,0.8174780011177063,40000,40.0,0.0,184.58005926245727,0.10959712415933609,76.6842644236925,1.7134908437728882,521.6194000244141,82.01737976074219,149.40291088168206,184.58005926245727,1.0,-71.91557312011719,58.95707321166992,1195.3659588914793,40.0,1000.0,0.1783563643693924,0.8343775868415833,40.0,59.6623420715332,0.17950034141540527,39.816932678222656,-0.26629117131233215
41,5.9908528327941895,0.6086564064025879,10.765046119689941,0.02575295069895359,5.694522857666016,-0.004400244448333979,0.8099764585494995,41000,41.0,0.0,177.27489653776328,0.10713908821344376,76.68925884204565,1.7336786985397339,534.6250650882721,82.44288635253906,159.1880742012748,177.27489653776328,1.0,-74.45756530761719,60.49468231201172,550.5946069849839,41.0,1000.0,0.19297440350055695,0.7600156664848328,41.0,61.21465301513672,0.09864121675491333,40.33908462524414,-0.26350846886634827
42,6.675605773925781,0.6068000793457031,1.4325071573257446,0.026270585008002556,6.3096723556518555,-0.004194372799247503,0.8001377582550049,42000,42.0,0.0,189.43672474911693,0.12959139049053192,76.68170188659161,1.7323845624923706,547.718672990799,88.6058349609375,184.92353136583384,189.43672474911693,1.0,-77.46170806884766,61.5449104309082,1240.0772751127547,42.0,1000.0,0.18922071158885956,0.8100911378860474,42.0,62.34433364868164,0.12491846084594727,41.40940856933594,-0.26148170232772827
43,7.533743381500244,0.6064342856407166,3.864553451538086,0.02733727610437334,7.160785675048828,-0.003295875620096922,0.7999481558799744,43000,43.0,0.0,207.8154977833044,0.16001348197460175,76.67993981701721,1.7381788492202759,560.7724797725677,86.49213409423828,204.274656295846,207.8154977833044,1.0,-79.97299194335938,63.31071472167969,1017.0219033563574,43.0,1000.0,0.18791882693767548,0.8043997287750244,43.0,64.08335876464844,0.20647908747196198,42.507774353027344,-0.2582332491874695
44,8.249463081359863,0.6061151027679443,13.338501930236816,0.02575295069895359,8.001683235168457,-0.001623176271095872,0.8452932238578796,44000,44.0,0.0,246.12283735028285,0.14435015618801117,76.66438112708775,1.7381620407104492,573.930153131485,89.43028259277344,223.1412969094392,246.12283735028285,1.0,-82.8340072631836,64.3215103149414,1034.406843293947,44.0,1000.0,0.20319302380084991,0.8730856776237488,44.0,65.0465316772461,0.20863135159015656,43.68263626098633,-0.2602199614048004
45,9.880084037780762,0.6111510992050171,10.741122245788574,0.024748079434129402,9.357089042663574,0.0005294438451528549,0.7908641695976257,45000,45.0,0.0,237.77726760499775,0.26038965582847595,76.65885425523769,1.7537169456481934,587.016339302063,98.83280944824219,248.80342008033367,237.77726760499775,1.0,-85.293212890625,64.64506530761719,1377.9368395996905,45.0,1000.0,0.20398277044296265,0.7907482981681824,45.0,65.2587890625,0.3094046711921692,44.22775650024414,-0.25608760118484497
46,10.321039199829102,0.6109153628349304,4.958628177642822,0.023313810312614227,10.102127075195312,0.0005652554100379348,0.8232840895652771,46000,46.0,0.0,246.29764397818792,0.20341265201568604,76.66219289714142,1.752744436264038,600.0350141525269,90.63220977783203,253.70486333450398,246.29764397818792,1.0,-88.55000305175781,65.01431274414062,474.2698097721683,46.0,1000.0,0.1817016303539276,0.8313924074172974,46.0,65.71810913085938,0.17305390536785126,45.38218688964844,-0.2557957172393799
47,11.441690444946289,0.6091939210891724,5.444812774658203,0.023782417899897774,10.997783660888672,0.0011787250405177474,0.7766602635383606,47000,47.0,0.0,263.46340395420464,0.23345358669757843,76.6651584641819,1.7595356702804565,613.0555384159088,106.0957260131836,276.16902180600295,263.46340395420464,1.0,-91.8291015625,66.45637512207031,1309.5203114949545,47.0,1000.0,0.2080634981393814,0.8096985816955566,47.0,67.0450439453125,0.2857975661754608,46.60837173461914,-0.2550693452358246
48,11.629972457885742,0.610356330871582,1.6860473155975342,0.022854436146078055,11.404131889343262,0.0017961465055122972,0.8113831281661987,48000,48.0,0.0,270.6929586178878,0.16917450726032257,76.66857173502024,1.7616732120513916,626.0713994503021,109.41712188720703,299.4625738105037,270.6929586178878,1.0,-95.44924926757812,68.42083740234375,1394.2595180220403,48.0,1000.0,0.20333664119243622,0.8153979182243347,48.0,69.38340759277344,0.10364481061697006,47.77798843383789,-0.2512819766998291
49,12.524596214294434,0.609533965587616,8.343034744262695,0.022854436146078055,12.222716331481934,0.0022614889312535524,0.8336416482925415,49000,49.0,0.0,282.83358093795044,0.04851849004626274,76.66492869463447,1.7671420574188232,639.1449236869812,115.39414978027344,333.95220109332246,282.83358093795044,1.0,-99.03533935546875,70.65545654296875,1989.454310668622,49.0,1000.0,0.19428856670856476,0.8318366408348083,49.0,71.30741882324219,0.027401546016335487,49.01637268066406,-0.2495260089635849
50,13.002151489257812,0.6090840101242065,5.641617298126221,0.022854436146078055,12.62617015838623,0.004025363828986883,0.7892827987670898,50000,50.0,0.0,313.538125958649,0.13672126829624176,76.66179074162326,1.7668468952178955,652.2153933048248,118.99401092529297,368.08003878812406,313.538125958649,1.0,-102.08663940429688,72.4615249633789,2040.3440858334034,50.0,1000.0,0.22345109283924103,0.8021451830863953,50.0,73.53372192382812,0.19319121539592743,50.35956573486328,-0.24884364008903503
51,13.392316818237305,0.6075095534324646,18.149036407470703,0.024748079434129402,13.223048210144043,0.004713838919997215,0.8122594356536865,51000,51.0,0.0,336.75804170777167,-0.02435312606394291,76.66716908132771,1.7696021795272827,665.2130320072174,105.80257415771484,380.9890477520312,336.75804170777167,1.0,-104.6132583618164,74.71659088134766,1026.439495947387,51.0,1000.0,0.18233239650726318,0.7794932723045349,51.0,75.93460845947266,-0.09715375304222107,51.70844650268555,-0.24961285293102264
52,14.047639846801758,0.610398530960083,4.179366588592529,0.025245515830755405,13.923965454101562,0.005729797296226025,0.8624044060707092,52000,52.0,0.0,330.2491144643922,-0.125682070851326,76.66431125629227,1.7754868268966675,678.281708240509,124.59868621826172,404.4219667390026,330.2491144643922,1.0,-108.17745971679688,77.04696655273438,1599.5008350745456,52.0,1000.0,0.19530893862247467,0.8513662219047546,52.0,78.62263488769531,-0.09056421369314194,52.510772705078125,-0.2458088994026184
53,14.401520729064941,0.6111388802528381,14.223389625549316,0.025245515830755405,14.174184799194336,0.005594577640295029,0.8515176177024841,53000,53.0,0.0,330.05005301090364,0.0018375515937805176,76.66880160454714,1.779720664024353,691.2850975990295,130.17919921875,427.9195110251008,330.05005301090364,1.0,-112.43612670898438,79.36910247802734,1649.7918139022088,53.0,1000.0,0.28365159034729004,0.8474929332733154,53.0,80.49604797363281,0.06683679670095444,53.72901916503906,-0.24565592408180237
54,15.393774032592773,0.6096598505973816,24.551280975341797,0.025245515830755405,15.154491424560547,0.0059119220823049545,0.8588351011276245,54000,54.0,0.0,344.22392745754564,0.07497888803482056,76.67128335662487,1.7835967540740967,704.3054144382477,133.83177185058594,447.084865698561,344.22392745754564,1.0,-115.26502227783203,82.00272369384766,1462.8486633919492,54.0,1000.0,0.25728386640548706,0.8218459486961365,54.0,83.41154479980469,0.09345793724060059,55.133026123046875,-0.24557079374790192
55,15.054092407226562,0.608222246170044,3.097593307495117,0.025245515830755405,14.887069702148438,0.006111487280577421,0.8287325501441956,55000,55.0,0.0,352.1910839309628,0.22111277282238007,76.67245217827973,1.784496784210205,717.337171792984,139.13134765625,471.53700533460125,352.1910839309628,1.0,-119.67864227294922,85.5224838256836,1791.9525456807733,55.0,1000.0,0.19833362102508545,0.8586361408233643,55.0,87.07036590576172,0.2798510789871216,56.50224685668945,-0.24481789767742157
56,14.869407653808594,0.6070080995559692,19.083728790283203,0.02575295069895359,14.645187377929688,0.006461868528276682,0.8026196956634521,56000,56.0,0.0,371.3292615500585,0.2769952714443207,76.66165697694974,1.7830476760864258,730.4825150966644,141.9654083251953,490.6433128883993,371.3292615500585,1.0,-124.05489349365234,88.99993133544922,1541.490228347295,56.0,1000.0,0.2099660485982895,0.7909082174301147,56.0,90.73133850097656,0.24111801385879517,57.987525939941406,-0.24535109102725983
