reference_action_mean,param_noise_stddev,eval/episodes,ret_rms_mean,reference_Q_std,eval/Q,rollout/Q_mean,eval/return,reference_perturbed_action_std,ret_rms_std,reference_actor_Q_std,reference_action_std,total/steps,total/epochs,rollout/actions_mean,rollout/episode_steps,rollout/actions_std,obs_rms_std,total/episodes,total/duration,rollout/episodes,reference_Q_mean,rollout/return_history,train/loss_critic,train/loss_actor,train/param_noise_distance,obs_rms_mean,eval/return_history,total/steps_per_second,reference_perturbed_action_mean,rollout/return,reference_actor_Q_mean
0.10724256932735443,0.16720346283821505,1.0,0.0,2.961664915084839,20.977354049682617,9.510048866271973,452.15329529603633,0.6806545257568359,1.0,1.6989744901657104,0.5260265469551086,1000,1,0.12197281420230865,32.63333333333333,0.6556038856506348,8.276700019836426,30.0,11.494073867797852,30.0,19.87366485595703,158.7899987743345,2.006087064743042,-19.91309928894043,0.7162454724311829,1.3383172750473022,452.15329529603633,87.00135491573884,0.036803826689720154,158.7899987743345,20.352102279663086
0.1176299974322319,0.1370306733903066,2.0,0.0,8.090863227844238,39.94320297241211,19.596750259399414,80.80870096686411,0.7162970304489136,1.0,6.150169372558594,0.5314903855323792,2000,2,0.0972089022397995,30.746031746031747,0.6688384413719177,7.723954200744629,63.0,22.08434772491455,63.0,40.118446350097656,148.1319865281002,3.5654611587524414,-40.3731575012207,0.6096506118774414,1.2568551301956177,266.48099813145024,90.56187780197337,0.0029438151977956295,148.1319865281002,41.14228820800781
0.1681780219078064,0.11230273064362171,3.0,0.0,15.009785652160645,52.9520149230957,29.96538543701172,98.8602366916019,0.6614067554473877,1.0,12.543241500854492,0.6095815896987915,3000,3,0.12807777523994446,33.62921348314607,0.6639928221702576,7.579374313354492,89.0,32.66935920715332,89.0,59.58434295654297,161.8990241955713,7.621649742126465,-60.4886360168457,0.6064735054969788,1.3770586252212524,210.60741098483413,91.82916570163754,0.05257798731327057,161.8990241955713,61.13883972167969
0.06822796165943146,0.09203708190275892,4.0,0.0,23.498018264770508,77.18961334228516,39.72123336791992,77.39393977112145,0.5959932208061218,1.0,21.334352493286133,0.6482186913490295,4000,4,0.137940913438797,36.596330275229356,0.6672461032867432,7.325936794281006,109.0,43.28142213821411,109.0,77.07319641113281,182.81890233469264,5.966407299041748,-78.2287368774414,0.5736275315284729,1.4619446992874146,177.30404318140597,92.41840499663972,0.26603445410728455,176.58385366235467,78.93515014648438
0.07814090698957443,0.07542848153938683,5.0,0.0,31.150850296020508,106.0115737915039,49.804351806640625,231.60485891808625,0.6788961887359619,1.0,27.5460205078125,0.6878135204315186,5000,5,0.1399243324995041,38.8828125,0.6740180253982544,7.241086959838867,128.0,54.12564182281494,128.0,93.63519287109375,198.83201476167235,12.970707893371582,-96.76155090332031,0.5000678896903992,1.5190128087997437,188.16420632874204,92.3776574579557,0.14699016511440277,187.28988000169284,97.02642822265625
0.15344631671905518,0.06181699495154324,6.0,0.0,37.87005615234375,127.11061096191406,59.89210510253906,311.6610028898412,0.7120304107666016,1.0,34.05104446411133,0.7073265910148621,6000,6,0.1405550092458725,41.06206896551724,0.6803901791572571,7.141798973083496,145.0,65.00933933258057,145.0,111.74882507324219,221.13295963641212,10.292854309082031,-119.26573181152344,0.4744229316711426,1.5870065689086914,208.74700575559189,92.29443125555646,0.06482571363449097,198.6242549864695,115.56031799316406
0.2645260691642761,0.05066177638540577,7.0,0.0,49.47792434692383,132.2964324951172,69.81539916992188,276.0247536075465,0.6680595874786377,1.0,46.78458786010742,0.6685391068458557,7000,7,0.15155018866062164,43.285714285714285,0.6791759133338928,7.012233734130859,161.0,75.85804033279419,161.0,125.66634368896484,252.82524957863296,15.172577857971191,-136.03733825683594,0.4069712460041046,1.6536253690719604,218.3581125915854,92.27762764883646,0.20042839646339417,211.48203607605092,129.4350128173828
0.19710512459278107,0.04151957869412388,8.0,0.0,57.38092803955078,167.20408630371094,79.49432373046875,373.44322279092756,0.7156948447227478,1.0,53.357810974121094,0.6919184923171997,8000,8,0.16375479102134705,44.91573033707865,0.6810434460639954,6.91370153427124,178.0,86.82335233688354,178.0,141.3096160888672,265.41303247101644,21.008892059326172,-151.81394958496094,0.38135799765586853,1.712971806526184,237.74375136650318,92.14110932919495,0.1388285756111145,220.0567002866176,146.31887817382812
0.2252175360918045,0.034027141129503384,9.0,0.0,66.22416687011719,180.33990478515625,88.5144271850586,556.9470876199907,0.6949020624160767,1.0,64.45028686523438,0.7053039073944092,9000,9,0.1671045869588852,46.26424870466321,0.684161365032196,6.8518781661987305,193.0,98.04147362709045,193.0,154.6756591796875,283.7155281888121,20.363929748535156,-167.24195861816406,0.3144983947277069,1.7494947910308838,273.21078872800183,91.79788580322965,0.19660374522209167,227.1940754726572,159.31243896484375
0.2846703827381134,0.027886755354071244,10.0,0.0,80.14373016357422,181.30946350097656,97.93658447265625,417.2280063193334,0.6987920999526978,1.0,77.90275573730469,0.701648473739624,10000,10,0.18221771717071533,47.99519230769231,0.6845834255218506,6.787471771240234,208.0,109.11836910247803,208.0,164.38168334960938,300.0440052789526,26.291982650756836,-182.5048065185547,0.2990201711654663,1.788066029548645,287.61251048713495,91.6435984358284,0.26943129301071167,236.31061243033315,170.1046600341797
0.24032939970493317,0.023313810312614227,11.0,0.0,90.25955200195312,181.58657836914062,106.56246948242188,314.8382845889572,0.7365588545799255,1.0,89.34281158447266,0.734433650970459,11000,11,0.19534894824028015,49.14798206278027,0.6881420612335205,6.766849517822266,223.0,120.0821123123169,223.0,177.29104614257812,316.50222580208083,41.907440185546875,-200.8635711669922,0.20767144858837128,1.829593539237976,290.0875808600279,91.60398487487069,0.24845241010189056,242.82314806005624,183.14833068847656
